,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ILLINOIS-STATE_homegame,ILLINOIS-STATE_homegame2,ILLINOIS-STATE_home,ILLINOIS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-illinois-state,57.1,16,8.1,3,114.5,75.0,27,0.525,60,0.467,28,0.217,13,0.6920000000000001,9,1,200,104.3,21.9,7,14,72,,7.2,5,0.41700000000000004,25,0.28,7,50.0,34,0.544,13.2,10,35,0.6,21,0.0,0,"November 6, 2019",53.3,16,14.3,5,104.3,78.1,25,0.579,63,0.47600000000000003,30,0.20600000000000002,13,0.462,6,0,200,114.5,25.0,9,13,79,,10.1,7,0.413,26,0.5,13,50.0,34,0.5710000000000001,10.4,8,37,0.45899999999999996,17,1.0,1,"Redbird Arena, Normal, Illinois",BELMONT,Belmont,68.7,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,0,True,False,True,Home,True,13,17,63,34,68,7,21,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-16-illinois-state,48.1,13,14.8,4,107.1,71.4,20,0.5660000000000001,53,0.509,27,0.226,12,0.833,10,1,200,100.0,19.0,4,19,70,,12.9,9,0.358,19,0.316,6,49.0,24,0.596,20.5,15,34,0.618,21,0.5,1,"November 10, 2019",58.3,14,11.8,4,100.0,81.0,17,0.569,51,0.47100000000000003,24,0.47100000000000003,24,0.708,17,0,200,107.1,28.6,8,16,75,,5.7,4,0.47100000000000003,24,0.41700000000000004,10,51.0,25,0.601,19.6,15,27,0.519,14,1.0,2,"Redbird Arena, Normal, Illinois",ARKANSAS-LITTLE-ROCK,Little Rock,69.6,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,1,True,False,True,Home,True,10,14,51,25,49,6,21,53,1,0,13,17,63,0.5793650793650794,34,68,0.5,7,21,60,0.525,1.0
2,2019-11-17-14-illinois-state,50.0,12,17.1,7,92.9,66.7,20,0.466,58,0.414,24,0.32799999999999996,19,0.684,13,1,200,95.7,37.1,13,10,67,,11.4,8,0.397,23,0.261,6,50.8,33,0.5,20.4,17,35,0.514,18,0.667,2,"November 17, 2019",57.1,16,8.6,3,95.7,62.9,22,0.508,61,0.45899999999999996,28,0.066,4,0.75,3,1,200,92.9,33.3,10,21,65,,11.4,8,0.32799999999999996,20,0.3,6,49.2,32,0.517,21.3,17,41,0.537,22,0.667,2,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,70.5,Away,CENTRAL-FLORIDA,UCF,Illinois State,mvc,2,False,True,True,Home,False,6,22,61,32,65,6,18,58,0,1,23,31,114,0.5745614035087719,59,117,0.5042735042735043,13,42,113,0.5442477876106194,1.0
3,2019-11-22-17-cincinnati,33.3,9,3.0,1,95.7,60.0,18,0.484,62,0.435,27,0.145,9,0.556,5,2,200,94.2,36.4,12,22,65,,5.8,4,0.242,15,0.4,6,47.6,30,0.49,18.5,15,47,0.447,21,0.5,2,"November 22, 2019",31.8,7,8.5,4,94.2,63.6,21,0.45899999999999996,49,0.449,22,0.612,30,0.7,21,1,200,95.7,40.0,12,17,66,,5.8,4,0.327,16,0.063,1,52.4,33,0.522,21.5,17,33,0.636,21,0.75,3,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,68.8,Home,CINCINNATI,Cincinnati,Illinois State,mvc,3,False,False,False,Away,False,6,21,62,30,63,1,21,49,0,1,29,53,175,0.5514285714285714,91,182,0.5,19,60,171,0.5175438596491229,0.6666666666666666
4,2019-11-23-17-illinois-state,44.4,12,10.5,4,109.5,50.0,15,0.65,50,0.54,27,0.42,21,0.857,18,1,200,131.7,26.1,6,13,83,,14.3,9,0.38,19,0.579,11,39.6,21,0.6920000000000001,15.7,11,31,0.516,16,0.833,5,"November 23, 2019",55.6,15,12.9,4,131.7,73.9,17,0.525,59,0.45799999999999996,27,0.18600000000000005,11,0.636,7,3,200,109.5,50.0,15,20,69,,4.8,3,0.35600000000000004,21,0.381,8,60.4,32,0.537,14.7,11,38,0.5,19,0.4,2,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,62.6,Away,WESTERN-KENTUCKY,Western Kentucky,Illinois State,mvc,4,False,True,True,Home,False,8,19,59,32,53,11,16,50,0,1,35,74,237,0.5337552742616034,121,245,0.4938775510204082,20,81,220,0.5045454545454545,0.5
5,2019-11-25-13-illinois-state,37.5,9,2.9,1,92.6,78.8,26,0.467,60,0.4,24,0.233,14,0.857,12,5,200,100.0,26.5,9,11,68,,7.4,5,0.3670000000000001,22,0.364,8,52.2,35,0.51,16.4,13,38,0.42100000000000004,16,0.375,3,"November 25, 2019",53.8,14,15.8,6,100.0,73.5,25,0.508,61,0.426,26,0.033,2,0.5,1,4,200,92.6,21.2,7,17,63,,5.9,4,0.426,26,0.385,10,47.8,32,0.508,13.9,10,35,0.457,16,0.33299999999999996,2,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,67.8,Away,GRAND-CANYON,Grand Canyon,Illinois State,mvc,5,False,True,True,Home,False,10,16,61,32,67,8,16,60,0,1,43,93,296,0.5320945945945946,153,298,0.5134228187919463,31,97,270,0.5314814814814814,0.4
6,2019-11-29-15-illinois-state,47.4,9,6.3,3,101.3,67.9,19,0.368,57,0.33299999999999996,19,0.281,16,0.938,15,0,200,76.0,23.5,8,14,57,,9.3,7,0.456,26,0.154,4,43.5,27,0.441,21.0,17,31,0.484,15,0.0,0,"November 29, 2019",34.5,10,9.7,3,76.0,76.5,26,0.47700000000000004,64,0.45299999999999996,29,0.23399999999999999,15,1.0,15,4,200,101.3,32.1,9,13,76,,17.3,13,0.25,16,0.188,3,56.5,35,0.534,17.5,15,48,0.542,26,0.429,3,"Redbird Arena, Normal, Illinois","Illinois-Springfield
			","Illinois-Springfield
			",75.4,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,6,True,False,True,Home,True,3,26,64,35,62,4,15,57,1,0,53,109,357,0.5280112044817927,185,365,0.5068493150684932,39,113,330,0.5196969696969697,0.3333333333333333
7,2019-12-03-21-texas-christian,72.0,18,2.8,1,112.5,62.9,22,0.565,54,0.46299999999999997,25,0.24100000000000002,13,0.615,8,5,200,95.8,17.2,5,20,69,,4.2,3,0.40700000000000003,22,0.5,11,42.2,27,0.573,21.1,16,32,0.43799999999999994,14,0.375,3,"December 3, 2019",63.3,19,12.5,4,95.8,82.8,24,0.531,64,0.469,30,0.32799999999999996,21,0.619,13,1,200,112.5,37.1,13,13,81,,12.5,9,0.43799999999999994,28,0.28600000000000003,8,57.8,37,0.547,13.1,11,36,0.611,22,0.857,6,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",ILLINOIS-STATE,Illinois State,71.6,Home,TEXAS-CHRISTIAN,TCU,Illinois State,mvc,7,False,False,False,Away,False,11,14,54,27,64,8,22,64,0,1,56,135,421,0.5201900237529691,220,427,0.5152224824355972,43,128,387,0.4974160206718346,0.42857142857142855
8,2019-12-07-19-illinois-state,47.4,9,5.4,2,88.4,81.0,34,0.395,57,0.33299999999999996,19,0.12300000000000001,7,0.7140000000000001,5,5,200,72.5,17.6,6,20,50,,5.8,4,0.42100000000000004,24,0.292,7,52.6,40,0.414,20.0,15,33,0.364,12,0.5,5,"December 7, 2019",40.0,8,6.1,2,72.5,82.4,28,0.41200000000000003,57,0.35100000000000003,20,0.40399999999999997,23,0.609,14,5,200,88.4,19.0,8,13,61,,7.2,5,0.35100000000000003,20,0.35,7,47.4,36,0.449,11.8,9,37,0.35100000000000003,13,0.444,4,"Redbird Arena, Normal, Illinois",MOREHEAD-STATE,Morehead State,69.1,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,8,True,False,True,Home,True,7,13,57,36,76,7,12,57,1,0,67,149,475,0.5252631578947369,247,491,0.5030549898167006,51,150,451,0.5022172949002217,0.375
9,2019-12-15-14-northern-kentucky,42.9,12,3.6,1,116.2,77.8,21,0.535,57,0.491,28,0.12300000000000001,7,0.429,3,6,200,94.1,27.6,8,13,64,,1.5,1,0.24600000000000002,14,0.35700000000000004,5,51.8,29,0.53,21.0,16,43,0.535,23,0.4,4,"December 15, 2019",67.9,19,0.0,0,94.1,72.4,21,0.632,53,0.528,28,0.34,18,0.667,12,3,200,116.2,22.2,6,12,79,,10.3,7,0.47200000000000003,25,0.44,11,48.2,27,0.642,16.5,12,28,0.607,17,0.727,8,"Bank of Kentucky Center, Highland Heights, Kentucky",ILLINOIS-STATE,Illinois State,67.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,Illinois State,mvc,9,False,False,False,Away,False,5,23,57,29,56,11,17,53,0,1,74,162,532,0.5131578947368421,283,567,0.4991181657848324,58,162,508,0.4901574803149607,0.4444444444444444
