,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LA-SALLE_homegame,LA-SALLE_homegame2,LA-SALLE_home,LA-SALLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-16-la-salle,61.9,13,14.0,6,86.4,68.3,28,0.35700000000000004,70,0.3,21,0.28600000000000003,20,0.7,14,1,225,79.0,29.8,14,23,64,,12.3,10,0.5710000000000001,40,0.2,8,47.7,42,0.40299999999999997,17.7,17,30,0.433,13,0.0,0,"November 9, 2019",76.9,20,13.3,4,79.0,70.2,33,0.45399999999999996,65,0.4,26,0.308,20,0.55,11,0,225,86.4,31.7,13,23,70,,9.9,8,0.33799999999999997,22,0.318,7,52.3,46,0.47,18.7,17,43,0.442,19,1.0,1,"Tom Gola Arena, Philadelphia, Pennsylvania",IONA,Iona,71.6,Home,LA-SALLE,La Salle,La Salle,atlantic-10,0,True,False,True,Home,True,7,19,65,46,88,8,13,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-pennsylvania,20.8,5,9.8,4,97.4,63.9,23,0.455,56,0.429,24,0.214,12,0.667,8,1,200,76.6,9.4,3,15,59,,11.7,9,0.25,14,0.214,3,38.2,26,0.478,20.7,16,42,0.5,21,0.5,1,"November 13, 2019",46.4,13,7.1,3,76.6,90.6,29,0.457,69,0.406,28,0.23199999999999998,16,0.75,12,1,200,97.4,36.1,13,9,75,,10.4,8,0.406,28,0.25,7,61.8,42,0.49,16.5,15,41,0.512,21,0.667,2,"The Palestra, Philadelphia, Pennsylvania",LA-SALLE,La Salle,76.7,Home,PENNSYLVANIA,Penn,La Salle,atlantic-10,1,False,False,False,Away,False,3,21,56,26,68,7,21,69,0,1,7,19,65,0.4538461538461538,46,88,0.5227272727272727,8,13,70,0.35714285714285715,1.0
2,2019-11-16-14-la-salle,57.1,12,23.1,6,90.3,65.6,21,0.43799999999999994,56,0.375,21,0.518,29,0.7240000000000001,21,0,200,97.2,40.0,14,13,70,,16.7,12,0.375,21,0.33299999999999996,7,52.2,35,0.502,16.9,14,35,0.4,14,1.0,3,"November 16, 2019",73.9,17,14.3,5,97.2,60.0,21,0.484,63,0.365,23,0.14300000000000002,9,0.444,4,2,200,90.3,34.4,11,23,65,,11.1,8,0.5870000000000001,37,0.405,15,47.8,32,0.483,20.2,17,26,0.308,8,0.33299999999999996,1,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,71.5,Away,TEMPLE,Temple,La Salle,atlantic-10,2,False,True,True,Home,False,15,8,63,32,67,7,14,56,0,1,10,40,121,0.4545454545454545,72,156,0.4615384615384616,15,34,139,0.4064748201438849,0.5
3,2019-11-25-19-murray-state,54.2,13,12.5,5,92.8,85.7,24,0.649,47,0.511,24,0.489,23,0.609,14,2,200,108.7,22.2,6,16,75,,7.2,5,0.596,28,0.46399999999999997,13,54.5,30,0.647,20.8,15,19,0.579,11,0.5,2,"November 25, 2019",42.3,11,5.3,1,108.7,77.8,21,0.467,60,0.433,26,0.217,13,0.615,8,2,200,92.8,14.3,4,18,64,,10.1,7,0.33299999999999996,20,0.2,4,45.5,25,0.484,12.0,9,40,0.55,22,0.6,3,"Germain Arena, Estero, Florida",MURRAY-STATE,Murray State,69.1,Away,LA-SALLE,La Salle,La Salle,atlantic-10,3,False,False,False,Away,True,13,11,47,30,55,4,22,60,1,0,25,48,184,0.4646739130434783,104,223,0.4663677130044843,22,48,195,0.4153846153846154,0.3333333333333333
4,2019-11-26-19-wright-state,44.4,12,0.0,0,93.3,78.1,25,0.525,60,0.45,27,0.233,14,0.643,9,2,200,96.0,19.4,6,27,72,,4.0,3,0.35,21,0.429,9,49.2,31,0.54,19.5,16,39,0.462,18,0.6,3,"November 26, 2019",50.0,11,7.7,3,96.0,80.6,25,0.48200000000000004,55,0.4,22,0.527,29,0.586,17,2,200,93.3,21.9,7,18,70,,12.0,9,0.491,27,0.33299999999999996,9,50.8,32,0.509,15.0,12,28,0.46399999999999997,13,0.7140000000000001,5,"Germain Arena, Estero, Florida",WRIGHT-STATE,Wright State,75.2,Away,LA-SALLE,La Salle,La Salle,atlantic-10,4,False,False,False,Away,True,9,18,60,31,63,9,13,55,1,0,38,59,231,0.5021645021645021,134,278,0.4820143884892086,26,70,255,0.4274509803921568,0.5
5,2019-11-27-19-la-salle,33.3,8,19.4,6,103.8,82.1,23,0.48200000000000004,56,0.429,24,0.518,29,0.759,22,3,225,97.4,9.4,3,22,76,,12.8,10,0.35700000000000004,20,0.3,6,43.3,26,0.545,15.9,13,36,0.5,18,0.625,5,"November 27, 2019",34.6,9,11.1,4,97.4,90.6,29,0.565,54,0.48100000000000004,26,0.444,24,0.833,20,2,225,103.8,17.9,5,18,81,,7.7,6,0.426,23,0.391,9,56.7,34,0.619,18.9,15,31,0.5479999999999999,17,0.667,4,"Germain Arena, Estero, Florida",SOUTH-ALABAMA,South Alabama,69.0,Home,LA-SALLE,La Salle,La Salle,atlantic-10,5,True,False,True,Home,True,9,17,54,34,60,6,18,56,1,0,47,77,291,0.506872852233677,165,341,0.4838709677419355,35,83,310,0.4370967741935484,0.6
6,2019-12-01-18-villanova,61.5,16,15.4,6,105.1,65.5,19,0.47700000000000004,66,0.39399999999999996,26,0.19699999999999998,13,0.6920000000000001,9,3,200,91.1,26.5,9,24,72,,10.1,8,0.39399999999999996,26,0.423,11,44.4,28,0.499,19.2,17,40,0.375,15,0.5710000000000001,4,"December 1, 2019",59.3,16,20.0,8,91.1,73.5,25,0.545,55,0.491,27,0.545,30,0.767,23,2,200,105.1,34.5,10,16,83,22.0,15.2,12,0.29100000000000004,16,0.375,6,55.6,35,0.599,20.9,18,39,0.5379999999999999,21,0.7140000000000001,5,"Finneran Pavilion, Villanova, Pennsylvania",LA-SALLE,La Salle,78.7,Home,VILLANOVA,Villanova,La Salle,atlantic-10,6,False,False,False,Away,False,11,15,66,28,63,6,21,55,0,1,56,94,345,0.5159420289855072,199,401,0.4962593516209477,41,101,366,0.44398907103825136,0.6666666666666666
7,2019-12-07-14-drexel,50.0,14,10.0,5,86.3,65.8,25,0.534,58,0.483,28,0.259,15,0.6,9,3,200,97.3,33.3,10,21,71,,9.6,7,0.36200000000000004,21,0.28600000000000003,6,51.5,35,0.545,19.9,16,37,0.595,22,0.625,5,"December 7, 2019",52.4,11,8.1,3,97.3,66.7,20,0.369,61,0.344,21,0.39299999999999996,24,0.75,18,5,200,86.3,34.2,13,19,63,,9.6,7,0.18,11,0.273,3,48.5,33,0.435,17.3,15,50,0.36,18,0.5,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,72.8,Away,LA-SALLE,La Salle,La Salle,atlantic-10,7,False,False,False,Away,True,6,22,58,35,68,3,18,61,1,0,67,109,411,0.5097323600973236,227,464,0.4892241379310345,47,122,421,0.4572446555819478,0.5714285714285714
8,2019-12-14-14-la-salle,26.9,7,4.0,1,118.1,77.8,28,0.474,58,0.44799999999999995,26,0.31,18,0.722,13,8,200,94.4,25.8,8,19,68,,4.2,3,0.276,16,0.188,3,53.7,36,0.511,19.5,16,42,0.5479999999999999,23,0.33299999999999996,4,"December 14, 2019",65.4,17,9.5,4,94.4,74.2,23,0.552,58,0.44799999999999995,26,0.466,27,0.778,21,3,200,118.1,22.2,8,20,85,,13.9,10,0.569,33,0.364,12,46.3,31,0.6,9.1,7,25,0.56,14,0.667,6,"Tom Gola Arena, Philadelphia, Pennsylvania",MORGAN-STATE,Morgan State,72.2,Home,LA-SALLE,La Salle,La Salle,atlantic-10,8,True,False,True,Home,True,12,14,58,31,67,3,23,58,1,0,73,131,469,0.5127931769722814,262,532,0.4924812030075188,50,140,482,0.4460580912863071,0.625
9,2019-12-18-19-la-salle,52.6,10,12.5,3,102.8,74.3,26,0.38799999999999996,58,0.32799999999999996,19,0.379,22,0.682,15,7,200,83.3,20.5,8,26,60,,8.3,6,0.397,23,0.304,7,45.9,34,0.43799999999999994,14.0,11,35,0.34299999999999997,12,0.222,2,"December 18, 2019",65.0,13,8.6,3,83.3,79.5,31,0.462,53,0.377,20,0.679,36,0.6940000000000001,25,3,200,102.8,25.7,9,17,74,,8.3,6,0.547,29,0.31,9,54.1,40,0.528,13.8,11,24,0.45799999999999996,11,0.7,7,"Tom Gola Arena, Philadelphia, Pennsylvania",WAGNER,Wagner,71.8,Home,LA-SALLE,La Salle,La Salle,atlantic-10,9,True,False,True,Home,True,9,11,53,40,74,7,12,58,1,0,85,145,527,0.5170777988614801,293,599,0.4891485809682805,53,163,540,0.4490740740740741,0.6666666666666666
