,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OLD-DOMINION_homegame,OLD-DOMINION_homegame2,OLD-DOMINION_home,OLD-DOMINION_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-northern-iowa,23.8,5,4.2,1,82.9,75.6,31,0.381,59,0.35600000000000004,21,0.254,15,0.5329999999999999,8,1,200,75.7,27.0,10,24,53,,17.1,12,0.203,12,0.25,3,52.6,41,0.401,17.6,14,47,0.38299999999999995,18,0.0,0,"November 5, 2019",47.4,9,6.4,3,75.7,73.0,27,0.4,55,0.345,19,0.436,24,0.583,14,0,200,82.9,24.4,10,14,58,,5.7,4,0.564,31,0.19399999999999998,6,47.4,37,0.4370000000000001,17.6,14,24,0.542,13,1.0,1,"McLeod Center, Cedar Falls, Iowa",OLD-DOMINION,Old Dominion,70.3,Home,NORTHERN-IOWA,Northern Iowa,Old Dominion,cusa,0,False,False,False,Away,False,3,18,59,41,78,6,13,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-old-dominion,77.3,17,4.1,2,103.8,61.0,25,0.434,68,0.324,22,0.27899999999999997,19,0.526,10,1,200,87.3,22.7,10,24,69,,5.1,4,0.544,37,0.405,15,41.2,35,0.44799999999999995,14.5,13,31,0.226,7,0.5,1,"November 10, 2019",42.3,11,25.8,8,87.3,77.3,34,0.455,66,0.39399999999999996,26,0.515,34,0.647,22,1,200,103.8,39.0,16,18,82,,10.1,8,0.258,17,0.47100000000000003,8,58.8,50,0.499,12.9,12,49,0.3670000000000001,18,0.5,1,"Ted Constant Convocation Ctr., Norfolk, Virginia",SAINT-JOSEPHS,St. Joseph's,79.1,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,1,True,False,True,Home,True,8,18,66,50,85,15,7,68,1,0,3,18,59,0.3813559322033898,41,78,0.5256410256410257,6,13,55,0.4,0.0
2,2019-11-13-19-old-dominion,57.1,12,17.4,8,91.2,62.2,23,0.47,50,0.42,21,0.2,10,0.6,6,2,200,77.9,21.4,6,15,53,,10.3,7,0.38,19,0.263,5,44.6,29,0.484,27.9,21,31,0.516,16,0.33299999999999996,1,"November 13, 2019",56.0,14,19.4,6,77.9,78.6,22,0.435,62,0.40299999999999997,25,0.177,11,0.727,8,1,200,91.2,37.8,14,13,62,,17.6,12,0.258,16,0.25,4,55.4,36,0.461,16.3,13,46,0.457,21,0.667,2,"Ted Constant Convocation Ctr., Norfolk, Virginia",LOYOLA-MD,Loyola (MD),68.0,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,2,True,False,True,Home,True,4,21,62,36,65,5,16,50,1,0,11,36,125,0.42,91,163,0.558282208588957,21,20,123,0.4186991869918699,0.5
3,2019-11-16-13-northeastern,26.7,8,10.3,3,100.0,82.6,19,0.542,59,0.508,30,0.33899999999999997,20,0.6,12,1,200,110.1,41.2,14,17,76,,17.4,12,0.254,15,0.267,4,57.9,33,0.555,15.0,12,44,0.591,26,0.75,3,"November 16, 2019",50.0,12,6.8,3,110.1,58.8,20,0.578,51,0.47100000000000003,24,0.235,12,0.833,10,2,200,100.0,17.4,4,16,69,,10.1,7,0.431,22,0.5,11,42.1,24,0.608,24.2,18,29,0.44799999999999995,13,0.5,2,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,68.6,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,3,False,False,False,Away,True,4,26,59,33,57,11,13,51,1,0,15,57,187,0.42513368983957217,127,228,0.5570175438596491,26,36,173,0.4335260115606937,0.6666666666666666
4,2019-11-20-19-old-dominion,75.0,18,7.1,4,98.7,71.7,33,0.61,50,0.48,24,0.72,36,0.528,19,2,200,101.3,16.1,5,15,80,,6.3,5,0.48,24,0.542,13,49.4,38,0.596,19.6,16,26,0.423,11,0.6,3,"November 20, 2019",34.4,11,11.5,3,101.3,83.9,26,0.455,78,0.41,32,0.192,15,0.467,7,2,200,98.7,28.3,13,23,78,,7.6,6,0.282,22,0.318,7,50.6,39,0.45799999999999996,8.6,8,56,0.446,25,0.6,3,"Ted Constant Convocation Ctr., Norfolk, Virginia",OLD-DOMINION,Old Dominion,79.1,Away,JAMES-MADISON,James Madison,Old Dominion,cusa,4,False,True,True,Home,False,7,25,78,39,77,13,11,50,0,1,19,83,246,0.4532520325203252,160,285,0.5614035087719298,37,49,224,0.4665178571428572,0.75
5,2019-11-25-17-old-dominion,31.6,6,16.1,5,81.5,90.9,30,0.467,45,0.42200000000000004,19,0.556,25,0.72,18,1,200,92.3,20.7,6,12,60,,4.6,3,0.37799999999999995,17,0.235,4,58.1,36,0.527,20.0,14,28,0.536,15,0.857,6,"November 25, 2019",68.4,13,7.1,2,92.3,79.3,23,0.425,53,0.358,19,0.20800000000000002,11,0.727,8,3,200,81.5,9.1,3,19,53,,10.8,7,0.415,22,0.318,7,41.9,26,0.455,14.7,10,31,0.387,12,0.5,3,"John Gray Gymnasium, Grand Cayman",OLD-DOMINION,Old Dominion,65.1,Away,GEORGE-MASON,George Mason,Old Dominion,cusa,5,False,True,True,Home,False,7,12,53,26,62,4,15,45,0,1,26,108,324,0.4537037037037037,199,362,0.5497237569060773,50,60,274,0.4927007299270073,0.6
6,2019-11-26-17-washington-state,27.8,5,11.1,4,98.5,73.5,25,0.40700000000000003,54,0.33299999999999996,18,0.204,11,0.545,6,4,200,74.6,20.7,6,16,50,,4.5,3,0.389,21,0.381,8,49.2,31,0.42200000000000004,20.3,15,33,0.303,10,0.429,3,"November 26, 2019",43.5,10,12.1,4,74.6,79.3,23,0.45,60,0.38299999999999995,23,0.28300000000000003,17,0.706,12,3,200,98.5,26.5,9,14,66,,6.0,4,0.4,24,0.33299999999999996,8,50.8,32,0.485,9.4,7,36,0.41700000000000004,15,0.5,3,"John Gray Gymnasium, Grand Cayman",OLD-DOMINION,Old Dominion,67.2,Home,WASHINGTON-STATE,Washington State,Old Dominion,cusa,6,False,False,False,Away,False,8,10,54,31,63,8,15,60,0,1,33,120,377,0.4496021220159151,225,424,0.5306603773584906,54,75,319,0.4890282131661442,0.5
7,2019-11-27-11-old-dominion,52.6,10,0.0,0,92.4,82.8,24,0.525,40,0.475,19,0.775,31,0.8390000000000001,26,4,200,103.0,20.8,5,10,68,,4.5,3,0.35,14,0.28600000000000003,4,54.7,29,0.621,23.0,16,26,0.5770000000000001,15,0.5,4,"November 27, 2019",24.0,6,15.4,4,103.0,79.2,19,0.509,53,0.47200000000000003,25,0.20800000000000002,11,0.636,7,5,200,92.4,17.2,5,23,61,,13.6,9,0.302,16,0.25,4,45.3,24,0.524,18.4,13,37,0.568,21,0.375,3,"John Gray Gymnasium, Grand Cayman",OLD-DOMINION,Old Dominion,66.0,Away,LOYOLA-IL,Loyola (IL),Old Dominion,cusa,7,False,True,True,Home,False,4,21,53,24,53,4,15,40,0,1,41,130,431,0.4443155452436195,256,487,0.5256673511293635,62,90,379,0.4828496042216359,0.42857142857142855
8,2019-12-03-19-william-mary,33.3,6,21.4,6,90.0,79.4,27,0.302,63,0.28600000000000003,18,0.159,10,0.8,8,6,200,65.7,25.6,11,16,46,,11.4,8,0.317,20,0.1,2,49.4,38,0.33899999999999997,18.2,15,43,0.3720000000000001,16,0.33299999999999996,3,"December 3, 2019",45.0,9,11.6,5,65.7,74.4,32,0.44299999999999995,53,0.377,20,0.377,20,0.8,16,3,200,90.0,20.6,7,10,63,,12.9,9,0.47200000000000003,25,0.28,7,50.6,39,0.504,17.4,13,28,0.46399999999999997,13,0.667,6,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",OLD-DOMINION,Old Dominion,70.1,Home,WILLIAM-MARY,William & Mary,Old Dominion,cusa,8,False,False,False,Away,False,2,16,63,38,77,7,13,53,0,1,45,151,484,0.4514462809917356,280,540,0.5185185185185185,66,105,419,0.486873508353222,0.375
9,2019-12-07-20-virginia-commonwealth,21.7,5,14.8,4,98.6,96.4,27,0.429,56,0.41100000000000003,23,0.214,12,0.75,9,7,200,81.4,22.6,7,21,57,,12.9,9,0.268,15,0.133,2,57.6,34,0.462,19.7,15,41,0.512,21,0.3,3,"December 7, 2019",57.1,12,12.2,5,81.4,77.4,24,0.52,49,0.429,21,0.449,22,0.818,18,2,200,98.6,3.6,1,15,69,,5.7,4,0.449,22,0.409,9,42.4,25,0.58,17.0,12,27,0.444,12,0.778,7,"Stuart Siegel Center, Richmond, Virginia",OLD-DOMINION,Old Dominion,70.1,Home,VIRGINIA-COMMONWEALTH,VCU,Old Dominion,cusa,9,False,False,False,Away,False,2,21,56,34,59,9,12,49,0,1,47,167,547,0.4341864716636197,318,617,0.5153970826580226,73,118,472,0.4819915254237288,0.3333333333333333
