,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NIAGARA_homegame,NIAGARA_homegame2,NIAGARA_home,NIAGARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-drexel,46.4,13,0.0,0,101.4,73.1,19,0.4920000000000001,62,0.452,28,0.065,4,0.75,3,1,200,90.1,10.3,3,17,64,,7.0,5,0.242,15,0.33299999999999996,5,40.0,22,0.501,14.7,11,47,0.489,23,0.0,0,"November 8, 2019",70.4,19,2.1,1,90.1,89.7,26,0.633,49,0.551,27,0.38799999999999996,19,0.526,10,1,200,101.4,26.9,7,13,72,,9.9,7,0.3670000000000001,18,0.444,8,60.0,33,0.62,24.9,19,31,0.613,19,0.5,1,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",NIAGARA,Niagara,71.0,Home,DREXEL,Drexel,Niagara,maac,0,False,False,False,Away,False,5,23,62,22,55,8,19,49,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-13-rutgers,62.5,10,10.0,4,134.4,68.2,15,0.35600000000000004,52,0.308,16,0.057999999999999996,3,0.667,2,2,200,60.9,17.6,6,16,39,,4.7,3,0.365,19,0.263,5,37.5,21,0.365,22.0,15,33,0.33299999999999996,11,0.0,0,"November 10, 2019",62.9,22,18.2,6,60.9,82.4,28,0.669,59,0.593,35,0.136,8,0.875,7,0,200,134.4,31.8,7,12,86,,10.9,7,0.322,19,0.474,9,62.5,35,0.685,12.6,9,40,0.65,26,1.0,2,"Rutgers Athletic Center, New Brunswick, New Jersey",NIAGARA,Niagara,63.6,Home,RUTGERS,Rutgers,Niagara,maac,1,False,False,False,Away,False,5,11,52,21,56,9,26,59,0,1,5,23,62,0.4919354838709678,22,55,0.4,8,19,49,0.6326530612244898,0.0
2,2019-11-13-19-stephen-f-austin,64.0,16,2.4,1,117.1,55.9,19,0.644,45,0.556,25,0.667,30,0.733,22,3,200,105.3,30.0,6,28,80,,7.9,6,0.4,18,0.444,8,46.3,25,0.675,26.5,21,27,0.63,17,0.0,0,"November 13, 2019",46.4,13,7.4,2,105.3,70.0,14,0.4920000000000001,64,0.43799999999999994,28,0.516,33,0.7879999999999999,26,0,200,117.1,44.1,15,27,89,,10.5,8,0.344,22,0.318,7,53.7,29,0.5589999999999999,15.1,14,42,0.5,21,1.0,3,"William Johnson Coliseum, Nacogdoches, Texas",NIAGARA,Niagara,76.5,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Niagara,maac,2,False,False,False,Away,False,8,17,45,25,54,7,21,64,0,1,10,34,114,0.4298245614035088,43,111,0.38738738738738737,17,45,108,0.6527777777777778,0.0
3,2019-11-18-19-niagara,44.0,11,5.8,3,82.7,81.0,34,0.447,66,0.379,25,0.242,16,0.875,14,2,200,97.3,35.1,13,13,73,,9.3,7,0.561,37,0.243,9,59.5,47,0.496,16.1,14,29,0.552,16,0.667,4,"November 18, 2019",22.2,6,3.4,1,97.3,64.9,24,0.414,70,0.386,27,0.114,8,0.5,4,4,200,82.7,19.0,8,14,62,,8.0,6,0.257,18,0.222,4,40.5,32,0.42,12.0,10,52,0.442,23,0.0,0,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,75.2,Away,BRYANT,Bryant,Niagara,maac,3,False,True,True,Home,False,4,23,70,32,79,9,16,66,0,1,18,51,159,0.490566037735849,68,165,0.4121212121212121,24,66,172,0.5930232558139535,0.0
4,2019-11-27-19-ipfw,45.5,10,6.5,2,110.0,69.2,18,0.42,56,0.39299999999999996,22,0.161,9,0.778,7,5,200,77.1,16.7,5,12,54,,5.7,4,0.35700000000000004,20,0.15,3,41.1,23,0.44799999999999995,18.9,14,36,0.528,19,0.0,0,"November 27, 2019",50.0,16,13.9,5,77.1,83.3,25,0.597,62,0.516,32,0.113,7,0.429,3,5,200,110.0,30.8,8,12,77,,14.3,10,0.5,31,0.32299999999999995,10,58.9,33,0.589,16.6,13,31,0.71,22,0.444,4,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",NIAGARA,Niagara,69.8,Home,IPFW,Purdue-Fort Wayne,Niagara,maac,4,False,False,False,Away,False,3,19,56,23,56,10,22,62,0,1,22,74,229,0.4672489082969432,100,244,0.4098360655737705,33,82,238,0.5525210084033614,0.0
5,2019-12-01-16-norfolk-state,68.2,15,6.3,2,89.7,68.6,24,0.473,55,0.4,22,0.364,20,0.65,13,5,200,95.6,18.2,6,15,65,,7.4,5,0.509,28,0.28600000000000003,8,44.1,30,0.504,12.4,9,27,0.519,14,0.16699999999999998,1,"December 1, 2019",66.7,14,7.4,2,95.6,81.8,27,0.42200000000000004,58,0.36200000000000004,21,0.259,15,0.8,12,6,200,89.7,31.4,11,22,61,,4.4,3,0.44799999999999995,26,0.26899999999999996,7,55.9,38,0.46799999999999997,18.8,15,32,0.43799999999999994,14,0.33299999999999996,3,"Echols Memorial Hall, Norfolk, Virginia",NORFOLK-STATE,Norfolk State,68.3,Away,NIAGARA,Niagara,Niagara,maac,5,False,False,False,Away,True,8,14,55,30,68,7,14,58,1,0,25,93,285,0.4578947368421053,123,300,0.41,43,104,300,0.5616666666666666,0.0
6,2019-12-08-13-niagara,40.6,13,2.6,1,117.7,89.3,25,0.574,68,0.47100000000000003,32,0.08800000000000001,6,0.667,4,4,225,103.8,26.3,10,18,82,,6.3,5,0.544,37,0.37799999999999995,14,53.0,35,0.579,20.3,18,31,0.581,18,0.6,6,"December 8, 2019",42.4,14,6.5,2,103.8,73.7,28,0.615,61,0.541,33,0.377,23,0.7829999999999999,18,5,225,117.7,10.7,3,11,93,,16.5,13,0.361,22,0.409,9,47.0,31,0.647,13.4,11,39,0.615,24,0.28600000000000003,2,"Gallagher Center, Niagara University, New York",COLGATE,Colgate,70.6,Home,NIAGARA,Niagara,Niagara,maac,6,True,False,True,Home,True,9,24,61,31,66,14,18,68,1,0,33,107,340,0.4602941176470588,153,368,0.4157608695652174,50,118,358,0.5391061452513967,0.16666666666666666
7,2019-12-14-19-albany-ny,50.0,14,3.2,1,125.4,73.7,14,0.588,57,0.491,28,0.24600000000000002,14,0.929,13,6,200,119.4,14.3,4,23,80,,9.0,6,0.439,25,0.44,11,38.3,18,0.628,11.2,8,32,0.531,17,0.25,2,"December 14, 2019",67.9,19,6.3,2,119.4,85.7,24,0.65,50,0.56,28,0.46,23,0.826,19,6,200,125.4,26.3,5,13,84,,1.5,1,0.38,19,0.474,9,61.7,29,0.6890000000000001,15.5,11,31,0.613,19,0.5,6,"SEFCU Arena, Albany, New York",NIAGARA,Niagara,67.3,Home,ALBANY-NY,Albany (NY),Niagara,maac,7,False,False,False,Away,False,11,17,57,18,47,9,19,50,0,1,42,131,401,0.4837905236907731,184,434,0.423963133640553,64,136,426,0.5446009389671361,0.2857142857142857
8,2019-12-18-19-st-bonaventure,66.7,14,3.1,1,126.1,66.7,18,0.49,51,0.41200000000000003,21,0.41200000000000003,21,0.9520000000000001,20,7,200,101.4,6.5,2,18,70,,7.2,5,0.47100000000000003,24,0.33299999999999996,8,34.5,20,0.574,13.0,9,27,0.48100000000000004,13,0.222,2,"December 18, 2019",79.3,23,3.7,1,101.4,93.5,29,0.603,58,0.5,29,0.31,18,0.9440000000000001,17,4,200,126.1,33.3,9,19,87,,2.9,2,0.44799999999999995,26,0.462,12,65.5,38,0.654,15.4,12,32,0.531,17,0.636,7,"Reilly Center, St. Bonaventure, New York",NIAGARA,Niagara,68.8,Home,ST-BONAVENTURE,St. Bonaventure,Niagara,maac,8,False,False,False,Away,False,8,13,51,20,58,12,17,58,0,1,53,148,458,0.4967248908296944,202,481,0.4199584199584199,73,155,476,0.555672268907563,0.25
9,2019-12-21-14-buffalo,37.9,11,10.3,3,127.8,57.1,12,0.47100000000000003,69,0.42,29,0.11599999999999999,8,0.875,7,8,200,100.0,23.1,9,7,72,,15.3,11,0.29,20,0.35,7,35.0,21,0.495,9.9,8,49,0.449,22,0.2,2,"December 21, 2019",68.6,24,6.1,3,100.0,76.9,30,0.7170000000000001,60,0.583,35,0.1,6,1.0,6,4,200,127.8,42.9,9,11,92,,8.3,6,0.517,31,0.516,16,65.0,39,0.732,23.3,19,29,0.655,19,0.667,8,"Alumni Arena, Buffalo, New York",NIAGARA,Niagara,72.3,Home,BUFFALO,Buffalo,Niagara,maac,9,False,False,False,Away,False,7,22,69,21,60,16,19,60,0,1,61,161,509,0.4960707269155206,222,539,0.4118738404452689,85,172,534,0.5608614232209738,0.2222222222222222
