,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-RIVERSIDE_homegame,CALIFORNIA-RIVERSIDE_homegame2,CALIFORNIA-RIVERSIDE_home,CALIFORNIA-RIVERSIDE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-nebraska,52.2,12,6.9,2,72.3,79.5,35,0.527,55,0.418,23,0.16399999999999998,9,0.889,8,0,201,101.5,36.7,11,18,66,,12.3,8,0.455,25,0.48,12,62.2,46,0.557,21.3,16,30,0.3670000000000001,11,1.0,1,"November 5, 2019",75.0,12,20.0,6,101.5,63.3,19,0.345,55,0.29100000000000004,16,0.345,19,0.474,9,1,201,72.3,20.5,9,11,47,,9.2,6,0.473,26,0.231,6,37.8,28,0.3670000000000001,14.8,11,29,0.345,10,0.0,0,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,64.8,Away,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,0,False,False,False,Away,True,12,11,55,46,74,6,10,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-17-california-riverside,33.3,6,7.1,2,93.5,67.9,19,0.39799999999999996,49,0.3670000000000001,18,0.469,23,0.522,12,1,200,82.3,19.4,7,18,51,,8.1,5,0.327,16,0.188,3,40.6,26,0.426,11.9,8,33,0.455,15,0.5,1,"November 9, 2019",52.6,10,6.1,2,82.3,80.6,29,0.44,50,0.38,19,0.34,17,0.8240000000000001,14,0,200,93.5,32.1,9,21,58,,4.8,3,0.44,22,0.273,6,59.4,38,0.499,18.4,13,28,0.46399999999999997,13,1.0,2,"UC Riverside Student Recreation Center, Riverside, California",IDAHO,Idaho,61.5,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,1,True,False,True,Home,True,6,13,50,38,64,3,15,49,1,0,12,11,55,0.5272727272727272,46,74,0.6216216216216216,6,10,55,0.34545454545454546,1.0
2,2019-11-15-22-sacramento-state,18.8,3,0.0,0,98.4,75.0,24,0.34700000000000003,49,0.327,16,0.34700000000000003,17,0.882,15,1,198,77.8,31.3,10,24,49,,4.8,3,0.306,15,0.133,2,53.1,34,0.429,24.2,18,34,0.41200000000000003,14,0.667,2,"November 15, 2019",52.4,11,8.8,3,77.8,68.8,22,0.479,47,0.447,21,0.511,24,0.708,17,0,198,98.4,25.0,8,18,62,,9.5,6,0.149,7,0.429,3,46.9,30,0.531,14.8,10,40,0.45,18,1.0,2,"The Nest, Sacramento, California",CALIFORNIA-RIVERSIDE,UC-Riverside,63.4,Home,SACRAMENTO-STATE,Sacramento State,UC Riverside,big-west,2,False,False,False,Away,False,2,14,49,34,64,3,18,47,0,1,18,24,105,0.4857142857142857,84,138,0.6086956521739131,9,25,104,0.3701923076923077,1.0
3,2019-11-17-18-pacific,47.4,9,9.8,4,95.1,80.6,25,0.426,54,0.35200000000000004,19,0.16699999999999998,9,0.556,5,2,200,83.6,14.7,5,16,51,,6.6,4,0.426,23,0.348,8,46.2,30,0.43799999999999994,13.4,9,31,0.355,11,0.5,2,"November 17, 2019",59.1,13,12.9,4,83.6,85.3,29,0.47100000000000003,51,0.431,22,0.33299999999999996,17,0.588,10,2,200,95.1,19.4,6,13,58,,11.5,7,0.196,10,0.4,4,53.8,35,0.491,9.3,6,41,0.439,18,0.667,4,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,60.7,Home,PACIFIC,Pacific,UC Riverside,big-west,3,False,False,False,Away,False,8,11,54,30,65,4,18,51,0,1,20,38,154,0.4415584415584416,118,202,0.5841584158415841,12,43,151,0.4039735099337749,0.6666666666666666
4,2019-11-21-19-california-riverside,55.6,10,4.0,1,108.6,68.4,13,0.318,66,0.273,18,0.045,3,0.667,2,0,200,62.9,23.8,10,18,44,,8.6,6,0.5,33,0.182,6,37.7,23,0.326,17.2,14,33,0.364,12,0.0,0,"November 21, 2019",62.1,18,12.1,4,62.9,76.2,32,0.657,51,0.569,29,0.235,12,0.75,9,2,200,108.6,31.6,6,13,76,,14.3,10,0.51,26,0.34600000000000003,9,62.3,38,0.67,24.2,18,25,0.8,20,0.6,3,"UC Riverside Student Recreation Center, Riverside, California","Redlands
			","Redlands
			",70.1,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,4,True,False,True,Home,True,9,20,51,38,61,6,12,66,1,0,28,49,208,0.4375,148,267,0.5543071161048689,16,61,202,0.4207920792079208,0.5
5,2019-11-23-18-california-riverside,38.9,7,4.0,1,105.8,85.7,24,0.35200000000000004,54,0.33299999999999996,18,0.40700000000000003,22,0.5,11,3,200,71.0,13.9,5,16,49,,7.2,5,0.222,12,0.16699999999999998,2,45.3,29,0.38,11.2,8,42,0.381,16,0.4,2,"November 23, 2019",55.6,15,7.1,3,71.0,86.1,31,0.563,56,0.48200000000000004,27,0.28600000000000003,16,0.625,10,2,200,105.8,14.3,4,22,73,,5.8,4,0.5539999999999999,31,0.29,9,54.7,35,0.574,13.7,10,25,0.72,18,0.667,4,"UC Riverside Student Recreation Center, Riverside, California",DENVER,Denver,68.5,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,5,True,False,True,Home,True,9,18,56,35,64,2,16,54,1,0,37,69,259,0.4806949806949807,186,328,0.5670731707317073,22,73,268,0.3955223880597015,0.6
6,2019-11-26-22-california-riverside,26.1,6,3.4,1,102.9,81.0,34,0.4270000000000001,62,0.371,23,0.161,10,0.5,5,3,200,84.1,12.2,5,23,58,,5.8,4,0.419,26,0.26899999999999996,7,47.0,39,0.434,9.5,7,36,0.444,16,0.5710000000000001,4,"November 26, 2019",62.5,15,0.0,0,84.1,87.8,36,0.509,58,0.414,24,0.379,22,0.545,12,2,200,102.9,19.0,8,13,71,,5.8,4,0.5,29,0.379,11,53.0,44,0.519,10.6,8,29,0.44799999999999995,13,0.7140000000000001,5,"UC Riverside Student Recreation Center, Riverside, California",LONGWOOD,Longwood,68.6,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,6,True,False,True,Home,True,11,13,58,44,83,7,16,62,1,0,46,87,315,0.4952380952380953,221,392,0.5637755102040817,24,89,322,0.3881987577639752,0.6666666666666666
7,2019-11-29-17-california-riverside,55.0,11,4.3,1,113.1,76.2,16,0.441,51,0.392,20,0.157,8,0.75,6,6,200,83.6,12.5,4,17,51,,4.9,3,0.275,14,0.35700000000000004,5,37.7,20,0.465,16.8,11,37,0.405,15,0.25,2,"November 29, 2019",69.2,18,5.4,2,83.6,87.5,28,0.618,51,0.51,26,0.11800000000000001,6,1.0,6,2,200,113.1,23.8,5,13,69,,9.8,6,0.5489999999999999,28,0.39299999999999996,11,62.3,33,0.6409999999999999,17.0,11,23,0.652,15,0.75,6,"UC Riverside Student Recreation Center, Riverside, California",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,60.8,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,7,True,False,True,Home,True,11,15,51,33,53,5,15,51,1,0,57,100,373,0.4973190348525469,265,475,0.5578947368421052,31,105,384,0.39453125,0.7142857142857143
8,2019-12-04-22-california-baptist,63.6,14,5.0,2,116.2,57.6,19,0.48100000000000004,54,0.40700000000000003,22,0.389,21,0.7140000000000001,15,3,200,98.5,15.6,5,21,67,,10.3,7,0.444,24,0.33299999999999996,8,36.9,24,0.524,13.7,10,30,0.467,14,0.667,6,"December 4, 2019",42.3,11,13.3,4,98.5,84.4,27,0.5,58,0.44799999999999995,26,0.431,25,0.84,21,4,200,116.2,42.4,14,18,79,,5.9,4,0.31,18,0.33299999999999996,6,63.1,41,0.565,13.8,11,40,0.5,20,0.5,4,"CBU Events Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,67.9,Home,CALIFORNIA-BAPTIST,California Baptist,UC Riverside,big-west,8,False,False,False,Away,False,8,14,54,24,65,6,20,58,0,1,68,115,424,0.5117924528301887,298,528,0.5643939393939394,36,120,435,0.4,0.75
9,2019-12-06-22-california-riverside,31.3,5,6.9,2,117.5,64.5,20,0.375,48,0.33299999999999996,16,0.22899999999999998,11,0.364,4,0,200,63.5,6.1,2,17,40,,6.3,4,0.271,13,0.308,4,34.4,22,0.376,18.5,12,35,0.34299999999999997,12,0.0,0,"December 6, 2019",71.4,20,14.3,5,63.5,93.9,31,0.578,58,0.483,28,0.259,15,0.467,7,3,200,117.5,35.5,11,17,74,,6.3,4,0.5,29,0.379,11,65.6,42,0.568,12.2,9,29,0.586,17,0.7,7,"UC Riverside Student Recreation Center, Riverside, California","Cal Lutheran
			","Cal Lutheran
			",63.2,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,9,True,False,True,Home,True,11,17,58,42,64,4,12,48,1,0,76,129,478,0.5083682008368201,322,593,0.5430016863406408,42,140,493,0.4117647058823529,0.6666666666666666
