,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSOURI-STATE_homegame,MISSOURI-STATE_homegame2,MISSOURI-STATE_home,MISSOURI-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-missouri-state,63.0,17,11.5,3,104.8,70.0,21,0.5479999999999999,52,0.519,27,0.28800000000000003,15,0.667,10,0,200,106.3,37.5,9,19,67,,11.1,7,0.26899999999999996,14,0.214,3,55.6,30,0.5670000000000001,18.2,13,38,0.632,24,1.0,1,"November 5, 2019",43.5,10,7.9,3,106.3,62.5,15,0.5,54,0.426,23,0.33299999999999996,18,0.667,12,1,200,104.8,30.0,9,15,66,,11.1,7,0.519,28,0.28600000000000003,8,44.4,24,0.528,13.9,10,26,0.5770000000000001,15,0.0,0,"JQH Arena, Springfield, Missouri",MISSOURI-STATE,Missouri State,63.3,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Missouri State,mvc,0,False,True,True,Home,False,8,15,54,24,54,3,24,52,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-15-missouri-state,29.4,5,9.1,3,86.8,64.5,20,0.368,53,0.321,17,0.28300000000000003,15,0.733,11,2,200,73.5,16.7,5,19,50,,13.2,9,0.377,20,0.25,5,41.0,25,0.41600000000000004,21.2,16,33,0.364,12,0.0,0,"November 10, 2019",59.1,13,9.1,3,73.5,83.3,25,0.49,52,0.423,22,0.231,12,0.667,8,1,200,86.8,35.5,11,18,59,,7.4,5,0.365,19,0.368,7,59.0,36,0.511,23.9,18,33,0.455,15,0.5,1,"JQH Arena, Springfield, Missouri",ALABAMA-STATE,Alabama State,67.9,Home,MISSOURI-STATE,Missouri State,Missouri State,mvc,1,True,False,True,Home,True,7,15,52,36,61,5,12,53,1,0,8,15,54,0.5,24,54,0.4444444444444444,3,24,52,0.5480769230769231,0.0
2,2019-11-12-20-missouri-state,38.9,7,8.3,3,104.3,55.6,20,0.35100000000000003,57,0.316,18,0.40399999999999997,23,0.565,13,2,200,75.7,30.2,13,25,53,,11.4,8,0.386,22,0.182,4,41.8,33,0.39,19.2,16,35,0.4,14,0.33299999999999996,1,"November 12, 2019",25.0,5,11.4,4,75.7,69.8,30,0.425,53,0.377,20,0.679,36,0.778,28,1,200,104.3,44.4,16,20,73,,15.7,11,0.321,17,0.294,5,58.2,46,0.521,17.9,15,36,0.41700000000000004,15,0.667,2,"JQH Arena, Springfield, Missouri",CLEVELAND-STATE,Cleveland State,70.0,Home,MISSOURI-STATE,Missouri State,Missouri State,mvc,2,True,False,True,Home,True,5,15,53,46,79,4,14,57,1,0,15,30,106,0.4952830188679245,60,115,0.5217391304347826,8,36,105,0.4571428571428571,0.5
3,2019-11-15-19-xavier,42.9,9,6.7,2,89.4,69.0,20,0.534,44,0.47700000000000004,21,0.25,11,0.818,9,2,200,84.8,23.8,5,15,56,,7.6,5,0.295,13,0.385,5,50.0,25,0.569,31.1,22,31,0.516,16,0.5,2,"November 15, 2019",63.6,14,12.9,4,84.8,76.2,16,0.462,53,0.415,22,0.28300000000000003,15,0.667,10,0,200,89.4,31.0,9,15,59,21.0,15.2,10,0.434,23,0.217,5,50.0,25,0.491,20.1,15,30,0.5670000000000001,17,1.0,4,"Cintas Center, Cincinnati, Ohio",MISSOURI-STATE,Missouri State,66.2,Home,XAVIER,Xavier,Missouri State,mvc,3,False,False,False,Away,False,5,16,44,25,50,5,17,53,0,1,20,45,159,0.4716981132075472,106,194,0.5463917525773195,12,50,162,0.41975308641975306,0.6666666666666666
4,2019-11-21-11-miami-fl,46.4,13,5.7,2,107.2,82.8,24,0.462,65,0.431,28,0.2,13,0.769,10,3,200,101.4,50.0,18,16,70,,2.9,2,0.231,15,0.267,4,64.6,42,0.4920000000000001,18.5,16,50,0.48,24,0.4,2,"November 21, 2019",28.0,7,8.0,4,101.4,50.0,18,0.518,57,0.439,25,0.298,17,0.882,15,1,200,107.2,17.2,5,18,74,,8.7,6,0.386,22,0.409,9,35.4,23,0.569,12.2,9,35,0.457,16,0.8,4,"TD Arena, Charleston, South Carolina",MISSOURI-STATE,Missouri State,69.1,Home,MIAMI-FL,Miami (FL),Missouri State,mvc,4,False,False,False,Away,False,4,24,65,42,65,9,16,57,0,1,25,61,203,0.4852216748768473,131,244,0.5368852459016393,17,67,215,0.4302325581395349,0.5
5,2019-11-22-14-saint-josephs,39.1,9,6.7,2,98.6,78.8,26,0.433,60,0.38299999999999995,23,0.38299999999999995,23,0.826,19,3,200,101.4,37.5,12,13,71,,15.7,11,0.33299999999999996,20,0.3,6,58.5,38,0.501,15.6,13,40,0.425,17,0.5,3,"November 22, 2019",60.0,15,10.0,4,101.4,62.5,20,0.517,58,0.431,25,0.19,11,0.818,9,4,200,98.6,21.2,7,16,69,,8.6,6,0.483,28,0.35700000000000004,10,41.5,27,0.546,16.0,12,30,0.5,15,0.33299999999999996,2,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,70.1,Away,MISSOURI-STATE,Missouri State,Missouri State,mvc,5,False,False,False,Away,True,6,17,60,38,65,10,15,58,1,0,29,85,268,0.4794776119402985,173,309,0.5598705501618123,26,83,272,0.4485294117647059,0.4
6,2019-11-24-15-buffalo,66.7,20,8.3,3,108.7,68.4,26,0.516,63,0.47600000000000003,30,0.254,16,0.563,9,4,200,107.2,36.4,12,15,74,,7.2,5,0.254,16,0.313,5,53.5,38,0.524,12.5,10,47,0.532,25,0.429,3,"November 24, 2019",66.7,18,8.5,4,107.2,63.6,21,0.485,65,0.415,27,0.262,17,0.706,12,2,200,108.7,31.6,12,15,75,,8.7,6,0.446,29,0.31,9,46.5,33,0.513,11.0,9,36,0.5,18,0.667,4,"TD Arena, Charleston, South Carolina",MISSOURI-STATE,Missouri State,69.3,Home,BUFFALO,Buffalo,Missouri State,mvc,6,False,False,False,Away,False,5,25,63,38,71,9,18,65,0,1,35,102,328,0.4710365853658536,211,374,0.5641711229946524,36,98,330,0.4606060606060606,0.5
7,2019-11-29-20-louisiana-state,26.1,6,5.9,2,117.7,75.0,18,0.456,57,0.40399999999999997,23,0.228,13,0.462,6,5,200,93.5,36.1,13,14,58,,6.5,4,0.298,17,0.353,6,51.7,31,0.45899999999999996,17.2,13,40,0.425,17,0.375,3,"November 29, 2019",48.3,14,10.0,4,93.5,63.9,23,0.583,54,0.537,29,0.259,14,0.7140000000000001,10,2,200,117.7,25.0,6,11,73,,9.7,6,0.37,20,0.25,5,48.3,29,0.602,9.1,6,34,0.706,24,0.7140000000000001,5,"Maravich Assembly Center, Baton Rouge, Louisiana",MISSOURI-STATE,Missouri State,61.9,Home,LOUISIANA-STATE,LSU,Missouri State,mvc,7,False,False,False,Away,False,6,17,57,31,60,5,24,54,0,1,40,127,391,0.4782608695652174,249,445,0.5595505617977528,45,116,395,0.4645569620253164,0.42857142857142855
8,2019-12-03-20-missouri-state,22.7,5,8.1,3,100.0,80.6,25,0.415,59,0.373,22,0.4920000000000001,29,0.69,20,4,200,97.2,28.2,11,18,69,,4.2,3,0.271,16,0.313,5,51.4,36,0.474,12.2,10,43,0.395,17,0.5,4,"December 3, 2019",56.0,14,7.0,3,97.2,71.8,28,0.518,55,0.455,25,0.309,17,0.8240000000000001,14,5,200,100.0,19.4,6,23,71,,4.2,3,0.327,18,0.389,7,48.6,34,0.563,18.3,14,37,0.486,18,0.444,4,"JQH Arena, Springfield, Missouri",MURRAY-STATE,Murray State,71.4,Home,MISSOURI-STATE,Missouri State,Missouri State,mvc,8,True,False,True,Home,True,7,18,55,34,70,5,17,59,1,0,46,144,448,0.4754464285714286,280,505,0.5544554455445545,50,140,449,0.4788418708240534,0.375
9,2019-12-06-20-missouri-state,29.2,7,2.7,1,106.2,69.0,20,0.475,59,0.40700000000000003,24,0.237,14,0.429,6,8,200,76.5,10.3,4,24,62,,9.9,8,0.28800000000000003,17,0.47100000000000003,8,35.3,24,0.47200000000000003,22.6,19,42,0.381,16,0.0,0,"December 6, 2019",63.3,19,7.1,3,76.5,89.7,35,0.5670000000000001,60,0.5,30,0.433,26,0.6920000000000001,18,5,200,106.2,31.0,9,18,86,,9.9,8,0.38299999999999995,23,0.348,8,64.7,44,0.594,19.2,17,37,0.595,22,0.5,5,"JQH Arena, Springfield, Missouri",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,80.5,Home,MISSOURI-STATE,Missouri State,Missouri State,mvc,9,True,False,True,Home,True,8,22,60,44,68,8,16,59,1,0,53,162,503,0.4801192842942346,314,575,0.5460869565217391,55,157,508,0.4714566929133858,0.4444444444444444
