,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA-TECH_homegame,VIRGINIA-TECH_homegame2,VIRGINIA-TECH_home,VIRGINIA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-clemson,50.0,11,2.9,1,83.3,80.5,33,0.465,57,0.386,22,0.35100000000000003,20,0.7,14,0,200,93.1,17.6,6,15,67,,5.6,4,0.474,27,0.33299999999999996,9,52.0,39,0.504,16.5,13,30,0.433,13,1.0,1,"November 5, 2019",40.9,9,6.7,2,93.1,82.4,28,0.39799999999999996,64,0.344,22,0.23399999999999999,15,0.6,9,1,200,83.3,19.5,8,16,60,,5.6,4,0.45299999999999996,29,0.24100000000000002,7,48.0,36,0.42200000000000004,10.2,8,35,0.429,15,0.0,0,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,72.3,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,0,False,False,False,Away,True,9,13,57,39,75,7,15,64,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-virginia-tech,42.9,6,3.6,1,93.7,85.3,29,0.239,71,0.19699999999999998,14,0.155,11,0.727,8,2,200,53.2,20.0,11,14,42,,10.1,8,0.5489999999999999,39,0.154,6,44.9,40,0.276,17.4,16,32,0.25,8,0.0,0,"November 8, 2019",63.0,17,15.6,5,53.2,80.0,44,0.5329999999999999,61,0.44299999999999995,27,0.19699999999999998,12,0.75,9,0,200,93.7,14.7,5,13,74,,8.9,7,0.541,33,0.33299999999999996,11,55.1,49,0.555,18.5,15,28,0.5710000000000001,16,1.0,2,"Cassell Coliseum, Blacksburg, Virginia",COPPIN-STATE,Coppin State,79.0,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,1,True,False,True,Home,True,11,16,61,49,89,6,8,71,1,0,9,13,57,0.4649122807017544,39,75,0.52,7,15,64,0.3984375,1.0
2,2019-11-13-19-virginia-tech,40.0,8,6.5,2,121.2,85.2,23,0.406,53,0.377,20,0.34,18,0.778,14,3,200,86.4,24.1,7,10,57,,4.5,3,0.47200000000000003,25,0.12,3,53.6,30,0.46299999999999997,17.6,13,28,0.607,17,0.25,1,"November 13, 2019",61.3,19,21.4,6,86.4,75.9,22,0.647,58,0.534,31,0.121,7,0.7140000000000001,5,0,200,121.2,14.8,4,11,80,,9.1,6,0.466,27,0.48100000000000004,13,46.4,26,0.652,11.6,8,31,0.581,18,1.0,3,"Cassell Coliseum, Blacksburg, Virginia",SOUTH-CAROLINA-UPSTATE,USC Upstate,66.4,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,2,True,False,True,Home,True,13,18,58,26,56,3,17,53,1,0,20,29,118,0.5,88,164,0.5365853658536586,13,23,135,0.3148148148148148,1.0
3,2019-11-16-13-virginia-tech,66.7,14,3.6,1,119.7,61.3,19,0.462,53,0.396,21,0.094,5,0.8,4,2,200,80.3,20.7,6,9,53,,7.6,5,0.415,22,0.318,7,41.7,25,0.479,24.6,18,31,0.452,14,0.5,2,"November 16, 2019",61.3,19,12.9,4,80.3,79.3,23,0.585,65,0.47700000000000004,31,0.062,4,0.75,3,0,200,119.7,38.7,12,8,79,,12.1,8,0.569,37,0.37799999999999995,14,58.3,35,0.59,13.0,10,28,0.607,17,1.0,4,"Cassell Coliseum, Blacksburg, Virginia",LEHIGH,Lehigh,66.1,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,3,True,False,True,Home,True,14,17,65,35,60,7,14,53,1,0,33,47,176,0.5482954545454546,114,220,0.5181818181818182,16,40,188,0.3404255319148936,1.0
4,2019-11-20-19-virginia-tech,57.7,15,4.0,1,142.9,66.7,18,0.4920000000000001,62,0.419,26,0.113,7,0.429,3,5,200,91.4,13.9,5,12,64,,7.1,5,0.435,27,0.33299999999999996,9,36.5,23,0.49,14.5,11,35,0.486,17,0.0,0,"November 20, 2019",82.9,29,8.6,3,91.4,86.1,31,0.7340000000000001,62,0.565,35,0.226,14,0.643,9,0,200,142.9,33.3,9,13,100,,5.7,4,0.597,37,0.568,21,63.5,40,0.728,12.8,10,25,0.56,14,1.0,5,"Cassell Coliseum, Blacksburg, Virginia",DELAWARE-STATE,Delaware State,70.5,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,4,True,False,True,Home,True,21,14,62,40,63,9,17,62,1,0,47,64,241,0.558091286307054,149,280,0.5321428571428571,23,54,241,0.36721991701244816,1.0
5,2019-11-25-17-michigan-state,69.6,16,16.7,6,100.0,58.1,18,0.5379999999999999,52,0.442,23,0.423,22,0.682,15,0,200,107.6,21.2,7,16,71,,12.1,8,0.40399999999999997,21,0.47600000000000003,10,39.1,25,0.568,11.5,8,31,0.419,13,1.0,6,"November 25, 2019",54.2,13,6.5,2,107.6,78.8,26,0.475,59,0.40700000000000003,24,0.237,14,0.7140000000000001,10,2,200,100.0,41.9,13,20,66,3.0,4.5,3,0.39,23,0.348,8,60.9,39,0.503,19.7,16,36,0.444,16,0.6,3,"Lahaina Civic Center, Lahaina, Hawaii",MICHIGAN-STATE,Michigan State,66.1,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,5,False,False,False,Away,True,10,13,52,25,64,8,16,59,1,0,68,78,303,0.594059405940594,189,343,0.5510204081632653,32,71,303,0.3927392739273927,1.0
6,2019-11-26-20-virginia-tech,62.9,22,3.3,1,91.2,90.0,27,0.736,55,0.636,35,0.255,14,0.5710000000000001,8,0,200,130.9,26.1,6,21,89,,2.9,2,0.436,24,0.45799999999999996,11,62.3,33,0.722,18.6,14,31,0.774,24,1.0,5,"November 26, 2019",59.1,13,9.7,3,130.9,73.9,17,0.51,51,0.431,22,0.353,18,0.556,10,1,200,91.2,10.0,3,19,62,,10.3,7,0.41200000000000003,21,0.381,8,37.7,20,0.521,13.3,9,30,0.467,14,0.857,6,"Lahaina Civic Center, Lahaina, Hawaii",VIRGINIA-TECH,Virginia Tech,67.6,Away,DAYTON,Dayton,Virginia Tech,acc,6,False,True,True,Home,False,8,14,51,20,53,11,24,55,0,1,78,91,355,0.5859154929577465,214,407,0.5257985257985258,40,87,362,0.4060773480662984,1.0
7,2019-11-27-23-brigham-young,45.2,14,8.0,2,138.5,88.5,23,0.629,58,0.534,31,0.121,7,0.5710000000000001,4,2,200,118.5,14.3,4,13,77,,1.5,1,0.379,22,0.5,11,50.0,27,0.628,11.6,8,36,0.556,20,0.75,6,"November 27, 2019",68.8,22,5.6,2,118.5,85.7,24,0.6859999999999999,59,0.542,32,0.18600000000000005,11,0.818,9,3,200,138.5,11.5,3,16,90,,4.6,3,0.5760000000000001,34,0.5,17,50.0,27,0.701,5.9,4,25,0.6,15,0.625,5,"Lahaina Civic Center, Lahaina, Hawaii",VIRGINIA-TECH,Virginia Tech,65.3,Home,BRIGHAM-YOUNG,BYU,Virginia Tech,acc,7,False,False,False,Away,False,11,20,58,27,54,17,15,59,0,1,86,105,406,0.5763546798029556,234,460,0.508695652173913,51,111,417,0.44964028776978415,0.8571428571428571
8,2019-12-06-19-virginia-tech,46.7,14,11.1,4,95.5,77.4,24,0.532,63,0.47600000000000003,30,0.159,10,1.0,10,1,200,116.7,25.0,8,11,77,10.0,12.1,8,0.413,26,0.26899999999999996,7,50.8,32,0.568,9.4,7,37,0.622,23,0.9,9,"December 6, 2019",44.4,12,5.4,2,116.7,75.0,24,0.527,56,0.48200000000000004,27,0.107,6,0.667,4,3,200,95.5,22.6,7,6,63,,3.0,2,0.35700000000000004,20,0.25,5,49.2,31,0.535,19.3,14,36,0.611,22,0.667,6,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,66.3,Away,DUKE,Duke,Virginia Tech,acc,8,False,True,True,Home,False,5,22,56,31,63,7,23,63,0,1,97,125,464,0.5829741379310345,261,514,0.5077821011673151,68,126,476,0.4789915966386555,0.75
9,2019-12-11-20-virginia-tech,54.5,12,5.3,2,105.0,68.6,24,0.5,53,0.415,22,0.18899999999999997,10,0.5,5,5,200,96.7,28.1,9,14,58,,1.7,1,0.509,27,0.33299999999999996,9,49.3,33,0.502,14.8,10,26,0.5,13,0.545,6,"December 11, 2019",52.2,12,7.7,2,96.7,71.9,23,0.441,59,0.39,23,0.237,14,0.7859999999999999,11,3,200,105.0,31.4,11,10,63,,8.3,5,0.35600000000000004,21,0.28600000000000003,6,50.7,34,0.48,9.7,7,38,0.447,17,0.7,7,"Cassell Coliseum, Blacksburg, Virginia",CHATTANOOGA,Chattanooga,60.2,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,9,True,False,True,Home,True,6,17,59,34,67,9,13,53,1,0,102,147,520,0.5769230769230769,292,577,0.5060658578856152,75,149,539,0.4851576994434138,0.6666666666666666
