,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-KENTUCKY_homegame,NORTHERN-KENTUCKY_homegame2,NORTHERN-KENTUCKY_home,NORTHERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-northern-kentucky,61.9,13,2.7,1,128.0,53.7,22,0.439,57,0.368,21,0.158,9,0.556,5,0,200,67.1,10.8,4,26,55,,6.1,5,0.439,25,0.32,8,33.3,26,0.449,28.2,24,32,0.406,13,0.0,0,"November 5, 2019",53.8,21,15.6,5,67.1,89.2,33,0.603,73,0.534,39,0.43799999999999994,32,0.531,17,0,200,128.0,46.3,19,14,105,,20.7,17,0.493,36,0.278,10,66.7,52,0.595,13.0,13,37,0.784,29,1.0,1,"Bank of Kentucky Center, Highland Heights, Kentucky","Cincinnati-Clermont
			","Cincinnati-Clermont
			",81.7,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,0,True,False,True,Home,True,10,29,73,52,78,8,13,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-missouri,59.1,13,2.8,1,107.6,67.9,19,0.441,59,0.373,22,0.102,6,0.667,4,1,200,84.8,14.7,5,19,56,,9.1,6,0.4920000000000001,29,0.276,8,38.7,24,0.45299999999999996,14.0,10,30,0.467,14,0.5,1,"November 8, 2019",56.0,14,10.0,3,84.8,85.3,29,0.509,55,0.455,25,0.309,17,0.882,15,0,200,107.6,32.1,9,14,71,,9.1,6,0.345,19,0.316,6,61.3,38,0.563,16.1,12,36,0.528,19,1.0,2,"Mizzou Arena, Columbia, Missouri",NORTHERN-KENTUCKY,Northern Kentucky,66.5,Home,MISSOURI,Missouri,Northern Kentucky,horizon,1,False,False,False,Away,False,8,14,59,24,62,6,19,55,0,1,10,29,73,0.6027397260273972,52,78,0.6666666666666666,8,13,57,0.43859649122807015,1.0
2,2019-11-12-19-coastal-carolina,64.0,16,8.1,3,100.0,66.7,22,0.556,54,0.46299999999999997,25,0.29600000000000004,16,0.563,9,1,200,101.5,25.0,7,23,69,,14.7,10,0.48100000000000004,26,0.385,10,47.5,29,0.56,18.7,14,28,0.536,15,0.667,2,"November 12, 2019",42.9,9,3.6,1,101.5,75.0,21,0.435,54,0.389,21,0.519,28,0.75,21,2,200,100.0,33.3,11,17,68,,7.4,5,0.315,17,0.294,5,52.5,32,0.505,15.3,12,37,0.4320000000000001,16,0.33299999999999996,1,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,68.5,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,2,False,False,False,Away,True,10,15,54,29,61,5,16,54,1,0,18,43,132,0.5303030303030303,76,140,0.5428571428571428,14,32,112,0.4732142857142857,0.5
3,2019-11-17-14-northern-kentucky,30.8,8,7.1,2,106.5,64.7,22,0.4320000000000001,66,0.39399999999999996,26,0.303,20,0.65,13,4,200,90.9,23.1,9,18,70,,7.8,6,0.39399999999999996,26,0.192,5,42.5,31,0.46399999999999997,15.8,14,40,0.525,21,0.2,1,"November 17, 2019",70.0,21,10.0,4,90.9,76.9,30,0.5870000000000001,63,0.47600000000000003,30,0.254,16,0.5,8,1,200,106.5,35.3,12,16,82,,10.4,8,0.556,35,0.4,14,57.5,42,0.581,17.6,15,28,0.5710000000000001,16,0.75,3,"Bank of Kentucky Center, Highland Heights, Kentucky",COPPIN-STATE,Coppin State,77.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,3,True,False,True,Home,True,14,16,63,42,73,5,21,66,1,0,28,58,186,0.5376344086021505,105,201,0.5223880597014925,19,48,166,0.4608433734939759,0.6666666666666666
4,2019-11-20-19-ball-state,47.4,9,8.3,3,80.3,74.4,29,0.41200000000000003,51,0.373,19,0.49,25,0.68,17,1,200,83.1,22.6,7,23,59,,8.5,6,0.353,18,0.222,4,51.4,36,0.469,19.5,15,33,0.455,15,0.8,4,"November 20, 2019",50.0,11,6.1,2,83.1,77.4,24,0.444,54,0.40700000000000003,22,0.48100000000000004,26,0.34600000000000003,9,2,200,80.3,25.6,10,15,57,,15.5,11,0.33299999999999996,18,0.222,4,48.6,34,0.43,17.6,14,36,0.5,18,0.6,3,"Worthen Arena, Muncie, Indiana",BALL-STATE,Ball State,70.6,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,4,False,False,False,Away,True,4,15,51,36,70,4,18,54,1,0,42,74,249,0.5502008032128514,147,274,0.5364963503649635,24,69,232,0.4525862068965517,0.75
5,2019-11-23-19-northern-kentucky,48.6,17,0.0,0,97.0,77.8,35,0.513,75,0.467,35,0.4,30,0.7,21,4,250,99.0,36.8,14,26,98,,8.1,8,0.28,21,0.33299999999999996,7,59.0,49,0.5489999999999999,20.0,22,54,0.519,28,0.2,1,"November 23, 2019",59.4,19,1.9,1,99.0,63.2,24,0.506,78,0.41,32,0.308,24,0.708,17,2,250,97.0,22.2,10,28,96,,10.1,10,0.513,40,0.375,15,41.0,34,0.537,19.9,22,38,0.447,17,0.667,4,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTHERN-KENTUCKY,Northern Kentucky,79.5,Away,TEXAS-SOUTHERN,Texas Southern,Northern Kentucky,horizon,5,False,True,True,Home,False,15,17,78,34,83,7,28,75,0,1,46,89,300,0.5266666666666666,183,344,0.5319767441860465,28,87,286,0.451048951048951,0.8
6,2019-11-25-19-northern-kentucky,32.0,8,5.4,2,108.9,70.0,21,0.44799999999999995,58,0.431,25,0.19,11,0.364,4,0,200,70.9,16.2,6,17,56,,12.7,10,0.259,15,0.133,2,40.3,27,0.44299999999999995,25.0,21,43,0.535,23,0.0,0,"November 25, 2019",43.8,14,9.3,4,70.9,83.8,31,0.59,61,0.525,32,0.377,23,0.609,14,2,200,108.9,30.0,9,19,86,,15.2,12,0.39299999999999996,24,0.33299999999999996,8,59.7,40,0.598,19.3,17,37,0.649,24,0.7140000000000001,5,"Bank of Kentucky Center, Highland Heights, Kentucky","Midway
			","Midway
			",79.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,6,True,False,True,Home,True,8,24,61,40,67,2,23,58,1,0,61,106,378,0.5224867724867724,217,427,0.5081967213114754,35,115,361,0.4639889196675901,0.6666666666666666
7,2019-11-30-17-arkansas,45.0,9,10.8,4,94.3,80.6,25,0.47100000000000003,51,0.392,20,0.294,15,0.8,12,3,200,85.7,7.4,2,19,60,,14.3,10,0.47100000000000003,24,0.33299999999999996,8,46.6,27,0.516,17.2,12,27,0.444,12,0.625,5,"November 30, 2019",78.3,18,3.7,1,85.7,92.6,25,0.445,55,0.418,23,0.4,22,0.773,17,0,200,94.3,19.4,6,14,66,,7.1,5,0.327,18,0.16699999999999998,3,53.4,31,0.504,15.6,12,37,0.541,20,1.0,7,"Bud Walton Arena, Fayetteville, Arkansas",NORTHERN-KENTUCKY,Northern Kentucky,69.8,Home,ARKANSAS,Arkansas,Northern Kentucky,horizon,7,False,False,False,Away,False,8,12,51,27,58,3,20,55,0,1,69,130,439,0.5318906605922551,257,494,0.5202429149797569,37,138,419,0.4618138424821002,0.7142857142857143
8,2019-12-03-19-miami-oh,42.9,12,0.0,0,78.3,74.4,29,0.563,56,0.5,28,0.39299999999999996,22,0.591,13,3,200,110.1,28.1,9,18,76,,8.7,6,0.518,29,0.24100000000000002,7,53.5,38,0.5720000000000001,16.5,13,27,0.778,21,0.667,6,"December 3, 2019",55.6,10,3.7,1,110.1,71.9,23,0.364,55,0.327,18,0.29100000000000004,16,0.875,14,4,200,78.3,25.6,10,20,54,,8.7,6,0.436,24,0.16699999999999998,4,46.5,33,0.431,19.5,15,31,0.452,14,0.5,4,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),69.0,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,8,False,False,False,Away,True,7,21,56,38,71,4,14,55,1,0,77,142,490,0.5255102040816326,284,552,0.5144927536231884,40,158,474,0.45991561181434604,0.625
9,2019-12-08-19-northern-kentucky,56.5,13,3.8,1,111.8,68.2,15,0.45799999999999996,60,0.38299999999999995,23,0.1,6,0.33299999999999996,2,6,200,83.8,16.7,6,18,57,,16.2,11,0.433,26,0.34600000000000003,9,36.2,21,0.45299999999999996,17.2,13,34,0.41200000000000003,14,0.33299999999999996,3,"December 8, 2019",60.7,17,2.9,1,83.8,83.3,30,0.667,48,0.583,28,0.313,15,0.8,12,3,200,111.8,31.8,7,11,76,,14.7,10,0.45799999999999996,22,0.364,8,63.8,37,0.6890000000000001,24.8,18,26,0.769,20,0.7,7,"Bank of Kentucky Center, Highland Heights, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,68.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,9,True,False,True,Home,True,8,20,48,37,58,9,14,60,1,0,84,163,546,0.5293040293040293,322,623,0.5168539325842697,44,172,529,0.4499054820415879,0.6666666666666666
