,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HARTFORD_homegame,HARTFORD_homegame2,HARTFORD_home,HARTFORD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-central-connecticut-state,69.2,18,5.3,2,78.7,81.3,26,0.5539999999999999,56,0.46399999999999997,26,0.268,15,0.8,12,0,200,98.7,6.7,2,18,74,,9.3,7,0.46399999999999997,26,0.385,10,45.2,28,0.586,18.3,14,30,0.5329999999999999,16,1.0,1,"November 5, 2019",68.2,15,10.0,3,98.7,93.3,28,0.47100000000000003,52,0.423,22,0.365,19,0.526,10,1,200,78.7,18.8,6,17,59,,12.0,9,0.26899999999999996,14,0.35700000000000004,5,54.8,34,0.483,23.9,19,38,0.447,17,0.0,0,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,74.6,Away,HARTFORD,Hartford,Hartford,america-east,0,False,False,False,Away,True,10,16,56,28,62,5,17,52,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-19-hartford,65.4,17,5.6,2,80.3,80.0,24,0.423,71,0.366,26,0.225,16,0.43799999999999994,7,0,200,94.4,40.9,18,18,67,,9.9,7,0.39399999999999996,28,0.28600000000000003,8,56.8,42,0.426,12.4,11,43,0.419,18,1.0,1,"November 7, 2019",60.0,12,14.0,6,94.4,59.1,26,0.41700000000000004,54,0.37,20,0.35200000000000004,19,0.632,12,1,200,80.3,20.0,6,20,57,,7.0,5,0.33299999999999996,18,0.278,5,43.2,32,0.452,17.3,13,36,0.41700000000000004,15,0.5,1,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,70.8,Away,WINTHROP,Winthrop,Hartford,america-east,1,False,True,True,Home,False,5,15,54,32,74,8,18,71,0,1,10,16,56,0.5535714285714286,28,62,0.4516129032258064,5,17,52,0.4711538461538462,1.0
2,2019-11-12-19-marist,45.8,11,2.3,1,85.0,62.8,27,0.604,48,0.5,24,0.16699999999999998,8,0.5,4,1,200,103.3,20.0,5,18,62,,6.7,4,0.5,24,0.41700000000000004,10,47.1,32,0.598,17.6,11,24,0.583,14,0.667,2,"November 12, 2019",21.1,4,8.3,2,103.3,80.0,20,0.35,60,0.317,19,0.3,18,0.5,9,1,200,85.0,37.2,16,15,51,,8.3,5,0.28300000000000003,17,0.235,4,52.9,36,0.3720000000000001,12.8,10,43,0.349,15,0.5,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,60.2,Away,HARTFORD,Hartford,Hartford,america-east,2,False,False,False,Away,True,10,14,48,32,68,4,15,60,1,0,15,31,110,0.4863636363636364,60,136,0.4411764705882353,13,35,123,0.44308943089430897,0.5
3,2019-11-16-14-hartford,63.0,17,5.3,2,107.5,80.0,32,0.579,57,0.474,27,0.281,16,0.813,13,0,200,98.8,28.1,9,20,79,,7.5,6,0.474,27,0.444,12,56.9,41,0.611,26.4,23,30,0.5,15,0.0,0,"November 16, 2019",46.7,14,10.0,3,98.8,71.9,23,0.507,68,0.441,30,0.368,25,0.68,17,1,200,107.5,20.0,8,16,86,,16.3,13,0.441,30,0.3,9,43.1,31,0.5379999999999999,11.2,10,38,0.5529999999999999,21,0.75,3,"Chase Family Arena, Hartford, Connecticut","Gordon
			","Gordon
			",80.2,Home,HARTFORD,Hartford,Hartford,america-east,3,True,False,True,Home,True,9,21,68,31,72,12,15,57,1,0,25,45,158,0.5221518987341772,92,204,0.4509803921568628,17,50,183,0.412568306010929,0.6666666666666666
4,2019-11-18-19-oakland,68.4,13,3.1,1,88.2,65.5,19,0.397,58,0.32799999999999996,19,0.138,8,0.5,4,2,200,73.5,10.8,4,25,50,,17.6,12,0.414,24,0.33299999999999996,8,34.8,23,0.405,17.4,13,34,0.324,11,0.6,3,"November 18, 2019",50.0,10,5.9,2,73.5,89.2,33,0.44799999999999995,48,0.41700000000000004,20,0.563,27,0.63,17,2,200,88.2,34.5,10,13,60,,13.2,9,0.33299999999999996,16,0.188,3,65.2,43,0.493,20.0,15,32,0.531,17,0.667,4,"Athletics Center O'rena, Rochester, Michigan",HARTFORD,Hartford,68.3,Home,OAKLAND,Oakland,Hartford,america-east,4,False,False,False,Away,False,8,11,58,23,66,3,17,48,0,1,34,66,226,0.5176991150442478,123,276,0.44565217391304346,29,65,240,0.4520833333333333,0.75
5,2019-11-21-11-hartford,41.7,10,2.3,1,96.3,67.6,25,0.439,57,0.42100000000000004,24,0.386,22,0.591,13,0,200,77.8,17.1,6,23,63,,8.6,7,0.281,16,0.125,2,43.1,31,0.467,22.2,19,41,0.537,22,0.0,0,"November 21, 2019",57.1,16,2.4,1,77.8,82.9,29,0.469,65,0.431,28,0.4,26,0.654,17,2,200,96.3,32.4,12,18,78,,13.6,11,0.32299999999999995,21,0.23800000000000002,5,56.9,41,0.504,18.2,17,44,0.523,23,0.667,4,"Chase Family Arena, Hartford, Connecticut","Emerson
			","Emerson
			",81.4,Home,HARTFORD,Hartford,Hartford,america-east,5,True,False,True,Home,True,5,23,65,41,72,2,22,57,1,0,42,77,284,0.4929577464788733,146,342,0.4269005847953216,32,82,288,0.4513888888888889,0.6
6,2019-11-24-14-hartford,29.2,7,16.0,4,86.6,76.0,19,0.48100000000000004,53,0.45299999999999996,24,0.302,16,0.688,11,3,200,92.5,13.3,4,21,62,,14.9,10,0.358,19,0.158,3,41.8,23,0.512,15.5,11,34,0.618,21,0.625,5,"November 24, 2019",68.4,13,2.9,1,92.5,86.7,26,0.489,44,0.4320000000000001,19,0.5,22,0.682,15,3,200,86.6,24.0,6,17,58,,7.5,5,0.4320000000000001,19,0.263,5,58.2,32,0.5329999999999999,25.1,18,25,0.56,14,0.5710000000000001,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,67.0,Away,MERRIMACK,Merrimack,Hartford,america-east,6,False,True,True,Home,False,5,14,44,32,55,3,21,53,0,1,47,100,349,0.4885386819484241,187,414,0.4516908212560386,34,104,345,0.4492753623188406,0.6666666666666666
7,2019-11-27-19-southern-methodist,70.0,14,7.1,3,136.4,62.9,22,0.491,54,0.37,20,0.13,7,0.7140000000000001,5,4,200,87.9,11.4,4,18,58,,4.5,3,0.63,34,0.382,13,37.1,26,0.506,17.4,12,20,0.35,7,0.5,4,"November 27, 2019",61.8,21,5.0,1,87.9,88.6,31,0.597,67,0.507,34,0.239,16,0.625,10,0,200,136.4,37.1,13,14,90,,9.1,6,0.373,25,0.48,12,62.9,44,0.603,7.5,6,42,0.524,22,1.0,6,"Moody Coliseum, Dallas, Texas",HARTFORD,Hartford,66.5,Home,SOUTHERN-METHODIST,SMU,Hartford,america-east,7,False,False,False,Away,False,13,7,54,26,70,12,22,67,0,1,52,114,393,0.4885496183206106,219,469,0.4669509594882729,37,125,398,0.4535175879396985,0.5714285714285714
8,2019-11-30-17-texas-state,37.5,6,0.0,0,103.0,66.7,22,0.4270000000000001,48,0.33299999999999996,16,0.43799999999999994,21,0.667,14,5,200,82.1,21.2,7,22,55,,10.4,7,0.5,24,0.375,9,43.9,29,0.474,23.9,18,24,0.292,7,0.444,4,"November 30, 2019",48.0,12,16.7,4,82.1,78.8,26,0.473,55,0.455,25,0.418,23,0.7390000000000001,17,2,200,103.0,33.3,11,20,69,,10.4,7,0.182,10,0.2,2,56.1,37,0.523,13.3,10,45,0.511,23,0.75,6,"Strahan Coliseum, San Marcos, Texas",HARTFORD,Hartford,67.0,Home,TEXAS-STATE,Texas State,Hartford,america-east,8,False,False,False,Away,False,9,7,48,29,66,2,23,55,0,1,65,121,447,0.4888143176733781,245,539,0.4545454545454545,49,147,465,0.4741935483870968,0.5
9,2019-12-05-19-hartford,54.8,17,3.8,1,100.0,92.9,26,0.532,63,0.4920000000000001,31,0.365,23,0.7390000000000001,17,5,200,107.7,30.3,10,23,84,,7.7,6,0.302,19,0.263,5,59.0,36,0.568,17.0,15,44,0.591,26,0.375,3,"December 5, 2019",72.0,18,2.3,1,107.7,69.7,23,0.5870000000000001,52,0.48100000000000004,25,0.365,19,0.895,17,6,200,100.0,7.1,2,21,78,,6.4,5,0.5,26,0.423,11,41.0,25,0.639,23.0,18,26,0.5379999999999999,14,0.4,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,78.0,Away,ST-FRANCIS-NY,St. Francis (NY),Hartford,america-east,9,False,True,True,Home,False,11,14,52,25,61,5,26,63,0,1,74,128,495,0.4828282828282828,274,605,0.4528925619834711,51,170,520,0.4740384615384615,0.4444444444444444
