,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VERMONT_homegame,VERMONT_homegame2,VERMONT_home,VERMONT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-boston-university,51.9,14,11.4,5,100.0,83.9,26,0.517,60,0.45,27,0.36700000000000005,22,0.727,16,0,200,108.3,24.2,8,16,78,,6.9,5,0.483,29,0.276,8,53.1,34,0.5539999999999999,9.1,7,31,0.613,19,1.0,1,"November 9, 2018",51.9,14,0.0,0,108.3,75.8,25,0.484,61,0.44299999999999995,27,0.24600000000000002,15,0.867,13,1,200,100.0,16.1,5,19,72,,2.8,2,0.27899999999999997,17,0.294,5,46.9,30,0.528,14.0,11,44,0.5,22,0.5,1,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,71.8,Away,VERMONT,Vermont,Vermont,america-east,0,False,False,False,Away,True,8,19,60,34,64,5,22,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-21-kansas,47.8,11,4.5,2,116.7,75.9,22,0.491,56,0.41100000000000003,23,0.304,17,0.765,13,1,200,94.4,14.3,5,13,68,,4.2,3,0.46399999999999997,26,0.34600000000000003,9,42.2,27,0.531,15.9,12,30,0.467,14,0.5,1,"November 12, 2018",57.6,19,6.7,2,94.4,85.7,30,0.619,63,0.524,33,0.159,10,0.6,6,0,200,116.7,24.1,7,18,84,2.0,9.7,7,0.302,19,0.632,12,57.8,37,0.62,16.2,13,44,0.47700000000000004,21,1.0,2,"Allen Fieldhouse, Lawrence, Kansas",VERMONT,Vermont,72.4,Home,KANSAS,Kansas,Vermont,america-east,1,False,False,False,Away,False,9,14,56,27,64,12,21,63,0,1,8,19,60,0.5166666666666667,34,64,0.53125,5,22,61,0.48360655737704916,1.0
2,2018-11-14-19-vermont,19.0,4,0.0,0,150.6,42.9,15,0.39799999999999996,59,0.35600000000000004,21,0.237,14,0.643,9,0,200,69.1,18.9,7,20,56,,3.7,3,0.40700000000000003,24,0.20800000000000002,5,30.6,22,0.42700000000000005,24.4,21,35,0.457,16,0.0,0,"November 14, 2018",46.8,22,20.0,7,69.1,81.1,30,0.631,80,0.588,47,0.363,29,0.7240000000000001,21,1,200,150.6,57.1,20,11,122,,16.0,13,0.263,21,0.33299999999999996,7,69.4,50,0.65,8.8,9,59,0.6779999999999999,40,0.667,2,"Roy L. Patrick Gymnasium, Burlington, Vermont","Lyndon State
			","Lyndon State
			",81.2,Home,VERMONT,Vermont,Vermont,america-east,2,True,False,True,Home,True,7,40,80,50,72,5,16,59,1,0,17,33,116,0.5043103448275862,61,128,0.4765625,17,43,124,0.5524193548387096,0.5
3,2018-11-16-19-louisville,34.6,9,3.3,1,126.5,79.2,19,0.575,53,0.491,26,0.358,19,0.895,17,2,200,114.7,15.4,4,26,78,,7.4,5,0.434,23,0.391,9,46.0,23,0.629,11.5,8,30,0.5670000000000001,17,0.5,2,"November 16, 2018",53.8,14,6.7,2,114.7,84.6,22,0.612,49,0.531,26,0.6729999999999999,33,0.7879999999999999,26,0,200,126.5,20.8,5,21,86,,2.9,2,0.38799999999999996,19,0.42100000000000004,8,54.0,27,0.665,13.6,10,30,0.6,18,1.0,3,"KFC Yum! Center, Louisville, Kentucky",VERMONT,Vermont,67.9,Home,LOUISVILLE,Louisville,Vermont,america-east,3,False,False,False,Away,False,9,17,53,23,50,8,18,49,0,1,24,73,196,0.5561224489795918,111,200,0.555,22,59,183,0.5027322404371585,0.6666666666666666
4,2018-11-21-19-vermont,44.4,12,4.0,1,116.2,82.4,28,0.545,55,0.491,27,0.23600000000000002,13,0.769,10,2,200,102.9,20.7,6,18,70,,2.9,2,0.327,18,0.33299999999999996,6,54.0,34,0.5720000000000001,17.6,13,37,0.568,21,0.33299999999999996,1,"November 21, 2018",55.6,15,16.2,6,102.9,79.3,23,0.568,59,0.45799999999999996,27,0.28800000000000003,17,0.706,12,2,200,116.2,17.6,6,15,79,,11.8,8,0.5760000000000001,34,0.382,13,46.0,29,0.589,8.3,6,25,0.56,14,0.6,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",YALE,Yale,67.6,Home,VERMONT,Vermont,Vermont,america-east,4,True,False,True,Home,True,13,14,59,29,63,6,21,55,1,0,33,90,249,0.5602409638554217,134,250,0.536,30,77,232,0.5258620689655172,0.5
5,2018-11-25-14-vermont,47.8,11,2.5,1,89.7,67.5,27,0.509,53,0.434,23,0.34,18,0.833,15,2,200,101.5,13.3,4,19,69,,5.9,4,0.434,23,0.348,8,44.3,31,0.561,12.9,9,30,0.5,15,0.5,2,"November 25, 2018",36.8,7,6.7,2,101.5,86.7,26,0.358,60,0.317,19,0.317,19,0.9470000000000001,18,3,200,89.7,32.5,13,22,61,,5.9,4,0.33299999999999996,20,0.25,5,55.7,39,0.442,17.0,14,40,0.35,14,0.5,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,68.3,Away,BUCKNELL,Bucknell,Vermont,america-east,5,False,True,True,Home,False,5,14,60,39,70,8,15,53,0,1,46,104,308,0.5616883116883117,163,313,0.5207667731629393,36,98,287,0.5296167247386759,0.6
6,2018-11-28-19-george-washington,68.0,17,10.2,5,86.9,67.5,27,0.635,48,0.521,25,0.20800000000000002,10,0.8,8,3,200,113.1,15.0,3,14,69,,4.9,3,0.396,19,0.579,11,50.0,30,0.654,18.6,12,29,0.483,14,0.5710000000000001,4,"November 28, 2018",25.0,5,10.3,3,113.1,85.0,17,0.341,63,0.317,20,0.159,10,1.0,10,6,200,86.9,32.5,13,14,53,,9.8,6,0.222,14,0.214,3,50.0,30,0.391,8.2,6,49,0.34700000000000003,17,0.14300000000000002,1,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,61.3,Away,VERMONT,Vermont,Vermont,america-east,6,False,False,False,Away,True,11,14,48,30,60,3,17,63,1,0,51,118,368,0.5285326086956522,202,383,0.5274151436031331,44,113,340,0.5264705882352941,0.5
7,2018-11-30-19-towson,71.4,15,7.0,3,103.2,65.6,21,0.51,52,0.40399999999999997,21,0.385,20,0.85,17,3,200,112.9,37.5,12,19,70,,4.8,3,0.5379999999999999,28,0.39299999999999996,11,51.6,33,0.569,14.1,10,24,0.41700000000000004,10,0.625,5,"November 30, 2018",35.0,7,16.7,4,112.9,62.5,20,0.402,56,0.35700000000000004,20,0.39299999999999996,22,0.8640000000000001,19,5,200,103.2,34.4,11,20,64,,8.1,5,0.23199999999999998,13,0.385,5,48.4,31,0.48200000000000004,12.1,9,43,0.349,15,0.28600000000000003,2,"SECU Arena, Towson, Maryland",TOWSON,Towson,62.0,Away,VERMONT,Vermont,Vermont,america-east,7,False,False,False,Away,True,11,10,52,33,64,5,15,56,1,0,62,132,416,0.5408653846153846,232,443,0.5237020316027088,47,130,403,0.4975186104218362,0.5714285714285714
8,2018-12-03-19-george-mason,34.6,9,8.3,3,93.1,78.6,22,0.518,56,0.46399999999999997,26,0.375,21,0.667,14,3,200,100.0,32.1,9,17,72,,6.9,5,0.321,18,0.33299999999999996,6,55.4,31,0.546,18.7,15,38,0.526,20,0.667,6,"December 3, 2018",20.0,5,18.4,7,100.0,67.9,19,0.491,54,0.46299999999999997,25,0.29600000000000004,16,0.875,14,6,200,93.1,21.4,6,21,67,,15.3,11,0.33299999999999996,18,0.16699999999999998,3,44.6,25,0.544,20.8,16,36,0.611,22,0.4,4,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,71.8,Away,VERMONT,Vermont,Vermont,america-east,8,False,False,False,Away,True,6,20,56,31,56,3,22,54,1,0,73,142,468,0.5373931623931624,265,507,0.5226824457593688,52,145,459,0.485838779956427,0.625
9,2018-12-08-19-vermont,52.0,13,18.2,6,102.9,89.7,26,0.588,51,0.49,25,0.157,8,0.625,5,5,200,94.2,29.2,7,19,65,,1.4,1,0.529,27,0.37,10,62.3,33,0.593,26.8,20,24,0.625,15,0.444,4,"December 8, 2018",44.0,11,8.3,2,94.2,70.8,17,0.536,56,0.446,25,0.35700000000000004,20,0.55,11,3,200,102.9,10.3,3,16,71,,13.0,9,0.41100000000000003,23,0.435,10,37.7,20,0.542,9.7,7,33,0.455,15,0.7,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",HARVARD,Harvard,68.7,Home,VERMONT,Vermont,Vermont,america-east,9,True,False,True,Home,True,10,15,56,20,53,10,15,51,1,0,79,162,524,0.5353053435114504,296,563,0.5257548845470693,55,167,513,0.48635477582846004,0.6666666666666666
