,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGE-MASON_homegame,GEORGE-MASON_homegame2,GEORGE-MASON_home,GEORGE-MASON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-george-mason,51.7,15,3.8,2,95.9,68.8,22,0.611,54,0.537,29,0.33299999999999996,18,0.33299999999999996,6,0,200,97.3,22.6,7,19,72,,8.1,6,0.37,20,0.4,8,46.0,29,0.5760000000000001,22.5,18,34,0.618,21,1.0,1,"November 6, 2018",28.6,8,14.7,5,97.3,77.4,24,0.483,60,0.467,28,0.267,16,0.813,13,1,200,95.9,31.3,10,23,71,,9.5,7,0.133,8,0.25,2,54.0,34,0.525,20.2,17,52,0.5,26,0.0,0,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,74.1,Away,PENNSYLVANIA,Penn,George Mason,atlantic-10,0,False,True,True,Home,False,2,26,60,34,63,8,21,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-george-mason,33.3,10,10.6,5,97.4,65.9,27,0.515,66,0.455,30,0.273,18,0.556,10,0,225,101.3,22.9,8,19,78,,16.9,13,0.303,20,0.4,8,46.1,35,0.523,13.0,11,46,0.478,22,1.0,1,"November 9, 2018",46.4,13,10.9,5,101.3,77.1,27,0.469,65,0.431,28,0.369,24,0.583,14,2,225,97.4,34.1,14,16,75,,9.1,7,0.27699999999999997,18,0.278,5,53.9,41,0.491,16.6,15,47,0.489,23,0.0,0,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,68.9,Away,AMERICAN,American,George Mason,atlantic-10,1,False,True,True,Home,False,5,23,65,41,76,8,22,66,0,1,2,26,60,0.48333333333333334,34,63,0.5396825396825397,8,21,54,0.6111111111111112,0.0
2,2018-11-13-19-georgia-southern,53.3,16,6.3,3,118.1,86.2,25,0.638,58,0.517,30,0.32799999999999996,19,0.789,15,3,200,107.2,25.9,7,33,89,,6.0,5,0.397,23,0.609,14,57.1,32,0.664,24.9,22,35,0.457,16,0.0,0,"November 13, 2018",18.2,6,20.0,7,107.2,74.1,20,0.607,56,0.589,33,0.857,48,0.625,30,0,200,118.1,13.8,4,18,98,,12.0,10,0.14300000000000002,8,0.25,2,42.9,24,0.622,10.5,9,48,0.6459999999999999,31,1.0,2,"Hanner Fieldhouse, Statesboro, Georgia",GEORGE-MASON,George Mason,82.9,Home,GEORGIA-SOUTHERN,Georgia Southern,George Mason,atlantic-10,2,False,False,False,Away,False,14,16,58,32,56,2,31,56,0,1,7,49,125,0.476,75,139,0.539568345323741,16,43,120,0.5583333333333333,0.0
3,2018-11-17-16-george-mason,25.9,7,9.7,3,98.6,74.1,20,0.461,64,0.42200000000000004,27,0.141,9,0.667,6,4,200,92.9,31.4,11,25,65,,10.0,7,0.266,17,0.294,5,50.0,31,0.47600000000000003,17.1,14,47,0.46799999999999997,22,0.0,0,"November 17, 2018",40.9,9,12.8,6,92.9,68.6,24,0.47100000000000003,51,0.431,22,0.51,26,0.8079999999999999,21,3,200,98.6,25.9,7,16,69,,4.3,3,0.392,20,0.2,4,50.0,31,0.545,17.2,13,31,0.581,18,0.25,1,"EagleBank Arena, Fairfax, Virginia",SOUTHERN,Southern,70.3,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,3,True,False,True,Home,True,4,18,51,31,62,5,22,64,1,0,21,65,183,0.5273224043715847,107,195,0.5487179487179488,18,74,176,0.5738636363636364,0.0
4,2018-11-20-19-george-mason,43.5,10,7.1,2,116.4,79.2,19,0.544,45,0.511,23,0.489,22,0.636,14,4,200,94.0,13.6,3,20,63,,6.0,4,0.267,12,0.25,3,47.8,22,0.568,22.6,16,33,0.606,20,0.2,1,"November 20, 2018",69.2,18,6.1,2,94.0,86.4,19,0.578,51,0.51,26,0.51,26,0.731,19,3,200,116.4,20.8,5,20,78,,7.5,5,0.451,23,0.304,7,52.2,24,0.616,11.4,8,28,0.679,19,0.4,2,"EagleBank Arena, Fairfax, Virginia",NORTH-CAROLINA-CENTRAL,North Carolina Central,67.4,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,4,True,False,True,Home,True,7,19,51,24,46,3,20,45,1,0,25,83,234,0.5149572649572649,138,257,0.5369649805447471,23,96,240,0.54375,0.25
5,2018-11-23-19-cincinnati,54.5,12,6.5,3,101.4,70.6,12,0.51,50,0.44,22,0.22,11,0.364,4,4,200,78.6,11.5,3,19,55,,11.4,8,0.46,23,0.304,7,34.9,15,0.498,22.6,16,27,0.556,15,0.33299999999999996,2,"November 23, 2018",25.9,7,11.1,3,78.6,88.5,23,0.528,53,0.509,27,0.396,21,0.7140000000000001,15,1,200,101.4,29.4,5,14,71,,12.9,9,0.132,7,0.28600000000000003,2,65.1,28,0.564,17.3,13,46,0.5429999999999999,25,0.8,4,"The Arena, Niceville, Florida",GEORGE-MASON,George Mason,69.6,Home,CINCINNATI,Cincinnati,George Mason,atlantic-10,5,False,False,False,Away,False,7,15,50,15,43,2,25,53,0,1,32,102,285,0.5263157894736842,162,303,0.5346534653465347,26,116,285,0.543859649122807,0.4
6,2018-11-24-16-baylor,27.8,5,7.1,2,98.6,66.7,16,0.38799999999999996,49,0.36700000000000005,18,0.633,31,0.742,23,5,200,83.6,14.8,4,23,61,,5.5,4,0.28600000000000003,14,0.14300000000000002,2,39.2,20,0.479,18.3,14,35,0.457,16,0.28600000000000003,2,"November 24, 2018",42.9,9,14.3,5,83.6,85.2,23,0.444,54,0.389,21,0.537,29,0.828,24,2,200,98.6,33.3,8,25,72,,8.2,6,0.48100000000000004,26,0.231,6,60.8,31,0.531,16.3,13,28,0.536,15,0.667,4,"The Arena, Niceville, Florida",GEORGE-MASON,George Mason,73.3,Home,BAYLOR,Baylor,George Mason,atlantic-10,6,False,False,False,Away,False,2,16,49,20,51,6,15,54,0,1,39,117,335,0.5238805970149254,177,346,0.5115606936416185,28,141,338,0.5414201183431953,0.3333333333333333
7,2018-11-28-19-george-mason,20.0,5,2.6,1,107.9,76.7,23,0.45,60,0.41700000000000004,25,0.45,27,0.778,21,4,200,98.7,37.1,13,28,75,,6.6,5,0.233,14,0.28600000000000003,4,55.4,36,0.515,18.2,16,46,0.457,21,0.33299999999999996,2,"November 28, 2018",50.0,14,13.0,6,98.7,62.9,22,0.561,57,0.491,28,0.491,28,0.643,18,5,200,107.9,23.3,7,22,82,,7.9,6,0.33299999999999996,19,0.42100000000000004,8,44.6,29,0.583,14.8,12,38,0.526,20,0.375,3,"EagleBank Arena, Fairfax, Virginia",MORGAN-STATE,Morgan State,75.6,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,7,True,False,True,Home,True,8,20,57,29,65,4,21,60,1,0,41,133,384,0.5065104166666666,197,397,0.49622166246851385,34,156,392,0.5280612244897959,0.2857142857142857
8,2018-12-01-16-william-mary,61.1,22,3.8,1,121.7,76.7,23,0.672,61,0.59,36,0.131,8,0.625,5,5,200,126.1,24.0,6,14,87,,7.2,5,0.39299999999999996,24,0.41700000000000004,10,52.7,29,0.6709999999999999,14.6,11,37,0.703,26,0.444,4,"December 1, 2018",75.0,21,8.1,3,126.1,76.0,19,0.607,56,0.5,28,0.35700000000000004,20,0.8,16,6,200,121.7,23.3,7,14,84,,4.3,3,0.536,30,0.4,12,47.3,26,0.6409999999999999,13.4,10,26,0.615,16,0.25,2,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,69.2,Away,GEORGE-MASON,George Mason,George Mason,atlantic-10,8,False,False,False,Away,True,10,26,61,29,55,12,16,56,1,0,49,153,441,0.5136054421768708,226,462,0.48917748917748916,38,177,452,0.5176991150442478,0.375
9,2018-12-03-19-george-mason,34.6,9,8.3,3,93.1,78.6,22,0.518,56,0.46399999999999997,26,0.375,21,0.667,14,3,200,100.0,32.1,9,17,72,,6.9,5,0.321,18,0.33299999999999996,6,55.4,31,0.546,18.7,15,38,0.526,20,0.667,6,"December 3, 2018",20.0,5,18.4,7,100.0,67.9,19,0.491,54,0.46299999999999997,25,0.29600000000000004,16,0.875,14,6,200,93.1,21.4,6,21,67,,15.3,11,0.33299999999999996,18,0.16699999999999998,3,44.6,25,0.544,20.8,16,36,0.611,22,0.4,4,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,71.8,Away,VERMONT,Vermont,George Mason,atlantic-10,9,False,True,True,Home,False,3,22,54,25,56,6,20,56,0,1,59,179,502,0.5328685258964143,255,517,0.4932301740812379,50,193,508,0.5275590551181102,0.4444444444444444
