,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OREGON_homegame,OREGON_homegame2,OREGON_home,OREGON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-23-oregon,38.1,8,9.3,4,116.7,64.0,16,0.322,73,0.28800000000000003,21,0.21899999999999997,16,0.625,10,1,200,79.2,40.9,18,25,57,,6.9,5,0.479,35,0.14300000000000002,5,49.3,34,0.354,12.1,11,38,0.42100000000000004,16,0.0,0,"November 6, 2018",44.4,12,21.1,8,79.2,59.1,26,0.58,50,0.54,27,0.66,33,0.7879999999999999,26,0,200,116.7,36.0,9,18,84,14.0,5.6,4,0.14,7,0.5710000000000001,4,50.7,35,0.64,17.8,14,43,0.535,23,1.0,1,"Matthew Knight Arena, Eugene, Oregon",PORTLAND-STATE,Portland State,72.1,Home,OREGON,Oregon,Oregon,pac-12,0,True,False,True,Home,True,4,23,50,35,69,5,16,73,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-oregon,86.7,13,5.6,2,122.7,63.6,21,0.331,65,0.231,15,0.092,6,0.667,4,2,200,71.2,17.4,8,20,47,,3.0,2,0.6920000000000001,45,0.289,13,36.7,29,0.34600000000000003,10.6,8,20,0.1,2,0.0,0,"November 9, 2018",60.0,18,30.0,6,71.2,82.6,38,0.574,61,0.49200000000000005,30,0.27899999999999997,17,0.647,11,0,200,122.7,36.4,12,6,81,14.0,6.1,4,0.41,25,0.4,10,63.3,50,0.586,9.3,7,36,0.556,20,1.0,2,"Matthew Knight Arena, Eugene, Oregon",EASTERN-WASHINGTON,Eastern Washington,66.0,Home,OREGON,Oregon,Oregon,pac-12,1,True,False,True,Home,True,10,20,61,50,79,13,2,65,1,0,4,23,50,0.58,35,69,0.5072463768115942,5,16,73,0.3219178082191781,1.0
2,2018-11-15-21-iowa,65.2,15,26.1,6,106.9,70.0,21,0.406,64,0.359,23,0.375,24,0.708,17,1,200,95.8,27.3,12,24,69,13.0,11.1,8,0.297,19,0.316,6,44.6,33,0.45799999999999996,9.7,8,45,0.37799999999999995,17,0.667,2,"November 15, 2018",68.4,13,6.7,3,95.8,72.7,32,0.462,52,0.365,19,0.635,33,0.879,29,0,200,106.9,30.0,9,20,77,,8.3,6,0.5579999999999999,29,0.345,10,55.4,41,0.569,17.4,14,23,0.391,9,1.0,3,"Madison Square Garden (IV), New York, New York",OREGON,Oregon,72.0,Home,IOWA,Iowa,Oregon,pac-12,2,False,False,False,Away,False,6,17,64,33,74,10,9,52,0,1,14,43,111,0.5765765765765766,85,148,0.5743243243243243,18,18,138,0.32608695652173914,1.0
3,2018-11-16-16-oregon,66.7,12,3.2,1,112.7,52.2,12,0.402,51,0.353,18,0.608,31,0.774,24,2,200,91.5,32.3,10,24,65,15.0,16.9,12,0.5489999999999999,28,0.179,5,40.7,22,0.494,19.8,16,23,0.565,13,0.5,2,"November 16, 2018",68.0,17,26.1,6,91.5,67.7,21,0.5589999999999999,51,0.49,25,0.49,25,0.92,23,1,200,112.7,47.8,11,20,80,13.0,12.7,9,0.392,20,0.35,7,59.3,32,0.636,22.5,18,31,0.581,18,0.75,3,"Madison Square Garden (IV), New York, New York",SYRACUSE,Syracuse,70.8,Home,OREGON,Oregon,Oregon,pac-12,3,True,False,True,Home,True,7,18,51,32,54,5,13,51,1,0,20,60,175,0.5142857142857142,118,222,0.5315315315315315,28,27,190,0.3631578947368421,0.6666666666666666
4,2018-11-20-22-oregon,48.1,13,10.3,3,109.2,83.3,20,0.457,69,0.391,27,0.261,18,0.5,9,3,200,94.7,20.0,9,28,72,,9.2,7,0.42,29,0.31,9,42.0,29,0.46399999999999997,8.3,7,40,0.45,18,0.5,3,"November 20, 2018",50.0,11,17.5,7,94.7,80.0,36,0.532,47,0.46799999999999997,22,0.894,42,0.7859999999999999,33,1,200,109.2,16.7,4,14,83,21.0,3.9,3,0.38299999999999995,18,0.33299999999999996,6,58.0,40,0.62,16.6,13,29,0.552,16,0.8,4,"Matthew Knight Arena, Eugene, Oregon",GREEN-BAY,Green Bay,75.8,Home,OREGON,Oregon,Oregon,pac-12,4,True,False,True,Home,True,6,16,47,40,69,9,18,69,1,0,27,78,226,0.5243362831858407,150,276,0.5434782608695652,33,40,241,0.37136929460580914,0.75
5,2018-11-26-23-oregon,53.1,17,2.7,1,106.3,80.6,25,0.545,67,0.478,32,0.32799999999999996,22,0.727,16,4,200,112.7,29.4,10,10,89,,5.1,4,0.40299999999999997,27,0.33299999999999996,9,53.8,35,0.575,14.5,13,40,0.575,23,0.33299999999999996,2,"November 26, 2018",66.7,22,7.5,3,112.7,70.6,24,0.5660000000000001,68,0.485,33,0.11800000000000001,8,0.875,7,2,200,106.3,19.4,6,17,84,18.0,7.6,6,0.456,31,0.355,11,46.2,30,0.585,14.4,12,37,0.595,22,0.667,4,"Matthew Knight Arena, Eugene, Oregon",OREGON,Oregon,79.1,Away,TEXAS-SOUTHERN,Texas Southern,Oregon,pac-12,5,False,True,True,Home,False,11,22,68,30,65,9,23,67,0,1,33,94,273,0.5256410256410257,190,345,0.5507246376811594,42,58,310,0.3903225806451613,0.8
6,2018-12-01-21-houston,57.1,12,13.6,3,94.2,69.4,25,0.45299999999999996,53,0.396,21,0.321,17,0.765,13,3,200,88.4,22.6,7,23,61,18.0,11.6,8,0.491,26,0.231,6,47.8,32,0.499,19.9,15,27,0.556,15,0.5710000000000001,4,"December 1, 2018",73.7,14,22.2,6,88.4,77.4,24,0.41200000000000003,57,0.33299999999999996,19,0.40399999999999997,23,0.7829999999999999,18,0,200,94.2,30.6,11,19,65,,10.1,7,0.614,35,0.257,9,52.2,35,0.478,15.2,12,22,0.455,10,1.0,6,"Hofheinz Pavilion, Houston, Texas",OREGON,Oregon,69.0,Home,HOUSTON,Houston,Oregon,pac-12,6,False,False,False,Away,False,6,15,53,32,67,9,10,57,0,1,44,116,341,0.533724340175953,220,410,0.5365853658536586,51,81,377,0.4177718832891247,0.6666666666666666
7,2018-12-08-20-oregon,71.4,15,3.0,1,142.4,52.4,11,0.54,50,0.42,21,0.16,8,0.875,7,7,200,103.4,7.4,2,13,61,,8.5,5,0.62,31,0.387,12,27.1,13,0.5670000000000001,13.0,8,19,0.474,9,0.3,3,"December 8, 2018",54.5,18,5.3,1,103.4,92.6,25,0.696,56,0.589,33,0.14300000000000002,8,0.75,6,3,200,142.4,47.6,10,13,84,,8.5,5,0.41100000000000003,23,0.522,12,72.9,35,0.7020000000000001,13.1,9,33,0.636,21,0.625,5,"Matthew Knight Arena, Eugene, Oregon",NEBRASKA-OMAHA,Omaha,59.3,Home,OREGON,Oregon,Oregon,pac-12,7,True,False,True,Home,True,12,21,56,35,48,12,9,50,1,0,50,131,394,0.5228426395939086,252,477,0.5283018867924528,60,91,434,0.41705069124423966,0.5714285714285714
8,2018-12-12-22-oregon,60.0,12,5.1,2,103.2,71.9,23,0.48,49,0.408,20,0.22399999999999998,11,0.727,8,3,200,87.3,23.3,7,22,55,,1.6,1,0.5710000000000001,28,0.25,7,48.4,30,0.507,22.9,16,21,0.619,13,0.727,8,"December 12, 2018",60.9,14,28.6,6,87.3,76.7,23,0.46299999999999997,54,0.426,23,0.389,21,0.7140000000000001,15,3,200,103.2,28.1,9,16,65,,17.5,11,0.278,15,0.267,4,51.6,32,0.508,11.2,8,39,0.48700000000000004,19,0.667,6,"Matthew Knight Arena, Eugene, Oregon",SAN-DIEGO,San Diego,63.1,Home,OREGON,Oregon,Oregon,pac-12,8,True,False,True,Home,True,4,19,54,32,62,7,13,49,1,0,62,152,450,0.5444444444444444,287,525,0.5466666666666666,72,100,484,0.4297520661157025,0.625
9,2018-12-15-21-oregon,27.8,5,3.4,1,104.8,77.3,17,0.42200000000000004,51,0.353,18,0.353,18,0.611,11,6,200,85.7,17.6,6,17,54,,6.3,4,0.314,16,0.43799999999999994,7,41.1,23,0.45299999999999996,14.5,10,35,0.314,11,0.4,4,"December 15, 2018",33.3,7,8.6,3,85.7,82.4,28,0.535,43,0.488,21,0.581,25,0.8,20,3,200,104.8,22.7,5,17,66,,7.9,5,0.326,14,0.28600000000000003,4,58.9,33,0.601,18.2,12,29,0.586,17,0.7,7,"Matthew Knight Arena, Eugene, Oregon",BOISE-STATE,Boise State,62.7,Home,OREGON,Oregon,Oregon,pac-12,9,True,False,True,Home,True,4,17,43,33,56,7,11,51,1,0,66,171,504,0.5357142857142857,319,587,0.5434412265758092,79,113,533,0.4343339587242026,0.6666666666666666
