,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIDDLE-TENNESSEE_homegame,MIDDLE-TENNESSEE_homegame2,MIDDLE-TENNESSEE_home,MIDDLE-TENNESSEE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-middle-tennessee,56.0,14,0.0,0,105.8,73.1,19,0.39899999999999997,74,0.33799999999999997,25,0.18899999999999997,14,0.7140000000000001,10,0,200,80.2,17.0,8,21,69,,12.8,11,0.35100000000000003,26,0.34600000000000003,9,37.0,27,0.428,14.9,14,48,0.33299999999999996,16,0.0,0,"November 6, 2018",45.5,15,8.3,4,80.2,83.0,39,0.602,59,0.5589999999999999,33,0.373,22,0.909,20,0,200,105.8,26.9,7,17,91,,5.8,5,0.254,15,0.33299999999999996,5,63.0,46,0.655,25.1,23,44,0.636,28,1.0,1,"Murphy Athletic Center, Murfreesboro, Tennessee","Lees-McRae
			","Lees-McRae
			",86.1,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,0,True,False,True,Home,True,5,28,59,46,73,9,16,74,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-12-middle-tennessee,42.3,11,1.9,1,118.6,57.9,22,0.442,69,0.377,26,0.23199999999999998,16,0.563,9,0,200,81.4,16.7,7,20,70,,8.1,7,0.33299999999999996,23,0.391,9,36.3,29,0.457,17.4,16,46,0.37,17,0.0,0,"November 9, 2018",42.5,17,13.0,6,81.4,83.3,35,0.584,77,0.519,40,0.247,19,0.632,12,0,200,118.6,42.1,16,19,102,,12.8,11,0.325,25,0.4,10,63.8,51,0.593,15.8,16,52,0.5770000000000001,30,1.0,2,"Murphy Athletic Center, Murfreesboro, Tennessee","Milligan
			","Milligan
			",85.8,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,1,True,False,True,Home,True,10,30,77,51,80,9,17,69,1,0,5,28,59,0.6016949152542372,46,73,0.6301369863013698,9,16,74,0.39864864864864863,1.0
2,2018-11-12-20-belmont,37.0,10,8.7,4,110.8,81.8,27,0.45399999999999996,65,0.415,27,0.292,19,0.737,14,1,200,88.0,34.2,13,20,73,,8.4,7,0.27699999999999997,18,0.278,5,56.3,40,0.493,22.3,21,47,0.46799999999999997,22,0.667,2,"November 12, 2018",60.0,21,12.8,6,88.0,65.8,25,0.585,65,0.5379999999999999,35,0.369,24,0.667,16,0,200,110.8,18.2,6,16,92,,12.0,10,0.292,19,0.316,6,43.7,31,0.602,14.7,13,46,0.63,29,1.0,2,"Curb Event Center, Nashville, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,82.7,Home,BELMONT,Belmont,Middle Tennessee,cusa,2,False,False,False,Away,False,5,22,65,40,71,6,29,65,0,1,15,58,136,0.5919117647058824,97,153,0.6339869281045751,18,33,143,0.4195804195804196,1.0
3,2018-11-16-19-middle-tennessee,42.9,9,5.6,2,97.4,75.8,25,0.418,61,0.344,21,0.541,33,0.667,22,2,200,93.6,36.6,15,26,73,,9.0,7,0.426,26,0.34600000000000003,9,54.1,40,0.47600000000000003,18.4,17,35,0.34299999999999997,12,0.5,2,"November 16, 2018",56.0,14,17.1,6,93.6,63.4,26,0.519,53,0.47200000000000003,25,0.585,31,0.677,21,1,200,97.4,24.2,8,25,76,,7.7,6,0.321,17,0.294,5,45.9,34,0.561,20.3,17,36,0.556,20,0.75,3,"Murphy Athletic Center, Murfreesboro, Tennessee",CHARLESTON-SOUTHERN,Charleston Southern,77.7,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,3,True,False,True,Home,True,5,20,53,34,74,9,12,61,1,0,20,80,201,0.5472636815920398,137,224,0.6116071428571429,24,62,208,0.47115384615384615,0.6666666666666666
4,2018-11-21-21-virginia,60.0,12,12.1,4,108.8,67.9,19,0.42200000000000004,51,0.392,20,0.235,12,0.75,9,2,200,76.5,17.9,5,18,52,,13.2,9,0.255,13,0.231,3,42.9,24,0.45899999999999996,19.9,14,38,0.447,17,0.6,3,"November 21, 2018",61.5,16,10.5,4,76.5,82.1,23,0.536,56,0.46399999999999997,26,0.35700000000000004,20,0.7,14,0,200,108.8,32.1,9,11,74,4.0,11.8,8,0.41100000000000003,23,0.348,8,57.1,32,0.565,16.7,13,33,0.545,18,1.0,4,"Imperial Arena at Atlantis Resort, Paradise Island",MIDDLE-TENNESSEE,Middle Tennessee,67.6,Home,VIRGINIA,Virginia,Middle Tennessee,cusa,4,False,False,False,Away,False,3,17,51,24,56,8,18,56,0,1,25,100,254,0.5413385826771654,171,298,0.5738255033557047,33,74,269,0.4591078066914498,0.75
5,2018-11-22-21-butler,35.3,6,8.0,2,123.5,75.0,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,31.3,10,14,53,,8.8,6,0.264,14,0.28600000000000003,4,53.1,34,0.415,21.2,17,39,0.33299999999999996,13,0.5,3,"November 22, 2018",71.0,22,12.8,5,77.9,68.8,22,0.65,60,0.517,31,0.16699999999999998,10,0.6,6,1,200,123.5,25.0,8,19,84,,17.6,12,0.583,35,0.457,16,46.9,30,0.649,12.3,9,25,0.6,15,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",MIDDLE-TENNESSEE,Middle Tennessee,68.3,Home,BUTLER,Butler,Middle Tennessee,cusa,5,False,False,False,Away,False,4,13,53,34,64,16,15,60,0,1,28,117,305,0.521311475409836,195,354,0.5508474576271186,41,92,325,0.4723076923076923,0.6
6,2018-11-23-19-stanford,14.3,3,20.0,6,84.8,71.4,20,0.35600000000000004,59,0.35600000000000004,21,0.305,18,0.667,12,4,200,68.4,25.6,10,23,54,,12.7,10,0.11900000000000001,7,0.0,0,44.8,30,0.4,24.7,22,52,0.40399999999999997,21,0.429,3,"November 23, 2018",66.7,14,13.5,7,68.4,74.4,29,0.455,55,0.382,21,0.436,24,0.708,17,3,200,84.8,28.6,8,17,67,,15.2,12,0.455,25,0.32,8,55.2,37,0.505,24.3,21,30,0.433,13,0.5,3,"Imperial Arena at Atlantis Resort, Paradise Island",MIDDLE-TENNESSEE,Middle Tennessee,79.5,Home,STANFORD,Stanford,Middle Tennessee,cusa,6,False,False,False,Away,False,0,21,59,30,67,8,13,55,0,1,32,130,358,0.4972067039106145,229,418,0.5478468899521531,57,107,385,0.5,0.5
7,2018-12-01-18-middle-tennessee,55.6,15,8.6,3,104.2,60.7,17,0.544,57,0.474,27,0.509,29,0.759,22,1,200,118.3,30.3,10,18,84,,9.9,7,0.456,26,0.308,8,44.3,27,0.593,11.4,9,31,0.613,19,0.857,6,"December 1, 2018",32.0,8,3.2,1,118.3,69.7,23,0.518,57,0.439,25,0.316,18,0.833,15,5,200,104.2,39.3,11,24,74,,4.2,3,0.386,22,0.409,9,55.7,34,0.564,20.8,17,35,0.457,16,0.375,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,70.7,Away,LIPSCOMB,Lipscomb,Middle Tennessee,cusa,7,False,True,True,Home,False,9,16,57,34,61,8,19,57,0,1,32,151,417,0.47721822541966424,259,485,0.534020618556701,65,120,440,0.4943181818181818,0.42857142857142855
8,2018-12-05-19-vanderbilt,40.0,8,11.8,4,114.5,72.0,18,0.375,56,0.35700000000000004,20,0.33899999999999997,19,0.474,9,6,200,73.9,32.4,12,19,51,,4.3,3,0.25,14,0.14300000000000002,2,48.4,30,0.392,17.9,14,42,0.429,18,0.33299999999999996,3,"December 5, 2018",50.0,13,11.9,5,73.9,67.6,25,0.555,55,0.473,26,0.345,19,0.9470000000000001,18,2,200,114.5,28.0,7,16,79,,10.1,7,0.382,21,0.429,9,51.6,32,0.617,17.0,13,34,0.5,17,0.75,6,"Memorial Gymnasium, Nashville, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,68.5,Home,VANDERBILT,Vanderbilt,Middle Tennessee,cusa,8,False,False,False,Away,False,2,18,56,30,62,9,17,55,0,1,41,167,474,0.4820675105485232,293,546,0.5366300366300366,73,139,497,0.5,0.375
9,2018-12-08-20-middle-tennessee,58.3,14,14.3,5,63.6,67.6,25,0.528,53,0.45299999999999996,24,0.20800000000000002,11,0.727,8,1,200,97.0,20.7,6,15,64,,16.7,11,0.47200000000000003,25,0.32,8,47.0,31,0.55,17.2,12,28,0.5710000000000001,16,0.833,5,"December 8, 2018",21.4,3,3.6,1,97.0,79.3,23,0.313,48,0.292,14,0.313,15,0.8,12,7,200,63.6,32.4,12,15,42,,6.1,4,0.271,13,0.154,2,53.0,35,0.381,30.5,24,35,0.34299999999999997,12,0.3,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,65.7,Away,MURRAY-STATE,Murray State,Middle Tennessee,cusa,9,False,True,True,Home,False,2,12,48,35,66,8,16,53,0,1,43,185,530,0.4707547169811321,323,608,0.53125,82,156,552,0.5054347826086957,0.3333333333333333
