,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEBRASKA_homegame,NEBRASKA_homegame2,NEBRASKA_home,NEBRASKA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-nebraska,23.1,3,3.1,1,134.2,61.8,21,0.19899999999999998,68,0.191,13,0.235,16,0.625,10,1,199,46.8,24.5,13,21,37,,7.6,6,0.221,15,0.067,1,39.1,34,0.245,18.5,17,53,0.226,12,0.0,0,"November 6, 2018",60.5,23,15.1,8,46.8,75.5,40,0.659,69,0.551,38,0.348,24,0.625,15,0,199,134.2,38.2,13,15,106,,12.7,10,0.536,37,0.405,15,60.9,53,0.659,11.2,10,32,0.7190000000000001,23,1.0,1,"Pinnacle Bank Arena, Lincoln, Nebraska",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,78.9,Home,NEBRASKA,Nebraska,Nebraska,big-ten,0,True,False,True,Home,True,15,23,69,53,87,1,12,68,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-16-nebraska,53.3,8,6.7,2,114.5,76.9,20,0.295,56,0.268,15,0.071,4,0.5,2,2,200,46.1,16.7,6,18,35,,11.8,9,0.304,17,0.17600000000000002,3,41.9,26,0.302,30.2,25,39,0.308,12,0.33299999999999996,1,"November 11, 2018",67.7,21,20.5,8,46.1,83.3,30,0.636,55,0.564,31,0.4,22,0.773,17,0,200,114.5,23.1,6,14,87,,18.4,14,0.455,25,0.32,8,58.1,36,0.665,18.8,15,30,0.767,23,1.0,2,"Pinnacle Bank Arena, Lincoln, Nebraska",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.7,Home,NEBRASKA,Nebraska,Nebraska,big-ten,1,True,False,True,Home,True,8,23,55,36,62,3,12,56,1,0,15,23,69,0.6594202898550725,53,87,0.6091954022988506,1,12,68,0.19852941176470587,1.0
2,2018-11-14-19-nebraska,14.3,3,7.5,3,112.7,64.1,25,0.373,59,0.35600000000000004,21,0.33899999999999997,20,0.65,13,1,200,80.3,27.0,10,20,57,,1.4,1,0.271,16,0.125,2,46.1,35,0.41600000000000004,16.1,13,43,0.442,19,0.5,1,"November 14, 2018",57.7,15,14.0,6,80.3,73.0,27,0.47600000000000003,63,0.413,26,0.429,27,0.741,20,0,200,112.7,35.9,14,16,80,,9.9,7,0.365,23,0.348,8,53.9,41,0.528,9.7,8,40,0.45,18,1.0,3,"Pinnacle Bank Arena, Lincoln, Nebraska",SETON-HALL,Seton Hall,70.7,Home,NEBRASKA,Nebraska,Nebraska,big-ten,2,True,False,True,Home,True,8,18,63,41,76,2,19,59,1,0,23,46,124,0.6491935483870968,89,149,0.5973154362416108,4,24,124,0.24193548387096775,1.0
3,2018-11-19-19-nebraska,33.3,8,3.6,1,118.1,78.8,26,0.466,59,0.40700000000000003,24,0.153,9,0.778,7,1,200,86.1,25.7,9,14,62,,5.6,4,0.40700000000000003,24,0.292,7,51.5,35,0.49,22.2,18,35,0.486,17,0.75,3,"November 19, 2018",67.7,21,17.1,6,86.1,74.3,26,0.615,61,0.508,31,0.262,16,0.625,10,0,200,118.1,21.2,7,11,85,,12.5,9,0.541,33,0.39399999999999996,13,48.5,33,0.62,12.8,10,28,0.643,18,1.0,4,"Sprint Center, Kansas City, Missouri",MISSOURI-STATE,Missouri State,71.9,Home,NEBRASKA,Nebraska,Nebraska,big-ten,3,True,False,True,Home,True,13,18,61,33,68,7,17,59,1,0,31,64,187,0.5909090909090909,130,225,0.5777777777777777,6,43,183,0.28415300546448086,1.0
4,2018-11-20-21-nebraska,40.0,10,16.0,4,80.0,82.8,24,0.474,57,0.439,25,0.35100000000000003,20,0.8,16,0,200,107.7,33.3,10,18,70,,4.6,3,0.21100000000000002,12,0.33299999999999996,4,57.6,34,0.526,9.6,7,45,0.467,21,1.0,5,"November 20, 2018",35.3,6,6.7,3,107.7,66.7,20,0.406,48,0.354,17,0.43799999999999994,21,0.619,13,1,200,80.0,17.2,5,16,52,,9.2,6,0.479,23,0.217,5,42.4,25,0.44799999999999995,19.7,14,25,0.48,12,0.8,4,"Sprint Center, Kansas City, Missouri",NEBRASKA,Nebraska,65.2,Away,TEXAS-TECH,Texas Tech,Nebraska,big-ten,4,False,True,True,Home,False,5,12,48,25,59,4,21,57,0,1,44,82,248,0.5967741935483871,163,293,0.5563139931740614,13,60,242,0.3285123966942149,1.0
5,2018-11-24-14-nebraska,36.8,7,9.3,4,102.8,72.7,24,0.363,62,0.306,19,0.081,5,0.8,4,4,200,69.0,16.7,7,17,49,,11.3,8,0.371,23,0.304,7,41.3,31,0.381,16.8,13,39,0.308,12,0.33299999999999996,2,"November 24, 2018",41.4,12,17.9,7,69.0,83.3,35,0.49200000000000005,63,0.46,29,0.302,19,0.579,11,1,200,102.8,27.3,9,9,73,,11.3,8,0.317,20,0.2,4,58.7,44,0.507,11.2,9,43,0.581,25,0.833,5,"Pinnacle Bank Arena, Lincoln, Nebraska",WESTERN-ILLINOIS,Western Illinois,71.2,Home,NEBRASKA,Nebraska,Nebraska,big-ten,5,True,False,True,Home,True,4,25,63,44,75,7,12,62,1,0,49,94,296,0.5658783783783784,188,352,0.5340909090909091,17,81,299,0.35618729096989965,0.8
6,2018-11-26-19-clemson,38.5,10,7.3,3,110.0,65.5,19,0.536,55,0.473,26,0.2,11,0.818,9,1,200,113.3,32.1,9,13,68,,8.3,5,0.4,22,0.318,7,49.1,28,0.565,13.1,9,33,0.5760000000000001,19,0.857,6,"November 26, 2018",57.7,15,9.1,3,113.3,67.9,19,0.528,53,0.491,26,0.226,12,0.833,10,2,200,110.0,34.5,10,14,66,,5.0,3,0.226,12,0.33299999999999996,4,50.9,29,0.562,15.9,11,41,0.537,22,0.7140000000000001,5,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,60.0,Away,NEBRASKA,Nebraska,Nebraska,big-ten,6,False,False,False,Away,True,7,19,55,28,57,4,22,53,1,0,53,119,359,0.552924791086351,232,427,0.5433255269320844,24,93,361,0.3573407202216066,0.8333333333333334
7,2018-12-02-17-nebraska,43.5,10,3.1,1,110.3,73.9,17,0.456,57,0.40399999999999997,23,0.228,13,0.615,8,6,200,88.2,31.4,11,23,60,,7.4,5,0.263,15,0.4,6,48.3,28,0.475,18.2,14,42,0.405,17,0.25,2,"December 2, 2018",59.1,13,7.1,3,88.2,68.6,24,0.5429999999999999,46,0.478,22,0.652,30,0.833,25,1,200,110.3,26.1,6,16,75,,11.8,8,0.304,14,0.429,6,51.7,30,0.622,21.3,16,32,0.5,16,0.875,7,"Pinnacle Bank Arena, Lincoln, Nebraska",ILLINOIS,Illinois,68.2,Home,NEBRASKA,Nebraska,Nebraska,big-ten,7,True,False,True,Home,True,6,16,46,30,58,6,17,57,1,0,60,138,414,0.5507246376811594,260,484,0.5371900826446281,28,115,414,0.37922705314009664,0.8571428571428571
8,2018-12-05-21-minnesota,46.4,13,10.4,5,121.4,55.2,16,0.516,61,0.45899999999999996,28,0.311,19,0.789,15,2,200,111.4,35.3,12,22,78,24.0,11.4,8,0.344,21,0.33299999999999996,7,44.4,28,0.557,12.6,10,40,0.525,21,0.778,7,"December 5, 2018",51.7,15,12.5,5,111.4,64.7,22,0.545,56,0.518,29,0.5710000000000001,32,0.75,24,2,200,121.4,44.8,13,15,85,,5.7,4,0.14300000000000002,8,0.375,3,55.6,35,0.597,15.6,13,48,0.542,26,0.778,7,"Williams Arena, Minneapolis, Minnesota",NEBRASKA,Nebraska,69.6,Home,MINNESOTA,Minnesota,Nebraska,big-ten,8,False,False,False,Away,False,7,21,61,28,63,3,26,56,0,1,66,154,460,0.55,290,542,0.5350553505535055,34,132,471,0.3885350318471338,0.875
9,2018-12-08-18-nebraska,38.5,10,3.0,1,136.2,60.7,17,0.525,60,0.433,26,0.35,21,0.5710000000000001,12,3,200,108.7,33.3,12,15,75,,10.1,7,0.45,27,0.40700000000000003,11,45.3,29,0.536,14.8,12,33,0.455,15,0.667,6,"December 8, 2018",46.9,15,15.2,5,108.7,66.7,24,0.65,60,0.5329999999999999,32,0.33299999999999996,20,0.8,16,2,200,136.2,39.3,11,15,94,24.0,13.0,9,0.45,27,0.519,14,54.7,35,0.6759999999999999,11.6,9,33,0.545,18,0.8,8,"Pinnacle Bank Arena, Lincoln, Nebraska",CREIGHTON,Creighton,68.7,Home,NEBRASKA,Nebraska,Nebraska,big-ten,9,True,False,True,Home,True,14,18,60,35,64,11,15,60,1,0,73,175,521,0.5460652591170825,318,605,0.5256198347107438,37,158,527,0.40512333965844405,0.7777777777777778
10,2018-12-16-19-oklahoma-state,52.0,13,12.2,5,80.0,61.3,19,0.547,53,0.47200000000000003,25,0.434,23,0.9129999999999999,21,2,200,112.9,20.8,5,13,79,,14.3,10,0.34,18,0.444,8,43.6,24,0.618,14.8,11,35,0.486,17,0.818,9,"December 16, 2018",39.1,9,11.4,4,112.9,79.2,19,0.429,56,0.41100000000000003,23,0.268,15,0.5329999999999999,8,6,200,80.0,38.7,12,18,56,,8.6,6,0.268,15,0.133,2,56.4,31,0.444,22.3,18,41,0.512,21,0.4,4,"Sanford Pentagon, Sioux Falls, South Dakota",OKLAHOMA-STATE,Oklahoma State,69.5,Away,NEBRASKA,Nebraska,Nebraska,big-ten,10,False,False,False,Away,True,8,17,53,24,55,2,21,56,1,0,87,193,581,0.5567986230636833,353,669,0.5276532137518685,48,173,587,0.41737649063032367,0.8
