,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAVANNAH-STATE_homegame,SAVANNAH-STATE_homegame2,SAVANNAH-STATE_home,SAVANNAH-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-21-texas-am,55.6,15,2.3,1,98.0,54.8,23,0.433,82,0.32899999999999996,27,0.23199999999999998,19,0.632,12,1,200,83.0,19.2,10,24,83,,14.0,14,0.659,54,0.315,17,35.1,33,0.456,18.1,20,28,0.35700000000000004,10,0.0,0,"November 7, 2018",56.8,21,28.6,8,83.0,80.8,42,0.506,81,0.457,37,0.321,26,0.615,16,0,200,98.0,45.2,19,18,98,,10.0,10,0.469,38,0.21100000000000002,8,64.9,61,0.525,20.6,24,43,0.674,29,1.0,1,"Reed Arena, College Station, Texas",SAVANNAH-STATE,Savannah State,99.7,Home,TEXAS-AM,Texas A&M,Savannah State,meac,0,False,False,False,Away,False,17,10,82,33,94,8,29,81,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-georgia,55.2,16,9.3,4,114.6,64.9,24,0.40299999999999997,93,0.312,29,0.032,3,0.33299999999999996,1,2,200,79.2,23.3,14,22,76,,6.3,6,0.613,57,0.298,17,39.2,38,0.402,16.0,18,36,0.33299999999999996,12,0.0,0,"November 9, 2018",70.0,28,25.0,9,79.2,76.7,46,0.65,70,0.5710000000000001,40,0.457,32,0.594,19,0,200,114.6,35.1,13,14,110,,8.3,8,0.386,27,0.40700000000000003,11,60.8,59,0.6459999999999999,20.7,22,43,0.674,29,1.0,1,"Stegeman Coliseum, Athens, Georgia",SAVANNAH-STATE,Savannah State,96.3,Home,GEORGIA,Georgia,Savannah State,meac,1,False,False,False,Away,False,17,12,93,38,97,11,29,70,0,1,17,10,82,0.4329268292682927,33,94,0.35106382978723405,8,29,81,0.5061728395061729,0.0
2,2018-11-11-16-savannah-state,66.7,24,5.6,2,109.4,71.1,32,0.494,86,0.419,36,0.174,15,0.667,10,0,200,99.0,20.5,9,24,95,,7.3,7,0.535,46,0.28300000000000003,13,46.1,41,0.51,12.3,13,40,0.575,23,0.0,0,"November 11, 2018",67.6,23,5.0,2,99.0,79.5,35,0.5,82,0.415,34,0.341,28,0.821,23,2,200,109.4,28.9,13,15,105,,4.2,4,0.561,46,0.304,14,53.9,48,0.551,12.1,13,36,0.556,20,0.33299999999999996,1,"Tiger Arena, Savannah, Georgia","Middle Georgia State
			","Middle Georgia State
			",96.2,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,2,True,False,True,Home,True,14,20,82,48,89,13,23,86,1,0,34,22,175,0.41714285714285715,71,191,0.3717277486910995,19,58,151,0.5728476821192053,0.0
3,2018-11-13-19-savannah-state,64.7,22,13.9,5,101.0,57.1,24,0.507,76,0.447,34,0.11800000000000001,9,0.667,6,3,200,86.5,20.5,8,19,83,,11.5,11,0.461,35,0.257,9,39.5,32,0.517,22.3,23,41,0.61,25,0.0,0,"November 13, 2018",68.8,22,0.0,0,86.5,79.5,31,0.48700000000000004,79,0.405,32,0.342,27,0.741,20,2,200,101.0,42.9,18,11,97,,16.7,16,0.544,43,0.302,13,60.5,49,0.528,20.2,23,36,0.528,19,0.5,2,"Tiger Arena, Savannah, Georgia",TENNESSEE-TECH,Tennessee Tech,96.1,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,3,True,False,True,Home,True,13,19,79,49,81,9,25,76,1,0,48,42,257,0.44357976653696496,119,280,0.425,32,81,237,0.5443037974683544,0.3333333333333333
4,2018-11-16-19-savannah-state,63.9,23,4.3,1,93.9,81.0,34,0.621,66,0.545,36,0.273,18,0.833,15,3,200,118.3,27.6,8,17,97,,8.5,7,0.439,29,0.345,10,59.2,42,0.6509999999999999,15.0,13,37,0.703,26,0.25,1,"November 16, 2018",46.2,12,13.5,5,118.3,72.4,21,0.457,70,0.371,26,0.271,19,0.684,13,3,200,93.9,19.0,8,14,77,,6.1,5,0.6709999999999999,47,0.255,12,40.8,29,0.48700000000000004,14.2,13,23,0.609,14,0.4,2,"Tiger Arena, Savannah, Georgia",SAVANNAH-STATE,Savannah State,81.8,Away,GARDNER-WEBB,Gardner-Webb,Savannah State,meac,4,False,True,True,Home,False,12,14,70,29,71,10,26,66,0,1,61,61,336,0.4538690476190476,168,361,0.46537396121883656,41,106,313,0.5351437699680511,0.5
5,2018-11-20-19-kent-state,46.7,14,4.9,2,120.9,61.0,25,0.455,77,0.39,30,0.33799999999999997,26,0.5379999999999999,14,4,200,97.7,32.7,16,19,84,,10.5,9,0.46799999999999997,36,0.278,10,45.6,41,0.47,13.7,14,41,0.488,20,0.33299999999999996,2,"November 20, 2018",73.0,27,19.5,8,97.7,67.3,33,0.5579999999999999,77,0.48100000000000004,37,0.299,23,0.7829999999999999,18,1,200,120.9,39.0,16,22,104,,4.7,4,0.46799999999999997,36,0.33299999999999996,12,54.4,49,0.591,13.0,13,41,0.61,25,0.8,4,"Memorial Athletic & Convocation Center, Kent, Ohio",SAVANNAH-STATE,Savannah State,86.1,Home,KENT-STATE,Kent State,Savannah State,meac,5,False,False,False,Away,False,10,20,77,41,90,12,25,77,0,1,73,75,406,0.4544334975369458,197,432,0.45601851851851855,51,132,379,0.5501319261213721,0.4
6,2018-11-24-14-alcorn-state,65.4,17,6.7,2,100.0,70.6,24,0.5,62,0.419,26,0.40299999999999997,25,0.72,18,4,200,106.7,36.4,12,12,80,,9.3,7,0.6609999999999999,41,0.244,10,53.7,36,0.541,17.0,15,21,0.762,16,0.429,3,"November 24, 2018",71.4,20,4.8,1,106.7,63.6,21,0.532,63,0.444,28,0.159,10,0.8,8,5,200,100.0,29.4,10,22,75,,4.0,3,0.524,33,0.33299999999999996,11,46.3,31,0.5539999999999999,18.2,15,30,0.5670000000000001,17,0.16699999999999998,1,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,74.8,Away,SAVANNAH-STATE,Savannah State,Savannah State,meac,6,False,False,False,Away,True,10,16,62,36,67,11,17,63,1,0,83,95,483,0.45445134575569357,238,522,0.4559386973180077,63,157,456,0.5515350877192983,0.3333333333333333
7,2018-11-25-14-liberty,40.9,9,5.1,2,102.5,76.9,30,0.4,65,0.33799999999999997,22,0.12300000000000001,8,0.5,4,5,200,70.0,22.5,9,16,56,,7.5,6,0.569,37,0.21600000000000003,8,49.4,39,0.40700000000000003,23.5,21,28,0.5,14,0.375,3,"November 25, 2018",56.3,18,3.6,1,70.0,77.5,31,0.514,70,0.457,32,0.2,14,0.7140000000000001,10,1,200,102.5,23.1,9,10,82,,13.8,11,0.44299999999999995,31,0.258,8,50.6,40,0.535,12.6,11,39,0.615,24,0.833,5,"Vines Center, Lynchburg, Virginia",SAVANNAH-STATE,Savannah State,79.7,Home,LIBERTY,Liberty,Savannah State,meac,7,False,False,False,Away,False,8,14,65,39,79,8,24,70,0,1,93,111,545,0.4596330275229358,274,589,0.46519524617996605,74,174,519,0.5491329479768786,0.42857142857142855
8,2018-11-27-20-vanderbilt,50.0,15,5.4,2,134.8,58.3,14,0.507,75,0.4,30,0.187,14,0.643,9,6,200,95.5,21.4,9,18,85,,13.5,12,0.573,43,0.37200000000000005,16,34.8,23,0.521,18.2,18,32,0.43799999999999994,14,0.33299999999999996,3,"November 27, 2018",64.3,27,31.3,10,95.5,78.6,33,0.7390000000000001,67,0.627,42,0.373,25,0.84,21,1,200,134.8,41.7,10,12,120,,10.1,9,0.44799999999999995,30,0.5,15,65.2,43,0.7609999999999999,19.6,19,37,0.73,27,0.833,5,"Memorial Gymnasium, Nashville, Tennessee",SAVANNAH-STATE,Savannah State,89.3,Home,VANDERBILT,Vanderbilt,Savannah State,meac,8,False,False,False,Away,False,16,14,75,23,66,15,27,67,0,1,101,125,610,0.4532786885245902,313,668,0.468562874251497,82,198,589,0.5449915110356537,0.375
9,2018-12-01-15-gardner-webb,76.2,16,2.5,1,122.8,57.1,20,0.37200000000000005,74,0.284,21,0.162,12,0.41700000000000004,5,7,200,75.9,30.4,14,13,60,,8.9,7,0.608,45,0.289,13,42.0,34,0.376,15.9,15,29,0.276,8,0.3,3,"December 1, 2018",77.8,28,20.7,6,75.9,69.6,32,0.5760000000000001,72,0.5,36,0.278,20,0.7,14,5,200,122.8,42.9,15,13,97,,12.7,10,0.444,32,0.344,11,58.0,47,0.595,11.0,10,40,0.625,25,0.444,4,"Paul Porter Arena, Boiling Springs, North Carolina",SAVANNAH-STATE,Savannah State,78.6,Home,GARDNER-WEBB,Gardner-Webb,Savannah State,meac,9,False,False,False,Away,False,13,8,74,34,81,11,25,72,0,1,117,139,685,0.4591240875912409,336,734,0.45776566757493187,97,225,656,0.5647865853658537,0.3333333333333333
