,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NAVY_homegame,NAVY_homegame2,NAVY_home,NAVY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-old-dominion,64.3,9,3.4,1,101.5,64.9,24,0.295,56,0.25,14,0.321,18,0.611,11,1,200,66.7,21.1,8,23,44,,6.1,4,0.375,21,0.23800000000000002,5,42.7,32,0.341,16.9,13,35,0.257,9,0.0,0,"November 6, 2018",75.0,15,22.9,8,66.7,78.9,30,0.446,56,0.35700000000000004,20,0.46399999999999997,26,0.654,17,0,200,101.5,35.1,13,19,67,,12.1,8,0.48200000000000004,27,0.37,10,57.3,43,0.49,10.6,8,29,0.345,10,1.0,1,"Ted Constant Convocation Ctr., Norfolk, Virginia",NAVY,Navy,66.5,Home,OLD-DOMINION,Old Dominion,Navy,patriot,0,False,False,False,Away,False,5,9,56,32,75,10,10,56,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-navy,48.0,12,12.5,4,79.2,77.1,27,0.466,59,0.424,25,0.45799999999999996,27,0.852,23,0,200,108.3,27.3,9,18,78,,11.1,8,0.39,23,0.217,5,52.9,36,0.5429999999999999,12.4,10,36,0.556,20,1.0,2,"November 9, 2018",78.9,15,8.3,3,108.3,72.7,24,0.433,52,0.365,19,0.385,20,0.6,12,2,200,79.2,22.9,8,20,57,,8.3,6,0.385,20,0.35,7,47.1,32,0.46299999999999997,21.9,17,32,0.375,12,0.0,0,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,71.7,Away,MARYLAND,Maryland,Navy,patriot,1,False,True,True,Home,False,7,12,52,32,68,5,20,59,0,1,5,9,56,0.29464285714285715,32,75,0.4266666666666667,10,10,56,0.44642857142857145,0.0
2,2018-11-14-19-navy,45.0,9,18.4,7,111.6,65.8,25,0.42,56,0.35700000000000004,20,0.268,15,0.733,11,3,200,84.1,25.7,9,20,58,,8.7,6,0.48200000000000004,27,0.259,7,46.6,34,0.45899999999999996,18.3,14,29,0.44799999999999995,13,0.0,0,"November 14, 2018",59.3,16,0.0,0,84.1,74.3,26,0.49200000000000005,63,0.429,27,0.302,19,0.789,15,2,200,111.6,34.2,13,16,77,,7.2,5,0.397,25,0.32,8,53.4,39,0.535,12.3,10,38,0.5,19,0.33299999999999996,1,"Alumni Hall, Annapolis, Maryland",COPPIN-STATE,Coppin State,68.6,Home,NAVY,Navy,Navy,patriot,2,True,False,True,Home,True,8,19,63,39,73,7,13,56,1,0,12,21,108,0.3611111111111111,64,143,0.44755244755244755,15,30,115,0.45652173913043476,0.0
3,2018-11-18-14-navy,58.3,14,2.4,1,115.3,65.4,17,0.49200000000000005,59,0.40700000000000003,24,0.441,26,0.8079999999999999,21,3,200,109.7,25.7,9,21,79,,6.9,5,0.5760000000000001,34,0.294,10,42.6,26,0.5539999999999999,11.3,9,25,0.56,14,0.25,1,"November 18, 2018",60.0,18,0.0,0,109.7,74.3,26,0.58,56,0.536,30,0.429,24,0.75,18,2,200,115.3,34.6,9,23,83,,4.2,3,0.268,15,0.33299999999999996,5,57.4,35,0.616,18.4,15,41,0.61,25,0.5,2,"Alumni Hall, Annapolis, Maryland",BRYANT,Bryant,72.4,Home,NAVY,Navy,Navy,patriot,3,True,False,True,Home,True,5,25,56,35,61,10,14,59,1,0,20,40,171,0.4093567251461988,103,216,0.47685185185185186,22,43,171,0.4444444444444444,0.3333333333333333
4,2018-11-20-19-morgan-state,40.0,6,5.6,3,104.2,66.7,24,0.384,43,0.349,15,0.512,22,0.818,18,3,200,70.8,23.1,6,10,51,,6.9,5,0.37200000000000005,16,0.188,3,48.4,30,0.47700000000000004,30.4,23,27,0.444,12,0.4,2,"November 20, 2018",66.7,20,29.6,8,70.8,76.9,20,0.479,73,0.41100000000000003,30,0.068,5,1.0,5,3,200,104.2,33.3,12,19,75,,18.1,13,0.26,19,0.526,10,51.6,32,0.498,11.7,10,54,0.37,20,0.25,1,"Hill Field House, Baltimore, Maryland",NAVY,Navy,71.9,Home,MORGAN-STATE,Morgan State,Navy,patriot,4,False,False,False,Away,False,3,12,43,30,62,10,20,73,0,1,25,65,227,0.45154185022026433,138,277,0.4981949458483754,32,57,230,0.45652173913043476,0.5
5,2018-11-28-19-navy,57.7,15,0.0,0,93.5,71.9,23,0.575,53,0.491,26,0.34,18,0.833,15,1,200,122.6,18.5,5,16,76,,12.9,8,0.45299999999999996,24,0.375,9,47.5,28,0.617,9.0,6,29,0.586,17,0.857,6,"November 28, 2018",65.2,15,6.9,2,122.6,81.5,22,0.455,55,0.418,23,0.23600000000000002,13,0.615,8,4,200,93.5,28.1,9,17,58,,3.2,2,0.436,24,0.16699999999999998,4,52.5,31,0.474,14.1,10,31,0.613,19,0.33299999999999996,2,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,62.4,Away,LIBERTY,Liberty,Navy,patriot,5,False,True,True,Home,False,4,19,55,31,59,9,17,53,0,1,28,77,270,0.44074074074074077,168,339,0.49557522123893805,42,77,303,0.46204620462046203,0.4
6,2018-12-01-16-navy,74.1,20,13.3,4,70.4,71.8,28,0.5429999999999999,58,0.466,27,0.10300000000000001,6,0.667,4,3,200,94.4,19.2,5,22,67,,11.3,8,0.466,27,0.33299999999999996,9,50.8,33,0.551,21.9,17,31,0.581,18,0.667,6,"December 1, 2018",57.1,8,9.7,3,94.4,80.8,21,0.324,54,0.259,14,0.315,17,0.882,15,5,200,70.4,28.2,11,15,50,,11.3,8,0.444,24,0.292,7,49.2,32,0.40299999999999997,23.6,19,30,0.233,7,0.28600000000000003,2,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,71.5,Away,BROWN,Brown,Navy,patriot,6,False,True,True,Home,False,7,7,54,32,65,9,18,58,0,1,32,96,325,0.4430769230769231,199,398,0.5,51,94,356,0.4789325842696629,0.3333333333333333
7,2018-12-05-19-delaware,46.4,13,3.4,1,103.2,67.6,23,0.478,67,0.418,28,0.34299999999999997,23,0.696,16,5,200,127.0,50.0,20,17,80,,4.8,3,0.26899999999999996,18,0.444,8,58.1,43,0.513,6.1,5,49,0.408,20,0.375,3,"December 5, 2018",52.0,13,10.2,5,127.0,50.0,20,0.578,51,0.49,25,0.294,15,0.4,6,3,200,103.2,32.4,11,21,65,,6.3,4,0.431,22,0.409,9,41.9,31,0.5589999999999999,20.7,15,29,0.552,16,0.7,7,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,62.5,Away,NAVY,Navy,Navy,patriot,7,False,False,False,Away,True,8,20,67,43,74,9,16,51,1,0,39,103,379,0.4261213720316623,231,463,0.49892008639308855,60,112,414,0.48792270531400966,0.2857142857142857
8,2018-12-09-14-lipscomb,45.5,10,2.6,1,146.6,70.8,17,0.53,50,0.44,22,0.58,29,0.966,28,6,200,111.0,24.1,7,22,81,,8.2,6,0.46,23,0.391,9,45.3,24,0.635,19.3,15,27,0.48100000000000004,13,0.33299999999999996,3,"December 9, 2018",65.8,25,7.4,2,111.0,75.9,22,0.7290000000000001,59,0.644,38,0.441,26,0.8079999999999999,21,2,200,146.6,29.2,7,22,107,,9.6,7,0.35600000000000004,21,0.47600000000000003,10,54.7,29,0.75,11.3,9,38,0.737,28,0.778,7,"Allen Arena, Nashville, Tennessee",NAVY,Navy,72.6,Home,LIPSCOMB,Lipscomb,Navy,patriot,8,False,False,False,Away,False,9,13,50,24,53,10,28,59,0,1,47,123,446,0.43385650224215244,274,537,0.5102420856610801,69,128,465,0.4978494623655914,0.375
9,2018-12-21-19-george-mason,50.0,10,0.0,0,118.3,80.8,21,0.408,60,0.33299999999999996,20,0.317,19,0.737,14,7,200,88.7,17.1,7,14,63,,9.9,7,0.41700000000000004,25,0.36,9,41.8,28,0.456,12.8,10,35,0.314,11,0.3,3,"December 21, 2018",62.1,18,11.4,4,88.7,82.9,34,0.616,56,0.518,29,0.35700000000000004,20,0.75,15,6,200,118.3,19.2,5,15,84,,11.3,8,0.446,25,0.44,11,58.2,39,0.6409999999999999,13.4,10,31,0.581,18,0.5,6,"EagleBank Arena, Fairfax, Virginia",NAVY,Navy,71.3,Home,GEORGE-MASON,George Mason,Navy,patriot,9,False,False,False,Away,False,9,11,60,28,67,11,18,56,0,1,56,136,496,0.4435483870967742,298,590,0.5050847457627119,79,156,524,0.523854961832061,0.3333333333333333
10,2018-12-30-13-cornell,40.0,8,3.1,1,89.7,76.5,26,0.319,69,0.29,20,0.13,9,0.667,6,8,200,73.5,27.1,13,24,50,,7.4,5,0.261,18,0.222,4,47.6,39,0.341,11.0,9,51,0.314,16,0.273,3,"December 30, 2018",65.0,13,9.8,5,73.5,72.9,35,0.43,50,0.4,20,0.5,25,0.72,18,7,200,89.7,23.5,8,8,61,,4.4,3,0.36,18,0.16699999999999998,3,52.4,43,0.493,17.6,13,32,0.531,17,0.462,6,"Newman Arena, Ithaca, New York",NAVY,Navy,68.1,Home,CORNELL,Cornell,Navy,patriot,10,False,False,False,Away,False,4,16,69,39,82,3,17,50,0,1,65,147,556,0.4397482014388489,326,657,0.4961948249619482,90,174,580,0.5327586206896552,0.3
