,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WAGNER_homegame,WAGNER_homegame2,WAGNER_home,WAGNER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-seton-hall,55.6,10,2.9,1,134.8,62.1,18,0.375,56,0.321,18,0.179,10,0.7,7,1,198,74.2,27.8,10,21,49,,6.1,4,0.46399999999999997,26,0.231,6,43.1,28,0.40299999999999997,20.9,16,30,0.4,12,0.0,0,"November 6, 2018",66.7,20,26.7,8,74.2,72.2,26,0.603,58,0.517,30,0.431,25,0.76,19,0,198,134.8,37.9,11,17,89,,16.7,11,0.414,24,0.41700000000000004,10,56.9,37,0.637,9.2,7,34,0.588,20,1.0,1,"Walsh Gymnasium, South Orange, New Jersey",WAGNER,Wagner,67.0,Home,SETON-HALL,Seton Hall,Wagner,northeast,0,False,False,False,Away,False,6,12,56,28,65,10,20,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-13-massachusetts-lowell,46.4,13,8.1,3,110.0,71.9,23,0.47100000000000003,70,0.4,28,0.34299999999999997,24,0.75,18,2,225,105.0,35.1,13,26,84,,7.5,6,0.44299999999999995,31,0.32299999999999995,10,52.2,36,0.516,11.0,10,39,0.462,18,0.0,0,"November 10, 2018",60.0,18,10.3,4,105.0,64.9,24,0.5479999999999999,63,0.47600000000000003,30,0.47600000000000003,30,0.633,19,1,225,110.0,28.1,9,22,88,,3.8,3,0.413,26,0.34600000000000003,9,47.8,33,0.57,14.6,13,37,0.568,21,0.5,1,"Costello Athletic Center, Lowell, Massachusetts",WAGNER,Wagner,71.0,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Wagner,northeast,1,False,False,False,Away,False,10,18,70,36,69,9,21,63,0,1,6,12,56,0.375,28,65,0.4307692307692308,10,20,58,0.603448275862069,0.0
2,2018-11-13-19-wagner,38.9,7,2.9,1,126.8,51.6,16,0.39799999999999996,59,0.305,18,0.254,15,0.733,11,0,200,81.7,11.9,5,18,58,,7.0,5,0.61,36,0.306,11,28.8,21,0.439,15.5,12,23,0.304,7,0.0,0,"November 13, 2018",50.0,16,26.1,6,81.7,88.1,37,0.598,61,0.525,32,0.426,26,0.654,17,2,200,126.8,48.4,15,20,90,,9.9,7,0.426,26,0.34600000000000003,9,71.2,52,0.613,12.1,10,35,0.657,23,0.33299999999999996,1,"Spiro Sports Center, Staten Island, New York","SUNY-Cortland
			","SUNY-Cortland
			",70.7,Home,WAGNER,Wagner,Wagner,northeast,2,True,False,True,Home,True,9,23,61,52,73,11,7,59,1,0,16,30,126,0.42857142857142855,64,134,0.47761194029850745,19,41,121,0.5743801652892562,0.0
3,2018-11-17-13-fairfield,26.7,8,24.2,8,100.0,87.9,29,0.516,62,0.484,30,0.355,22,0.682,15,2,200,108.2,44.4,16,18,79,,5.5,4,0.32299999999999995,20,0.2,4,65.2,45,0.545,18.2,16,42,0.619,26,0.5,2,"November 17, 2018",50.0,13,2.4,1,108.2,55.6,20,0.534,59,0.441,26,0.237,14,0.7140000000000001,10,3,200,100.0,12.1,4,20,73,,8.2,6,0.441,26,0.423,11,34.8,24,0.556,15.6,12,33,0.455,15,0.25,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,73.1,Away,WAGNER,Wagner,Wagner,northeast,3,False,False,False,Away,True,4,26,62,45,69,11,15,59,1,0,25,53,187,0.4839572192513369,116,207,0.5603864734299517,30,48,180,0.5166666666666667,0.3333333333333333
4,2018-11-20-19-wagner,21.1,4,9.4,3,82.2,55.3,21,0.5,43,0.442,19,0.977,42,0.667,28,1,200,97.3,23.1,6,22,71,,12.3,9,0.302,13,0.385,5,42.2,27,0.564,18.5,14,30,0.467,14,0.833,5,"November 20, 2018",58.8,10,6.7,2,97.3,76.9,20,0.36,57,0.298,17,0.526,30,0.633,19,3,200,82.2,44.7,17,36,60,,15.1,11,0.439,25,0.28,7,57.8,37,0.42100000000000004,23.0,21,32,0.313,10,0.4,2,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,73.1,Away,NJIT,NJIT,Wagner,northeast,4,False,True,True,Home,False,7,10,57,37,64,5,14,43,0,1,29,79,249,0.4919678714859438,161,276,0.5833333333333334,41,63,239,0.5209205020920502,0.5
5,2018-11-24-14-wagner,70.0,21,10.5,2,84.4,87.9,29,0.602,59,0.508,30,0.49200000000000005,29,0.621,18,1,200,115.6,30.0,9,18,89,,10.4,8,0.40700000000000003,24,0.45799999999999996,11,60.3,38,0.611,17.3,15,35,0.5429999999999999,19,0.667,2,"November 24, 2018",72.7,16,17.1,6,115.6,70.0,21,0.5379999999999999,52,0.423,22,0.308,16,0.563,9,4,200,84.4,12.1,4,25,65,,9.1,7,0.635,33,0.364,12,39.7,25,0.545,24.3,19,19,0.526,10,0.33299999999999996,2,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,76.7,Away,RIDER,Rider,Wagner,northeast,5,False,True,True,Home,False,12,10,52,25,63,11,19,59,0,1,36,89,306,0.4673202614379085,198,340,0.5823529411764706,46,77,282,0.5177304964539007,0.4
6,2018-11-30-19-american,40.0,8,4.2,1,98.3,78.6,22,0.45899999999999996,49,0.408,20,0.449,22,0.8640000000000001,19,4,200,108.5,37.9,11,24,64,,3.4,2,0.28600000000000003,14,0.35700000000000004,5,57.9,33,0.5379999999999999,17.0,12,35,0.429,15,0.429,3,"November 30, 2018",47.1,8,2.9,1,108.5,62.1,18,0.475,40,0.425,17,0.75,30,0.667,20,2,200,98.3,21.4,6,18,58,,16.9,10,0.4,16,0.25,4,42.1,24,0.535,15.8,10,24,0.542,13,0.667,4,"Bender Arena, Washington, District of Columbia",AMERICAN,American,59.4,Away,WAGNER,Wagner,Wagner,northeast,6,False,False,False,Away,True,5,15,49,33,57,4,13,40,1,0,48,99,358,0.4776536312849162,223,403,0.5533498759305211,57,96,341,0.532258064516129,0.3333333333333333
7,2018-12-09-14-wagner,62.5,10,2.6,1,136.4,50.0,11,0.36700000000000005,49,0.327,16,0.6940000000000001,34,0.618,21,0,200,74.0,17.9,7,19,57,,7.8,6,0.28600000000000003,14,0.28600000000000003,4,29.5,18,0.43700000000000006,22.9,19,35,0.34299999999999997,12,0.0,0,"December 9, 2018",67.5,27,5.7,2,74.0,82.1,32,0.7140000000000001,63,0.635,40,0.28600000000000003,18,0.833,15,4,200,136.4,50.0,11,26,105,,18.2,14,0.397,25,0.4,10,70.5,43,0.7340000000000001,19.3,17,38,0.789,30,0.5,4,"Spiro Sports Center, Staten Island, New York","New Rochelle
			","New Rochelle
			",77.4,Home,WAGNER,Wagner,Wagner,northeast,7,True,False,True,Home,True,10,30,63,43,61,4,12,49,1,0,53,114,407,0.47542997542997545,256,460,0.5565217391304348,61,109,381,0.526246719160105,0.42857142857142855
8,2018-12-16-16-st-johns-ny,50.0,9,12.5,3,101.4,80.6,25,0.41700000000000004,54,0.33299999999999996,18,0.426,23,0.565,13,5,200,80.6,22.9,8,22,58,,11.1,8,0.537,29,0.31,9,50.0,33,0.447,19.0,15,25,0.36,9,0.444,4,"December 16, 2018",81.8,18,8.0,2,80.6,77.1,27,0.5710000000000001,49,0.449,22,0.5710000000000001,28,0.607,17,0,200,101.4,19.4,6,19,73,,11.1,8,0.51,25,0.48,12,50.0,33,0.586,19.7,15,24,0.41700000000000004,10,1.0,10,"Carnesecca Arena, Jamaica, New York",WAGNER,Wagner,71.6,Home,ST-JOHNS-NY,St. John's (NY),Wagner,northeast,8,False,False,False,Away,False,9,9,54,33,66,12,10,49,0,1,63,144,470,0.5074468085106383,299,521,0.5738963531669866,65,121,430,0.5081395348837209,0.5
9,2018-12-22-14-wagner,40.9,9,0.0,0,105.5,68.0,17,0.529,51,0.431,22,0.33299999999999996,17,0.8240000000000001,14,8,200,93.2,26.1,6,27,68,,9.6,7,0.5489999999999999,28,0.35700000000000004,10,47.9,23,0.5760000000000001,26.4,21,23,0.522,12,0.385,5,"December 22, 2018",57.9,11,26.1,6,93.2,73.9,17,0.469,48,0.396,19,0.75,36,0.889,32,5,200,105.5,32.0,8,18,77,,11.0,8,0.521,25,0.28,7,52.1,25,0.591,19.0,15,23,0.522,12,0.5,5,"Spiro Sports Center, Staten Island, New York",HARTFORD,Hartford,73.1,Home,WAGNER,Wagner,Wagner,northeast,9,True,False,True,Home,True,7,12,48,25,48,10,12,51,1,0,72,153,524,0.49809160305343514,332,587,0.565587734241908,77,131,479,0.5146137787056367,0.4444444444444444
