,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,INCARNATE-WORD_homegame,INCARNATE-WORD_homegame2,INCARNATE-WORD_home,INCARNATE-WORD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-texas-tech,53.8,7,5.7,2,126.1,54.5,12,0.28600000000000003,49,0.265,13,0.265,13,0.6920000000000001,9,1,200,53.6,29.4,10,20,37,,10.1,7,0.265,13,0.154,2,39.3,22,0.335,33.0,27,36,0.306,11,0.0,0,"November 6, 2018",55.9,19,30.6,11,53.6,70.6,24,0.675,57,0.596,34,0.228,13,0.769,10,0,200,126.1,45.5,10,16,87,,18.8,13,0.386,22,0.409,9,60.7,34,0.6890000000000001,17.2,13,35,0.7140000000000001,25,1.0,1,"United Supermarkets Arena, Lubbock, Texas",INCARNATE-WORD,Incarnate Word,69.2,Home,TEXAS-TECH,Texas Tech,Incarnate Word,southland,0,False,False,False,Away,False,2,11,49,22,56,9,25,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-incarnate-word,37.5,6,0.0,0,98.4,73.3,11,0.33899999999999997,56,0.28600000000000003,16,0.268,15,0.733,11,0,200,76.6,29.3,12,19,49,,10.9,7,0.429,24,0.25,6,41.1,23,0.38799999999999996,17.2,13,32,0.313,10,0.0,0,"November 9, 2018",45.8,11,3.1,1,76.6,70.7,29,0.613,40,0.6,24,0.475,19,0.737,14,1,200,98.4,26.7,4,18,63,,3.1,2,0.2,8,0.125,1,58.9,33,0.643,27.1,18,32,0.7190000000000001,23,0.5,1,"McDermott Center, San Antonio, Texas","St. Francis (IL)
			","St. Francis (IL)
			",63.6,Home,INCARNATE-WORD,Incarnate Word,Incarnate Word,southland,1,True,False,True,Home,True,1,23,40,33,56,6,10,56,1,0,2,11,49,0.2857142857142857,22,56,0.39285714285714285,9,25,57,0.6754385964912281,0.0
2,2018-11-10-20-incarnate-word,62.5,10,2.6,1,98.5,70.8,17,0.38,54,0.29600000000000004,16,0.259,14,0.929,13,0,200,80.6,34.5,10,25,54,,7.5,5,0.593,32,0.281,9,50.9,27,0.445,22.0,17,22,0.318,7,0.0,0,"November 10, 2018",47.8,11,4.5,1,80.6,65.5,19,0.511,47,0.489,23,0.447,21,0.857,18,1,200,98.5,29.2,7,15,66,,7.5,5,0.191,9,0.222,2,49.1,26,0.579,22.1,16,38,0.5529999999999999,21,0.667,2,"McDermott Center, San Antonio, Texas","Texas-Tyler
			","Texas-Tyler
			",66.8,Home,INCARNATE-WORD,Incarnate Word,Incarnate Word,southland,2,True,False,True,Home,True,2,21,47,26,53,9,7,54,1,0,3,34,89,0.43258426966292135,55,112,0.49107142857142855,15,35,113,0.5088495575221239,0.5
3,2018-11-12-20-incarnate-word,27.3,6,0.0,0,106.1,70.8,17,0.355,69,0.319,22,0.188,13,0.769,10,0,200,89.4,43.2,19,23,59,,10.6,7,0.319,22,0.22699999999999998,5,52.9,36,0.392,11.8,10,47,0.36200000000000004,17,0.0,0,"November 12, 2018",33.3,7,8.5,4,89.4,56.8,25,0.46799999999999997,47,0.447,21,0.617,29,0.897,26,1,200,106.1,29.2,7,15,70,,4.5,3,0.255,12,0.16699999999999998,2,47.1,32,0.5760000000000001,16.7,12,35,0.5429999999999999,19,0.75,3,"McDermott Center, San Antonio, Texas","Texas Lutheran
			","Texas Lutheran
			",66.0,Home,INCARNATE-WORD,Incarnate Word,Incarnate Word,southland,3,True,False,True,Home,True,2,19,47,32,68,5,17,69,1,0,5,55,136,0.45955882352941174,81,165,0.4909090909090909,24,42,167,0.46706586826347307,0.6666666666666666
4,2018-11-16-11-montana,42.9,9,0.0,0,136.8,68.4,13,0.521,48,0.43799999999999994,21,0.479,23,0.696,16,2,200,97.1,17.9,5,14,66,,7.4,5,0.33299999999999996,16,0.5,8,38.3,18,0.56,17.1,12,32,0.406,13,0.6,3,"November 16, 2018",52.6,20,9.4,3,97.1,82.1,23,0.721,61,0.623,38,0.14800000000000002,9,0.556,5,0,200,136.8,31.6,6,17,93,,10.3,7,0.426,26,0.462,12,61.7,29,0.7120000000000001,13.3,10,35,0.743,26,1.0,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",INCARNATE-WORD,Incarnate Word,67.6,Home,MONTANA,Montana,Incarnate Word,southland,4,False,False,False,Away,False,8,13,48,18,47,12,26,61,0,1,7,74,183,0.46174863387978143,113,233,0.48497854077253216,29,59,236,0.4343220338983051,0.75
5,2018-11-17-11-north-dakota-state,39.3,11,7.4,2,106.8,82.6,19,0.5870000000000001,52,0.5379999999999999,28,0.442,23,0.826,19,2,225,109.6,22.7,5,19,80,,11.0,8,0.231,12,0.41700000000000004,5,53.3,24,0.636,19.5,15,40,0.575,23,0.667,4,"November 17, 2018",55.6,15,17.5,7,109.6,77.3,17,0.64,50,0.54,27,0.38,19,0.737,14,3,225,106.8,17.4,4,22,78,,4.1,3,0.46,23,0.435,10,46.7,21,0.6609999999999999,24.6,19,27,0.63,17,0.25,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",NORTH-DAKOTA-STATE,North Dakota State,65.3,Away,INCARNATE-WORD,Incarnate Word,Incarnate Word,southland,5,False,False,False,Away,True,5,23,52,24,45,10,17,50,1,0,15,87,231,0.474025974025974,131,280,0.46785714285714286,41,85,297,0.49326599326599324,0.6
6,2018-11-18-14-florida-atlantic,59.1,13,13.0,3,110.9,76.2,16,0.51,49,0.449,22,0.429,21,0.857,18,3,200,106.3,22.2,6,24,68,,12.5,8,0.429,21,0.28600000000000003,6,45.8,22,0.5770000000000001,12.1,8,28,0.5710000000000001,16,0.5710000000000001,4,"November 18, 2018",65.0,13,3.6,1,106.3,77.8,21,0.56,42,0.47600000000000003,20,0.643,27,0.889,24,1,200,110.9,23.8,5,14,71,,3.1,2,0.452,19,0.368,7,54.2,26,0.648,25.0,18,23,0.565,13,0.8,4,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",INCARNATE-WORD,Incarnate Word,64.4,Home,FLORIDA-ATLANTIC,Florida Atlantic,Incarnate Word,southland,6,False,False,False,Away,False,6,16,49,22,48,7,13,42,0,1,20,110,283,0.49469964664310956,155,325,0.47692307692307695,51,102,347,0.5144092219020173,0.6666666666666666
7,2018-11-21-20-incarnate-word,53.3,16,5.3,2,87.7,87.5,28,0.667,54,0.556,30,0.37,20,0.9,18,0,200,123.3,35.0,7,17,90,,6.8,5,0.40700000000000003,22,0.545,12,67.3,35,0.7090000000000001,19.3,15,32,0.563,18,1.0,3,"November 21, 2018",37.5,9,3.1,1,123.3,65.0,13,0.447,57,0.42100000000000004,24,0.281,16,0.813,13,4,200,87.7,12.5,4,22,64,,6.8,5,0.33299999999999996,19,0.158,3,32.7,17,0.495,16.9,13,38,0.5529999999999999,21,0.5,4,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,72.6,Away,NORTHERN-COLORADO,Northern Colorado,Incarnate Word,southland,7,False,True,True,Home,False,3,21,57,17,52,12,18,54,0,1,26,126,332,0.49698795180722893,177,373,0.4745308310991957,58,115,389,0.519280205655527,0.5714285714285714
8,2018-11-25-15-southern-illinois-edwardsville,40.9,9,2.6,1,121.2,67.7,21,0.469,48,0.45799999999999996,22,0.521,25,0.92,23,5,200,103.0,17.4,4,15,68,,7.6,5,0.146,7,0.14300000000000002,1,46.3,25,0.568,15.7,11,41,0.512,21,0.444,4,"November 25, 2018",48.3,14,2.4,1,103.0,82.6,19,0.5589999999999999,59,0.49200000000000005,29,0.28800000000000003,17,0.8240000000000001,14,3,200,121.2,32.3,10,18,80,,10.6,7,0.35600000000000004,21,0.381,8,53.7,29,0.596,10.7,8,38,0.5529999999999999,21,0.25,1,"Sam Vadalabene Center , Edwardsville, Illinois",INCARNATE-WORD,Incarnate Word,66.0,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,Incarnate Word,southland,8,False,False,False,Away,False,1,21,48,25,54,8,21,59,0,1,29,147,389,0.4897172236503856,194,425,0.45647058823529413,70,133,443,0.5372460496613995,0.5
9,2018-12-04-20-incarnate-word,61.9,13,0.0,0,115.5,69.2,18,0.46299999999999997,54,0.389,21,0.222,12,0.583,7,0,200,80.3,11.8,4,16,57,,11.3,8,0.426,23,0.348,8,36.7,22,0.47700000000000004,19.1,14,31,0.419,13,0.0,0,"December 4, 2018",46.7,14,6.5,2,80.3,88.2,30,0.609,55,0.545,30,0.327,18,0.833,15,5,200,115.5,30.8,8,13,82,,9.9,7,0.327,18,0.389,7,63.3,38,0.645,20.3,16,37,0.622,23,0.5,5,"McDermott Center, San Antonio, Texas","Trinity (TX)
			","Trinity (TX)
			",70.6,Home,INCARNATE-WORD,Incarnate Word,Incarnate Word,southland,9,True,False,True,Home,True,7,23,55,38,60,8,13,54,1,0,30,168,437,0.4874141876430206,219,479,0.4572025052192067,78,154,502,0.5398406374501992,0.4444444444444444
