,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WRIGHT-STATE_homegame,WRIGHT-STATE_homegame2,WRIGHT-STATE_home,WRIGHT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-wright-state,33.3,9,0.0,0,120.0,82.1,23,0.49200000000000005,63,0.429,27,0.317,20,0.55,11,1,200,91.3,25.0,9,21,73,,11.3,9,0.381,24,0.33299999999999996,8,50.0,32,0.503,18.2,16,39,0.48700000000000004,19,0.0,0,"November 7, 2018",59.4,19,2.6,1,91.3,75.0,27,0.655,58,0.552,32,0.483,28,0.7140000000000001,20,0,200,120.0,17.9,5,20,96,,11.3,9,0.44799999999999995,26,0.462,12,50.0,32,0.6729999999999999,16.6,14,32,0.625,20,1.0,1,"Ervin J. Nutter Center, Dayton, Ohio",WESTERN-CAROLINA,Western Carolina,79.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,0,True,False,True,Home,True,12,20,58,32,64,8,19,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-murray-state,33.3,7,0.0,0,110.6,57.1,16,0.409,55,0.382,21,0.309,17,0.529,9,1,200,81.8,17.1,6,15,54,,10.6,7,0.327,18,0.16699999999999998,3,34.9,22,0.428,15.0,11,37,0.486,18,0.5,1,"November 10, 2018",63.0,17,13.5,5,81.8,82.9,29,0.64,50,0.54,27,0.28,14,0.643,9,0,200,110.6,42.9,12,20,73,,3.0,2,0.44,22,0.455,10,65.1,41,0.644,26.3,20,28,0.607,17,1.0,1,"CFSB Center, Murray, Kentucky",WRIGHT-STATE,Wright State,66.4,Home,MURRAY-STATE,Murray State,Wright State,horizon,1,False,False,False,Away,False,3,18,55,22,63,10,17,50,0,1,12,20,58,0.6551724137931034,32,64,0.5,8,19,63,0.49206349206349204,1.0
2,2018-11-14-19-wright-state,47.6,10,12.5,4,105.0,73.3,22,0.474,58,0.36200000000000004,21,0.414,24,0.792,19,1,200,92.5,5.3,2,21,74,,3.8,3,0.552,32,0.406,13,35.3,24,0.5329999999999999,15.9,13,26,0.308,8,0.667,2,"November 14, 2018",33.3,9,7.7,2,92.5,94.7,36,0.542,59,0.45799999999999996,27,0.441,26,0.769,20,1,200,105.0,26.7,8,20,84,,2.5,2,0.45799999999999996,27,0.37,10,64.7,44,0.589,18.5,16,32,0.531,17,0.667,2,"Ervin J. Nutter Center, Dayton, Ohio",TOLEDO,Toledo,79.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,2,True,False,True,Home,True,10,17,59,44,68,13,8,58,1,0,15,38,113,0.5353982300884956,54,127,0.4251968503937008,18,36,113,0.5575221238938053,0.5
3,2018-11-17-15-wright-state,48.0,12,8.3,3,123.6,65.5,19,0.557,53,0.47200000000000003,25,0.302,16,0.813,13,3,200,100.0,15.4,4,27,72,,12.5,9,0.434,23,0.391,9,41.8,23,0.594,15.5,11,30,0.5329999999999999,16,0.25,1,"November 17, 2018",59.3,16,3.3,1,100.0,84.6,22,0.602,54,0.5,27,0.63,34,0.706,24,1,200,123.6,34.5,10,14,89,,11.1,8,0.33299999999999996,18,0.611,11,58.2,32,0.634,18.8,16,36,0.444,16,0.75,3,"Ervin J. Nutter Center, Dayton, Ohio",NORTH-FLORIDA,North Florida,71.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,3,True,False,True,Home,True,11,16,54,32,55,9,16,53,1,0,25,55,172,0.5377906976744186,98,195,0.5025641025641026,31,44,171,0.5292397660818714,0.6666666666666666
4,2018-11-20-20-penn-state,38.1,8,6.1,2,111.6,81.0,17,0.45299999999999996,53,0.396,21,0.302,16,0.688,11,2,200,85.5,17.2,5,16,59,,7.2,5,0.415,22,0.273,6,44.0,22,0.48700000000000004,20.0,15,31,0.484,15,0.6,3,"November 20, 2018",44.8,13,0.0,0,85.5,82.8,24,0.67,50,0.58,29,0.28,14,0.7140000000000001,10,1,200,111.6,19.0,4,22,77,,11.6,8,0.34,17,0.529,9,56.0,28,0.68,21.1,15,33,0.606,20,0.75,3,"Hard Rock Hotel Riviera Maya, Cancun",WRIGHT-STATE,Wright State,69.1,Home,PENN-STATE,Penn State,Wright State,horizon,4,False,False,False,Away,False,6,15,53,22,50,9,20,50,0,1,36,71,226,0.5530973451327433,130,250,0.52,40,60,224,0.5357142857142857,0.75
5,2018-11-21-18-southern-methodist,72.4,21,3.0,1,122.2,68.2,15,0.621,58,0.5,29,0.138,8,0.5,4,3,200,120.6,30.8,8,8,76,,9.5,6,0.466,27,0.519,14,47.9,23,0.615,14.0,10,31,0.484,15,0.5,3,"November 21, 2018",30.0,9,12.9,4,120.6,69.2,18,0.648,54,0.556,30,0.14800000000000002,8,0.875,7,3,200,122.2,31.8,7,13,77,,9.5,6,0.389,21,0.47600000000000003,10,52.1,25,0.6659999999999999,17.3,12,33,0.606,20,0.5,3,"Hard Rock Hotel Riviera Maya, Cancun",WRIGHT-STATE,Wright State,63.3,Home,SOUTHERN-METHODIST,SMU,Wright State,horizon,5,False,False,False,Away,False,14,15,58,23,48,10,20,54,0,1,42,86,279,0.5340501792114696,152,300,0.5066666666666667,49,80,274,0.5602189781021898,0.6
6,2018-11-27-19-wright-state,50.0,6,15.6,5,90.6,60.0,27,0.28800000000000003,52,0.231,12,0.212,11,0.818,9,0,200,60.9,20.5,8,16,39,,7.8,5,0.40399999999999997,21,0.28600000000000003,6,41.7,35,0.341,20.9,15,31,0.19399999999999998,6,0.0,0,"November 27, 2018",71.4,15,12.9,4,60.9,79.5,31,0.39399999999999996,66,0.318,21,0.152,10,0.6,6,3,200,90.6,40.0,18,11,58,,12.5,8,0.515,34,0.294,10,58.3,49,0.41,13.5,11,32,0.344,11,0.5710000000000001,4,"Ervin J. Nutter Center, Dayton, Ohio","Cedarville
			","Cedarville
			",64.0,Home,WRIGHT-STATE,Wright State,Wright State,horizon,6,True,False,True,Home,True,10,11,66,49,84,6,6,52,1,0,56,101,337,0.5489614243323442,175,348,0.5028735632183908,59,100,328,0.5746951219512195,0.5
7,2018-12-01-14-indiana-state,71.4,15,0.0,0,104.5,75.9,22,0.46399999999999997,55,0.382,21,0.273,15,0.8,12,4,200,95.5,23.1,6,20,63,,6.1,4,0.418,23,0.391,9,50.9,28,0.507,16.3,12,32,0.375,12,0.5,4,"December 1, 2018",29.2,7,15.6,5,95.5,76.9,20,0.55,50,0.48,24,0.46,23,0.609,14,1,200,104.5,24.1,7,19,69,,10.6,7,0.26,13,0.5379999999999999,7,49.1,27,0.5660000000000001,13.0,9,37,0.45899999999999996,17,0.833,5,"Hulman Center, Terre Haute, Indiana",WRIGHT-STATE,Wright State,65.5,Home,INDIANA-STATE,Indiana State,Wright State,horizon,7,False,False,False,Away,False,9,12,55,28,55,7,17,50,0,1,66,112,403,0.5235732009925558,224,432,0.5185185185185185,65,106,380,0.5355263157894737,0.5714285714285714
8,2018-12-05-19-wright-state,45.8,11,7.4,2,101.6,76.0,19,0.546,54,0.444,24,0.278,15,0.4,6,4,200,106.6,39.4,13,18,65,,3.3,2,0.426,23,0.478,11,55.2,32,0.532,17.7,13,31,0.419,13,0.556,5,"December 5, 2018",65.0,13,16.1,5,106.6,60.6,20,0.49,48,0.41700000000000004,20,0.45799999999999996,22,0.682,15,5,200,101.6,24.0,6,12,62,,8.2,5,0.43799999999999994,21,0.33299999999999996,7,44.8,26,0.53,13.5,9,27,0.48100000000000004,13,0.444,4,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,61.3,Away,MIAMI-OH,Miami (OH),Wright State,horizon,8,False,True,True,Home,False,7,13,48,26,58,11,13,54,0,1,75,124,458,0.5163755458515283,252,487,0.5174537987679672,72,123,430,0.5372093023255814,0.5
9,2018-12-08-16-kent-state,44.0,11,10.0,4,127.7,67.7,21,0.588,51,0.49,25,0.373,19,0.8420000000000001,16,6,200,116.9,16.7,4,20,76,,4.6,3,0.431,22,0.455,10,45.5,25,0.633,11.9,8,29,0.517,15,0.4,4,"December 8, 2018",36.7,11,6.9,2,116.9,83.3,20,0.588,57,0.526,30,0.42100000000000004,24,0.667,16,1,200,127.7,32.3,10,18,83,,6.2,4,0.298,17,0.41200000000000003,7,54.5,30,0.607,10.6,8,40,0.575,23,0.889,8,"Memorial Athletic & Convocation Center, Kent, Ohio",WRIGHT-STATE,Wright State,65.2,Home,KENT-STATE,Kent State,Wright State,horizon,9,False,False,False,Away,False,10,15,51,25,55,7,23,57,0,1,82,137,506,0.5138339920948617,278,545,0.5100917431192661,83,136,484,0.5382231404958677,0.4444444444444444
