,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-22-cal-poly,51.7,15,9.4,3,113.9,72.0,18,0.559,59,0.492,29,0.322,19,0.474,9,0,200,104.2,16.1,5,23,75,,6.9,5,0.271,16,0.5,8,41.1,23,0.551,14.0,11,43,0.488,21,0.0,0,"November 7, 2018",53.8,14,18.6,8,104.2,83.9,26,0.61,50,0.52,26,0.56,28,0.75,21,0,200,113.9,28.0,7,20,82,,8.3,6,0.36,18,0.5,9,58.9,33,0.648,18.3,14,32,0.531,17,1.0,1,"Robert A. Mott Gymnasium, San Luis Obispo, California","Menlo
			","Menlo
			",72.2,Home,CAL-POLY,Cal Poly,Cal Poly,big-west
2018-11-11-17-arizona,39.1,9,0.0,0,110.8,64.7,22,0.467,60,0.383,23,0.15,9,0.556,5,1,200,82.4,15.2,5,17,61,,2.7,2,0.417,25,0.4,10,40.3,27,0.475,21.0,17,35,0.371,13,0.5,1,"November 11, 2018",50.0,16,0.0,0,82.4,84.8,28,0.521,70,0.457,32,0.2,14,0.643,9,0,200,110.8,35.3,12,17,82,,10.8,8,0.329,23,0.391,9,59.7,40,0.535,8.4,7,47,0.489,23,1.0,2,"McKale Center, Tucson, Arizona",CAL-POLY,Cal Poly,74.0,Home,ARIZONA,Arizona,Cal Poly,big-west
2018-11-19-21-washington-state,50.0,14,2.6,1,118.3,62.5,20,0.524,62,0.452,28,0.113,7,0.714,5,2,200,98.6,31.3,10,13,70,,7.0,5,0.484,30,0.3,9,46.9,30,0.536,19.7,16,32,0.594,19,0.333,1,"November 19, 2018",75.8,25,3.1,1,98.6,68.8,22,0.575,67,0.493,33,0.179,12,0.583,7,1,200,118.3,37.5,12,13,84,,9.9,7,0.433,29,0.379,11,53.1,34,0.578,12.2,10,38,0.579,22,0.667,2,"Beasley Coliseum, Pullman, Washington",CAL-POLY,Cal Poly,71.0,Home,WASHINGTON-STATE,Washington State,Cal Poly,big-west
2018-11-21-19-cal-poly,77.3,17,4.0,1,68.9,86.2,25,0.481,52,0.423,22,0.115,6,0.667,4,1,200,88.5,30.4,7,20,54,,6.6,4,0.308,16,0.375,6,61.5,32,0.492,22.7,16,36,0.444,16,0.75,3,"November 21, 2018",53.3,8,5.6,2,88.5,69.6,16,0.402,41,0.366,15,0.341,14,0.643,9,3,200,68.9,13.8,4,10,42,,14.8,9,0.39,16,0.188,3,38.5,20,0.441,24.1,15,25,0.48,12,0.25,1,"Chiles Center, Portland, Oregon",CAL-POLY,Cal Poly,61.3,Away,TEXAS-STATE,Texas State,Cal Poly,big-west
2018-11-23-22-portland,64.0,16,9.5,2,102.9,83.9,26,0.446,65,0.385,25,0.185,12,0.75,9,4,200,95.7,27.8,10,24,67,,5.7,4,0.431,28,0.286,8,53.7,36,0.474,12.5,10,37,0.459,17,0.2,1,"November 23, 2018",85.7,18,21.6,8,95.7,72.2,26,0.54,50,0.42,21,0.56,28,0.643,18,2,200,102.9,16.1,5,15,72,,8.6,6,0.58,29,0.414,12,46.3,31,0.569,15.0,11,21,0.429,9,0.714,5,"Chiles Center, Portland, Oregon",CAL-POLY,Cal Poly,70.0,Home,PORTLAND,Portland,Cal Poly,big-west
2018-11-24-17-cal-poly,74.1,20,5.0,2,100.0,76.3,29,0.485,68,0.397,27,0.162,11,0.727,8,5,225,98.7,26.3,10,22,74,,9.3,7,0.485,33,0.364,12,51.3,39,0.505,14.1,12,35,0.429,15,0.167,1,"November 24, 2018",57.1,16,14.3,5,98.7,73.7,28,0.516,62,0.452,28,0.355,22,0.5,11,4,225,100.0,23.7,9,15,75,,6.7,5,0.355,22,0.364,8,48.7,37,0.518,13.3,11,40,0.5,20,0.333,2,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,66.5,Home,CAL-POLY,Cal Poly,Cal Poly,big-west
2018-12-01-15-fresno-state,45.8,11,8.0,2,115.2,75.9,22,0.453,64,0.375,24,0.172,11,0.818,9,5,200,101.5,40.0,14,21,67,,7.6,5,0.438,28,0.357,10,56.3,36,0.484,15.9,13,36,0.389,14,0.286,2,"December 1, 2018",45.5,10,19.4,7,101.5,60.0,21,0.541,49,0.449,22,0.592,29,0.793,23,2,200,115.2,24.1,7,12,76,,10.6,7,0.49,24,0.375,9,43.8,28,0.605,10.2,7,25,0.52,13,0.714,5,"Save Mart Center, Fresno, California",CAL-POLY,Cal Poly,65.5,Home,FRESNO-STATE,Fresno State,Cal Poly,big-west
2018-12-08-22-cal-poly,38.7,12,5.7,2,102.6,85.7,30,0.446,74,0.419,31,0.23,17,0.706,12,7,225,100.0,40.0,16,19,78,,3.8,3,0.243,18,0.222,4,61.3,46,0.475,14.7,14,56,0.482,27,0.364,4,"December 8, 2018",37.9,11,16.1,9,100.0,60.0,24,0.516,63,0.46,29,0.349,22,0.682,15,5,225,102.6,14.3,5,15,80,,9.0,7,0.444,28,0.25,7,38.7,29,0.545,8.8,7,35,0.629,22,0.375,3,"Robert A. Mott Gymnasium, San Luis Obispo, California",BETHUNE-COOKMAN,Bethune-Cookman,69.1,Home,CAL-POLY,Cal Poly,Cal Poly,big-west
2018-12-15-22-california,45.5,10,6.5,2,104.7,75.9,22,0.519,52,0.423,22,0.288,15,0.8,12,6,200,103.1,27.6,8,18,66,,3.1,2,0.519,27,0.37,10,51.7,30,0.558,20.4,15,25,0.48,12,0.333,3,"December 15, 2018",33.3,7,12.0,3,103.1,72.4,21,0.49,48,0.438,21,0.5,24,0.833,20,5,200,104.7,24.1,7,19,67,,10.9,7,0.354,17,0.294,5,48.3,28,0.564,14.6,10,31,0.516,16,0.444,4,"Haas Pavilion, Berkeley, California",CAL-POLY,Cal Poly,64.3,Home,CALIFORNIA,California,Cal Poly,big-west
2018-12-18-22-cal-state-bakersfield,55.6,10,2.6,1,105.7,48.5,16,0.479,47,0.383,18,0.511,24,0.667,16,7,200,87.1,16.0,4,20,61,,7.1,5,0.596,28,0.321,9,34.5,20,0.522,22.8,17,19,0.474,9,0.3,3,"December 18, 2018",60.0,15,21.1,4,87.1,84.0,21,0.491,55,0.455,25,0.564,31,0.645,20,4,200,105.7,51.5,17,19,74,,17.1,12,0.309,17,0.235,4,65.5,38,0.531,18.9,16,38,0.553,21,0.636,7,"Icardo Center, Bakersfield, California",CAL-POLY,Cal Poly,70.1,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal Poly,big-west
