,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-20-iona,47.6,10,0.0,0,96.0,75.8,25,0.457,58,0.362,21,0.276,16,0.938,15,1,200,90.7,36.4,12,20,68,,0.0,0,0.414,24,0.458,11,56.1,37,0.518,25.3,22,34,0.294,10,0.0,0,"November 9, 2018",64.0,16,5.9,2,90.7,63.6,21,0.491,57,0.439,25,0.439,25,0.64,16,0,200,96.0,24.2,8,16,72,,16.0,12,0.439,25,0.24,6,43.9,29,0.523,16.0,13,32,0.594,19,1.0,1,"Hynes Athletics Center, New Rochelle, New York",ALBANY-NY,Albany (NY),74.7,Home,IONA,Iona,Iona,maac
2018-11-13-21-new-mexico,62.5,15,13.0,3,109.8,70.4,19,0.475,60,0.4,24,0.6,36,0.722,26,1,200,101.2,23.7,9,29,83,,14.6,12,0.433,26,0.346,9,43.1,28,0.538,15.6,14,34,0.441,15,0.5,1,"November 13, 2018",70.4,19,14.7,5,101.2,76.3,29,0.623,53,0.509,27,0.717,38,0.632,24,0,200,109.8,29.6,8,22,90,,8.5,7,0.566,30,0.4,12,56.9,37,0.633,21.4,19,23,0.652,15,1.0,2,"The Pit, Albuquerque, New Mexico",IONA,Iona,82.1,Home,NEW-MEXICO,New Mexico,Iona,maac
2018-11-19-17-iona,43.3,13,6.9,2,104.9,76.5,26,0.648,54,0.556,30,0.37,20,0.8,16,3,200,106.2,29.2,7,25,86,,7.4,6,0.315,17,0.588,10,56.9,33,0.677,27.6,24,37,0.541,20,0.4,2,"November 19, 2018",42.3,11,5.4,2,106.2,70.8,17,0.517,60,0.433,26,0.467,28,0.821,23,2,200,104.9,23.5,8,21,85,,17.3,14,0.517,31,0.323,10,43.1,25,0.58,19.0,17,29,0.552,16,0.333,1,"Cox Pavilion, Las Vegas, Nevada",IONA,Iona,81.4,Away,LONG-BEACH-STATE,Long Beach State,Iona,maac
2018-11-21-14-iona,44.4,12,0.0,0,112.7,85.7,18,0.518,57,0.474,27,0.368,21,0.762,16,5,200,105.6,26.7,8,19,75,,8.5,6,0.333,19,0.263,5,51.0,26,0.56,15.3,12,38,0.579,22,0.167,1,"November 21, 2018",57.1,16,2.6,1,105.6,73.3,22,0.663,49,0.571,28,0.49,24,0.625,15,2,200,112.7,14.3,3,20,80,,8.5,6,0.408,20,0.45,9,49.0,25,0.662,19.0,14,29,0.655,19,0.5,2,"Cox Pavilion, Las Vegas, Nevada",HARTFORD,Hartford,71.2,Home,IONA,Iona,Iona,maac
2018-11-24-16-providence,51.7,15,0.0,0,121.3,63.9,23,0.561,57,0.509,29,0.316,18,0.833,15,3,200,105.3,26.9,7,16,79,,8.0,6,0.351,20,0.3,6,48.4,30,0.603,18.8,15,37,0.622,23,0.4,2,"November 24, 2018",51.5,17,13.5,5,105.3,73.1,19,0.56,67,0.493,33,0.299,20,0.8,16,2,200,121.3,36.1,13,17,91,,8.0,6,0.328,22,0.409,9,51.6,32,0.595,13.7,12,45,0.533,24,0.667,4,"Dunkin' Donuts Center, Providence, Rhode Island",IONA,Iona,74.5,Home,PROVIDENCE,Providence,Iona,maac
2018-11-27-19-ohio,76.2,16,3.9,2,108.5,62.5,25,0.392,65,0.323,21,0.369,24,0.583,14,4,200,79.3,21.7,10,21,65,,11.0,9,0.508,33,0.273,9,40.7,35,0.425,18.4,17,32,0.375,12,0.333,2,"November 27, 2018",65.7,23,12.5,4,79.3,78.3,36,0.527,73,0.479,35,0.247,18,0.667,12,2,200,108.5,37.5,15,20,89,,7.3,6,0.301,22,0.318,7,59.3,51,0.546,15.6,15,51,0.549,28,0.667,4,"Convocation Center, Athens, Ohio",IONA,Iona,82.5,Home,OHIO,Ohio,Iona,maac
2018-12-01-19-virginia-commonwealth,36.8,7,8.3,3,114.3,63.4,26,0.412,51,0.373,19,0.451,23,0.739,17,5,200,76.6,18.8,6,27,59,,3.9,3,0.373,19,0.211,4,43.8,32,0.476,25.6,21,32,0.469,15,0.286,2,"December 1, 2018",57.1,16,21.9,7,76.6,81.3,26,0.508,66,0.424,28,0.545,36,0.583,21,2,200,114.3,36.6,15,23,88,,18.2,14,0.455,30,0.367,11,56.2,41,0.529,8.9,8,36,0.472,17,0.75,6,"Stuart Siegel Center, Richmond, Virginia",IONA,Iona,76.5,Home,VIRGINIA-COMMONWEALTH,VCU,Iona,maac
2018-12-09-11-iona,73.1,19,8.1,3,95.9,74.2,23,0.492,63,0.413,26,0.206,13,0.923,12,6,200,100.0,18.2,6,16,74,,9.5,7,0.46,29,0.345,10,45.3,29,0.535,13.8,11,34,0.471,16,0.333,3,"December 9, 2018",56.0,14,5.9,2,100.0,81.8,27,0.5,55,0.455,25,0.364,20,0.8,16,6,200,95.9,25.8,8,16,71,,10.8,8,0.327,18,0.278,5,54.7,35,0.55,22.0,18,37,0.541,20,0.25,2,"Madison Square Garden (IV), New York, New York",IONA,Iona,74.3,Away,COLUMBIA,Columbia,Iona,maac
2018-12-15-11-iona,63.3,19,5.9,2,109.5,70.4,19,0.57,64,0.469,30,0.219,14,0.857,12,4,200,114.9,22.2,6,14,85,,10.8,8,0.531,34,0.382,13,46.3,25,0.602,12.5,10,30,0.567,17,0.556,5,"December 15, 2018",46.7,14,13.3,4,114.9,77.8,21,0.579,63,0.476,30,0.159,10,0.8,8,7,200,109.5,29.6,8,16,81,,4.1,3,0.46,29,0.448,13,53.7,29,0.598,16.2,13,34,0.5,17,0.222,2,"Boardwalk Hall, Atlantic City, New Jersey",IONA,Iona,73.7,Away,PRINCETON,Princeton,Iona,maac
2018-12-22-14-yale,51.7,15,6.8,3,123.8,57.5,23,0.486,70,0.414,29,0.314,22,0.727,16,8,200,105.0,14.3,6,21,84,,11.3,9,0.5,35,0.286,10,35.4,29,0.522,8.1,7,35,0.543,19,0.2,2,"December 22, 2018",78.9,30,11.4,4,105.0,85.7,36,0.597,72,0.528,38,0.319,23,0.565,13,3,200,123.8,42.5,17,16,99,,2.5,2,0.389,28,0.357,10,64.6,53,0.597,13.7,13,44,0.636,28,0.7,7,"John J. Lee Ampitheater, New Haven, Connecticut",IONA,Iona,80.2,Home,YALE,Yale,Iona,maac
