,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-19-oakland,56.7,17,8.1,3,126.5,70.6,24,0.66,50,0.6,30,0.5,25,0.84,21,0,200,127.9,31.8,7,20,87,,2.9,2,0.24,12,0.5,6,55.4,31,0.703,17.6,13,38,0.632,24,1.0,1,"November 9, 2018",78.1,25,5.3,2,127.9,68.2,15,0.57,64,0.5,32,0.359,23,0.565,13,1,200,126.5,29.4,10,22,86,,8.8,6,0.422,27,0.333,9,44.6,25,0.574,3.9,3,37,0.622,23,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,67.9,Away,TOLEDO,Toledo,Toledo,mac
2018-11-10-19-toledo,45.0,9,3.3,1,130.3,55.2,16,0.393,61,0.328,20,0.18,11,0.909,10,0,200,76.3,26.3,10,24,58,,11.8,9,0.344,21,0.381,8,38.8,26,0.438,24.2,21,40,0.3,12,0.0,0,"November 10, 2018",66.7,22,12.5,5,76.3,73.7,28,0.611,63,0.524,33,0.444,28,0.786,22,0,200,130.3,44.8,13,15,99,,10.5,8,0.524,33,0.333,11,61.2,41,0.649,13.7,12,30,0.733,22,1.0,2,"John F. Savage Hall, Toledo, Ohio","Wilberforce
			","Wilberforce
			",76.3,Home,TOLEDO,Toledo,Toledo,mac
2018-11-14-19-wright-state,47.6,10,12.5,4,105.0,73.3,22,0.474,58,0.362,21,0.414,24,0.792,19,1,200,92.5,5.3,2,21,74,,3.8,3,0.552,32,0.406,13,35.3,24,0.533,15.9,13,26,0.308,8,0.667,2,"November 14, 2018",33.3,9,7.7,2,92.5,94.7,36,0.542,59,0.458,27,0.441,26,0.769,20,1,200,105.0,26.7,8,20,84,,2.5,2,0.458,27,0.37,10,64.7,44,0.589,18.5,16,32,0.531,17,0.667,2,"Ervin J. Nutter Center, Dayton, Ohio",TOLEDO,Toledo,79.9,Home,WRIGHT-STATE,Wright State,Toledo,mac
2018-11-19-19-toledo,33.3,9,2.8,1,123.3,62.5,15,0.468,63,0.429,27,0.127,8,0.375,3,3,200,84.9,24.3,9,22,62,,5.5,4,0.286,18,0.278,5,39.3,24,0.464,18.4,15,45,0.489,22,0.4,2,"November 19, 2018",62.1,18,11.1,5,84.9,75.7,28,0.614,57,0.509,29,0.421,24,0.833,20,1,200,123.3,37.5,9,16,90,,8.2,6,0.368,21,0.571,12,60.7,37,0.658,16.1,13,36,0.472,17,0.75,3,"Germain Arena, Estero, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,72.6,Home,TOLEDO,Toledo,Toledo,mac
2018-11-20-19-louisiana-lafayette,51.7,15,4.0,2,90.1,71.1,32,0.618,55,0.527,29,0.218,12,0.75,9,1,200,108.5,25.0,5,16,77,,2.8,2,0.4,22,0.455,10,56.9,37,0.634,22.0,17,33,0.576,19,0.8,4,"November 20, 2018",19.2,5,6.1,2,108.5,75.0,15,0.389,72,0.361,26,0.153,11,0.727,8,3,200,90.1,28.9,13,17,64,,9.9,7,0.306,22,0.182,4,43.1,28,0.414,6.1,5,50,0.44,22,0.4,2,"Germain Arena, Estero, Florida",LOUISIANA-LAFAYETTE,Louisiana,71.0,Away,TOLEDO,Toledo,Toledo,mac
2018-11-21-19-california-irvine,51.9,14,2.2,1,85.7,67.6,23,0.484,62,0.435,27,0.194,12,0.583,7,1,200,95.7,27.3,9,13,67,,7.1,5,0.274,17,0.353,6,47.8,32,0.495,17.2,14,45,0.467,21,0.833,5,"November 21, 2018",33.3,8,13.3,6,95.7,72.7,24,0.406,64,0.375,24,0.125,8,1.0,8,1,200,85.7,32.4,11,14,60,,11.4,8,0.297,19,0.211,4,52.2,35,0.442,14.0,11,45,0.444,20,0.857,6,"Germain Arena, Estero, Florida",CALIFORNIA-IRVINE,UC-Irvine,70.3,Away,TOLEDO,Toledo,Toledo,mac
2018-11-28-19-toledo,39.1,9,0.0,0,115.9,60.0,15,0.411,62,0.371,23,0.161,10,0.8,8,5,200,85.5,30.6,11,13,59,,10.1,7,0.306,19,0.263,5,42.6,26,0.442,14.2,11,43,0.419,18,0.286,2,"November 28, 2018",83.3,25,2.3,1,85.5,69.4,25,0.627,59,0.508,30,0.119,7,0.857,6,1,200,115.9,40.0,10,14,80,,10.1,7,0.492,29,0.483,14,57.4,35,0.642,22.5,18,30,0.533,16,0.857,6,"John F. Savage Hall, Toledo, Ohio",NORTH-ALABAMA,North Alabama,68.5,Home,TOLEDO,Toledo,Toledo,mac
2018-12-01-14-toledo,66.7,16,9.8,4,102.6,77.8,35,0.509,53,0.453,24,0.302,16,0.813,13,7,200,85.9,10.0,3,22,67,,2.6,2,0.358,19,0.316,6,50.7,38,0.553,24.0,19,34,0.529,18,0.222,2,"December 1, 2018",62.1,18,5.9,2,85.9,90.0,27,0.44,75,0.387,29,0.267,20,0.7,14,1,200,102.6,22.2,10,18,80,,12.8,10,0.453,34,0.235,8,49.3,37,0.473,4.6,4,41,0.512,21,0.875,7,"John F. Savage Hall, Toledo, Ohio",CLEVELAND-STATE,Cleveland State,77.6,Home,TOLEDO,Toledo,Toledo,mac
2018-12-05-19-toledo,40.9,9,22.6,7,138.4,56.0,14,0.377,69,0.319,22,0.159,11,0.455,5,7,200,78.1,18.8,9,19,57,,5.5,4,0.304,21,0.381,8,31.5,23,0.384,8.7,7,48,0.292,14,0.3,3,"December 5, 2018",81.8,27,10.4,5,78.1,81.3,39,0.625,64,0.516,33,0.359,23,0.913,21,1,200,138.4,44.0,11,12,101,,2.7,2,0.516,33,0.424,14,68.5,50,0.674,10.8,9,31,0.613,19,0.889,8,"John F. Savage Hall, Toledo, Ohio",DETROIT-MERCY,Detroit,72.6,Home,TOLEDO,Toledo,Toledo,mac
2018-12-08-14-marshall,50.0,13,7.1,3,91.4,75.0,27,0.431,72,0.361,26,0.264,19,0.684,13,1,225,92.6,32.6,14,18,75,,12.3,10,0.472,34,0.294,10,51.9,41,0.463,16.6,16,38,0.421,16,0.9,9,"December 8, 2018",43.3,13,21.1,8,92.6,67.4,29,0.5,66,0.455,30,0.273,18,0.444,8,4,225,91.4,25.0,9,16,74,,12.3,10,0.364,24,0.25,6,48.1,38,0.496,15.9,14,42,0.571,24,0.556,5,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,72.3,Away,TOLEDO,Toledo,Toledo,mac
