,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-19-saint-peters,42.9,12,0.0,0,117.7,63.2,24,0.53,66,0.424,28,0.288,19,0.842,16,1,225,108.9,27.0,10,25,86,,2.5,2,0.515,34,0.412,14,45.3,34,0.573,16.8,15,32,0.438,14,0.0,0,"November 7, 2018",40.6,13,12.5,4,108.9,73.0,27,0.535,71,0.451,32,0.31,22,0.773,17,0,225,117.7,36.8,14,20,93,,3.8,3,0.465,33,0.364,12,54.7,41,0.571,11.0,10,38,0.526,20,1.0,1,"Yanitelli Center, Jersey City, New Jersey",LAFAYETTE,Lafayette,70.0,Home,SAINT-PETERS,St. Peter's,Saint Peter's,maac
2018-11-10-18-saint-peters,44.0,11,13.3,6,93.8,68.6,24,0.546,54,0.463,25,0.463,25,0.76,19,1,225,97.5,34.5,10,19,78,,6.3,5,0.37,20,0.45,9,53.1,34,0.592,26.1,23,34,0.471,16,0.5,1,"November 10, 2018",39.3,11,23.5,8,97.5,65.5,19,0.457,69,0.406,28,0.232,16,0.75,12,1,225,93.8,31.4,11,25,75,,15.0,12,0.348,24,0.292,7,46.9,30,0.49,17.4,16,45,0.467,21,0.5,1,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,71.3,Away,DELAWARE,Delaware,Saint Peter's,maac
2018-11-14-19-bryant,65.2,15,12.0,3,107.6,78.6,22,0.53,50,0.46,23,0.34,17,0.588,10,2,200,95.5,17.2,5,17,63,,4.5,3,0.34,17,0.412,7,47.4,27,0.542,18.4,13,33,0.485,16,0.333,1,"November 14, 2018",84.0,21,0.0,0,95.5,82.8,24,0.553,57,0.439,25,0.263,15,0.533,8,2,200,107.6,21.4,6,15,71,,6.1,4,0.561,32,0.406,13,52.6,30,0.554,11.2,8,25,0.48,12,0.333,1,"Chace Athletic Center , Smithfield, Rhode Island",SAINT-PETERS,St. Peter's,66.1,Home,BRYANT,Bryant,Saint Peter's,maac
2018-11-20-19-north-carolina-state,44.4,8,3.1,1,119.7,76.0,19,0.37,54,0.333,18,0.481,26,0.654,17,3,200,80.3,27.3,9,23,57,,7.0,5,0.389,21,0.19,4,48.3,28,0.43,17.6,14,33,0.424,14,0.25,1,"November 20, 2018",74.1,20,18.2,6,80.3,72.7,24,0.615,52,0.519,27,0.519,27,0.778,21,0,200,119.7,24.0,6,21,85,,8.5,6,0.385,20,0.5,10,51.7,30,0.656,15.8,12,32,0.531,17,1.0,5,"PNC Arena, Raleigh, North Carolina",SAINT-PETERS,St. Peter's,71.1,Home,NORTH-CAROLINA-STATE,NC State,Saint Peter's,maac
2018-11-24-16-north-texas,41.7,10,13.5,5,110.3,62.1,18,0.53,50,0.48,24,0.34,17,0.765,13,4,200,97.1,26.1,6,20,66,,13.2,9,0.38,19,0.263,5,46.2,24,0.568,20.7,15,31,0.613,19,0.2,1,"November 24, 2018",48.0,12,12.9,4,97.1,73.9,17,0.528,53,0.472,25,0.509,27,0.704,19,0,200,110.3,37.9,11,14,75,,11.8,8,0.302,16,0.375,6,53.8,28,0.57,17.7,14,37,0.514,19,1.0,8,"UNT Coliseum, Denton, Texas",SAINT-PETERS,St. Peter's,68.0,Home,NORTH-TEXAS,North Texas,Saint Peter's,maac
2018-11-28-20-auburn,57.1,8,13.6,6,123.8,61.5,24,0.327,52,0.269,14,0.404,21,0.714,15,5,200,61.3,27.8,10,19,49,,11.3,9,0.423,22,0.273,6,45.3,34,0.395,29.8,26,30,0.267,8,0.167,1,"November 28, 2018",69.4,25,26.7,8,61.3,72.2,26,0.58,75,0.48,36,0.267,20,0.6,12,1,200,123.8,38.5,15,17,99,8,20.0,16,0.413,31,0.484,15,54.7,41,0.586,13.4,13,44,0.477,21,0.857,6,"Auburn Arena, Auburn, Alabama",SAINT-PETERS,St. Peter's,80.2,Home,AUBURN,Auburn,Saint Peter's,maac
2018-12-01-15-saint-peters,61.9,13,11.8,4,92.6,66.7,22,0.471,51,0.412,21,0.314,16,0.688,11,8,225,86.8,24.1,7,19,59,,13.2,9,0.333,17,0.353,6,46.8,29,0.503,22.7,17,34,0.441,15,0.0,0,"December 1, 2018",50.0,10,14.7,5,86.8,75.9,22,0.452,52,0.385,20,0.481,25,0.64,16,5,225,92.6,33.3,11,22,63,,10.3,7,0.346,18,0.389,7,53.2,33,0.493,19.2,15,34,0.382,13,0.286,2,"Yanitelli Center, Jersey City, New Jersey",MAINE,Maine,60.7,Home,SAINT-PETERS,St. Peter's,Saint Peter's,maac
2018-12-04-19-clemson,34.8,8,17.6,6,103.2,70.4,19,0.5,56,0.411,23,0.107,6,0.667,4,6,200,95.2,21.2,7,22,60,,7.9,5,0.375,21,0.476,10,43.3,26,0.51,15.8,11,35,0.371,13,0.25,2,"December 4, 2018",30.0,6,11.4,4,95.2,78.8,26,0.438,48,0.417,20,0.625,30,0.767,23,2,200,103.2,29.6,8,12,65,,9.5,6,0.292,14,0.143,2,56.7,34,0.522,12.8,9,34,0.529,18,0.75,6,"Littlejohn Coliseum, Clemson, South Carolina",SAINT-PETERS,St. Peter's,63.1,Home,CLEMSON,Clemson,Saint Peter's,maac
2018-12-08-13-saint-peters,56.5,13,7.0,3,86.6,79.4,27,0.577,52,0.442,23,0.385,20,0.7,14,4,200,110.4,31.3,10,14,74,,13.4,9,0.673,35,0.4,14,56.1,37,0.602,18.7,14,17,0.529,9,0.556,5,"December 8, 2018",47.8,11,35.3,6,110.4,68.8,22,0.455,55,0.418,23,0.218,12,0.667,8,7,200,86.6,20.6,7,19,58,,11.9,8,0.218,12,0.333,4,43.9,29,0.478,18.8,14,43,0.442,19,0.222,2,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,66.6,Away,LONG-ISLAND-UNIVERSITY,LIU,Saint Peter's,maac
2018-12-15-16-st-francis-ny,47.4,9,28.0,7,84.8,71.9,23,0.457,46,0.413,19,0.391,18,0.611,11,8,200,80.3,14.3,4,19,53,,4.5,3,0.261,12,0.333,4,45.0,27,0.486,22.9,16,34,0.441,15,0.2,2,"December 15, 2018",64.7,11,8.8,3,80.3,85.7,24,0.425,53,0.321,17,0.34,18,0.611,11,4,200,84.8,28.1,9,16,56,,9.1,6,0.528,28,0.393,11,55.0,33,0.455,17.6,13,25,0.24,6,0.636,7,"Pope Physical Education Center, Brooklyn Heights, New York",SAINT-PETERS,St. Peter's,66.1,Home,ST-FRANCIS-NY,St. Francis (NY),Saint Peter's,maac
