,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-gonzaga,50.0,16,4.3,2,148.1,57.1,16,0.5,70,0.457,32,0.186,13,0.692,9,1,200,97.5,28.6,10,25,79,,6.2,5,0.257,18,0.333,6,41.3,26,0.519,14.7,13,52,0.5,26,0.0,0,"November 6, 2018",70.7,29,7.7,4,97.5,71.4,25,0.643,70,0.586,41,0.529,37,0.811,30,0,200,148.1,42.9,12,14,120,3,11.1,9,0.343,24,0.333,8,58.7,37,0.685,7.5,7,46,0.717,33,1.0,1,"McCarthey Athletic Center, Spokane, Washington",IDAHO-STATE,Idaho State,80.9,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-10-22-gonzaga,50.0,12,6.5,3,123.8,60.6,20,0.393,70,0.343,24,0.257,18,0.667,12,1,200,79.8,17.8,8,22,67,,7.1,6,0.371,26,0.269,7,35.9,28,0.426,16.1,15,44,0.386,17,0.5,1,"November 10, 2018",48.6,18,15.9,7,79.8,82.2,37,0.577,71,0.521,37,0.352,25,0.88,22,0,200,123.8,39.4,13,18,104,3,8.3,7,0.352,25,0.32,8,64.1,50,0.627,12.8,12,46,0.63,29,1.0,2,"McCarthey Athletic Center, Spokane, Washington",TEXAS-SOUTHERN,Texas Southern,83.7,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-15-23-gonzaga,33.3,9,9.1,4,122.1,69.4,25,0.454,65,0.415,27,0.292,19,0.632,12,2,200,92.2,29.3,12,22,71,,7.8,6,0.277,18,0.278,5,48.1,37,0.48,13.0,11,47,0.468,22,0.333,1,"November 15, 2018",50.0,16,21.3,10,92.2,70.7,29,0.546,65,0.492,32,0.492,32,0.719,23,0,200,122.1,30.6,11,20,94,3,10.4,8,0.323,21,0.333,7,51.9,40,0.586,12.2,11,44,0.568,25,1.0,3,"McCarthey Athletic Center, Spokane, Washington",TEXAS-AM,Texas A&M,76.6,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-19-23-illinois,59.3,16,12.8,5,98.7,73.8,31,0.598,51,0.529,27,0.686,35,0.657,23,0,200,106.3,33.3,10,22,84,3,6.3,5,0.373,19,0.368,7,56.9,41,0.621,24.0,21,32,0.625,20,1.0,4,"November 19, 2018",37.0,10,3.1,1,106.3,66.7,20,0.457,70,0.386,27,0.271,19,0.737,14,2,200,98.7,26.2,11,27,78,,11.4,9,0.443,31,0.323,10,43.1,31,0.494,13.3,12,39,0.436,17,0.333,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,79.3,Away,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-20-22-gonzaga,14.3,3,0.0,0,116.7,73.5,25,0.48,51,0.412,21,0.588,30,0.833,25,1,200,94.9,10.0,3,19,74,,6.4,5,0.451,23,0.304,7,43.8,28,0.567,20.0,16,28,0.5,14,0.8,4,"November 20, 2018",64.7,22,14.3,4,94.9,90.0,27,0.602,64,0.531,34,0.328,21,0.667,14,0,200,116.7,26.5,9,22,91,3,10.3,8,0.453,29,0.31,9,56.3,36,0.615,14.1,12,35,0.714,25,1.0,5,"Lahaina Civic Center, Lahaina, Hawaii",ARIZONA,Arizona,77.6,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-21-17-gonzaga,29.0,9,13.0,6,118.7,66.7,22,0.465,72,0.431,31,0.361,26,0.769,20,1,200,116.0,45.9,17,18,87,1,6.7,5,0.181,13,0.385,5,55.7,39,0.516,10.7,10,59,0.441,26,0.833,5,"November 21, 2018",47.1,16,16.9,10,116.0,54.1,20,0.6,65,0.523,34,0.292,19,0.579,11,0,200,118.7,33.3,11,20,89,3,6.7,5,0.292,19,0.526,10,44.3,31,0.601,10.9,9,46,0.522,24,1.0,6,"Lahaina Civic Center, Lahaina, Hawaii",DUKE,Duke,74.7,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-11-26-21-gonzaga,8.7,2,6.7,2,137.8,78.9,15,0.385,65,0.354,23,0.262,17,0.588,10,5,200,81.1,18.9,7,14,60,,6.8,5,0.415,27,0.148,4,39.3,22,0.411,13.2,11,38,0.5,19,0.286,2,"November 26, 2018",67.6,25,13.2,5,81.1,81.1,30,0.767,58,0.638,37,0.328,19,0.684,13,0,200,137.8,21.1,4,13,102,1,10.8,8,0.483,28,0.536,15,60.7,34,0.761,10.8,8,30,0.733,22,1.0,7,"McCarthey Athletic Center, Spokane, Washington",NORTH-DAKOTA-STATE,North Dakota State,74.1,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-12-01-14-creighton,51.4,18,7.5,3,121.1,71.8,28,0.604,67,0.522,35,0.403,27,0.815,22,0,200,135.5,35.5,11,13,103,1,9.2,7,0.433,29,0.379,11,55.7,39,0.645,9.2,8,38,0.632,24,1.0,8,"December 1, 2018",41.7,15,5.3,2,135.5,64.5,20,0.581,74,0.486,36,0.135,10,0.6,6,2,200,121.1,28.2,11,20,92,,2.6,2,0.459,34,0.412,14,44.3,31,0.584,9.3,8,40,0.55,22,0.75,6,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,76.3,Away,GONZAGA,Gonzaga,Gonzaga,wcc
2018-12-05-23-gonzaga,53.6,15,7.0,3,117.4,59.4,19,0.551,59,0.475,28,0.254,15,0.933,14,3,200,114.5,17.2,5,20,79,,7.2,5,0.458,27,0.333,9,39.3,24,0.597,12.1,9,32,0.594,19,0.667,6,"December 5, 2018",77.8,21,3.1,1,114.5,82.8,24,0.492,63,0.429,27,0.302,19,1.0,19,0,200,117.4,40.6,13,16,81,1,5.8,4,0.317,20,0.4,8,60.7,37,0.562,11.2,9,43,0.442,19,1.0,9,"McCarthey Athletic Center, Spokane, Washington",WASHINGTON,Washington,69.1,Home,GONZAGA,Gonzaga,Gonzaga,wcc
2018-12-09-15-gonzaga,75.9,22,9.8,4,107.4,68.8,22,0.486,72,0.403,29,0.139,10,0.6,6,1,200,111.8,35.6,16,16,76,7,2.9,2,0.403,29,0.414,12,49.4,38,0.495,8.4,7,43,0.395,17,0.875,7,"December 9, 2018",51.9,14,4.7,2,111.8,64.4,29,0.517,59,0.458,27,0.322,19,0.632,12,1,200,107.4,31.3,10,17,73,1,5.9,4,0.305,18,0.389,7,50.6,39,0.537,14.0,11,41,0.488,20,0.9,9,"Talking Stick Resort Arena, Phoenix, Arizona",GONZAGA,Gonzaga,68.4,Away,TENNESSEE,Tennessee,Gonzaga,wcc
2018-12-15-19-north-carolina,53.1,17,10.3,4,121.2,57.1,16,0.571,63,0.508,32,0.365,23,0.783,18,2,200,105.9,12.9,4,20,90,4,15.3,13,0.349,22,0.364,8,33.9,20,0.609,16.1,14,41,0.585,24,0.818,9,"December 15, 2018",51.4,18,4.9,2,105.9,87.1,27,0.648,64,0.547,35,0.391,25,0.8,20,2,200,121.2,42.9,12,18,103,12,7.1,6,0.391,25,0.52,13,66.1,39,0.679,22.7,22,39,0.564,22,0.8,8,"Dean Smith Center, Chapel Hill, North Carolina",GONZAGA,Gonzaga,84.9,Home,NORTH-CAROLINA,UNC,Gonzaga,wcc
2018-12-18-21-gonzaga,57.9,11,0.0,0,112.7,71.4,20,0.324,71,0.268,19,0.155,11,0.818,9,8,200,69.6,14.9,7,21,55,,12.7,10,0.479,34,0.235,8,36.0,27,0.361,11.6,10,37,0.297,11,0.273,3,"December 18, 2018",64.5,20,21.6,8,69.6,85.1,40,0.576,59,0.525,31,0.424,25,0.84,21,2,200,112.7,28.6,8,17,89,8,10.1,8,0.407,24,0.25,6,64.0,48,0.628,17.6,15,35,0.714,25,0.833,10,"McCarthey Athletic Center, Spokane, Washington",TEXAS-ARLINGTON,Texas-Arlington,78.6,Home,GONZAGA,Gonzaga,Gonzaga,wcc
