,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-auburn,52.9,9,13.9,5,136.5,48.6,18,0.446,46,0.37,17,0.478,22,0.773,17,1,200,78.4,22.2,6,17,58,,5.4,4,0.478,22,0.318,7,37.5,24,0.514,28.3,22,24,0.417,10,0.0,0,"November 6, 2018",63.2,24,33.3,8,78.4,77.8,21,0.635,74,0.514,38,0.189,14,0.5,7,0,200,136.5,51.4,19,21,101,11,12.2,9,0.514,38,0.474,18,62.5,40,0.626,14.0,13,36,0.556,20,1.0,1,"Auburn Arena, Auburn, Alabama",SOUTH-ALABAMA,South Alabama,73.6,Home,AUBURN,Auburn,Auburn,sec
2018-11-09-21-auburn,40.0,10,12.8,5,122.2,51.4,18,0.622,45,0.556,25,0.378,17,0.588,10,1,200,91.7,12.0,3,18,66,25,11.1,8,0.311,14,0.429,6,35.0,21,0.622,25.5,18,31,0.613,19,0.5,1,"November 9, 2018",55.2,16,12.9,4,91.7,88.0,22,0.5,70,0.414,29,0.329,23,0.783,18,0,200,122.2,48.6,17,20,88,11,11.1,8,0.443,31,0.387,12,65.0,39,0.544,12.1,11,39,0.436,17,1.0,2,"Auburn Arena, Auburn, Alabama",WASHINGTON,Washington,71.5,Home,AUBURN,Auburn,Auburn,sec
2018-11-14-20-auburn,55.6,10,0.0,0,122.6,54.3,25,0.333,66,0.273,18,0.242,16,0.5,8,0,200,61.9,16.3,8,23,52,,2.4,2,0.455,30,0.267,8,34.7,33,0.353,19.8,18,36,0.278,10,0.0,0,"November 14, 2018",37.8,14,19.4,7,61.9,83.7,41,0.513,80,0.463,37,0.4,32,0.656,21,0,200,122.6,45.7,21,14,103,9,16.7,14,0.413,33,0.242,8,65.3,62,0.541,10.5,11,47,0.617,29,1.0,3,"Auburn Arena, Auburn, Alabama","Mississippi College
			","Mississippi College
			",84.4,Home,AUBURN,Auburn,Auburn,sec
2018-11-19-14-xavier,53.3,16,20.6,7,101.3,57.1,20,0.538,66,0.455,30,0.364,24,0.708,17,0,225,112.8,31.6,12,23,88,8,12.8,10,0.53,35,0.314,11,43.8,32,0.568,13.6,12,31,0.613,19,1.0,4,"November 19, 2018",54.2,13,9.7,3,112.8,68.4,26,0.475,61,0.393,24,0.393,24,0.875,21,2,225,101.3,42.9,15,20,79,,9.0,7,0.443,27,0.37,10,56.2,41,0.546,22.7,21,34,0.412,14,0.5,2,"Lahaina Civic Center, Lahaina, Hawaii",XAVIER,Xavier,69.2,Away,AUBURN,Auburn,Auburn,sec
2018-11-20-20-duke,50.0,14,6.9,2,109.9,62.9,22,0.435,77,0.364,28,0.117,9,0.556,5,1,200,101.4,35.4,17,24,72,8,11.3,8,0.416,32,0.344,11,47.0,39,0.443,10.0,9,45,0.378,17,0.8,4,"November 20, 2018",50.0,12,24.4,11,101.4,64.6,31,0.509,54,0.444,24,0.63,34,0.676,23,0,200,109.9,37.1,13,13,78,1,8.5,6,0.463,25,0.28,7,53.0,44,0.556,14.8,12,29,0.586,17,1.0,5,"Lahaina Civic Center, Lahaina, Hawaii",AUBURN,Auburn,71.2,Home,DUKE,Duke,Auburn,sec
2018-11-21-23-arizona,37.0,10,9.1,2,89.1,80.0,20,0.63,50,0.54,27,0.3,15,0.667,10,1,200,114.1,33.3,8,19,73,8,6.3,4,0.52,26,0.346,9,57.1,28,0.639,19.8,14,24,0.75,18,0.833,5,"November 21, 2018",45.0,9,0.0,0,114.1,66.7,16,0.532,47,0.426,20,0.191,9,0.778,7,2,200,89.1,20.0,5,22,57,,4.7,3,0.532,25,0.4,10,42.9,21,0.556,27.2,19,22,0.455,10,0.667,4,"Lahaina Civic Center, Lahaina, Hawaii",ARIZONA,Arizona,64.2,Away,AUBURN,Auburn,Auburn,sec
2018-11-28-20-auburn,57.1,8,13.6,6,123.8,61.5,24,0.327,52,0.269,14,0.404,21,0.714,15,5,200,61.3,27.8,10,19,49,,11.3,9,0.423,22,0.273,6,45.3,34,0.395,29.8,26,30,0.267,8,0.167,1,"November 28, 2018",69.4,25,26.7,8,61.3,72.2,26,0.58,75,0.48,36,0.267,20,0.6,12,1,200,123.8,38.5,15,17,99,8,20.0,16,0.413,31,0.484,15,54.7,41,0.586,13.4,13,44,0.477,21,0.857,6,"Auburn Arena, Auburn, Alabama",SAINT-PETERS,St. Peter's,80.2,Home,AUBURN,Auburn,Auburn,sec
2018-12-04-20-auburn,57.1,8,0.0,0,95.7,73.1,19,0.389,45,0.311,14,0.178,8,0.75,6,7,200,58.6,11.5,3,15,41,,7.1,5,0.422,19,0.368,7,42.3,22,0.42,34.0,25,26,0.269,7,0.125,1,"December 4, 2018",82.6,19,46.2,12,58.6,88.5,23,0.573,48,0.479,23,0.375,18,0.667,12,1,200,95.7,26.9,7,16,67,8,18.6,13,0.521,25,0.36,9,57.7,30,0.592,25.4,19,23,0.609,14,0.875,7,"Auburn Arena, Auburn, Alabama",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,69.7,Home,AUBURN,Auburn,Auburn,sec
2018-12-08-20-auburn,59.3,16,7.1,2,117.1,68.8,22,0.58,56,0.482,27,0.179,10,0.7,7,4,200,102.9,44.8,13,14,72,,4.3,3,0.411,23,0.478,11,57.4,35,0.593,27.6,23,33,0.485,16,0.556,5,"December 8, 2018",60.7,17,27.3,9,102.9,55.2,16,0.557,61,0.459,28,0.279,17,0.824,14,1,200,117.1,31.3,10,10,82,8,14.3,10,0.541,33,0.364,12,42.6,26,0.594,12.7,10,28,0.571,16,0.889,8,"Auburn Arena, Auburn, Alabama",DAYTON,Dayton,69.9,Home,AUBURN,Auburn,Auburn,sec
2018-12-15-19-alabama-birmingham,45.5,10,20.6,7,102.9,69.4,25,0.421,57,0.386,22,0.596,34,0.794,27,1,225,108.7,35.1,13,16,75,8,2.9,2,0.386,22,0.182,4,52.1,38,0.513,12.2,10,35,0.514,18,0.9,9,"December 15, 2018",39.3,11,8.6,3,108.7,64.9,24,0.516,63,0.444,28,0.175,11,0.545,6,4,225,102.9,30.6,11,25,71,,11.6,8,0.46,29,0.31,9,47.9,35,0.52,14.0,11,34,0.559,19,0.6,6,"Legacy Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,61.5,Away,AUBURN,Auburn,Auburn,sec
