,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-virginia-commonwealth,60.0,12,13.9,5,90.8,65.5,19,0.433,52,0.385,20,0.385,20,0.6,12,1,200,75.0,21.4,6,17,57,,7.9,6,0.308,16,0.313,5,43.9,25,0.463,24.8,20,36,0.417,15,0.0,0,"November 6, 2018",56.0,14,19.4,7,75.0,78.6,22,0.483,59,0.424,25,0.305,18,0.667,12,0,200,90.8,34.5,10,18,69,,13.2,10,0.39,23,0.304,7,56.1,32,0.511,21.2,18,36,0.5,18,1.0,1,"Stuart Siegel Center, Richmond, Virginia",GARDNER-WEBB,Gardner-Webb,75.5,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-11-09-19-virginia-commonwealth,38.9,7,8.8,3,86.3,87.9,29,0.315,62,0.29,18,0.387,24,0.75,18,1,200,71.3,26.7,12,26,57,,2.5,2,0.274,17,0.176,3,52.6,41,0.388,19.0,17,45,0.333,15,0.5,1,"November 9, 2018",60.9,14,8.9,4,71.3,73.3,33,0.472,54,0.426,23,0.574,31,0.581,18,0,200,86.3,12.1,4,25,69,,10.0,8,0.37,20,0.25,5,47.4,37,0.502,19.1,16,34,0.529,18,1.0,2,"Stuart Siegel Center, Richmond, Virginia",HAMPTON,Hampton,79.6,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-11-12-19-virginia-commonwealth,42.1,8,3.4,1,94.7,71.8,28,0.407,54,0.352,19,0.5,27,0.63,17,2,200,80.3,44.1,15,26,61,,7.9,6,0.333,18,0.333,6,58.9,43,0.456,27.5,25,36,0.361,13,0.333,1,"November 12, 2018",61.9,13,16.7,6,80.3,55.9,19,0.431,58,0.362,21,0.483,28,0.786,22,0,200,94.7,28.2,11,25,72,,14.5,11,0.5,29,0.276,8,41.1,30,0.505,17.6,15,29,0.448,13,1.0,3,"Stuart Siegel Center, Richmond, Virginia",BOWLING-GREEN-STATE,Bowling Green State,76.1,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-11-19-21-virginia-commonwealth,40.0,8,3.6,1,82.6,75.9,22,0.355,62,0.323,20,0.242,15,0.467,7,1,200,73.9,30.6,11,17,51,,18.8,13,0.452,28,0.143,4,50.8,33,0.369,15.9,13,34,0.471,16,0.8,4,"November 19, 2018",50.0,11,8.8,3,73.9,69.4,25,0.521,48,0.458,22,0.271,13,0.538,7,0,200,82.6,24.1,7,20,57,,8.7,6,0.417,20,0.3,6,49.2,32,0.526,26.1,19,28,0.571,16,1.0,4,"Barclays Center, Brooklyn, New York",TEMPLE,Temple,68.7,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-11-20-19-virginia-commonwealth,51.6,16,3.6,1,100.0,71.0,22,0.466,73,0.425,31,0.329,24,0.792,19,0,225,101.2,20.9,9,21,87,,16.3,14,0.301,22,0.273,6,41.9,31,0.515,9.7,9,51,0.49,25,1.0,5,"November 20, 2018",61.5,16,7.8,4,101.2,79.1,34,0.524,62,0.419,26,0.435,27,0.778,21,1,225,100.0,29.0,9,25,86,,5.8,5,0.548,34,0.382,13,58.1,43,0.575,22.9,22,28,0.464,13,0.8,4,"Barclays Center, Brooklyn, New York",VIRGINIA-COMMONWEALTH,VCU,76.5,Away,ST-JOHNS-NY,St. John's (NY),Virginia Commonwealth,atlantic-10
2018-11-24-19-virginia-commonwealth,40.9,9,7.1,3,88.5,66.7,28,0.417,60,0.367,22,0.333,20,0.85,17,3,225,85.9,21.9,7,14,67,,6.4,5,0.35,21,0.286,6,47.3,35,0.482,21.6,19,39,0.41,16,0.5,3,"November 24, 2018",50.0,15,12.8,5,85.9,78.1,25,0.458,72,0.417,30,0.083,6,0.5,3,1,225,88.5,33.3,14,20,69,,17.9,14,0.417,30,0.2,6,52.7,39,0.461,14.8,13,42,0.571,24,0.833,5,"Stuart Siegel Center, Richmond, Virginia",HOFSTRA,Hofstra,69.0,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-11-28-19-old-dominion,47.1,8,4.8,2,92.5,66.7,24,0.408,49,0.347,17,0.347,17,0.706,12,2,200,77.6,16.7,5,20,52,,1.5,1,0.408,20,0.3,6,43.9,29,0.456,19.9,14,29,0.379,11,0.714,5,"November 28, 2018",38.1,8,24.1,7,77.6,83.3,25,0.383,60,0.35,21,0.383,23,0.696,16,3,200,92.5,33.3,12,16,62,,7.5,5,0.3,18,0.222,4,56.1,37,0.437,10.2,8,42,0.405,17,0.571,4,"Ted Constant Convocation Ctr., Norfolk, Virginia",VIRGINIA-COMMONWEALTH,VCU,66.5,Home,OLD-DOMINION,Old Dominion,Virginia Commonwealth,atlantic-10
2018-12-01-19-virginia-commonwealth,36.8,7,8.3,3,114.3,63.4,26,0.412,51,0.373,19,0.451,23,0.739,17,5,200,76.6,18.8,6,27,59,,3.9,3,0.373,19,0.211,4,43.8,32,0.476,25.6,21,32,0.469,15,0.286,2,"December 1, 2018",57.1,16,21.9,7,76.6,81.3,26,0.508,66,0.424,28,0.545,36,0.583,21,2,200,114.3,36.6,15,23,88,,18.2,14,0.455,30,0.367,11,56.2,41,0.529,8.9,8,36,0.472,17,0.75,6,"Stuart Siegel Center, Richmond, Virginia",IONA,Iona,76.5,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-12-05-20-texas,37.5,6,16.7,6,80.3,73.1,19,0.333,57,0.281,16,0.368,21,0.762,16,2,200,81.8,38.1,16,17,54,,10.6,7,0.439,25,0.24,6,51.5,35,0.403,17.4,14,32,0.313,10,0.778,7,"December 5, 2018",54.5,12,12.5,4,81.8,61.9,26,0.453,53,0.415,22,0.151,8,0.625,5,3,200,80.3,26.9,7,21,53,,7.6,5,0.321,17,0.235,4,48.5,33,0.467,23.1,17,36,0.5,18,0.625,5,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,65.9,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-12-09-13-virginia,38.9,7,15.4,4,95.0,63.3,19,0.344,61,0.295,18,0.18,11,0.636,7,3,200,81.7,32.4,12,21,49,,3.3,2,0.475,29,0.207,6,46.3,31,0.37,9.6,7,32,0.375,12,0.7,7,"December 9, 2018",69.2,9,6.3,2,81.7,67.6,25,0.352,44,0.295,13,0.682,30,0.867,26,0,200,95.0,36.7,11,18,57,4,6.7,4,0.409,18,0.278,5,53.7,36,0.489,17.3,12,26,0.308,8,1.0,9,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA-COMMONWEALTH,VCU,60.2,Home,VIRGINIA,Virginia,Virginia Commonwealth,atlantic-10
2018-12-15-16-virginia-commonwealth,38.5,10,0.0,0,95.2,71.8,28,0.569,51,0.51,26,0.647,33,0.758,25,2,200,100.0,21.7,5,24,83,,12.0,10,0.314,16,0.375,6,53.2,33,0.622,25.1,22,35,0.571,20,0.818,9,"December 15, 2018",48.1,13,14.3,5,100.0,78.3,18,0.469,64,0.422,27,0.469,30,0.633,19,4,200,95.2,28.2,11,24,79,,14.5,12,0.422,27,0.222,6,46.8,29,0.505,17.2,16,37,0.568,21,0.636,7,"Stuart Siegel Center, Richmond, Virginia",VIRGINIA-COMMONWEALTH,VCU,83.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,Virginia Commonwealth,atlantic-10
2018-12-22-16-virginia-commonwealth,47.6,10,3.2,1,109.4,72.4,21,0.407,59,0.356,21,0.169,10,0.6,6,5,200,84.4,40.0,14,18,54,,4.7,3,0.441,26,0.231,6,54.7,35,0.424,20.2,16,33,0.455,15,0.583,7,"December 22, 2018",57.1,16,9.1,3,84.4,60.0,21,0.545,56,0.5,28,0.214,12,0.75,9,4,200,109.4,27.6,8,16,70,,15.6,10,0.446,25,0.2,5,45.3,29,0.567,12.8,9,31,0.742,23,0.667,8,"Stuart Siegel Center, Richmond, Virginia",WICHITA-STATE,Wichita State,64.2,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2018-12-30-14-virginia-commonwealth,66.7,20,3.0,1,123.3,71.0,22,0.556,63,0.476,30,0.27,17,0.529,9,7,200,108.2,28.6,10,17,79,,13.7,10,0.381,24,0.417,10,48.5,32,0.556,16.6,14,39,0.513,20,0.417,5,"December 30, 2018",72.7,24,2.6,1,108.2,71.4,25,0.645,62,0.532,33,0.226,14,0.714,10,4,200,123.3,29.0,9,18,90,,11.0,8,0.468,29,0.483,14,51.5,34,0.655,15.0,12,33,0.576,19,0.692,9,"Stuart Siegel Center, Richmond, Virginia",RIDER,Rider,73.4,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2019-01-05-14-fordham,56.7,17,3.2,1,76.1,70.6,24,0.744,45,0.667,30,0.222,10,0.9,9,4,200,113.4,14.3,2,20,76,,11.9,8,0.356,16,0.438,7,54.2,26,0.764,27.8,19,29,0.793,23,0.714,10,"January 5, 2019",64.7,11,3.4,1,113.4,85.7,12,0.385,52,0.327,17,0.327,17,0.647,11,5,200,76.1,29.4,10,11,51,,9.0,6,0.404,21,0.286,6,45.8,22,0.424,22.2,17,31,0.355,11,0.643,9,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,66.9,Away,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2019-01-09-19-virginia-commonwealth,47.6,10,5.6,2,90.8,69.2,27,0.398,59,0.356,21,0.339,20,0.8,16,11,200,82.9,28.9,11,27,63,,13.2,10,0.339,20,0.25,5,49.4,38,0.46,21.9,19,39,0.41,16,0.214,3,"January 9, 2019",65.0,13,23.1,9,82.9,71.1,27,0.425,53,0.377,20,0.642,34,0.706,24,4,200,90.8,30.8,12,19,69,,7.9,6,0.321,17,0.294,5,50.6,39,0.499,20.9,18,36,0.417,15,0.733,11,"Stuart Siegel Center, Richmond, Virginia",LA-SALLE,La Salle,75.8,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
2019-01-12-14-davidson,31.6,6,11.4,4,94.1,81.8,27,0.412,51,0.373,19,0.392,20,0.75,15,5,200,83.8,17.9,5,19,57,,7.4,5,0.471,24,0.167,4,52.5,32,0.471,17.9,13,27,0.556,15,0.688,11,"January 12, 2019",52.4,11,3.7,1,83.8,82.1,23,0.445,55,0.382,21,0.345,19,0.789,15,4,200,94.1,18.2,6,15,64,,4.4,3,0.364,20,0.35,7,47.5,29,0.5,12.4,9,35,0.4,14,0.75,12,"Belk Arena, Davidson, North Carolina",VIRGINIA-COMMONWEALTH,VCU,67.8,Home,DAVIDSON,Davidson,Virginia Commonwealth,atlantic-10
2019-01-16-20-virginia-commonwealth,61.5,16,7.5,3,110.1,65.7,23,0.509,55,0.473,26,0.418,23,0.652,15,6,200,102.9,21.2,7,21,71,,4.3,3,0.291,16,0.25,4,44.1,30,0.538,15.6,12,39,0.564,22,0.647,11,"January 16, 2019",44.4,12,10.3,4,102.9,78.8,26,0.534,59,0.458,27,0.373,22,0.591,13,5,200,110.1,34.3,12,19,76,,7.2,5,0.322,19,0.474,9,55.9,38,0.547,11.6,9,40,0.45,18,0.706,12,"Stuart Siegel Center, Richmond, Virginia",DAYTON,Dayton,68.7,Home,VIRGINIA-COMMONWEALTH,VCU,Virginia Commonwealth,atlantic-10
