,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-08-20-northwestern,55.0,11,3.3,1,122.4,60.0,21,0.429,49,0.408,20,0.449,22,0.455,10,1,200,77.6,21.4,6,21,52,,6.0,4,0.204,10,0.2,2,42.9,27,0.437,20.4,15,39,0.462,18,0.5,1,"November 8, 2018",64.0,16,15.4,6,77.6,78.6,22,0.508,60,0.417,25,0.433,26,0.808,21,0,200,122.4,40.0,14,18,82,,10.4,7,0.5,30,0.367,11,57.1,36,0.567,10.1,8,30,0.467,14,1.0,1,"Welsh-Ryan Arena, Evanston, Illinois",NEW-ORLEANS,New Orleans,67.4,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-11-12-20-northwestern,47.1,8,2.8,1,92.6,70.3,26,0.4,50,0.34,17,0.34,17,0.647,11,1,200,75.0,12.1,4,22,51,,4.4,3,0.42,21,0.286,6,42.9,30,0.439,20.7,15,29,0.379,11,0.5,1,"November 12, 2018",57.1,12,13.8,4,75.0,87.9,29,0.397,58,0.362,21,0.414,24,0.708,17,0,200,92.6,29.7,11,17,63,,8.8,6,0.379,22,0.182,4,57.1,40,0.454,11.6,9,36,0.472,17,1.0,2,"Welsh-Ryan Arena, Evanston, Illinois",AMERICAN,American,68.2,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-11-16-19-northwestern,45.5,10,17.8,8,109.3,56.7,17,0.373,63,0.349,22,0.19,12,0.583,7,3,200,72.0,23.7,9,19,54,,12.0,9,0.317,20,0.15,3,38.2,26,0.393,19.9,17,43,0.442,19,0.25,1,"November 16, 2018",71.9,23,14.0,6,72.0,76.3,29,0.556,62,0.516,32,0.339,21,0.619,13,0,200,109.3,43.3,13,15,82,,13.3,10,0.274,17,0.294,5,61.8,42,0.57,17.4,15,45,0.6,27,1.0,3,"Welsh-Ryan Arena, Evanston, Illinois",BINGHAMTON,Binghamton,75.3,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-11-22-16-fresno-state,61.1,11,8.0,2,111.4,79.2,19,0.412,51,0.353,18,0.451,23,0.739,17,1,200,84.3,21.4,6,23,59,,4.3,3,0.431,22,0.273,6,48.1,25,0.476,19.7,15,29,0.414,12,0.75,3,"November 22, 2018",75.0,18,3.4,1,84.3,78.6,22,0.615,48,0.5,24,0.521,25,0.76,19,1,200,111.4,20.8,5,21,78,,5.7,4,0.479,23,0.478,11,51.9,27,0.651,20.3,15,25,0.52,13,0.667,2,"Titan Gym, Fullerton, California",NORTHWESTERN,Northwestern,70.4,Home,FRESNO-STATE,Fresno State,Northwestern,big-ten
2018-11-23-16-northwestern,56.5,13,7.4,2,119.7,58.3,14,0.52,51,0.451,23,0.529,27,0.778,21,6,200,97.4,17.2,5,29,74,,10.5,8,0.392,20,0.35,7,35.8,19,0.58,20.3,16,31,0.516,16,0.0,0,"November 23, 2018",75.0,18,3.2,1,97.4,82.8,24,0.56,50,0.48,24,0.86,43,0.814,35,1,200,119.7,41.7,10,25,91,,9.2,7,0.46,23,0.348,8,64.2,34,0.646,19.8,17,27,0.593,16,0.8,4,"Titan Gym, Fullerton, California",LA-SALLE,La Salle,76.1,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-11-25-14-utah,44.4,12,17.4,4,87.7,70.0,14,0.604,53,0.509,27,0.415,22,0.682,15,1,200,121.5,38.7,12,20,79,,6.2,4,0.396,21,0.476,10,51.0,26,0.623,19.3,15,32,0.531,17,0.833,5,"November 25, 2018",50.0,9,0.0,0,121.5,61.3,19,0.526,39,0.462,18,0.487,19,0.842,16,3,200,87.7,30.0,6,17,57,,7.7,5,0.41,16,0.313,5,49.0,25,0.593,30.7,21,23,0.565,13,0.5,3,"Titan Gym, Fullerton, California",UTAH,Utah,64.7,Away,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-11-28-21-northwestern,40.0,8,17.6,6,97.1,67.7,21,0.415,53,0.377,20,0.453,24,0.708,17,2,200,88.4,30.0,9,21,61,,13.0,9,0.226,12,0.333,4,49.2,30,0.474,17.0,13,41,0.39,16,0.667,4,"November 28, 2018",69.6,16,9.8,4,88.4,70.0,21,0.491,54,0.426,23,0.389,21,0.667,14,1,200,97.1,32.3,10,21,67,,13.0,9,0.37,20,0.35,7,50.8,31,0.524,19.2,15,34,0.471,16,0.857,6,"Welsh-Ryan Arena, Evanston, Illinois",GEORGIA-TECH,Georgia Tech,68.7,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
2018-12-01-13-indiana,33.3,9,5.3,2,100.0,88.0,22,0.484,61,0.443,27,0.164,10,0.7,7,2,200,97.1,24.1,7,20,66,,5.9,4,0.279,17,0.294,5,53.7,29,0.502,13.3,10,44,0.5,22,0.75,6,"December 1, 2018",33.3,9,11.4,5,97.1,75.9,22,0.582,49,0.551,27,0.388,19,0.579,11,2,200,100.0,12.0,3,16,68,,10.3,7,0.224,11,0.273,3,46.3,25,0.586,18.5,13,38,0.632,24,0.75,6,"Assembly Hall, Bloomington, Indiana",NORTHWESTERN,Northwestern,68.4,Home,INDIANA,Indiana,Northwestern,big-ten
2018-12-04-21-northwestern,50.0,12,2.9,1,98.4,81.5,22,0.482,55,0.436,24,0.236,13,0.692,9,0,200,101.6,28.6,8,15,62,5,9.8,6,0.364,20,0.25,5,54.5,30,0.507,11.6,8,35,0.543,19,1.0,9,"December 4, 2018",52.2,12,17.1,6,101.6,71.4,20,0.51,51,0.451,23,0.255,13,0.615,8,3,200,98.4,18.5,5,12,60,,4.9,3,0.333,17,0.353,6,45.5,25,0.525,13.7,9,34,0.5,17,0.667,6,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,61.2,Away,MICHIGAN,Michigan,Northwestern,big-ten
2018-12-08-12-northwestern,55.6,15,4.2,1,107.1,77.4,24,0.468,63,0.429,27,0.222,14,0.643,9,2,200,97.1,22.9,8,19,68,,8.6,6,0.349,22,0.227,5,48.5,32,0.488,11.5,9,41,0.537,22,0.714,5,"December 8, 2018",91.3,21,19.5,8,97.1,77.1,27,0.518,55,0.418,23,0.418,23,0.783,18,3,200,107.1,22.6,7,14,75,,4.3,3,0.564,31,0.355,11,51.5,34,0.569,13.3,10,24,0.5,12,0.7,7,"Welsh-Ryan Arena, Evanston, Illinois",DEPAUL,DePaul,69.8,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten
