,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-19-st-bonaventure,42.9,12,2.4,1,106.3,77.4,24,0.56,58,0.483,28,0.621,36,0.639,23,0,225,110.0,29.0,9,21,88,,1.3,1,0.466,27,0.333,9,53.2,33,0.586,15.9,14,31,0.613,19,1.0,1,"November 7, 2018",44.8,13,16.1,5,110.0,71.0,22,0.517,60,0.483,29,0.517,31,0.742,23,1,225,106.3,22.6,7,27,85,,10.0,8,0.317,19,0.211,4,46.8,29,0.569,14.0,12,41,0.61,25,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,71.0,Away,BUCKNELL,Bucknell,St. Bonaventure,atlantic-10
2018-11-10-14-st-bonaventure,61.5,8,6.3,2,90.5,66.7,20,0.25,62,0.21,13,0.194,12,0.417,5,2,200,48.6,38.9,14,21,36,,9.5,7,0.419,26,0.192,5,51.5,34,0.266,24.6,22,36,0.222,8,0.0,0,"November 10, 2018",50.0,10,27.8,10,48.6,61.1,22,0.418,55,0.364,20,0.473,26,0.808,21,1,200,90.5,33.3,10,16,67,,20.3,15,0.418,23,0.261,6,48.5,32,0.497,18.4,15,32,0.438,14,0.5,1,"Reilly Center, St. Bonaventure, New York",JACKSON-STATE,Jackson State,74.0,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10
2018-11-12-19-niagara,40.6,13,10.0,4,109.6,63.2,24,0.515,68,0.471,32,0.044,3,0.667,2,2,200,98.6,28.1,9,22,72,,6.8,5,0.221,15,0.4,6,47.1,33,0.519,16.8,14,53,0.491,26,0.333,1,"November 12, 2018",48.1,13,17.0,9,98.6,71.9,23,0.492,62,0.435,27,0.403,25,0.76,19,0,200,109.6,36.8,14,11,80,,8.2,6,0.355,22,0.318,7,52.9,37,0.541,14.1,12,40,0.5,20,1.0,1,"Gallagher Center, Niagara University, New York",ST-BONAVENTURE,St. Bonaventure,73.2,Home,NIAGARA,Niagara,St. Bonaventure,atlantic-10
2018-11-19-17-georgia-state,52.4,11,11.9,5,107.1,72.4,21,0.466,58,0.362,21,0.31,18,0.611,11,3,200,92.9,32.4,12,14,65,,5.7,4,0.466,27,0.444,12,50.0,33,0.488,20.5,17,31,0.29,9,0.25,1,"November 19, 2018",50.0,15,22.6,7,92.9,67.6,25,0.559,59,0.508,30,0.203,12,0.75,9,1,200,107.1,27.6,8,16,75,,18.6,13,0.288,17,0.353,6,50.0,33,0.58,15.7,12,42,0.571,24,0.75,3,"John Gray Gymnasium, Grand Cayman",ST-BONAVENTURE,St. Bonaventure,70.1,Home,GEORGIA-STATE,Georgia State,St. Bonaventure,atlantic-10
2018-11-20-17-boise-state,29.4,5,10.5,2,114.3,73.7,14,0.368,53,0.321,17,0.283,15,0.867,13,4,200,82.5,18.2,6,13,52,,4.8,3,0.321,17,0.294,5,38.5,20,0.432,14.4,10,36,0.333,12,0.2,1,"November 20, 2018",64.0,16,2.8,1,82.5,81.8,27,0.733,43,0.581,25,0.233,10,0.9,9,2,200,114.3,26.3,5,17,72,,6.3,4,0.558,24,0.542,13,61.5,32,0.754,28.6,19,19,0.632,12,0.5,2,"John Gray Gymnasium, Grand Cayman",ST-BONAVENTURE,St. Bonaventure,62.9,Home,BOISE-STATE,Boise State,St. Bonaventure,atlantic-10
2018-11-21-11-st-bonaventure,72.2,13,7.3,3,81.7,63.6,21,0.469,49,0.367,18,0.429,21,0.714,15,2,200,101.7,29.0,9,12,61,,3.3,2,0.469,23,0.435,10,46.9,30,0.517,14.7,10,26,0.308,8,0.667,4,"November 21, 2018",30.0,6,3.8,1,101.7,71.0,22,0.404,52,0.385,20,0.308,16,0.438,7,5,200,81.7,36.4,12,19,49,,10.0,6,0.212,11,0.182,2,53.1,34,0.411,16.9,12,41,0.439,18,0.167,1,"John Gray Gymnasium, Grand Cayman",ST-BONAVENTURE,St. Bonaventure,59.8,Away,AKRON,Akron,St. Bonaventure,atlantic-10
2018-11-28-19-st-bonaventure,61.9,13,3.0,1,104.5,80.0,24,0.408,60,0.35,21,0.183,11,0.545,6,6,200,82.1,19.0,8,22,55,,9.0,6,0.5,30,0.233,7,44.4,32,0.422,13.4,10,30,0.467,14,0.143,1,"November 28, 2018",61.5,16,13.3,4,82.1,81.0,34,0.545,56,0.464,26,0.232,13,0.692,9,5,200,104.5,20.0,6,15,70,,3.0,2,0.411,23,0.391,9,55.6,40,0.563,15.1,11,33,0.515,17,0.286,2,"Reilly Center, St. Bonaventure, New York",CANISIUS,Canisius,67.2,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10
2018-12-01-16-st-bonaventure,36.8,7,5.7,2,118.4,80.8,21,0.393,56,0.339,19,0.464,26,0.654,17,7,200,80.3,30.6,11,19,61,,10.5,8,0.339,19,0.316,6,51.6,32,0.446,22.0,19,37,0.351,13,0.125,1,"December 1, 2018",76.5,26,21.6,8,80.3,69.4,25,0.667,60,0.567,34,0.233,14,0.714,10,5,200,118.4,19.2,5,17,90,,11.8,9,0.417,25,0.48,12,48.4,30,0.675,16.4,13,35,0.629,22,0.375,3,"Reilly Center, St. Bonaventure, New York",DELAWARE-STATE,Delaware State,75.5,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10
2018-12-05-19-st-bonaventure,40.0,6,7.1,3,136.7,65.4,17,0.402,46,0.326,15,0.217,10,0.3,3,6,200,66.7,19.4,7,15,40,,5.0,3,0.565,26,0.269,7,38.7,24,0.394,22.9,15,20,0.4,8,0.333,3,"December 5, 2018",39.4,13,25.0,5,66.7,80.6,29,0.61,59,0.559,33,0.22,13,0.769,10,5,200,136.7,34.6,9,13,82,,10.0,6,0.288,17,0.353,6,61.3,38,0.629,8.5,6,42,0.643,27,0.444,4,"Reilly Center, St. Bonaventure, New York",SIENA,Siena,60.5,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10
2018-12-08-16-st-bonaventure,55.6,15,10.0,4,83.8,77.4,24,0.533,60,0.45,27,0.4,24,0.667,16,0,200,108.1,26.5,9,20,80,17,9.5,7,0.4,24,0.417,10,50.8,33,0.56,16.6,14,36,0.472,17,1.0,9,"December 8, 2018",52.4,11,8.3,3,108.1,73.5,25,0.42,56,0.375,21,0.321,18,0.833,15,6,200,83.8,22.6,7,21,62,,5.4,4,0.286,16,0.313,5,49.2,32,0.48,19.0,15,40,0.4,16,0.4,4,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,74.5,Away,BUFFALO,Buffalo,St. Bonaventure,atlantic-10
