,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-12-19-niagara,40.6,13,10.0,4,109.6,63.2,24,0.515,68,0.471,32,0.044,3,0.667,2,2,200,98.6,28.1,9,22,72,,6.8,5,0.221,15,0.4,6,47.1,33,0.519,16.8,14,53,0.491,26,0.333,1,"November 12, 2018",48.1,13,17.0,9,98.6,71.9,23,0.492,62,0.435,27,0.403,25,0.76,19,0,200,109.6,36.8,14,11,80,,8.2,6,0.355,22,0.318,7,52.9,37,0.541,14.1,12,40,0.5,20,1.0,1,"Gallagher Center, Niagara University, New York",ST-BONAVENTURE,St. Bonaventure,73.2,Home,NIAGARA,Niagara,Niagara,maac
2018-11-14-20-loyola-il,47.4,9,10.3,4,107.1,79.3,23,0.346,65,0.292,19,0.292,19,0.895,17,1,200,88.6,29.8,14,16,62,,4.3,3,0.354,23,0.304,7,48.7,37,0.419,10.9,9,42,0.286,12,0.5,1,"November 14, 2018",53.3,16,14.3,6,88.6,70.2,33,0.56,58,0.517,30,0.293,17,0.588,10,1,200,107.1,20.7,6,17,75,,8.6,6,0.328,19,0.263,5,51.3,39,0.568,13.2,10,39,0.641,25,0.667,2,"Joseph J. Gentile Center, Chicago, Illinois",NIAGARA,Niagara,69.6,Home,LOYOLA-IL,Loyola (IL),Niagara,maac
2018-11-16-21-wyoming,40.0,10,7.1,3,89.3,76.5,26,0.455,66,0.379,25,0.227,15,0.8,12,1,200,96.0,23.1,9,15,72,,4.0,3,0.455,30,0.333,10,47.9,35,0.492,12.1,10,36,0.417,15,0.667,2,"November 16, 2018",32.0,8,8.3,3,96.0,76.9,30,0.46,62,0.403,25,0.226,14,0.714,10,3,200,89.3,23.5,8,15,67,,8.0,6,0.323,20,0.35,7,52.1,38,0.488,18.0,15,42,0.429,18,0.25,1,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,74.9,Away,NIAGARA,Niagara,Niagara,maac
2018-11-23-16-niagara,55.6,15,9.1,4,89.5,75.0,33,0.545,55,0.491,27,0.4,22,0.636,14,2,200,97.4,10.7,3,21,74,,2.6,2,0.255,14,0.429,6,50.0,36,0.565,15.6,12,41,0.512,21,0.6,3,"November 23, 2018",45.5,10,9.8,4,97.4,89.3,25,0.356,66,0.333,22,0.424,28,0.75,21,2,200,89.5,25.0,11,19,68,,5.3,4,0.333,22,0.136,3,50.0,36,0.429,10.3,9,44,0.432,19,0.5,2,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,75.9,Away,GRAMBLING,Grambling,Niagara,maac
2018-11-24-19-niagara,38.5,10,17.5,7,86.3,80.6,29,0.5,65,0.4,26,0.262,17,0.588,10,3,200,102.7,26.3,10,19,75,,5.5,4,0.431,28,0.464,13,52.7,39,0.513,12.1,10,37,0.351,13,0.5,3,"November 24, 2018",30.0,6,16.2,6,102.7,73.7,28,0.393,56,0.357,20,0.464,26,0.731,19,3,200,86.3,19.4,7,18,63,,2.7,2,0.286,16,0.25,4,47.3,35,0.461,15.1,12,40,0.4,16,0.4,2,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,73.2,Away,ST-FRANCIS-NY,St. Francis (NY),Niagara,maac
2018-11-30-19-saint-francis-pa,40.0,10,6.1,3,100.0,67.4,29,0.46,63,0.397,25,0.317,20,0.85,17,4,200,94.9,22.9,8,20,75,,3.8,3,0.397,25,0.32,8,47.4,37,0.517,16.3,14,38,0.447,17,0.333,2,"November 30, 2018",41.9,13,5.3,2,94.9,77.1,27,0.465,72,0.431,31,0.222,16,0.75,12,4,200,100.0,32.6,14,19,79,,7.6,6,0.319,23,0.217,5,52.6,41,0.496,14.1,13,49,0.531,26,0.429,3,"DeGol Arena, Loretto, Pennsylvania",NIAGARA,Niagara,78.6,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Niagara,maac
2018-12-03-19-pittsburgh,59.3,16,18.8,6,87.5,87.9,29,0.554,56,0.482,27,0.268,15,0.6,9,4,200,88.8,24.1,7,21,71,,7.5,6,0.339,19,0.421,8,58.1,36,0.562,27.7,24,37,0.514,19,0.429,3,"December 3, 2018",70.8,17,5.4,2,88.8,75.9,22,0.509,57,0.421,24,0.316,18,0.667,12,2,200,87.5,12.1,4,18,70,,11.3,9,0.439,25,0.4,10,41.9,26,0.534,21.7,18,32,0.438,14,0.778,7,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,79.8,Away,NIAGARA,Niagara,Niagara,maac
2018-12-09-12-niagara,52.0,13,8.8,3,102.9,85.7,30,0.44,67,0.373,25,0.134,9,0.889,8,8,200,97.1,20.0,8,15,67,,5.8,4,0.507,34,0.265,9,50.7,38,0.47,7.8,6,33,0.485,16,0.2,2,"December 9, 2018",44.4,12,9.1,3,97.1,80.0,32,0.508,60,0.45,27,0.217,13,0.769,10,4,200,102.9,14.3,5,12,71,,4.3,3,0.433,26,0.269,7,49.3,37,0.536,9.6,7,34,0.588,20,0.5,4,"Gallagher Center, Niagara University, New York",NEW-HAMPSHIRE,New Hampshire,68.7,Home,NIAGARA,Niagara,Niagara,maac
2018-12-16-14-niagara,70.8,17,17.1,7,113.2,69.7,23,0.509,55,0.436,24,0.382,21,0.857,18,5,200,108.8,22.6,7,16,74,,2.9,2,0.327,18,0.444,8,46.9,30,0.569,13.5,10,37,0.432,16,0.444,4,"December 16, 2018",50.0,13,2.7,1,108.8,77.4,24,0.477,65,0.4,26,0.323,21,0.714,15,4,200,113.2,30.3,10,17,77,,4.4,3,0.369,24,0.417,10,53.1,34,0.514,5.1,4,41,0.39,16,0.556,5,"Gallagher Center, Niagara University, New York",CORNELL,Cornell,68.5,Home,NIAGARA,Niagara,Niagara,maac
2018-12-19-19-cleveland-state,50.0,11,10.0,4,107.9,72.2,26,0.36,68,0.324,22,0.221,15,0.733,11,5,200,78.9,34.1,14,20,60,,5.3,4,0.397,27,0.185,5,51.9,40,0.399,16.7,15,41,0.415,17,0.5,5,"December 19, 2018",44.8,13,9.8,4,78.9,65.9,27,0.516,64,0.453,29,0.375,24,0.667,16,8,200,107.9,27.8,10,17,82,,7.9,6,0.375,24,0.333,8,48.1,37,0.544,11.8,10,40,0.525,21,0.385,5,"Wolstein Center, Cleveland, Ohio",NIAGARA,Niagara,75.8,Home,CLEVELAND-STATE,Cleveland State,Niagara,maac
