,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-19-depaul,26.1,6,9.1,3,117.6,50.0,15,0.419,62,0.371,23,0.21,13,0.462,6,1,200,85.3,42.9,15,21,58,,10.3,7,0.484,30,0.2,6,46.2,30,0.425,17.1,14,32,0.531,17,0.0,0,"November 7, 2018",52.0,13,9.4,3,85.3,57.1,20,0.509,57,0.439,25,0.526,30,0.733,22,0,200,117.6,50.0,15,17,80,,8.8,6,0.421,24,0.333,8,53.8,35,0.561,15.6,13,33,0.515,17,1.0,1,"Wintrust Arena, Chicago, Illinois",BETHUNE-COOKMAN,Bethune-Cookman,68.2,Home,DEPAUL,DePaul,DePaul,big-east
2018-11-12-20-depaul,45.5,10,2.5,1,116.7,56.7,17,0.417,60,0.367,22,0.383,23,0.565,13,3,200,80.8,11.1,4,16,63,,9.0,7,0.4,24,0.25,6,31.8,21,0.444,14.6,12,36,0.444,16,0.0,0,"November 12, 2018",62.9,22,5.6,2,80.8,88.9,32,0.603,68,0.515,35,0.176,12,0.75,9,0,200,116.7,43.3,13,21,91,,7.7,6,0.412,28,0.429,12,68.2,45,0.617,18.8,17,40,0.575,23,1.0,2,"Wintrust Arena, Chicago, Illinois",MORGAN-STATE,Morgan State,78.3,Home,DEPAUL,DePaul,DePaul,big-east
2018-11-15-21-depaul,52.0,13,4.8,2,91.1,71.4,25,0.469,64,0.391,25,0.25,16,0.625,10,1,225,88.6,21.4,9,23,70,,12.7,10,0.469,30,0.333,10,44.2,34,0.489,18.4,16,34,0.441,15,0.667,2,"November 15, 2018",50.0,14,5.9,2,88.6,78.6,33,0.461,64,0.438,28,0.328,21,0.619,13,0,225,91.1,28.6,10,17,72,,11.4,9,0.344,22,0.136,3,55.8,43,0.487,17.9,16,42,0.595,25,1.0,3,"Wintrust Arena, Chicago, Illinois",PENN-STATE,Penn State,70.5,Home,DEPAUL,DePaul,DePaul,big-east
2018-11-24-12-notre-dame,46.2,12,3.0,1,126.7,75.9,22,0.484,61,0.426,26,0.279,17,0.647,11,1,200,93.3,20.5,8,19,70,,8.0,6,0.377,23,0.304,7,44.1,30,0.507,16.0,13,38,0.5,19,0.75,3,"November 24, 2018",42.4,14,5.3,2,93.3,79.5,31,0.658,60,0.55,33,0.35,21,0.762,16,1,200,126.7,24.1,7,19,95,,6.7,5,0.45,27,0.481,13,55.9,38,0.679,14.8,12,33,0.606,20,0.833,5,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",DEPAUL,DePaul,74.5,Home,NOTRE-DAME,Notre Dame,DePaul,big-east
2018-11-28-20-depaul,73.1,19,7.7,3,110.7,72.4,21,0.533,61,0.426,26,0.23,14,0.571,8,6,200,97.3,14.3,5,20,73,,4.0,3,0.508,31,0.419,13,40.6,26,0.54,16.2,13,30,0.433,13,0.25,2,"November 28, 2018",64.5,20,23.3,7,97.3,85.7,30,0.598,56,0.554,31,0.482,27,0.593,16,1,200,110.7,27.6,8,20,83,,10.7,8,0.304,17,0.294,5,59.4,38,0.603,17.1,14,39,0.667,26,0.8,4,"Wintrust Arena, Chicago, Illinois",CLEVELAND-STATE,Cleveland State,75.2,Home,DEPAUL,DePaul,DePaul,big-east
2018-12-03-20-depaul,58.8,10,5.9,2,98.5,65.7,23,0.456,45,0.378,17,0.333,15,0.6,9,7,200,75.8,11.1,3,23,50,,7.6,5,0.289,13,0.538,7,41.9,26,0.48,22.5,15,32,0.313,10,0.222,2,"December 3, 2018",55.0,11,9.4,3,75.8,88.9,24,0.4,55,0.364,20,0.509,28,0.75,21,1,200,98.5,34.3,12,19,65,,7.6,5,0.382,21,0.19,4,58.1,36,0.476,14.0,11,34,0.471,16,0.833,5,"Wintrust Arena, Chicago, Illinois",FLORIDA-AM,Florida A&M,65.7,Home,DEPAUL,DePaul,DePaul,big-east
2018-12-08-12-northwestern,55.6,15,4.2,1,107.1,77.4,24,0.468,63,0.429,27,0.222,14,0.643,9,2,200,97.1,22.9,8,19,68,,8.6,6,0.349,22,0.227,5,48.5,32,0.488,11.5,9,41,0.537,22,0.714,5,"December 8, 2018",91.3,21,19.5,8,97.1,77.1,27,0.518,55,0.418,23,0.418,23,0.783,18,3,200,107.1,22.6,7,14,75,,4.3,3,0.564,31,0.355,11,51.5,34,0.569,13.3,10,24,0.5,12,0.7,7,"Welsh-Ryan Arena, Evanston, Illinois",DEPAUL,DePaul,69.8,Home,NORTHWESTERN,Northwestern,DePaul,big-east
2018-12-12-20-depaul,52.2,12,2.8,1,130.0,71.4,20,0.443,61,0.377,23,0.279,17,0.941,16,9,200,87.5,25.7,9,19,70,,10.0,8,0.344,21,0.381,8,46.0,29,0.507,20.8,18,40,0.375,15,0.25,3,"December 12, 2018",68.6,24,10.0,4,87.5,74.3,26,0.633,64,0.547,35,0.406,26,0.885,23,2,200,130.0,28.6,8,18,104,,15.0,12,0.438,28,0.393,11,54.0,34,0.681,14.7,13,36,0.667,24,0.75,6,"Wintrust Arena, Chicago, Illinois",CHICAGO-STATE,Chicago State,79.7,Home,DEPAUL,DePaul,DePaul,big-east
2018-12-14-19-depaul,40.0,10,2.9,1,112.5,72.7,24,0.526,58,0.431,25,0.224,13,0.692,9,7,200,87.5,8.8,3,20,70,,8.8,7,0.534,31,0.355,11,40.3,27,0.545,23.9,20,27,0.519,14,0.364,4,"December 14, 2018",46.9,15,11.1,3,87.5,91.2,31,0.623,61,0.525,32,0.393,24,0.583,14,2,200,112.5,27.3,9,19,90,,12.5,10,0.426,26,0.462,12,59.7,40,0.622,17.3,15,35,0.571,20,0.778,7,"Wintrust Arena, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,79.8,Home,DEPAUL,DePaul,DePaul,big-east
2018-12-19-20-depaul,54.2,13,0.0,0,120.9,77.3,17,0.574,54,0.444,24,0.222,12,0.75,9,8,200,106.0,22.6,7,20,71,,10.4,7,0.463,25,0.56,14,45.3,24,0.595,18.0,13,29,0.345,10,0.385,5,"December 19, 2018",43.3,13,6.9,2,106.0,77.4,24,0.698,48,0.625,30,0.458,22,0.636,14,2,200,120.9,22.7,5,13,81,,11.9,8,0.354,17,0.412,7,54.7,29,0.693,19.5,14,31,0.742,23,0.8,8,"Wintrust Arena, Chicago, Illinois",INCARNATE-WORD,Incarnate Word,66.6,Home,DEPAUL,DePaul,DePaul,big-east
