,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-minnesota,25.0,7,7.3,3,130.0,56.0,14,0.5,63,0.444,28,0.27,17,0.765,13,1,196,95.0,15.6,5,19,76,,11.3,9,0.302,19,0.368,7,33.3,19,0.535,15.6,13,44,0.477,21,0.0,0,"November 6, 2018",71.8,28,9.1,4,95.0,84.4,27,0.71,62,0.629,39,0.371,23,0.696,16,0,196,130.0,44.0,11,16,104,,6.3,5,0.339,21,0.476,10,66.7,38,0.713,20.0,18,41,0.707,29,1.0,1,"Williams Arena, Minneapolis, Minnesota",NEBRASKA-OMAHA,Omaha,81.1,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-11-12-21-minnesota,41.7,10,5.4,2,109.9,76.9,20,0.458,60,0.4,24,0.317,19,0.737,14,1,200,97.2,21.9,7,19,69,,4.2,3,0.35,21,0.333,7,46.6,27,0.5,14.9,12,39,0.436,17,0.5,1,"November 12, 2018",69.0,20,17.9,7,97.2,78.1,25,0.58,56,0.518,29,0.321,18,0.722,13,0,200,109.9,23.1,6,19,78,,5.6,4,0.339,19,0.368,7,53.4,31,0.604,13.5,10,37,0.595,22,1.0,2,"Williams Arena, Minneapolis, Minnesota",UTAH,Utah,71.3,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-11-18-22-texas-am,50.0,11,6.5,3,90.1,60.6,20,0.49,52,0.423,22,0.615,32,0.563,18,0,200,97.2,38.2,13,20,69,,8.5,6,0.346,18,0.389,7,49.3,33,0.513,23.2,20,34,0.441,15,1.0,3,"November 18, 2018",36.0,9,11.8,4,97.2,61.8,21,0.434,61,0.41,25,0.246,15,0.733,11,3,200,90.1,39.4,13,25,64,,15.5,11,0.246,15,0.2,3,50.7,34,0.47,16.1,13,46,0.478,22,0.25,1,"Vancouver Convention Centre, Vancouver",TEXAS-AM,Texas A&M,71.2,Away,MINNESOTA,Minnesota,Minnesota,big-ten
2018-11-20-21-minnesota,48.0,12,9.1,4,105.3,69.4,25,0.535,57,0.439,25,0.158,9,0.556,5,4,200,86.8,10.7,3,28,66,,5.3,4,0.404,23,0.478,11,43.8,28,0.539,14.1,10,34,0.412,14,0.0,0,"November 20, 2018",50.0,12,11.8,4,86.8,89.3,25,0.425,67,0.358,24,0.567,38,0.605,23,0,200,105.3,30.6,11,14,80,,2.6,2,0.343,23,0.391,9,56.3,36,0.47,9.7,9,44,0.341,15,1.0,4,"Vancouver Convention Centre, Vancouver",SANTA-CLARA,Santa Clara,75.7,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-11-21-18-minnesota,30.4,7,18.6,8,98.6,62.9,22,0.533,46,0.5,23,0.522,24,0.708,17,2,200,95.7,29.2,7,24,66,,5.8,4,0.304,14,0.214,3,49.2,29,0.575,22.1,16,32,0.625,20,0.667,4,"November 21, 2018",38.1,8,3.1,1,95.7,70.8,17,0.418,55,0.382,21,0.6,33,0.667,22,0,200,98.6,37.1,13,21,68,,8.7,6,0.218,12,0.333,4,50.8,30,0.481,16.8,14,43,0.395,17,1.0,5,"Vancouver Convention Centre, Vancouver",WASHINGTON,Washington,69.0,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-11-26-21-boston-college,68.4,13,3.2,1,98.6,74.2,23,0.331,65,0.292,19,0.262,17,0.765,13,1,200,81.2,26.7,12,23,56,,5.8,4,0.462,30,0.167,5,46.1,35,0.383,11.0,9,35,0.4,14,0.833,5,"November 26, 2018",56.0,14,14.3,5,81.2,73.3,33,0.519,53,0.472,25,0.453,24,0.542,13,1,200,98.6,25.8,8,18,68,,7.2,5,0.415,22,0.227,5,53.9,41,0.528,15.9,12,31,0.645,20,0.833,5,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",MINNESOTA,Minnesota,69.2,Home,BOSTON-COLLEGE,Boston College,Minnesota,big-ten
2018-11-30-22-minnesota,44.4,12,19.4,7,109.2,76.9,20,0.508,63,0.429,27,0.381,24,0.5,12,3,200,100.0,27.0,10,24,76,,10.5,8,0.302,19,0.526,10,47.6,30,0.511,13.0,11,44,0.386,17,0.571,4,"November 30, 2018",69.2,18,18.2,8,100.0,73.0,27,0.6,50,0.52,26,0.6,30,0.767,23,1,200,109.2,23.1,6,20,83,,5.3,4,0.28,14,0.571,8,52.4,33,0.646,22.2,18,36,0.5,18,0.857,6,"U.S. Bank Stadium, Minneapolis, Minnesota",OKLAHOMA-STATE,Oklahoma State,75.8,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-12-02-19-ohio-state,35.0,7,9.3,4,114.5,66.7,22,0.392,51,0.392,20,0.627,32,0.594,19,2,200,85.5,22.2,8,20,59,,2.9,2,0.255,13,0.0,0,43.5,30,0.446,15.6,12,38,0.526,20,0.75,6,"December 2, 2018",57.1,16,2.6,1,85.5,77.8,28,0.525,60,0.467,28,0.333,20,0.8,16,1,200,114.5,33.3,11,26,79,16,7.2,5,0.283,17,0.412,7,56.5,39,0.568,12.7,10,43,0.488,21,0.875,7,"Value City Arena, Columbus, Ohio",MINNESOTA,Minnesota,69.4,Home,OHIO-STATE,Ohio State,Minnesota,big-ten
2018-12-05-21-minnesota,46.4,13,10.4,5,121.4,55.2,16,0.516,61,0.459,28,0.311,19,0.789,15,2,200,111.4,35.3,12,22,78,24,11.4,8,0.344,21,0.333,7,44.4,28,0.557,12.6,10,40,0.525,21,0.778,7,"December 5, 2018",51.7,15,12.5,5,111.4,64.7,22,0.545,56,0.518,29,0.571,32,0.75,24,2,200,121.4,44.8,13,15,85,,5.7,4,0.143,8,0.375,3,55.6,35,0.597,15.6,13,48,0.542,26,0.778,7,"Williams Arena, Minneapolis, Minnesota",NEBRASKA,Nebraska,69.6,Home,MINNESOTA,Minnesota,Minnesota,big-ten
2018-12-08-16-minnesota,45.0,9,21.6,8,104.3,60.6,20,0.375,64,0.313,20,0.156,10,0.8,8,6,200,81.2,24.2,8,21,56,,10.1,7,0.313,20,0.4,8,42.4,28,0.407,13.9,11,44,0.273,12,0.333,3,"December 8, 2018",79.2,19,13.6,6,81.2,75.8,25,0.519,54,0.444,24,0.444,24,0.667,16,2,200,104.3,39.4,13,14,72,,7.2,5,0.315,17,0.471,8,57.6,38,0.55,16.8,13,37,0.432,16,0.8,8,"Williams Arena, Minneapolis, Minnesota",ARKANSAS-STATE,Arkansas State,68.6,Home,MINNESOTA,Minnesota,Minnesota,big-ten
