,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-virginia,7.7,1,0.0,0,130.4,64.5,20,0.366,41,0.317,13,0.659,27,0.444,12,1,203,75.0,34.3,12,18,42,,5.4,3,0.341,14,0.286,4,48.5,32,0.39,20.9,14,27,0.333,9,0.0,0,"November 6, 2018",73.1,19,11.1,3,75.0,65.7,23,0.574,54,0.481,26,0.333,18,0.611,11,0,203,130.4,35.5,11,19,73,5,10.7,6,0.481,26,0.385,10,51.5,34,0.584,7.5,5,28,0.571,16,1.0,1,"John Paul Jones Arena, Charlottesville, Virginia",TOWSON,Towson,55.4,Home,VIRGINIA,Virginia,Virginia,acc
2018-11-11-14-virginia,44.4,8,5.6,2,113.4,79.2,19,0.467,45,0.4,18,0.511,23,0.652,15,3,200,85.1,16.1,5,21,57,,6.0,4,0.4,18,0.333,6,43.6,24,0.51,21.4,15,27,0.444,12,0.0,0,"November 11, 2018",60.0,18,11.1,3,85.1,83.9,26,0.618,55,0.545,30,0.236,13,0.615,8,0,200,113.4,20.8,5,22,76,5,10.4,7,0.345,19,0.421,8,56.4,31,0.621,15.3,11,36,0.611,22,1.0,2,"John Paul Jones Arena, Charlottesville, Virginia",GEORGE-WASHINGTON,George Washington,66.6,Home,VIRGINIA,Virginia,Virginia,acc
2018-11-16-19-virginia,58.8,10,0.0,0,154.0,79.2,19,0.385,52,0.327,17,0.0,0,,0,4,201,63.5,12.1,4,19,40,,0.0,0,0.462,24,0.25,6,40.4,23,0.385,21.2,14,28,0.393,11,0.0,0,"November 16, 2018",68.6,24,17.9,5,63.5,87.9,29,0.733,58,0.603,35,0.259,15,0.8,12,0,201,154.0,20.8,5,8,97,4,12.7,8,0.431,25,0.6,15,59.6,34,0.745,5.8,4,33,0.606,20,1.0,3,"John Paul Jones Arena, Charlottesville, Virginia",COPPIN-STATE,Coppin State,62.7,Home,VIRGINIA,Virginia,Virginia,acc
2018-11-21-21-virginia,60.0,12,12.1,4,108.8,67.9,19,0.422,51,0.392,20,0.235,12,0.75,9,2,200,76.5,17.9,5,18,52,,13.2,9,0.255,13,0.231,3,42.9,24,0.459,19.9,14,38,0.447,17,0.6,3,"November 21, 2018",61.5,16,10.5,4,76.5,82.1,23,0.536,56,0.464,26,0.357,20,0.7,14,0,200,108.8,32.1,9,11,74,4,11.8,8,0.411,23,0.348,8,57.1,32,0.565,16.7,13,33,0.545,18,1.0,4,"Imperial Arena at Atlantis Resort, Paradise Island",MIDDLE-TENNESSEE,Middle Tennessee,67.6,Home,VIRGINIA,Virginia,Virginia,acc
2018-11-22-15-dayton,38.1,8,0.0,0,107.3,62.5,15,0.5,49,0.429,21,0.449,22,0.773,17,0,200,120.0,40.0,12,14,66,4,10.9,6,0.408,20,0.35,7,50.0,27,0.555,13.3,9,29,0.483,14,1.0,5,"November 22, 2018",48.0,12,6.9,2,120.0,60.0,18,0.598,46,0.543,25,0.174,8,0.5,4,1,200,107.3,37.5,9,21,59,,10.9,6,0.304,14,0.357,5,50.0,27,0.592,19.5,12,32,0.625,20,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",DAYTON,Dayton,54.6,Away,VIRGINIA,Virginia,Virginia,acc
2018-11-23-14-wisconsin,50.0,10,5.4,2,79.3,84.6,22,0.407,54,0.37,20,0.222,12,0.75,9,0,200,91.4,18.2,6,9,53,4,15.5,9,0.315,17,0.235,4,47.5,28,0.444,7.8,5,37,0.432,16,1.0,6,"November 23, 2018",61.9,13,13.5,5,91.4,81.8,27,0.458,48,0.438,21,0.063,3,0.667,2,1,200,79.3,15.4,4,11,46,25,6.9,4,0.229,11,0.182,2,52.5,31,0.465,18.2,11,37,0.514,19,0.833,5,"Imperial Arena at Atlantis Resort, Paradise Island",WISCONSIN,Wisconsin,57.6,Away,VIRGINIA,Virginia,Virginia,acc
2018-11-28-19-maryland,53.6,15,6.1,2,116.4,63.6,14,0.559,59,0.475,28,0.254,15,0.667,10,0,200,124.6,29.0,9,19,76,4,11.5,7,0.373,22,0.455,10,43.4,23,0.575,3.0,2,37,0.486,18,1.0,7,"November 28, 2018",44.4,12,5.4,2,124.6,71.0,22,0.61,50,0.54,27,0.32,16,0.625,10,1,200,116.4,36.4,8,16,71,24,0.0,0,0.34,17,0.412,7,56.6,30,0.616,18.6,13,33,0.606,20,0.857,6,"Xfinity Center, College Park, Maryland",MARYLAND,Maryland,60.9,Away,VIRGINIA,Virginia,Virginia,acc
2018-12-03-19-virginia,35.7,5,7.1,2,116.9,89.5,17,0.296,54,0.259,14,0.296,16,0.813,13,5,200,63.4,17.6,6,21,45,,14.1,10,0.352,19,0.211,4,43.4,23,0.365,18.7,14,35,0.286,10,0.286,2,"December 3, 2018",63.0,17,14.3,5,63.4,82.4,28,0.62,50,0.54,27,0.46,23,0.913,21,0,200,116.9,10.5,2,15,83,4,12.7,9,0.44,22,0.364,8,56.6,30,0.681,17.8,13,28,0.679,19,1.0,8,"John Paul Jones Arena, Charlottesville, Virginia",MORGAN-STATE,Morgan State,70.8,Home,VIRGINIA,Virginia,Virginia,acc
2018-12-09-13-virginia,38.9,7,15.4,4,95.0,63.3,19,0.344,61,0.295,18,0.18,11,0.636,7,3,200,81.7,32.4,12,21,49,,3.3,2,0.475,29,0.207,6,46.3,31,0.37,9.6,7,32,0.375,12,0.7,7,"December 9, 2018",69.2,9,6.3,2,81.7,67.6,25,0.352,44,0.295,13,0.682,30,0.867,26,0,200,95.0,36.7,11,18,57,4,6.7,4,0.409,18,0.278,5,53.7,36,0.489,17.3,12,26,0.308,8,1.0,9,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA-COMMONWEALTH,VCU,60.2,Home,VIRGINIA,Virginia,Virginia,acc
2018-12-19-19-south-carolina,57.7,15,5.4,2,83.9,66.7,22,0.508,59,0.441,26,0.22,13,0.692,9,0,200,111.3,27.3,9,15,69,5,9.7,6,0.407,24,0.333,8,47.0,31,0.529,7.2,5,35,0.514,18,1.0,10,"December 19, 2018",45.0,9,11.4,4,111.3,72.7,24,0.391,55,0.364,20,0.236,13,0.692,9,6,200,83.9,33.3,11,15,52,,6.5,4,0.327,18,0.167,3,53.0,35,0.425,16.5,12,37,0.459,17,0.4,4,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,61.7,Away,VIRGINIA,Virginia,Virginia,acc
