,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-florida-state,45.0,9,12.0,3,109.5,76.9,20,0.426,54,0.37,20,0.389,21,0.667,14,1,200,81.1,24.1,7,26,60,,6.8,5,0.444,24,0.25,6,49.1,27,0.469,20.2,16,30,0.467,14,0.0,0,"November 6, 2018",43.5,10,6.7,2,81.1,75.9,22,0.594,48,0.479,23,0.708,34,0.706,24,0,200,109.5,23.1,6,22,81,17,12.2,9,0.479,23,0.478,11,50.9,28,0.631,20.3,16,25,0.48,12,1.0,1,"Donald L. Tucker Center, Tallahassee, Florida",FLORIDA,Florida,73.6,Home,FLORIDA-STATE,Florida State,Florida,sec
2018-11-09-19-florida,42.9,6,3.6,1,105.6,86.2,25,0.3,55,0.255,14,0.345,19,0.684,13,1,200,63.9,17.9,7,19,46,,2.8,2,0.509,28,0.179,5,47.1,32,0.359,22.1,18,27,0.333,9,0.5,1,"November 9, 2018",53.8,14,18.5,5,63.9,82.1,32,0.536,56,0.464,26,0.393,22,0.727,16,1,200,105.6,13.8,4,19,76,,16.7,12,0.5,28,0.286,8,52.9,36,0.572,9.6,7,28,0.643,18,0.5,1,"Stephen C. O'Connell Center, Gainesville, Florida",CHARLESTON-SOUTHERN,Charleston Southern,72.2,Home,FLORIDA,Florida,Florida,sec
2018-11-14-19-florida,40.0,10,2.4,1,115.5,72.0,18,0.547,53,0.472,25,0.34,18,0.611,11,3,200,97.2,32.0,8,22,69,,12.7,9,0.453,24,0.333,8,52.0,26,0.561,21.8,17,29,0.586,17,0.0,0,"November 14, 2018",46.7,14,3.4,1,97.2,68.0,17,0.583,54,0.556,30,0.481,26,0.731,19,1,200,115.5,28.0,7,15,82,,12.7,9,0.241,13,0.231,3,48.0,24,0.618,15.5,12,41,0.659,27,0.667,2,"Stephen C. O'Connell Center, Gainesville, Florida",LA-SALLE,La Salle,71.0,Home,FLORIDA,Florida,Florida,sec
2018-11-21-12-florida,52.0,13,25.8,8,85.7,86.1,31,0.422,64,0.391,25,0.234,15,0.733,11,0,200,92.9,35.9,14,13,65,,8.6,6,0.281,18,0.222,4,60.0,45,0.457,16.5,14,46,0.457,21,1.0,4,"November 21, 2018",65.2,15,13.0,6,92.9,64.1,25,0.483,59,0.39,23,0.186,11,0.273,3,2,200,85.7,13.9,5,14,60,,12.9,9,0.475,28,0.393,11,40.0,30,0.467,13.5,10,31,0.387,12,0.5,2,"Imperial Arena at Atlantis Resort, Paradise Island",FLORIDA,Florida,70.2,Away,OKLAHOMA,Oklahoma,Florida,sec
2018-11-22-19-florida,62.5,10,4.9,2,114.3,72.0,18,0.465,43,0.372,16,0.279,12,0.75,9,3,200,77.8,14.8,4,11,49,,3.2,2,0.512,22,0.364,8,42.3,22,0.503,28.2,19,21,0.381,8,0.4,2,"November 22, 2018",34.5,10,14.3,3,77.8,85.2,23,0.58,56,0.518,29,0.179,10,0.7,7,2,200,114.3,28.0,7,17,72,,23.8,15,0.268,15,0.467,7,57.7,30,0.593,13.0,9,41,0.537,22,0.6,3,"Imperial Arena at Atlantis Resort, Paradise Island",STANFORD,Stanford,63.2,Home,FLORIDA,Florida,Florida,sec
2018-11-23-21-florida,52.4,11,8.0,2,93.1,74.3,26,0.51,48,0.438,21,0.354,17,0.706,12,1,200,105.2,21.7,5,17,61,,5.2,3,0.417,20,0.35,7,53.4,31,0.544,12.6,8,28,0.5,14,0.833,5,"November 23, 2018",61.1,11,14.3,4,105.2,78.3,18,0.423,52,0.346,18,0.308,16,0.625,10,3,200,93.1,25.7,9,14,54,,3.4,2,0.519,27,0.296,8,46.6,27,0.453,10.6,7,25,0.4,10,0.5,3,"Imperial Arena at Atlantis Resort, Paradise Island",FLORIDA,Florida,58.3,Away,BUTLER,Butler,Florida,sec
2018-11-27-19-florida,62.5,15,0.0,0,140.0,51.9,14,0.491,58,0.414,24,0.19,11,0.818,9,5,200,94.3,25.0,9,8,66,,7.1,5,0.448,26,0.346,9,36.5,23,0.522,19.3,15,32,0.469,15,0.286,2,"November 27, 2018",66.7,26,18.8,6,94.3,75.0,27,0.681,69,0.565,39,0.087,6,0.667,4,3,200,140.0,48.1,13,17,98,,15.7,11,0.406,28,0.571,16,63.5,40,0.682,13.3,11,41,0.561,23,0.571,4,"Stephen C. O'Connell Center, Gainesville, Florida",NORTH-FLORIDA,North Florida,69.5,Home,FLORIDA,Florida,Florida,sec
2018-12-04-21-west-virginia,75.0,12,17.1,7,70.0,70.7,29,0.396,48,0.333,16,0.958,46,0.609,28,3,200,82.5,21.1,8,22,66,,16.3,13,0.438,21,0.286,6,46.8,37,0.472,18.0,15,27,0.37,10,0.625,5,"December 4, 2018",47.4,9,11.1,3,82.5,78.9,30,0.352,64,0.297,19,0.313,20,0.55,11,3,200,70.0,29.3,12,30,56,,10.0,8,0.359,23,0.304,7,53.2,42,0.381,22.4,21,41,0.293,12,0.625,5,"Madison Square Garden (IV), New York, New York",WEST-VIRGINIA,West Virginia,79.7,Away,FLORIDA,Florida,Florida,sec
2018-12-08-12-florida,53.8,14,7.7,3,95.2,63.2,24,0.549,51,0.51,26,0.157,8,0.875,7,2,200,101.6,34.8,8,11,63,10,8.1,5,0.294,15,0.267,4,52.5,32,0.575,19.3,13,36,0.611,22,0.8,8,"December 8, 2018",30.4,7,8.3,3,101.6,65.2,15,0.413,63,0.365,23,0.19,12,0.583,7,4,200,95.2,36.8,14,12,59,,11.3,7,0.381,24,0.25,6,47.5,29,0.429,11.6,9,39,0.436,17,0.556,5,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,61.8,Away,MICHIGAN-STATE,Michigan State,Florida,sec
2018-12-18-20-florida,34.8,8,8.3,2,104.4,73.3,22,0.465,57,0.404,23,0.263,15,0.667,10,7,200,92.6,23.5,8,18,63,,8.8,6,0.404,23,0.304,7,46.9,30,0.491,15.9,12,34,0.471,16,0.364,4,"December 18, 2018",66.7,16,20.6,7,92.6,76.5,26,0.526,57,0.421,24,0.263,15,0.733,11,4,200,104.4,26.7,8,13,71,,5.9,4,0.579,33,0.364,12,53.1,34,0.554,14.7,11,24,0.5,12,0.6,6,"Stephen C. O'Connell Center, Gainesville, Florida",MERCER,Mercer,67.6,Home,FLORIDA,Florida,Florida,sec
