,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-arizona-state,20.6,7,5.8,3,103.0,62.5,30,0.507,74,0.459,34,0.351,26,0.731,19,1,250,94.9,9.5,4,36,94,,7.1,7,0.324,24,0.292,7,37.8,34,0.544,16.6,17,50,0.54,27,0.0,0,"November 6, 2018",33.3,11,4.0,2,94.9,90.5,38,0.487,78,0.423,33,0.564,44,0.591,26,0,250,103.0,37.5,18,26,102,,3.0,3,0.333,26,0.385,10,62.2,56,0.516,14.9,17,52,0.442,23,1.0,1,"Wells Fargo Arena, Tempe, Arizona",CAL-STATE-FULLERTON,Cal State Fullerton,78.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-11-09-21-arizona-state,66.7,10,2.6,1,114.3,62.5,20,0.372,47,0.319,15,0.617,29,0.586,17,2,200,74.3,21.2,7,22,52,,1.4,1,0.426,20,0.25,5,41.5,27,0.428,22.1,17,27,0.37,10,0.0,0,"November 9, 2018",55.6,15,22.2,6,74.3,78.8,26,0.509,58,0.466,27,0.466,27,0.778,21,0,200,114.3,37.5,12,23,80,,12.9,9,0.328,19,0.263,5,58.5,38,0.565,13.6,11,39,0.564,22,1.0,2,"Wells Fargo Arena, Tempe, Arizona",MCNEESE-STATE,McNeese State,70.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-11-12-21-arizona-state,82.4,14,8.2,4,109.8,54.3,19,0.347,62,0.274,17,0.387,24,0.625,15,2,200,70.7,14.3,7,27,58,,13.4,11,0.5,31,0.29,9,31.0,26,0.395,17.1,15,31,0.258,8,0.333,1,"November 12, 2018",58.6,17,22.6,7,70.7,85.7,42,0.485,65,0.446,29,0.554,36,0.75,27,0,200,109.8,45.7,16,23,90,,8.5,7,0.246,16,0.313,5,69.0,58,0.548,17.4,17,49,0.49,24,1.0,3,"Wells Fargo Arena, Tempe, Arizona",LONG-BEACH-STATE,Long Beach State,82.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-11-19-23-arizona-state,64.0,16,12.2,5,104.3,64.5,20,0.42,69,0.362,25,0.145,10,0.9,9,1,200,97.1,33.3,13,17,67,15,8.7,6,0.435,30,0.267,8,47.1,33,0.454,12.0,10,39,0.436,17,0.75,3,"November 19, 2018",57.7,15,5.1,2,97.1,66.7,26,0.509,58,0.448,26,0.31,18,0.722,13,0,200,104.3,35.5,11,13,72,,7.2,5,0.293,17,0.412,7,52.9,37,0.541,15.4,12,41,0.463,19,1.0,4,"T-Mobile Arena, Las Vegas, Nevada",MISSISSIPPI-STATE,Mississippi State,69.2,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-11-21-23-utah-state,50.0,13,9.1,3,101.2,71.4,20,0.567,52,0.5,26,0.808,42,0.667,28,0,200,107.4,20.7,6,27,87,,9.9,8,0.269,14,0.5,7,45.6,26,0.605,18.5,16,38,0.5,19,1.0,5,"November 21, 2018",60.0,15,2.6,1,107.4,79.3,23,0.509,56,0.446,25,0.589,33,0.758,25,1,200,101.2,28.6,8,28,82,,7.4,6,0.411,23,0.304,7,54.4,31,0.572,19.4,17,33,0.545,18,0.833,5,"T-Mobile Arena, Las Vegas, Nevada",UTAH-STATE,Utah State,81.3,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-11-28-21-arizona-state,50.0,14,4.7,2,117.1,58.1,18,0.566,61,0.459,28,0.082,5,0.4,2,5,200,93.4,10.3,3,19,71,,6.6,5,0.426,26,0.5,13,35.0,21,0.56,21.2,17,35,0.429,15,0.375,3,"November 28, 2018",57.6,19,14.3,5,93.4,89.7,26,0.578,64,0.516,33,0.344,22,0.682,15,0,200,117.1,41.9,13,13,89,,11.8,9,0.328,21,0.381,8,65.0,39,0.598,15.0,13,43,0.581,25,1.0,6,"Wells Fargo Arena, Tempe, Arizona",NEBRASKA-OMAHA,Omaha,75.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-12-01-21-arizona-state,58.3,14,3.2,1,107.8,70.0,21,0.433,67,0.358,24,0.328,22,0.591,13,5,200,92.2,21.4,9,22,71,,13.0,10,0.522,35,0.286,10,41.7,30,0.458,8.4,7,32,0.438,14,0.375,3,"December 1, 2018",58.1,18,15.6,5,92.2,78.6,33,0.625,56,0.554,31,0.446,25,0.52,13,0,200,107.8,30.0,9,19,83,,5.2,4,0.446,25,0.32,8,58.3,42,0.611,22.1,19,31,0.742,23,1.0,7,"Wells Fargo Arena, Tempe, Arizona",TEXAS-SOUTHERN,Texas Southern,76.7,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-12-07-23-arizona-state,44.0,11,16.7,7,88.0,67.6,23,0.482,55,0.455,25,0.436,24,0.792,19,0,200,96.0,11.5,3,15,72,6,4.0,3,0.327,18,0.167,3,43.3,26,0.542,14.4,11,37,0.595,22,1.0,9,"December 7, 2018",52.0,13,5.4,2,96.0,88.5,23,0.444,62,0.403,25,0.274,17,0.647,11,1,200,88.0,32.4,11,25,66,20,5.3,4,0.323,20,0.25,5,56.7,34,0.471,18.7,16,42,0.476,20,0.875,7,"Staples Center, Los Angeles, California",ARIZONA-STATE,Arizona State,74.7,Away,NEVADA,Nevada,Arizona State,pac-12
2018-12-15-18-georgia,30.8,8,0.0,0,96.1,75.9,22,0.438,64,0.406,26,0.422,27,0.741,20,1,200,98.7,27.8,10,22,76,20,10.4,8,0.25,16,0.25,4,49.2,32,0.495,13.7,12,48,0.458,22,0.889,8,"December 15, 2018",55.0,11,14.6,7,98.7,72.2,26,0.511,47,0.426,20,0.681,32,0.813,26,4,200,96.1,24.1,7,21,74,,7.8,6,0.468,22,0.364,8,50.8,33,0.595,23.7,19,25,0.48,12,0.556,5,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,76.5,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2018-12-17-19-vanderbilt,42.9,9,3.7,1,108.0,87.5,28,0.377,65,0.323,21,0.308,20,0.8,16,2,200,86.7,27.0,10,19,65,18,5.3,4,0.369,24,0.292,7,55.1,38,0.436,11.9,10,41,0.341,14,0.8,8,"December 17, 2018",54.2,13,9.8,4,86.7,73.0,27,0.545,55,0.436,24,0.527,29,0.724,21,2,200,108.0,12.5,4,18,81,,4.0,3,0.509,28,0.429,12,44.9,31,0.589,12.9,10,27,0.444,12,0.778,7,"Memorial Gymnasium, Nashville, Tennessee",ARIZONA-STATE,Arizona State,74.6,Home,VANDERBILT,Vanderbilt,Arizona State,pac-12
