,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-illinois-state,62.5,15,0.0,0,102.8,70.0,21,0.556,54,0.444,24,0.222,12,0.5,6,1,200,91.7,28.1,9,20,66,,6.9,5,0.537,29,0.414,12,48.4,30,0.553,26.2,21,25,0.48,12,0.0,0,"November 6, 2018",60.0,15,8.0,2,91.7,71.9,23,0.5,57,0.439,25,0.421,24,0.708,17,0,200,102.8,30.0,9,18,74,,11.1,8,0.421,24,0.292,7,51.6,32,0.541,15.1,12,33,0.545,18,1.0,1,"Redbird Arena, Normal, Illinois",FLORIDA-GULF-COAST,Florida Gulf Coast,71.6,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-11-10-20-belmont,54.3,19,18.9,7,125.0,72.7,24,0.576,72,0.486,35,0.097,7,0.857,6,1,200,111.3,19.4,7,17,89,,6.3,5,0.431,31,0.419,13,44.9,31,0.591,12.8,11,41,0.537,22,0.5,1,"November 10, 2018",70.3,26,12.2,5,111.3,80.6,29,0.62,71,0.521,37,0.239,17,0.706,12,0,200,125.0,27.3,9,9,100,,6.3,5,0.479,34,0.412,14,55.1,38,0.632,11.3,10,37,0.622,23,1.0,1,"Curb Event Center, Nashville, Tennessee",ILLINOIS-STATE,Illinois State,79.7,Home,BELMONT,Belmont,Illinois State,mvc
2018-11-13-20-illinois-state,39.1,9,2.9,1,101.4,73.5,25,0.408,60,0.383,23,0.467,28,0.786,22,4,200,95.9,29.4,10,19,71,,10.8,8,0.317,19,0.158,3,51.5,35,0.484,13.2,11,41,0.488,20,0.0,0,"November 13, 2018",64.3,18,14.6,6,95.9,70.6,24,0.525,61,0.459,28,0.311,19,0.579,11,1,200,101.4,26.5,9,21,75,,8.1,6,0.426,26,0.308,8,48.5,33,0.536,14.7,12,35,0.571,20,0.667,2,"Redbird Arena, Normal, Illinois",CHICAGO-STATE,Chicago State,73.7,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-11-19-13-illinois-state,57.1,16,10.8,4,94.4,63.9,23,0.517,58,0.483,28,0.431,25,0.8,20,1,200,111.1,40.0,12,19,80,,4.2,3,0.207,12,0.333,4,53.0,35,0.572,14.8,12,46,0.522,24,0.75,3,"November 19, 2018",45.8,11,15.2,7,111.1,60.0,18,0.445,64,0.375,24,0.297,19,0.579,11,2,200,94.4,36.1,13,22,68,,8.3,6,0.422,27,0.333,9,47.0,31,0.466,16.2,14,37,0.405,15,0.5,2,"John Gray Gymnasium, Grand Cayman",ILLINOIS-STATE,Illinois State,72.0,Away,GEORGIA,Georgia,Illinois State,mvc
2018-11-20-11-illinois-state,42.9,9,2.4,1,104.3,72.7,24,0.377,65,0.323,21,0.369,24,0.792,19,2,200,97.1,15.9,7,18,68,,8.6,6,0.631,41,0.171,7,40.3,31,0.445,5.0,4,24,0.583,14,0.6,3,"November 20, 2018",46.2,12,12.5,3,97.1,84.1,37,0.518,56,0.464,26,0.375,21,0.714,15,2,200,104.3,27.3,9,20,73,,1.4,1,0.268,15,0.4,6,59.7,46,0.553,12.1,9,41,0.488,20,0.6,3,"John Gray Gymnasium, Grand Cayman",AKRON,Akron,69.7,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-11-21-13-illinois-state,57.7,15,4.9,2,101.4,82.4,28,0.546,54,0.481,26,0.241,13,0.846,11,3,200,97.2,16.0,4,17,70,,5.6,4,0.444,24,0.292,7,54.2,32,0.582,21.1,16,30,0.633,19,0.4,2,"November 21, 2018",53.6,15,3.3,1,97.2,84.0,21,0.525,61,0.459,28,0.246,15,0.6,9,2,200,101.4,17.6,6,14,73,,11.1,8,0.328,20,0.4,8,45.8,27,0.536,11.7,9,41,0.488,20,0.667,4,"John Gray Gymnasium, Grand Cayman",BOISE-STATE,Boise State,71.7,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-11-24-15-illinois-state,61.9,13,0.0,0,109.7,89.3,25,0.425,60,0.35,21,0.3,18,0.611,11,0,200,86.1,12.2,5,15,62,,12.5,9,0.483,29,0.31,9,43.5,30,0.452,10.5,8,31,0.387,12,0.0,0,"November 24, 2018",72.4,21,12.9,4,86.1,87.8,36,0.657,54,0.537,29,0.278,15,0.533,8,2,200,109.7,10.7,3,17,79,,5.6,4,0.519,28,0.464,13,56.5,39,0.646,19.8,15,26,0.615,16,0.714,5,"Redbird Arena, Normal, Illinois","Lindenwood
			","Lindenwood
			",72.3,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-11-28-20-illinois-state,69.0,20,6.3,3,102.2,76.1,35,0.444,72,0.403,29,0.5,36,0.694,25,3,225,98.9,26.1,12,19,89,,6.7,6,0.389,28,0.214,6,51.1,47,0.499,13.7,14,44,0.523,23,0.625,5,"November 28, 2018",58.1,18,9.1,4,98.9,73.9,34,0.481,78,0.397,31,0.231,18,0.944,17,2,225,102.2,23.9,11,26,92,,7.8,7,0.385,30,0.433,13,48.9,45,0.531,13.1,13,48,0.375,18,0.75,6,"Redbird Arena, Normal, Illinois",BRIGHAM-YOUNG,BYU,79.8,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc
2018-12-01-15-illinois-state,48.1,13,5.9,2,91.5,69.8,30,0.5,60,0.45,27,0.433,26,0.577,15,2,200,105.6,45.7,16,24,75,,8.5,6,0.333,20,0.3,6,59.0,46,0.518,16.4,14,40,0.525,21,0.714,5,"December 1, 2018",44.4,8,2.5,1,105.6,54.3,19,0.353,58,0.31,18,0.534,31,0.774,24,3,200,91.5,30.2,13,22,65,,7.0,5,0.414,24,0.208,5,41.0,32,0.447,13.3,11,34,0.382,13,0.667,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,70.5,Away,SAN-DIEGO-STATE,San Diego State,Illinois State,mvc
2018-12-05-19-illinois-chicago,48.0,12,8.6,3,122.1,70.8,17,0.483,59,0.424,25,0.39,23,0.783,18,4,200,97.4,26.5,9,18,75,,5.2,4,0.39,23,0.304,7,44.8,26,0.536,18.8,16,36,0.5,18,0.6,6,"December 5, 2018",64.7,22,5.6,2,97.4,73.5,25,0.648,61,0.557,34,0.361,22,0.682,15,5,200,122.1,29.2,7,20,94,,13.0,10,0.426,26,0.423,11,55.2,32,0.658,14.5,12,35,0.657,23,0.444,4,"UIC Pavilion, Chicago, Illinois",ILLINOIS-STATE,Illinois State,76.7,Home,ILLINOIS-CHICAGO,UIC,Illinois State,mvc
