,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-08-19-north-carolina-asheville,64.3,9,9.1,3,124.3,50.0,18,0.351,47,0.298,14,0.532,25,0.56,14,0,200,67.1,5.4,2,24,47,,1.4,1,0.383,18,0.278,5,27.4,20,0.399,19.4,14,29,0.31,9,0.0,0,"November 8, 2018",66.7,18,10.3,3,67.1,94.6,35,0.5,63,0.429,27,0.571,36,0.667,24,0,200,124.3,50.0,18,21,87,,10.0,7,0.476,30,0.3,9,72.6,53,0.543,9.2,8,33,0.545,18,1.0,1,"Kimmel Arena, Asheville, North Carolina","St. Andrews
			","St. Andrews
			",70.5,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2018-11-13-19-north-carolina-state,64.7,11,12.0,6,125.0,59.4,19,0.392,51,0.333,17,0.314,16,0.563,9,1,200,61.3,5.7,2,22,49,,6.3,5,0.392,20,0.3,6,31.3,21,0.418,26.6,21,31,0.355,11,0.5,1,"November 13, 2018",59.5,22,22.6,7,61.3,94.3,33,0.587,69,0.536,37,0.362,25,0.76,19,0,200,125.0,40.6,13,21,100,,16.3,13,0.275,19,0.368,7,68.7,46,0.618,15.8,15,50,0.6,30,1.0,3,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,80.2,Home,NORTH-CAROLINA-STATE,NC State,UNC Asheville,big-south
2018-11-16-19-northern-kentucky,41.2,7,10.8,4,104.1,60.0,21,0.426,47,0.362,17,0.319,15,0.667,10,2,200,67.6,14.3,4,23,50,,4.1,3,0.383,18,0.333,6,39.7,25,0.462,30.9,24,29,0.379,11,0.333,1,"November 16, 2018",77.8,21,10.3,3,67.6,85.7,24,0.468,62,0.435,27,0.435,27,0.704,19,0,200,104.1,40.0,14,19,77,,17.6,13,0.403,25,0.16,4,60.3,38,0.515,15.0,13,37,0.622,23,1.0,4,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,74.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,UNC Asheville,big-south
2018-11-17-16-north-carolina-asheville,63.0,17,13.0,3,78.8,83.3,30,0.508,60,0.45,27,0.5,30,0.567,17,2,200,118.2,51.5,17,17,78,,4.5,3,0.417,25,0.28,7,68.1,47,0.525,13.1,11,35,0.571,20,0.6,3,"November 17, 2018",62.5,10,8.6,3,118.2,48.5,16,0.375,52,0.308,16,0.346,18,0.722,13,3,200,78.8,16.7,6,23,52,,9.1,6,0.558,29,0.241,7,31.9,22,0.429,14.3,10,23,0.391,9,0.25,1,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,66.4,Away,COASTAL-CAROLINA,Coastal Carolina,UNC Asheville,big-south
2018-11-18-15-manhattan,27.3,3,9.5,2,98.2,68.2,15,0.273,44,0.25,11,0.409,18,0.778,14,4,200,69.1,46.7,14,18,38,,21.8,12,0.341,15,0.133,2,55.8,29,0.362,21.2,14,29,0.31,9,0.2,1,"November 18, 2018",55.6,10,6.9,2,69.1,53.3,16,0.538,40,0.45,18,0.45,18,0.611,11,3,200,98.2,31.8,7,19,54,,14.5,8,0.475,19,0.368,7,44.2,23,0.556,25.0,16,21,0.524,11,0.4,2,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,55.1,Home,MANHATTAN,Manhattan,UNC Asheville,big-south
2018-11-25-16-north-carolina-asheville,63.0,17,6.7,2,82.3,75.0,18,0.536,56,0.482,27,0.107,6,0.833,5,0,200,104.8,30.8,8,6,65,,14.5,9,0.375,21,0.286,6,52.0,26,0.552,17.0,12,35,0.6,21,1.0,7,"November 25, 2018",57.1,12,11.4,4,104.8,69.2,18,0.5,48,0.438,21,0.063,3,1.0,3,5,200,82.3,25.0,6,15,51,,17.7,11,0.375,18,0.333,6,48.0,24,0.516,26.7,18,30,0.5,15,0.167,1,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,62.1,Away,FURMAN,Furman,UNC Asheville,big-south
2018-12-01-20-tennessee-martin,50.0,14,6.7,3,124.3,62.9,22,0.591,55,0.509,28,0.109,6,0.833,5,6,200,100.0,45.8,11,12,70,,7.1,5,0.436,24,0.375,9,55.9,33,0.605,26.7,21,31,0.613,19,0.143,1,"December 1, 2018",75.0,27,9.7,3,100.0,54.2,13,0.569,72,0.5,36,0.097,7,0.714,5,2,200,124.3,37.1,13,11,87,,20.0,14,0.375,27,0.37,10,44.1,26,0.577,11.8,10,45,0.578,26,0.6,3,"Skyhawk Arena, Martin, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.1,Home,TENNESSEE-MARTIN,UT-Martin,UNC Asheville,big-south
2018-12-04-20-auburn,57.1,8,0.0,0,95.7,73.1,19,0.389,45,0.311,14,0.178,8,0.75,6,7,200,58.6,11.5,3,15,41,,7.1,5,0.422,19,0.368,7,42.3,22,0.42,34.0,25,26,0.269,7,0.125,1,"December 4, 2018",82.6,19,46.2,12,58.6,88.5,23,0.573,48,0.479,23,0.375,18,0.667,12,1,200,95.7,26.9,7,16,67,8,18.6,13,0.521,25,0.36,9,57.7,30,0.592,25.4,19,23,0.609,14,0.875,7,"Auburn Arena, Auburn, Alabama",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,69.7,Home,AUBURN,Auburn,UNC Asheville,big-south
2018-12-08-13-north-carolina-asheville,79.2,19,3.4,1,93.7,78.1,25,0.582,49,0.49,24,0.408,20,0.7,14,8,200,112.7,29.2,7,19,71,,9.5,6,0.449,22,0.409,9,57.1,32,0.607,17.2,12,27,0.556,15,0.273,3,"December 8, 2018",57.1,12,33.3,9,112.7,70.8,17,0.436,55,0.382,21,0.255,14,0.786,11,8,200,93.7,21.9,7,20,59,,7.9,5,0.473,26,0.231,6,42.9,24,0.479,11.6,8,29,0.517,15,0.111,1,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,63.1,Away,WESTERN-CAROLINA,Western Carolina,UNC Asheville,big-south
2018-12-15-19-wofford,50.0,8,2.9,1,141.5,56.5,13,0.409,44,0.364,16,0.409,18,0.722,13,9,200,75.4,17.2,5,15,49,,13.8,9,0.273,12,0.333,4,34.6,18,0.466,24.7,17,32,0.375,12,0.1,1,"December 15, 2018",51.5,17,15.6,5,75.4,82.8,24,0.669,59,0.559,33,0.288,17,0.765,13,3,200,141.5,43.5,10,18,92,,15.4,10,0.407,24,0.542,13,65.4,34,0.686,11.9,9,35,0.571,20,0.75,9,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,65.3,Home,WOFFORD,Wofford,UNC Asheville,big-south
