,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-memphis,52.6,10,12.0,6,93.8,70.7,29,0.404,52,0.365,19,0.558,29,0.655,19,1,141,75.3,35.3,12,18,61,,6.2,5,0.269,14,0.286,4,54.7,41,0.464,28.6,26,38,0.395,15,0.0,0,"November 6, 2018",41.9,13,13.2,5,75.3,64.7,22,0.459,74,0.419,31,0.149,11,0.727,8,0,141,93.8,29.3,12,25,76,,17.3,14,0.324,24,0.25,6,45.3,34,0.48,15.1,14,50,0.5,25,1.0,1,"FedExForum, Memphis, Tennessee",TENNESSEE-TECH,Tennessee Tech,114.2,Home,MEMPHIS,Memphis,Tennessee Tech,ovc
2018-11-10-19-tennessee-tech,62.5,20,2.9,1,90.3,75.8,25,0.569,65,0.492,32,0.138,9,0.667,6,1,200,111.1,32.1,9,24,80,,12.5,9,0.354,23,0.435,10,55.7,34,0.577,14.8,12,42,0.524,22,0.5,1,"November 10, 2018",63.6,14,19.0,8,111.1,67.9,19,0.481,53,0.415,22,0.472,25,0.56,14,2,200,90.3,24.2,8,19,65,,5.6,4,0.358,19,0.368,7,44.3,27,0.501,19.0,15,34,0.441,15,0.0,0,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,72.1,Away,PRESBYTERIAN,Presbyterian,Tennessee Tech,ovc
2018-11-13-19-savannah-state,64.7,22,13.9,5,101.0,57.1,24,0.507,76,0.447,34,0.118,9,0.667,6,3,200,86.5,20.5,8,19,83,,11.5,11,0.461,35,0.257,9,39.5,32,0.517,22.3,23,41,0.61,25,0.0,0,"November 13, 2018",68.8,22,0.0,0,86.5,79.5,31,0.487,79,0.405,32,0.342,27,0.741,20,2,200,101.0,42.9,18,11,97,,16.7,16,0.544,43,0.302,13,60.5,49,0.528,20.2,23,36,0.528,19,0.5,2,"Tiger Arena, Savannah, Georgia",TENNESSEE-TECH,Tennessee Tech,96.1,Home,SAVANNAH-STATE,Savannah State,Tennessee Tech,ovc
2018-11-16-19-north-carolina,39.1,9,5.9,3,130.1,46.7,14,0.391,64,0.359,23,0.203,13,0.615,8,4,200,69.9,20.0,9,18,58,,10.8,9,0.391,25,0.16,4,30.7,23,0.413,24.0,22,39,0.487,19,0.0,0,"November 16, 2018",70.7,29,20.5,8,69.9,80.0,36,0.588,74,0.554,41,0.351,26,0.808,21,0,200,130.1,53.3,16,15,108,7,19.3,16,0.311,23,0.217,5,69.3,52,0.625,13.2,13,51,0.706,36,1.0,4,"Dean Smith Center, Chapel Hill, North Carolina",TENNESSEE-TECH,Tennessee Tech,83.3,Home,NORTH-CAROLINA,UNC,Tennessee Tech,ovc
2018-11-18-18-michigan-state,53.3,8,5.9,2,142.3,59.3,16,0.304,51,0.294,15,0.176,9,0.222,2,5,200,46.5,12.9,4,22,33,,8.5,6,0.196,10,0.1,1,34.5,20,0.299,24.7,18,41,0.341,14,0.0,0,"November 18, 2018",67.6,25,12.2,5,46.5,87.1,27,0.657,67,0.552,37,0.269,18,0.722,13,1,200,142.3,40.7,11,12,101,11,11.3,8,0.493,33,0.424,14,65.5,38,0.668,9.6,8,34,0.676,23,0.75,3,"Breslin Events Center, East Lansing, Michigan",TENNESSEE-TECH,Tennessee Tech,70.9,Home,MICHIGAN-STATE,Michigan State,Tennessee Tech,ovc
2018-11-23-19-tennessee-tech,61.9,13,2.6,1,111.3,57.6,19,0.446,56,0.375,21,0.464,26,0.885,23,3,200,102.8,12.1,4,22,73,,5.6,4,0.321,18,0.444,8,34.8,23,0.534,11.8,9,38,0.342,13,0.4,2,"November 23, 2018",44.4,12,13.2,5,102.8,87.9,29,0.554,56,0.482,27,0.571,32,0.531,17,5,200,111.3,42.4,14,19,79,,2.8,2,0.304,17,0.471,8,65.2,43,0.555,13.6,11,39,0.487,19,0.167,1,"Eblen Center, Cookeville, Tennessee",LOUISIANA-MONROE,Louisiana-Monroe,70.8,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2018-11-28-19-tennessee-tech,69.0,20,2.2,1,92.1,73.5,25,0.537,68,0.426,29,0.176,12,0.75,9,3,200,107.9,23.7,9,14,82,,7.9,6,0.515,35,0.429,15,47.2,34,0.556,14.1,12,33,0.424,14,0.571,4,"November 28, 2018",42.9,12,15.2,5,107.9,76.3,29,0.477,65,0.431,28,0.185,12,0.667,8,6,200,92.1,26.5,9,16,70,,1.3,1,0.308,20,0.3,6,52.8,38,0.495,16.6,14,45,0.489,22,0.143,1,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,76.2,Away,WINTHROP,Winthrop,Tennessee Tech,ovc
2018-12-01-14-chattanooga,37.5,9,21.7,5,106.0,69.0,20,0.449,59,0.407,24,0.237,14,0.5,7,7,200,89.6,26.5,9,15,60,,16.4,11,0.288,17,0.294,5,46.0,29,0.457,16.6,13,42,0.452,19,0.125,1,"December 1, 2018",79.2,19,9.5,4,89.6,73.5,25,0.587,52,0.462,24,0.308,16,0.625,10,5,200,106.0,31.0,9,15,71,,9.0,6,0.558,29,0.448,13,54.0,34,0.596,19.2,14,23,0.478,11,0.444,4,"The McKenzie Arena, Chattanooga, Tennessee",TENNESSEE-TECH,Tennessee Tech,67.1,Home,CHATTANOOGA,Chattanooga,Tennessee Tech,ovc
2018-12-06-19-tennessee-tech,54.2,13,0.0,0,126.9,55.6,20,0.396,72,0.333,24,0.111,8,0.375,3,0,200,64.5,9.8,4,22,60,,10.8,10,0.458,33,0.273,9,31.2,24,0.396,21.8,21,39,0.385,15,0.0,0,"December 6, 2018",61.4,27,30.8,12,64.5,90.2,37,0.684,76,0.579,44,0.263,20,0.7,14,7,200,126.9,44.4,16,11,118,,14.0,13,0.461,35,0.457,16,68.8,53,0.69,21.3,23,41,0.683,28,0.222,2,"Eblen Center, Cookeville, Tennessee","Warren Wilson
			","Warren Wilson
			",92.7,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2018-12-09-15-tennessee-tech,71.4,15,2.2,1,115.5,65.5,19,0.402,61,0.344,21,0.23,14,0.786,11,0,200,71.4,20.0,7,21,60,,8.3,7,0.344,21,0.333,7,40.6,26,0.443,26.3,24,40,0.35,14,0.0,0,"December 9, 2018",62.9,22,7.5,3,71.4,80.0,28,0.592,65,0.538,35,0.431,28,0.714,20,7,200,115.5,34.5,10,10,97,,20.2,17,0.292,19,0.368,7,59.4,38,0.619,16.2,15,46,0.609,28,0.3,3,"Eblen Center, Cookeville, Tennessee","Hiwassee
			","Hiwassee
			",84.0,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
