,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-11-eastern-michigan,81.0,17,5.3,2,100.0,76.7,23,0.482,57,0.368,21,0.175,10,0.7,7,1,200,93.9,21.6,8,20,62,,3.0,2,0.596,34,0.382,13,46.3,31,0.502,16.3,12,23,0.348,8,0.0,0,"November 9, 2018",34.6,9,21.7,5,93.9,78.4,29,0.5,57,0.456,26,0.263,15,0.6,9,0,200,100.0,23.3,7,12,66,,7.6,5,0.333,19,0.263,5,53.7,36,0.515,12.4,9,38,0.553,21,1.0,2,"Convocation Center, Ypsilanti, Michigan",DREXEL,Drexel,65.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Drexel,colonial
2018-11-11-15-rutgers,44.0,11,2.7,1,123.4,61.3,19,0.5,59,0.424,25,0.237,14,0.5,7,2,200,85.7,20.0,7,23,66,,5.2,4,0.356,21,0.429,9,39.4,26,0.503,20.7,17,38,0.421,16,0.0,0,"November 11, 2018",57.6,19,21.1,8,85.7,80.0,28,0.635,63,0.524,33,0.413,26,0.577,15,0,200,123.4,38.7,12,17,95,,9.1,7,0.413,26,0.538,14,60.6,40,0.63,15.8,14,37,0.514,19,1.0,2,"Louis Brown Athletic Center, New Brunswick, New Jersey",DREXEL,Drexel,76.5,Home,RUTGERS,Rutgers,Drexel,colonial
2018-11-14-19-drexel,26.7,4,2.9,1,143.9,60.0,12,0.254,63,0.238,15,0.27,17,0.529,9,0,200,50.0,14.3,7,17,41,,13.4,11,0.302,19,0.105,2,27.5,19,0.288,19.4,17,44,0.295,13,0.0,0,"November 14, 2018",81.4,35,13.6,6,50.0,85.7,42,0.789,64,0.672,43,0.344,22,0.773,17,2,200,143.9,40.0,8,16,118,,11.0,9,0.453,29,0.517,15,72.5,50,0.792,17.8,16,35,0.8,28,0.333,1,"Daskalakis Athletic Center, Philadelphia, Pennsylvania","Bryn Athyn
			","Bryn Athyn
			",81.8,Home,DREXEL,Drexel,Drexel,colonial
2018-11-17-16-la-salle,38.5,10,0.0,0,113.5,64.7,22,0.482,57,0.456,26,0.702,40,0.85,34,2,200,120.3,27.3,9,17,89,,2.7,2,0.246,14,0.214,3,46.3,31,0.586,9.7,8,43,0.535,23,0.5,2,"November 17, 2018",46.9,15,7.0,3,120.3,72.7,24,0.568,66,0.485,32,0.182,12,0.75,9,4,200,113.5,35.3,12,25,84,,6.8,5,0.364,24,0.458,11,53.7,36,0.586,16.4,14,42,0.5,21,0.0,0,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,74.4,Away,DREXEL,Drexel,Drexel,colonial
2018-11-21-15-drexel,53.3,16,8.3,3,121.1,63.6,14,0.492,64,0.469,30,0.141,9,0.444,4,3,200,94.4,19.4,7,19,67,,9.9,7,0.219,14,0.214,3,36.2,21,0.491,10.5,8,50,0.54,27,0.5,3,"November 21, 2018",51.6,16,2.0,1,94.4,80.6,29,0.627,55,0.564,31,0.345,19,0.895,17,2,200,121.1,36.4,8,12,86,,7.0,5,0.345,19,0.368,7,63.8,37,0.672,20.2,16,36,0.667,24,0.6,3,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",BOSTON-UNIVERSITY,Boston University,70.7,Home,DREXEL,Drexel,Drexel,colonial
2018-11-25-15-bowling-green-state,53.8,14,3.5,2,100.0,71.1,27,0.408,71,0.366,26,0.254,18,0.722,13,3,200,87.7,27.3,12,18,71,,9.9,8,0.268,19,0.316,6,47.6,39,0.446,14.1,13,52,0.385,20,0.5,3,"November 25, 2018",30.3,10,13.5,7,87.7,72.7,32,0.479,72,0.458,33,0.306,22,0.545,12,3,200,100.0,28.9,11,16,81,,8.6,7,0.208,15,0.2,3,52.4,43,0.491,10.9,10,57,0.526,30,0.571,4,"Stroh Center, Bowling Green, Ohio",DREXEL,Drexel,81.0,Home,BOWLING-GREEN-STATE,Bowling Green State,Drexel,colonial
2018-11-28-19-drexel,52.0,13,17.0,8,91.8,70.3,26,0.491,57,0.439,25,0.404,23,0.609,14,1,200,95.9,9.4,3,16,70,,6.8,5,0.298,17,0.353,6,42.0,29,0.515,8.2,6,40,0.475,19,0.875,7,"November 28, 2018",53.8,14,10.0,4,95.9,90.6,29,0.426,68,0.382,26,0.206,14,0.643,9,4,200,91.8,29.7,11,21,67,,2.7,2,0.309,21,0.286,6,58.0,40,0.449,12.9,11,47,0.426,20,0.429,3,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,72.8,Away,NJIT,NJIT,Drexel,colonial
2018-12-01-14-drexel,53.6,15,7.7,3,110.8,55.0,11,0.492,64,0.438,28,0.188,12,0.5,6,4,200,93.2,16.7,6,23,69,,10.8,8,0.328,21,0.333,7,30.4,17,0.495,14.8,12,43,0.488,21,0.5,4,"December 1, 2018",59.3,16,11.6,5,93.2,83.3,30,0.534,58,0.466,27,0.379,22,0.909,20,4,200,110.8,45.0,9,18,82,,4.1,3,0.328,19,0.421,8,69.6,39,0.599,16.1,13,39,0.487,19,0.5,4,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",ROBERT-MORRIS,Robert Morris,74.1,Home,DREXEL,Drexel,Drexel,colonial
2018-12-05-19-drexel,48.5,16,2.9,1,143.9,68.4,13,0.658,57,0.579,33,0.386,22,0.5,11,6,200,130.3,22.2,6,19,86,,6.1,4,0.333,19,0.474,9,41.3,19,0.638,7.0,5,38,0.632,24,0.333,3,"December 5, 2018",74.2,23,5.3,2,130.3,77.8,21,0.73,50,0.62,31,0.5,25,0.88,22,4,200,143.9,31.6,6,17,95,,3.0,2,0.32,16,0.688,11,58.7,27,0.768,14.1,10,34,0.588,20,0.556,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",LOYOLA-MD,Loyola (MD),66.2,Home,DREXEL,Drexel,Drexel,colonial
2018-12-08-14-drexel,40.0,14,9.4,3,104.1,70.0,14,0.69,58,0.603,35,0.224,13,0.846,11,4,200,124.7,20.8,5,13,91,,11.0,8,0.397,23,0.435,10,43.2,19,0.709,16.9,13,35,0.714,25,0.6,6,"December 8, 2018",58.6,17,2.9,1,124.7,79.2,19,0.586,58,0.5,29,0.19,11,0.727,8,5,200,104.1,30.0,6,14,76,,8.2,6,0.448,26,0.385,10,56.8,25,0.601,21.3,17,32,0.594,19,0.5,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,73.2,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Drexel,colonial
