,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-20-abilene-christian,50.0,13,4.9,2,122.1,60.7,17,0.492,59,0.441,26,0.407,24,0.625,15,1,200,94.8,25.0,9,23,73,,7.8,6,0.288,17,0.353,6,40.6,26,0.518,18.7,16,42,0.476,20,0.0,0,"November 9, 2018",54.8,17,0.0,0,94.8,75.0,27,0.636,55,0.564,31,0.564,31,0.774,24,0,200,122.1,39.3,11,27,94,,10.4,8,0.255,14,0.571,8,59.4,38,0.674,20.8,18,41,0.561,23,1.0,2,"Moody Coliseum , Abilene, Texas",ARKANSAS-STATE,Arkansas State,77.1,Home,ABILENE-CHRISTIAN,Abilene Christian,Arkansas State,sun-belt
2018-11-12-20-arkansas-state,38.9,7,2.8,1,114.1,70.0,21,0.325,60,0.3,18,0.333,20,0.75,15,0,200,69.2,17.5,7,12,54,,9.0,7,0.417,25,0.12,3,40.0,28,0.388,18.9,16,35,0.429,15,0.0,0,"November 12, 2018",48.5,16,20.0,7,69.2,82.5,33,0.629,62,0.532,33,0.226,14,0.786,11,1,200,114.1,30.0,9,21,89,,14.1,11,0.419,26,0.462,12,60.0,42,0.648,20.0,17,36,0.583,21,0.5,1,"Convocation Center, Jonesboro, Arkansas","Missouri Baptist University
			","Missouri Baptist University
			",77.6,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt
2018-11-16-21-grand-canyon,48.1,13,10.9,5,126.3,58.8,20,0.527,56,0.482,27,0.357,20,0.65,13,2,200,94.7,22.6,7,30,72,,9.2,7,0.268,15,0.333,5,41.5,27,0.55,17.8,14,41,0.537,22,0.333,1,"November 16, 2018",56.3,18,4.9,2,94.7,77.4,24,0.531,65,0.492,32,0.508,33,0.818,27,1,200,126.3,41.2,14,19,96,,10.5,8,0.292,19,0.263,5,58.5,38,0.595,14.1,13,46,0.587,27,0.75,3,"Grand Canyon University Arena, Phoenix, Arizona",ARKANSAS-STATE,Arkansas State,76.1,Home,GRAND-CANYON,Grand Canyon,Arkansas State,sun-belt
2018-11-23-19-north-carolina-wilmington,24.0,6,11.6,5,109.9,69.2,18,0.46,63,0.397,25,0.175,11,0.545,6,3,200,90.1,17.6,6,19,64,,9.9,7,0.413,26,0.308,8,40.0,24,0.469,12.8,10,37,0.459,17,0.25,1,"November 23, 2018",26.7,8,2.7,1,90.1,82.4,28,0.544,57,0.526,30,0.386,22,0.727,16,3,200,109.9,30.8,8,15,78,,7.0,5,0.246,14,0.143,2,60.0,36,0.578,14.2,11,43,0.651,28,0.4,2,"U.S. Cellular Center, Asheville, North Carolina",ARKANSAS-STATE,Arkansas State,71.3,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Arkansas State,sun-belt
2018-11-24-17-arkansas-state,55.2,16,13.3,6,104.9,75.0,30,0.549,61,0.475,29,0.607,37,0.622,23,2,225,109.8,31.6,12,24,90,,3.7,3,0.344,21,0.429,9,53.8,42,0.573,12.5,11,40,0.5,20,0.6,3,"November 24, 2018",37.0,10,10.0,4,109.8,68.4,26,0.455,66,0.409,27,0.576,38,0.684,26,4,225,104.9,25.0,10,28,86,,11.0,9,0.318,21,0.286,6,46.2,36,0.512,13.6,13,45,0.467,21,0.2,1,"U.S. Cellular Center, Asheville, North Carolina",ARKANSAS-STATE,Arkansas State,73.2,Away,EASTERN-ILLINOIS,Eastern Illinois,Arkansas State,sun-belt
2018-11-25-15-arkansas-state,47.6,10,3.0,1,111.6,57.9,11,0.462,53,0.396,21,0.472,25,0.8,20,5,200,100.0,16.7,5,21,69,,13.0,9,0.377,20,0.35,7,32.7,16,0.532,12.3,9,33,0.424,14,0.286,2,"November 25, 2018",44.0,11,6.1,2,100.0,83.3,25,0.571,49,0.51,25,0.51,25,0.84,21,4,200,111.6,42.1,8,20,77,,7.2,5,0.327,16,0.375,6,67.3,33,0.632,21.1,16,33,0.576,19,0.333,2,"U.S. Cellular Center, Asheville, North Carolina",GARDNER-WEBB,Gardner-Webb,68.9,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt
2018-12-01-14-lehigh,39.1,9,12.2,5,113.9,88.0,22,0.373,75,0.307,23,0.267,20,0.7,14,5,200,97.2,43.8,21,21,70,,4.2,3,0.387,29,0.345,10,58.9,43,0.414,10.7,10,46,0.283,13,0.286,2,"December 1, 2018",61.3,19,6.5,3,97.2,56.3,27,0.623,57,0.544,31,0.246,14,0.786,11,2,200,113.9,12.0,3,18,82,,8.3,6,0.281,16,0.563,9,41.1,30,0.644,13.7,10,41,0.537,22,0.714,5,"Stabler Arena, Bethlehem, Pennsylvania",ARKANSAS-STATE,Arkansas State,72.1,Home,LEHIGH,Lehigh,Arkansas State,sun-belt
2018-12-04-20-arkansas-state,50.0,11,7.9,3,113.0,64.5,20,0.446,56,0.393,22,0.607,34,0.794,27,4,200,100.0,12.5,4,23,77,,6.5,5,0.411,23,0.261,6,38.1,24,0.534,13.4,11,33,0.485,16,0.5,4,"December 4, 2018",42.9,12,12.1,4,100.0,87.5,28,0.524,62,0.452,28,0.419,26,0.846,22,5,200,113.0,35.5,11,28,87,,6.5,5,0.387,24,0.375,9,61.9,39,0.585,14.0,12,38,0.5,19,0.375,3,"Convocation Center, Jonesboro, Arkansas",EVANSVILLE,Evansville,77.3,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt
2018-12-08-16-minnesota,45.0,9,21.6,8,104.3,60.6,20,0.375,64,0.313,20,0.156,10,0.8,8,6,200,81.2,24.2,8,21,56,,10.1,7,0.313,20,0.4,8,42.4,28,0.407,13.9,11,44,0.273,12,0.333,3,"December 8, 2018",79.2,19,13.6,6,81.2,75.8,25,0.519,54,0.444,24,0.444,24,0.667,16,2,200,104.3,39.4,13,14,72,,7.2,5,0.315,17,0.471,8,57.6,38,0.55,16.8,13,37,0.432,16,0.8,8,"Williams Arena, Minneapolis, Minnesota",ARKANSAS-STATE,Arkansas State,68.6,Home,MINNESOTA,Minnesota,Arkansas State,sun-belt
2018-12-14-20-arkansas-state,45.8,11,11.3,6,90.4,62.1,36,0.337,83,0.289,24,0.205,17,0.882,15,3,250,85.5,37.3,19,25,71,,1.2,1,0.398,33,0.242,8,50.5,55,0.39,12.6,13,50,0.32,16,0.7,7,"December 14, 2018",39.1,9,4.0,2,85.5,62.7,32,0.319,80,0.288,23,0.413,33,0.727,24,6,250,90.4,37.9,22,18,75,,6.0,5,0.338,27,0.185,5,49.5,54,0.392,6.9,7,53,0.34,18,0.4,4,"Convocation Center, Jonesboro, Arkansas",FLORIDA-ATLANTIC,Florida Atlantic,66.3,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt
