,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-hartford,41.4,12,21.9,7,95.8,69.4,25,0.492,61,0.475,29,0.328,20,0.75,15,0,200,105.6,41.9,13,21,75,,5.6,4,0.115,7,0.286,2,56.7,38,0.532,16.7,14,54,0.5,27,1.0,1,"November 6, 2018",45.8,11,9.3,5,105.6,58.1,18,0.5,57,0.421,24,0.316,18,0.611,11,1,200,95.8,30.6,11,21,68,,8.5,6,0.439,25,0.36,9,43.3,29,0.519,18.8,15,32,0.469,15,0.0,0,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,70.5,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Hartford,america-east
2018-11-09-21-utah-state,58.3,14,5.2,3,128.2,53.1,17,0.445,64,0.375,24,0.313,20,0.8,16,2,200,93.6,23.1,9,21,73,,6.4,5,0.453,29,0.31,9,36.6,26,0.497,14.2,12,35,0.429,15,0.0,0,"November 9, 2018",53.8,21,14.3,5,93.6,76.9,30,0.593,70,0.557,39,0.286,20,0.85,17,0,200,128.2,46.9,15,23,100,,10.3,8,0.171,12,0.417,5,63.4,45,0.629,16.0,15,58,0.586,34,1.0,2,"Dee Glen Smith Spectrum, Logan, Utah",HARTFORD,Hartford,78.0,Home,UTAH-STATE,Utah State,Hartford,america-east
2018-11-11-17-mississippi-state,59.1,13,2.4,1,114.9,55.9,19,0.51,49,0.449,22,0.224,11,0.818,9,3,200,88.1,29.6,8,10,59,,7.5,5,0.408,20,0.3,6,44.3,27,0.544,28.1,21,29,0.552,16,0.0,0,"November 11, 2018",46.7,14,13.8,4,88.1,70.4,19,0.523,66,0.455,30,0.136,9,0.889,8,0,200,114.9,44.1,15,16,77,18,22.4,15,0.364,24,0.375,9,55.7,34,0.548,14.6,12,42,0.5,21,1.0,2,"Humphrey Coliseum, Starkville, Mississippi",HARTFORD,Hartford,67.3,Home,MISSISSIPPI-STATE,Mississippi State,Hartford,america-east
2018-11-15-19-quinnipiac,60.9,14,6.9,2,80.6,71.4,25,0.55,50,0.46,23,0.46,23,0.565,13,3,200,101.5,30.0,9,12,68,,6.0,4,0.44,22,0.409,9,52.3,34,0.558,20.0,15,28,0.5,14,0.25,1,"November 15, 2018",35.0,7,3.6,1,101.5,70.0,21,0.414,58,0.345,20,0.172,10,0.6,6,2,200,80.6,28.6,10,21,54,,6.0,4,0.5,29,0.276,8,47.7,31,0.43,19.4,15,29,0.414,12,0.0,0,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,67.3,Away,HARTFORD,Hartford,Hartford,america-east
2018-11-19-14-utah-valley,54.5,12,0.0,0,97.3,84.0,21,0.427,62,0.355,22,0.242,15,0.8,12,4,200,87.8,20.0,7,18,65,,10.8,8,0.516,32,0.281,9,46.7,28,0.47,16.9,14,30,0.433,13,0.2,1,"November 19, 2018",46.4,13,3.3,1,87.8,80.0,28,0.653,49,0.571,28,0.327,16,0.5,8,3,200,97.3,16.0,4,14,72,,8.1,6,0.388,19,0.421,8,53.3,32,0.636,26.3,20,30,0.667,20,0.4,2,"Cox Pavilion, Las Vegas, Nevada",HARTFORD,Hartford,74.4,Home,UTAH-VALLEY,Utah Valley,Hartford,america-east
2018-11-21-14-iona,44.4,12,0.0,0,112.7,85.7,18,0.518,57,0.474,27,0.368,21,0.762,16,5,200,105.6,26.7,8,19,75,,8.5,6,0.333,19,0.263,5,51.0,26,0.56,15.3,12,38,0.579,22,0.167,1,"November 21, 2018",57.1,16,2.6,1,105.6,73.3,22,0.663,49,0.571,28,0.49,24,0.625,15,2,200,112.7,14.3,3,20,80,,8.5,6,0.408,20,0.45,9,49.0,25,0.662,19.0,14,29,0.655,19,0.5,2,"Cox Pavilion, Las Vegas, Nevada",HARTFORD,Hartford,71.2,Home,IONA,Iona,Hartford,america-east
2018-11-24-14-hartford,37.5,6,9.5,4,119.2,67.6,23,0.33,56,0.286,16,0.393,22,0.727,16,0,200,67.9,26.2,11,23,53,,6.4,5,0.5,28,0.179,5,44.7,34,0.399,25.1,22,28,0.393,11,0.0,0,"November 24, 2018",51.5,17,0.0,0,67.9,73.8,31,0.543,69,0.478,33,0.362,25,0.72,18,5,200,119.2,32.4,11,21,93,,15.4,12,0.391,27,0.333,9,55.3,42,0.575,10.1,9,42,0.571,24,0.286,2,"Chase Family Arena, Hartford, Connecticut","Western New England
			","Western New England
			",78.2,Home,HARTFORD,Hartford,Hartford,america-east
2018-11-27-18-sacred-heart,48.1,13,0.0,0,119.5,68.2,15,0.523,64,0.422,27,0.391,25,0.88,22,6,200,108.5,11.1,4,24,89,,6.1,5,0.453,29,0.448,13,32.8,19,0.586,11.8,10,35,0.4,14,0.25,2,"November 27, 2018",73.5,25,11.4,4,108.5,88.9,32,0.629,58,0.586,34,0.534,31,0.806,25,4,200,119.5,31.8,7,24,98,,3.7,3,0.276,16,0.313,5,67.2,39,0.674,19.2,17,42,0.69,29,0.429,3,"William H. Pitt Center, Fairfield, Connecticut",HARTFORD,Hartford,82.3,Home,SACRED-HEART,Sacred Heart,Hartford,america-east
2018-12-01-14-hartford,52.2,12,9.1,2,110.1,82.8,24,0.434,61,0.377,23,0.311,19,0.526,10,4,200,91.3,53.3,16,18,63,,5.8,4,0.525,32,0.219,7,67.8,40,0.45,20.6,18,29,0.552,16,0.5,4,"December 1, 2018",45.5,10,3.4,1,91.3,46.7,14,0.5,53,0.415,22,0.453,24,0.958,23,6,200,110.1,17.2,5,18,76,,14.5,10,0.585,31,0.29,9,32.2,19,0.59,9.9,7,22,0.591,13,0.333,3,"Chase Family Arena, Hartford, Connecticut",BOWLING-GREEN-STATE,Bowling Green State,69.2,Home,HARTFORD,Hartford,Hartford,america-east
2018-12-05-19-duke,65.0,13,2.3,1,110.5,58.8,20,0.393,61,0.328,20,0.148,9,0.667,6,7,200,71.1,23.7,9,14,54,,11.8,9,0.443,27,0.296,8,40.3,29,0.414,24.4,21,34,0.353,12,0.3,3,"December 5, 2018",51.4,18,29.4,10,71.1,76.3,29,0.543,69,0.507,35,0.188,13,0.692,9,1,200,110.5,41.2,14,13,84,3,19.7,15,0.377,26,0.192,5,59.7,43,0.559,14.8,13,43,0.698,30,0.889,8,"Cameron Indoor Stadium, Durham, North Carolina",HARTFORD,Hartford,75.7,Home,DUKE,Duke,Hartford,america-east
