,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-tennessee-martin,40.0,8,11.8,4,115.2,73.3,22,0.379,58,0.345,20,0.345,20,0.7,14,0,196,73.4,26.3,10,28,58,,10.1,8,0.31,18,0.222,4,47.1,32,0.43,23.9,21,40,0.4,16,0.0,0,"November 6, 2018",50.0,15,10.0,4,73.4,73.7,28,0.593,59,0.508,30,0.508,30,0.7,21,0,196,115.2,26.7,8,20,91,,8.9,7,0.424,25,0.4,10,52.9,36,0.621,16.2,14,34,0.588,20,1.0,1,"Skyhawk Arena, Martin, Tennessee","Cumberland
			","Cumberland
			",80.5,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc
2018-11-10-19-western-kentucky,40.0,10,6.3,3,114.7,61.3,19,0.492,59,0.424,25,0.39,23,0.565,13,1,200,94.7,19.4,7,18,71,,8.0,6,0.424,25,0.32,8,38.8,26,0.508,15.8,13,34,0.5,17,0.5,1,"November 10, 2018",44.1,15,23.5,8,94.7,80.6,29,0.562,65,0.523,34,0.323,21,0.619,13,1,200,114.7,38.7,12,19,86,,12.0,9,0.262,17,0.294,5,61.2,41,0.574,13.9,12,48,0.604,29,0.5,1,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-MARTIN,UT-Martin,75.5,Home,WESTERN-KENTUCKY,Western Kentucky,Tennessee-Martin,ovc
2018-11-16-19-mercer,41.7,10,9.4,3,113.2,63.3,19,0.442,60,0.4,24,0.183,11,0.636,7,2,200,88.2,45.2,14,16,60,,2.9,2,0.35,21,0.238,5,54.1,33,0.46,20.8,17,39,0.487,19,0.333,1,"November 16, 2018",60.7,17,2.6,1,88.2,54.8,17,0.549,61,0.459,28,0.246,15,0.667,10,2,200,113.2,36.7,11,15,77,,7.4,5,0.475,29,0.379,11,45.9,28,0.565,14.0,11,32,0.531,17,0.5,2,"Hawkins Arena, Macon, Georgia",TENNESSEE-MARTIN,UT-Martin,68.2,Home,MERCER,Mercer,Tennessee-Martin,ovc
2018-11-21-16-tennessee-martin,36.4,12,0.0,0,121.1,79.4,27,0.6,60,0.55,33,0.433,26,0.692,18,3,200,118.4,29.6,8,18,90,,2.6,2,0.283,17,0.353,6,57.4,35,0.622,12.3,10,43,0.628,27,0.4,2,"November 21, 2018",54.5,18,2.3,1,118.4,70.4,19,0.559,68,0.485,33,0.309,21,0.762,16,2,200,121.1,20.6,7,22,92,,9.2,7,0.338,23,0.435,10,42.6,26,0.59,8.3,7,45,0.511,23,0.5,2,"Skyhawk Arena, Martin, Tennessee",WESTERN-ILLINOIS,Western Illinois,76.2,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc
2018-12-01-20-tennessee-martin,50.0,14,6.7,3,124.3,62.9,22,0.591,55,0.509,28,0.109,6,0.833,5,6,200,100.0,45.8,11,12,70,,7.1,5,0.436,24,0.375,9,55.9,33,0.605,26.7,21,31,0.613,19,0.143,1,"December 1, 2018",75.0,27,9.7,3,100.0,54.2,13,0.569,72,0.5,36,0.097,7,0.714,5,2,200,124.3,37.1,13,11,87,,20.0,14,0.375,27,0.37,10,44.1,26,0.577,11.8,10,45,0.578,26,0.6,3,"Skyhawk Arena, Martin, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,70.1,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc
2018-12-05-20-tulane,36.7,11,5.6,2,110.1,65.2,15,0.41,78,0.385,30,0.218,17,0.588,10,3,200,93.7,29.8,14,19,74,,13.9,11,0.372,29,0.138,4,41.4,29,0.43,8.6,8,49,0.531,26,0.5,3,"December 5, 2018",50.0,16,4.1,2,93.7,70.2,33,0.645,55,0.582,32,0.473,26,0.615,16,5,200,110.1,34.8,8,20,87,,5.1,4,0.345,19,0.368,7,58.6,41,0.646,21.3,18,36,0.694,25,0.375,3,"Devlin Fieldhouse, New Orleans, Louisiana",TENNESSEE-MARTIN,UT-Martin,78.7,Home,TULANE,Tulane,Tennessee-Martin,ovc
2018-12-08-16-east-tennessee-state,57.1,12,6.1,2,108.1,63.3,19,0.392,60,0.35,21,0.3,18,0.833,15,4,200,83.8,21.6,8,14,62,,16.2,12,0.4,24,0.208,5,40.3,27,0.452,17.1,14,36,0.444,16,0.429,3,"December 8, 2018",67.7,21,8.3,3,83.8,78.4,29,0.59,61,0.508,31,0.246,15,0.533,8,3,200,108.1,36.7,11,15,80,,9.5,7,0.459,28,0.357,10,59.7,40,0.587,20.1,17,33,0.636,21,0.727,8,"Freedom Hall Civic Center, Johnson City, Tennessee",TENNESSEE-MARTIN,UT-Martin,74.3,Home,EAST-TENNESSEE-STATE,ETSU,Tennessee-Martin,ovc
2018-12-15-20-tennessee-martin,60.0,18,5.9,3,128.6,50.0,13,0.486,74,0.405,30,0.122,9,0.778,7,0,200,94.0,12.5,5,18,79,,9.5,8,0.405,30,0.4,12,27.3,18,0.505,13.3,12,44,0.409,18,0.0,0,"December 15, 2018",65.0,26,18.2,8,94.0,87.5,35,0.64,68,0.588,40,0.382,26,0.808,21,4,200,128.6,50.0,13,13,108,,13.1,11,0.25,17,0.412,7,72.7,48,0.672,16.8,16,51,0.647,33,0.5,4,"Skyhawk Arena, Martin, Tennessee","Brescia
			","Brescia
			",84.3,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc
2018-12-18-20-tennessee-martin,45.2,14,5.4,2,105.6,71.0,22,0.565,62,0.5,31,0.048,3,0.667,2,8,200,101.4,14.8,4,19,72,,5.6,4,0.403,25,0.32,8,44.8,26,0.568,17.0,13,37,0.622,23,0.385,5,"December 18, 2018",75.0,18,8.1,3,101.4,85.2,23,0.491,57,0.421,24,0.474,27,0.704,19,4,200,105.6,29.0,9,10,75,,12.7,9,0.351,20,0.4,8,55.2,32,0.537,11.6,9,37,0.432,16,0.556,5,"Skyhawk Arena, Martin, Tennessee",CHATTANOOGA,Chattanooga,71.1,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc
2018-12-22-19-fresno-state,66.7,14,6.3,2,129.2,75.9,22,0.373,63,0.333,21,0.127,8,0.75,6,5,200,73.6,30.8,12,10,53,,5.6,4,0.349,22,0.227,5,50.0,34,0.397,20.4,17,41,0.39,16,0.5,5,"December 22, 2018",69.4,25,14.6,6,73.6,69.2,27,0.652,66,0.545,36,0.152,10,0.7,7,2,200,129.2,24.1,7,11,93,,15.3,11,0.515,34,0.412,14,50.0,34,0.657,10.2,8,32,0.688,22,0.818,9,"Save Mart Center, Fresno, California",TENNESSEE-MARTIN,UT-Martin,71.8,Home,FRESNO-STATE,Fresno State,Tennessee-Martin,ovc
