,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-18-st-johns-ny,46.7,7,0.0,0,95.0,75.7,28,0.375,44,0.341,15,0.727,32,0.688,22,1,200,68.8,16.7,5,17,55,,13.8,11,0.273,12,0.25,3,49.3,33,0.465,29.2,24,32,0.375,12,0.0,0,"November 6, 2018",44.8,13,6.3,2,68.8,83.3,25,0.5,65,0.446,29,0.231,15,0.733,11,0,200,95.0,24.3,9,26,76,,16.3,13,0.338,22,0.318,7,50.7,34,0.527,20.1,18,43,0.512,22,1.0,1,"Carnesecca Arena, Jamaica, New York",LOYOLA-MD,Loyola (MD),79.7,Home,ST-JOHNS-NY,St. John's (NY),Loyola (MD),patriot
2018-11-11-17-loyola-md,60.0,15,14.3,7,115.9,70.0,21,0.618,51,0.49,25,0.451,23,0.826,19,1,200,118.8,22.2,6,18,82,,4.3,3,0.451,23,0.565,13,47.4,27,0.662,14.1,10,28,0.429,12,0.667,2,"November 11, 2018",41.9,13,14.3,4,118.8,77.8,21,0.532,63,0.492,31,0.317,20,0.65,13,2,200,115.9,30.0,9,19,80,,7.2,5,0.222,14,0.357,5,52.6,30,0.552,10.0,8,49,0.531,26,0.0,0,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),68.7,Away,DARTMOUTH,Dartmouth,Loyola (MD),patriot
2018-11-13-19-loyola-md,41.2,7,14.3,6,116.7,60.0,21,0.323,62,0.274,17,0.435,27,0.815,22,3,200,79.5,23.1,9,20,62,,9.0,7,0.435,27,0.222,6,40.5,30,0.414,15.0,13,35,0.314,11,0.0,0,"November 13, 2018",70.0,21,8.6,3,79.5,76.9,30,0.515,68,0.441,30,0.412,28,0.75,21,2,200,116.7,40.0,14,22,91,,9.0,7,0.382,26,0.385,10,59.5,44,0.56,11.1,10,42,0.476,20,0.333,1,"Reitz Arena, Baltimore, Maryland",DELAWARE-STATE,Delaware State,78.1,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2018-11-16-19-temple,45.8,11,8.9,4,111.0,75.0,24,0.538,53,0.453,24,0.226,12,0.833,10,3,200,91.8,26.9,7,14,67,,6.8,5,0.453,24,0.375,9,53.4,31,0.571,26.5,21,29,0.517,15,0.25,1,"November 16, 2018",61.3,19,20.7,6,91.8,73.1,19,0.507,67,0.463,31,0.239,16,0.813,13,0,200,111.0,25.0,8,14,81,,13.7,10,0.328,22,0.273,6,46.6,27,0.543,7.5,6,45,0.556,25,1.0,4,"Liacouras Center, Philadelphia, Pennsylvania",LOYOLA-MD,Loyola (MD),72.7,Home,TEMPLE,Temple,Loyola (MD),patriot
2018-11-19-19-detroit-mercy,91.7,22,5.7,2,130.0,64.5,20,0.427,62,0.387,24,0.21,13,0.769,10,4,200,90.0,28.6,10,18,63,,8.6,6,0.403,25,0.2,5,45.5,30,0.462,17.1,14,37,0.514,19,0.2,1,"November 19, 2018",51.5,17,13.5,5,90.0,71.4,25,0.659,63,0.524,33,0.19,12,0.667,8,3,200,130.0,35.5,11,14,91,,10.0,7,0.444,28,0.607,17,54.5,36,0.662,12.8,10,35,0.457,16,0.25,1,"Calihan Hall, Detroit, Michigan",LOYOLA-MD,Loyola (MD),69.9,Home,DETROIT-MERCY,Detroit,Loyola (MD),patriot
2018-11-20-17-loyola-md,43.5,10,14.3,6,94.9,74.3,26,0.398,64,0.359,23,0.344,22,0.682,15,4,200,83.5,27.8,10,25,66,,10.1,8,0.313,20,0.25,5,50.7,36,0.443,17.8,16,44,0.409,18,0.2,1,"November 20, 2018",53.8,14,6.8,3,83.5,72.2,26,0.46,62,0.419,26,0.403,25,0.72,18,4,200,94.9,25.7,9,20,75,,7.6,6,0.323,20,0.25,5,49.3,35,0.508,15.1,13,42,0.5,21,0.333,2,"Calihan Hall, Detroit, Michigan",HAMPTON,Hampton,79.2,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2018-11-25-18-towson,69.6,16,5.6,2,119.7,61.3,19,0.5,55,0.418,23,0.364,20,0.7,14,5,200,97.2,16.1,5,23,69,,5.6,4,0.473,26,0.346,9,38.7,24,0.535,16.9,13,29,0.483,14,0.286,2,"November 25, 2018",35.7,10,20.7,6,97.2,83.9,26,0.561,57,0.491,28,0.509,29,0.724,21,4,200,119.7,38.7,12,17,85,,7.0,5,0.368,21,0.381,8,61.3,38,0.6,13.6,11,36,0.556,20,0.333,2,"SECU Arena, Towson, Maryland",LOYOLA-MD,Loyola (MD),71.1,Home,TOWSON,Towson,Loyola (MD),patriot
2018-12-01-13-loyola-md,52.0,13,6.1,2,100.0,81.3,26,0.402,66,0.379,25,0.242,16,0.75,12,7,200,86.7,18.9,7,25,65,,5.3,4,0.303,20,0.15,3,47.8,33,0.442,13.1,11,46,0.478,22,0.0,0,"December 1, 2018",54.5,12,8.7,4,86.7,81.1,30,0.48,49,0.449,22,0.755,37,0.757,28,5,200,100.0,18.8,6,16,75,,9.3,7,0.327,16,0.188,3,52.2,36,0.563,15.5,12,33,0.576,19,0.375,3,"Reitz Arena, Baltimore, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,75.1,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2018-12-05-19-drexel,48.5,16,2.9,1,143.9,68.4,13,0.658,57,0.579,33,0.386,22,0.5,11,6,200,130.3,22.2,6,19,86,,6.1,4,0.333,19,0.474,9,41.3,19,0.638,7.0,5,38,0.632,24,0.333,3,"December 5, 2018",74.2,23,5.3,2,130.3,77.8,21,0.73,50,0.62,31,0.5,25,0.88,22,4,200,143.9,31.6,6,17,95,,3.0,2,0.32,16,0.688,11,58.7,27,0.768,14.1,10,34,0.588,20,0.556,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",LOYOLA-MD,Loyola (MD),66.2,Home,DREXEL,Drexel,Loyola (MD),patriot
2018-12-08-14-binghamton,62.5,20,3.3,1,100.0,79.4,27,0.638,58,0.552,32,0.224,13,0.692,9,6,200,127.7,32.0,8,25,83,,9.2,6,0.293,17,0.588,10,59.3,35,0.647,12.4,9,41,0.537,22,0.4,4,"December 8, 2018",35.0,7,22.0,9,127.7,68.0,17,0.45,50,0.4,20,0.54,27,0.741,20,7,200,100.0,20.6,7,15,65,,6.2,4,0.4,20,0.25,5,40.7,24,0.517,12.7,9,30,0.5,15,0.3,3,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,65.0,Away,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
