,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-samford,50.0,12,2.1,1,115.2,73.9,17,0.431,72,0.333,24,0.236,17,0.706,12,1,200,93.7,21.3,10,16,74,,13.9,11,0.5,36,0.389,14,38.6,27,0.462,10.2,9,36,0.278,10,0.0,0,"November 6, 2018",42.1,16,13.9,5,93.7,78.7,37,0.664,61,0.623,38,0.262,16,0.625,10,0,200,115.2,26.1,6,14,91,,7.6,6,0.213,13,0.385,5,61.4,43,0.663,20.0,17,48,0.688,33,1.0,1,"Pete Hanna Center, Birmingham, Alabama",NORTH-ALABAMA,North Alabama,79.3,Home,SAMFORD,Samford,Samford,southern
2018-11-09-19-samford,40.9,9,15.2,5,112.2,83.3,20,0.421,57,0.386,22,0.614,35,0.686,24,1,200,87.8,27.8,10,28,72,,9.8,8,0.228,13,0.308,4,50.0,30,0.489,19.9,18,44,0.409,18,0.0,0,"November 9, 2018",57.1,16,11.4,5,87.8,72.2,26,0.647,51,0.549,28,0.686,35,0.743,26,0,200,112.2,16.7,4,28,92,,15.9,13,0.353,18,0.556,10,50.0,30,0.68,22.2,19,33,0.545,18,1.0,2,"Pete Hanna Center, Birmingham, Alabama",JACKSONVILLE-STATE,Jacksonville State,82.1,Home,SAMFORD,Samford,Samford,southern
2018-11-12-19-samford,52.2,12,5.7,2,117.5,75.9,22,0.443,61,0.377,23,0.164,10,0.6,6,2,200,95.2,31.4,11,16,60,,4.8,3,0.279,17,0.471,8,51.6,33,0.456,12.1,9,44,0.341,15,0.333,1,"November 12, 2018",57.1,16,13.6,6,95.2,68.6,24,0.569,58,0.483,28,0.19,11,0.727,8,0,200,117.5,24.1,7,14,74,,4.8,3,0.397,23,0.435,10,48.4,31,0.585,10.0,7,35,0.514,18,1.0,3,"Pete Hanna Center, Birmingham, Alabama",KENNESAW-STATE,Kennesaw State,63.5,Home,SAMFORD,Samford,Samford,southern
2018-11-14-19-samford,64.7,11,12.1,4,106.5,55.6,20,0.469,48,0.354,17,0.333,16,0.75,12,0,200,91.9,31.0,9,23,57,,6.5,4,0.521,25,0.44,11,44.6,29,0.513,21.4,15,23,0.261,6,0.0,0,"November 14, 2018",40.0,8,8.7,2,91.9,69.0,20,0.418,55,0.364,20,0.436,24,0.833,20,0,200,106.5,44.4,16,18,66,,1.6,1,0.4,22,0.273,6,55.4,36,0.497,14.4,11,33,0.424,14,1.0,4,"Pete Hanna Center, Birmingham, Alabama","Miles
			","Miles
			",61.5,Home,SAMFORD,Samford,Samford,southern
2018-11-18-17-cleveland-state,75.0,18,6.9,2,83.3,71.4,30,0.56,50,0.48,24,0.46,23,0.739,17,0,200,101.4,16.0,4,22,73,,8.3,6,0.4,20,0.4,8,50.7,34,0.599,20.0,15,30,0.533,16,1.0,5,"November 18, 2018",44.4,8,0.0,0,101.4,84.0,21,0.368,57,0.316,18,0.456,26,0.692,18,3,200,83.3,28.6,12,21,60,,6.9,5,0.491,28,0.214,6,49.3,33,0.433,18.0,15,29,0.414,12,0.4,2,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,72.1,Away,SAMFORD,Samford,Samford,southern
2018-11-20-19-ohio-state,33.3,7,3.1,1,98.6,78.1,25,0.404,57,0.368,21,0.088,5,0.8,4,1,200,72.5,17.1,6,24,50,,2.9,2,0.263,15,0.267,4,46.3,31,0.421,20.2,15,42,0.405,17,0.833,5,"November 20, 2018",60.9,14,4.8,2,72.5,82.9,29,0.471,52,0.442,23,0.538,28,0.679,19,0,200,98.6,21.9,7,13,68,23,5.8,4,0.385,20,0.15,3,53.7,36,0.521,15.7,12,32,0.625,20,1.0,5,"Value City Arena, Columbus, Ohio",SAMFORD,Samford,69.3,Home,OHIO-STATE,Ohio State,Samford,southern
2018-11-23-19-ipfw,44.4,12,11.1,3,94.3,63.2,24,0.596,52,0.519,27,0.308,16,0.75,12,1,200,105.7,33.3,7,13,74,,17.1,12,0.308,16,0.5,8,52.5,31,0.621,24.3,19,36,0.528,19,0.857,6,"November 23, 2018",65.2,15,13.9,5,105.7,66.7,14,0.46,62,0.371,23,0.177,11,0.818,9,4,200,94.3,36.8,14,15,66,,15.7,11,0.565,35,0.314,11,47.5,28,0.491,18.3,15,27,0.444,12,0.429,3,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,69.9,Away,SAMFORD,Samford,Samford,southern
2018-11-25-19-samford,50.0,11,8.6,3,113.2,63.6,14,0.421,57,0.386,22,0.316,18,0.667,12,6,200,88.2,40.0,14,19,60,,7.4,5,0.263,15,0.267,4,49.1,28,0.458,20.8,17,42,0.429,18,0.143,1,"November 25, 2018",50.0,14,2.4,1,88.2,60.0,21,0.615,52,0.538,28,0.327,17,0.765,13,1,200,113.2,36.4,8,17,77,,13.2,9,0.327,17,0.471,8,50.9,29,0.641,20.1,15,35,0.571,20,0.875,7,"Pete Hanna Center, Birmingham, Alabama",SOUTH-CAROLINA-STATE,South Carolina State,67.8,Home,SAMFORD,Samford,Samford,southern
2018-11-29-19-samford,58.3,21,5.2,3,104.5,68.9,31,0.525,80,0.45,36,0.325,26,0.577,15,0,225,111.2,32.6,14,20,99,,11.2,10,0.413,33,0.364,12,51.1,45,0.536,9.9,10,47,0.511,24,1.0,6,"November 29, 2018",44.4,16,10.6,5,111.2,67.4,29,0.481,81,0.444,36,0.284,23,0.652,15,2,225,104.5,31.1,14,17,93,,5.6,5,0.284,23,0.261,6,48.9,43,0.506,11.6,12,58,0.517,30,0.778,7,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,79.2,Away,BELMONT,Belmont,Samford,southern
2018-12-09-17-alabama-am,42.3,11,4.3,2,77.6,73.5,25,0.569,51,0.51,26,0.529,27,0.704,19,2,200,101.3,37.5,9,17,77,,10.5,8,0.314,16,0.375,6,58.6,34,0.603,24.1,20,35,0.571,20,0.8,8,"December 9, 2018",52.2,12,0.0,0,101.3,62.5,15,0.383,64,0.359,23,0.266,17,0.588,10,9,200,77.6,26.5,9,21,59,,13.2,10,0.281,18,0.167,3,41.4,24,0.409,16.4,14,46,0.435,20,0.0,0,"Elmore Health Science Building , Normal, Alabama",ALABAMA-AM,Alabama A&M,76.0,Away,SAMFORD,Samford,Samford,southern
