,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-19-georgia-tech,56.5,13,0.0,0,106.0,75.0,21,0.425,60,0.383,23,0.55,33,0.545,18,1,200,83.1,29.4,10,20,69,,13.3,11,0.267,16,0.313,5,50.0,31,0.456,20.3,19,44,0.409,18,0.5,1,"November 9, 2018",81.3,26,18.2,8,83.1,70.6,24,0.603,63,0.508,32,0.333,21,0.571,12,0,200,106.0,25.0,7,24,88,,12.0,10,0.476,30,0.4,12,50.0,31,0.603,17.2,15,33,0.606,20,1.0,1,"McCamish Pavilion, Atlanta, Georgia",LAMAR,Lamar,82.8,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2018-11-13-21-tennessee,31.3,5,5.6,2,93.0,68.6,24,0.302,58,0.276,16,0.362,21,0.857,18,1,200,74.6,17.9,7,30,53,,8.5,6,0.328,19,0.158,3,41.9,31,0.39,16.2,13,39,0.333,13,0.5,1,"November 13, 2018",63.2,12,10.3,4,74.6,82.1,32,0.438,48,0.396,19,0.792,38,0.632,24,0,200,93.0,31.4,11,19,66,5,8.5,6,0.25,12,0.333,4,58.1,43,0.5,15.6,12,36,0.417,15,1.0,3,"Thompson-Boling Arena, Knoxville, Tennessee",GEORGIA-TECH,Georgia Tech,70.5,Home,TENNESSEE,Tennessee,Georgia Tech,acc
2018-11-16-19-georgia-tech,33.3,7,11.1,4,102.6,79.3,23,0.373,59,0.356,21,0.322,19,0.526,10,2,200,70.1,30.0,12,22,54,,10.4,8,0.288,17,0.118,2,50.7,35,0.397,23.8,21,42,0.452,19,0.5,2,"November 16, 2018",46.2,12,11.9,5,70.1,70.0,28,0.575,53,0.491,26,0.472,25,0.72,18,1,200,102.6,20.7,6,17,79,,16.9,13,0.321,17,0.529,9,49.3,34,0.609,22.0,18,36,0.472,17,0.667,2,"McCamish Pavilion, Atlanta, Georgia",EAST-CAROLINA,East Carolina,77.0,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2018-11-21-19-georgia-tech,83.3,10,3.3,1,100.0,77.1,27,0.264,53,0.226,12,0.623,33,0.485,16,3,200,61.1,26.2,11,26,44,,6.9,5,0.415,22,0.182,4,49.4,38,0.32,19.2,16,31,0.258,8,0.5,3,"November 21, 2018",72.7,16,19.4,6,61.1,73.8,31,0.49,51,0.431,22,0.686,35,0.629,22,1,200,100.0,22.9,8,21,72,,16.7,12,0.412,21,0.286,6,50.6,39,0.532,14.2,11,30,0.533,16,0.75,3,"McCamish Pavilion, Atlanta, Georgia",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,72.2,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2018-11-23-16-georgia-tech,44.4,8,0.0,0,98.5,80.0,20,0.427,48,0.375,18,0.333,16,0.813,13,6,200,81.8,13.8,4,19,54,,7.6,5,0.375,18,0.278,5,44.4,24,0.486,20.3,14,30,0.433,13,0.143,1,"November 23, 2018",58.3,14,13.3,4,81.8,86.2,25,0.51,51,0.471,24,0.392,20,0.65,13,1,200,98.5,20.0,5,17,65,,6.1,4,0.333,17,0.235,4,55.6,30,0.537,15.5,11,34,0.588,20,0.8,4,"McCamish Pavilion, Atlanta, Georgia",PRAIRIE-VIEW,Prairie View,66.1,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2018-11-28-21-northwestern,40.0,8,17.6,6,97.1,67.7,21,0.415,53,0.377,20,0.453,24,0.708,17,2,200,88.4,30.0,9,21,61,,13.0,9,0.226,12,0.333,4,49.2,30,0.474,17.0,13,41,0.39,16,0.667,4,"November 28, 2018",69.6,16,9.8,4,88.4,70.0,21,0.491,54,0.426,23,0.389,21,0.667,14,1,200,97.1,32.3,10,21,67,,13.0,9,0.37,20,0.35,7,50.8,31,0.524,19.2,15,34,0.471,16,0.857,6,"Welsh-Ryan Arena, Evanston, Illinois",GEORGIA-TECH,Georgia Tech,68.7,Home,NORTHWESTERN,Northwestern,Georgia Tech,acc
2018-12-01-12-georgia-tech,36.4,8,0.0,0,102.8,73.1,19,0.422,58,0.379,22,0.603,35,0.771,27,0,200,107.0,25.7,9,22,76,,8.5,6,0.328,19,0.263,5,45.9,28,0.509,6.4,5,39,0.436,17,1.0,7,"December 1, 2018",50.0,12,12.8,5,107.0,74.3,26,0.491,53,0.453,24,0.453,24,0.875,21,3,200,102.8,26.9,7,25,73,,5.6,4,0.396,21,0.19,4,54.1,33,0.567,18.1,14,32,0.625,20,0.571,4,"American Airlines Arena, Miami, Florida",GEORGIA-TECH,Georgia Tech,71.0,Away,ST-JOHNS-NY,St. John's (NY),Georgia Tech,acc
2018-12-09-14-georgia-tech,37.5,6,3.2,1,109.0,72.7,16,0.37,46,0.348,16,0.239,11,0.545,6,8,200,59.7,25.0,7,21,40,,16.4,11,0.239,11,0.182,2,46.0,23,0.39,30.2,22,35,0.4,14,0.273,3,"December 9, 2018",52.0,13,20.0,7,59.7,75.0,21,0.609,46,0.543,25,0.478,22,0.773,17,3,200,109.0,27.3,6,14,73,,17.9,12,0.326,15,0.4,6,54.0,27,0.647,24.4,18,31,0.613,19,0.625,5,"McCamish Pavilion, Atlanta, Georgia",FLORIDA-AM,Florida A&M,67.3,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2018-12-17-19-georgia-tech,61.3,19,2.5,1,100.0,71.9,23,0.576,59,0.525,31,0.254,15,0.733,11,5,200,114.5,20.7,6,10,79,,10.1,7,0.254,15,0.4,6,47.5,29,0.597,10.9,8,44,0.568,25,0.615,8,"December 17, 2018",46.4,13,9.1,4,114.5,79.3,23,0.492,63,0.444,28,0.159,10,0.7,7,4,200,100.0,28.1,9,15,69,,7.2,5,0.365,23,0.261,6,52.5,32,0.509,14.0,11,40,0.55,22,0.556,5,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,68.9,Away,GARDNER-WEBB,Gardner-Webb,Georgia Tech,acc
2018-12-19-21-arkansas,56.0,14,19.4,6,91.5,67.6,25,0.5,55,0.455,25,0.364,20,0.7,14,4,200,97.2,40.0,12,16,69,,11.3,8,0.309,17,0.294,5,55.2,37,0.535,22.0,18,38,0.526,20,0.6,6,"December 19, 2018",66.7,16,15.8,6,97.2,60.0,18,0.46,63,0.381,24,0.143,9,0.778,7,3,200,91.5,32.4,12,17,65,,9.9,7,0.508,32,0.313,10,44.8,30,0.483,19.3,16,31,0.452,14,0.7,7,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,70.9,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
