,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-army,29.6,8,0.0,0,110.6,81.3,26,0.548,52,0.519,27,0.462,24,0.5,12,1,200,104.5,26.7,8,23,69,,6.1,4,0.288,15,0.2,3,54.8,34,0.544,16.1,12,37,0.649,24,0.0,0,"November 6, 2018",63.6,14,2.7,1,104.5,73.3,22,0.52,51,0.431,22,0.569,29,0.69,20,0,200,110.6,18.8,6,22,73,,7.6,5,0.588,30,0.3,9,45.2,28,0.563,8.6,6,21,0.619,13,1.0,1,"Christl Arena, West Point, New York",MARIST,Marist,66.1,Home,ARMY,Army,Army,patriot
2018-11-11-13-duke,78.6,22,2.8,1,117.5,69.2,27,0.436,78,0.359,28,0.09,7,0.571,4,1,200,90.0,18.6,8,17,72,,5.0,4,0.397,31,0.387,12,42.7,35,0.443,11.0,10,47,0.34,16,0.5,1,"November 11, 2018",68.6,24,19.1,9,90.0,81.4,35,0.59,72,0.486,35,0.181,13,0.692,9,0,200,117.5,30.8,12,11,94,4,10.0,8,0.5,36,0.417,15,57.3,47,0.601,12.4,11,36,0.556,20,1.0,2,"Cameron Indoor Stadium, Durham, North Carolina",ARMY,Army,80.3,Home,DUKE,Duke,Army,patriot
2018-11-16-17-army,41.4,12,14.6,6,100.0,71.8,28,0.595,58,0.5,29,0.276,16,0.625,10,1,200,101.3,9.7,3,13,79,,7.7,6,0.414,24,0.458,11,44.3,31,0.602,17.7,14,34,0.529,18,0.667,2,"November 16, 2018",58.1,18,0.0,0,101.3,90.3,28,0.5,74,0.419,31,0.068,5,0.8,4,2,200,100.0,28.2,11,19,78,,6.4,5,0.446,33,0.364,12,55.7,39,0.511,15.5,14,41,0.463,19,0.333,1,"Pizzitola Sports Center, Providence, Rhode Island",ARMY,Army,78.0,Away,SACRED-HEART,Sacred Heart,Army,patriot
2018-11-17-15-massachusetts-lowell,54.3,19,0.0,0,119.5,74.1,20,0.603,63,0.556,35,0.175,11,0.818,9,3,200,110.4,18.5,5,23,85,,10.4,8,0.413,26,0.231,6,46.3,25,0.623,18.1,15,37,0.784,29,0.25,1,"November 17, 2018",62.9,22,2.7,1,110.4,81.5,22,0.675,57,0.614,35,0.439,25,0.6,15,3,200,119.5,25.9,7,17,92,,6.5,5,0.351,20,0.35,7,53.7,29,0.668,17.1,14,37,0.757,28,0.4,2,"Pizzitola Sports Center, Providence, Rhode Island",ARMY,Army,77.1,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Army,patriot
2018-11-18-16-brown,61.5,16,0.0,0,111.7,63.3,19,0.418,73,0.356,26,0.123,9,0.556,5,4,200,85.7,22.2,10,28,66,,9.1,7,0.507,37,0.243,9,38.7,29,0.427,12.5,11,36,0.472,17,0.2,1,"November 18, 2018",59.3,16,16.7,6,85.7,77.8,35,0.583,54,0.5,27,0.593,32,0.719,23,2,200,111.7,36.7,11,17,86,,10.4,8,0.407,22,0.409,9,61.3,46,0.621,20.9,18,32,0.563,18,0.6,3,"Pizzitola Sports Center, Providence, Rhode Island",ARMY,Army,77.2,Home,BROWN,Brown,Army,patriot
2018-11-21-19-army,76.9,10,6.9,2,119.7,60.0,24,0.318,55,0.236,13,0.182,10,0.5,5,0,200,52.6,10.0,4,15,40,,6.6,5,0.564,31,0.29,9,35.0,28,0.335,26.1,21,24,0.167,4,0.0,0,"November 21, 2018",67.6,23,8.3,2,52.6,90.0,36,0.541,74,0.459,34,0.189,14,0.786,11,4,200,119.7,40.0,16,16,91,,15.8,12,0.608,45,0.267,12,65.0,52,0.564,12.1,11,29,0.759,22,0.333,2,"Christl Arena, West Point, New York","SUNY-Maritime
			","SUNY-Maritime
			",76.2,Home,ARMY,Army,Army,patriot
2018-11-24-14-miami-oh,63.6,14,2.8,1,116.4,66.7,24,0.406,64,0.344,22,0.109,7,0.429,3,5,200,75.3,15.4,6,17,55,,9.6,7,0.469,30,0.267,8,40.0,30,0.408,17.3,14,34,0.412,14,0.286,2,"November 24, 2018",56.3,18,8.8,3,75.3,84.6,33,0.561,66,0.485,32,0.242,16,0.688,11,3,200,116.4,33.3,12,9,85,,15.1,11,0.455,30,0.333,10,60.0,45,0.577,12.0,10,36,0.611,22,0.5,3,"Millett Hall, Oxford, Ohio",ARMY,Army,73.5,Home,MIAMI-OH,Miami (OH),Army,patriot
2018-11-28-19-army,43.5,10,16.1,5,101.5,72.0,18,0.444,62,0.371,23,0.097,6,0.167,1,5,200,84.8,25.0,9,12,56,,9.1,6,0.516,32,0.281,9,44.3,27,0.432,12.2,9,30,0.467,14,0.286,2,"November 28, 2018",70.4,19,10.0,3,84.8,75.0,27,0.563,56,0.482,27,0.125,7,0.571,4,5,200,101.5,28.0,7,15,67,,4.5,3,0.446,25,0.36,9,55.7,34,0.565,19.2,14,31,0.581,18,0.375,3,"Christl Arena, West Point, New York",BINGHAMTON,Binghamton,65.6,Home,ARMY,Army,Army,patriot
2018-12-01-13-army,50.0,10,5.7,2,85.1,74.4,29,0.421,57,0.351,20,0.263,15,0.8,12,6,200,81.1,25.0,8,20,60,,9.5,7,0.474,27,0.296,8,52.1,37,0.468,23.9,20,30,0.4,12,0.25,2,"December 1, 2018",60.0,12,6.7,2,81.1,75.0,24,0.411,56,0.357,20,0.482,27,0.63,17,5,200,85.1,25.6,10,17,63,,13.5,10,0.375,21,0.286,6,47.9,34,0.458,17.1,14,35,0.4,14,0.444,4,"Christl Arena, West Point, New York",FAIRFIELD,Fairfield,74.5,Home,ARMY,Army,Army,patriot
2018-12-04-19-njit,66.7,18,13.8,4,102.7,91.2,31,0.469,65,0.415,27,0.246,16,0.688,11,6,200,96.0,13.5,5,24,72,,4.0,3,0.385,25,0.28,7,50.7,36,0.496,11.1,9,40,0.5,20,0.4,4,"December 4, 2018",50.0,13,5.0,2,96.0,86.5,32,0.565,54,0.481,26,0.5,27,0.593,16,2,200,102.7,8.8,3,18,77,,6.7,5,0.463,25,0.36,9,49.3,35,0.576,13.2,10,29,0.586,17,0.8,8,"NJIT Wellness and Events Center, Newark, New Jersey",ARMY,Army,75.2,Home,NJIT,NJIT,Army,patriot
