,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-20-villanova,36.8,7,11.1,4,124.6,48.6,18,0.384,56,0.339,19,0.286,16,0.625,10,1,200,76.8,18.8,6,17,53,,7.2,5,0.375,21,0.238,5,34.8,24,0.417,17.1,13,35,0.4,14,0.0,0,"November 10, 2018",62.5,20,22.9,8,76.8,81.3,26,0.559,68,0.471,32,0.235,16,0.625,10,0,200,124.6,51.4,19,18,86,9,7.2,5,0.471,32,0.375,12,65.2,45,0.569,11.8,10,36,0.556,20,1.0,2,"Wells Fargo Center, Philadelphia, Pennsylvania",QUINNIPIAC,Quinnipiac,68.6,Home,VILLANOVA,Villanova,Quinnipiac,maac
2018-11-15-19-quinnipiac,60.9,14,6.9,2,80.6,71.4,25,0.55,50,0.46,23,0.46,23,0.565,13,3,200,101.5,30.0,9,12,68,,6.0,4,0.44,22,0.409,9,52.3,34,0.558,20.0,15,28,0.5,14,0.25,1,"November 15, 2018",35.0,7,3.6,1,101.5,70.0,21,0.414,58,0.345,20,0.172,10,0.6,6,2,200,80.6,28.6,10,21,54,,6.0,4,0.5,29,0.276,8,47.7,31,0.43,19.4,15,29,0.414,12,0.0,0,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,67.3,Away,HARTFORD,Hartford,Quinnipiac,maac
2018-11-20-19-new-hampshire,39.1,9,2.6,1,85.1,82.5,33,0.509,57,0.404,23,0.368,21,0.524,11,2,200,93.2,40.0,14,18,69,,5.4,4,0.526,30,0.4,12,62.7,47,0.515,23.2,20,27,0.407,11,0.333,1,"November 20, 2018",22.7,5,7.4,2,93.2,60.0,21,0.421,63,0.349,22,0.254,16,0.625,10,3,200,85.1,17.5,7,23,63,,10.8,8,0.381,24,0.375,9,37.3,28,0.446,13.6,11,39,0.333,13,0.4,2,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,73.8,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2018-11-25-14-quinnipiac,50.0,11,33.3,6,90.6,79.3,23,0.444,54,0.407,22,0.111,6,0.333,2,6,200,78.1,23.3,7,18,50,,7.8,5,0.352,19,0.211,4,50.8,30,0.44,20.9,15,35,0.514,18,0.0,0,"November 25, 2018",63.2,12,8.6,3,78.1,76.7,23,0.5,49,0.388,19,0.408,20,0.45,9,2,200,90.6,20.7,6,13,58,,10.9,7,0.633,31,0.355,11,49.2,29,0.496,14.7,10,18,0.444,8,0.5,2,"TD Bank Sports Center, Hamden, Connecticut",MAINE,Maine,63.7,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2018-11-28-19-massachusetts,72.2,13,3.2,1,92.0,77.8,21,0.383,60,0.3,18,0.4,24,0.667,16,3,200,82.7,27.3,12,16,62,,9.3,7,0.617,37,0.27,10,46.5,33,0.434,17.5,15,23,0.348,8,0.4,2,"November 28, 2018",52.0,13,13.0,3,82.7,72.7,32,0.527,56,0.446,25,0.25,14,0.714,10,3,200,92.0,22.2,6,21,69,,8.0,6,0.446,25,0.36,9,53.5,38,0.551,23.4,19,31,0.516,16,0.625,5,"Mullins Center, Amherst, Massachusetts",QUINNIPIAC,Quinnipiac,75.0,Home,MASSACHUSETTS,UMass,Quinnipiac,maac
2018-12-01-19-stony-brook,42.1,8,5.6,2,100.0,74.2,23,0.364,55,0.345,19,0.509,28,0.75,21,4,200,85.9,20.5,8,19,61,,8.5,6,0.327,18,0.111,2,44.3,31,0.447,14.0,11,37,0.459,17,0.333,2,"December 1, 2018",50.0,12,13.5,5,85.9,79.5,31,0.528,54,0.444,24,0.37,20,0.7,14,1,200,100.0,25.8,8,22,71,,9.9,7,0.333,18,0.5,9,55.7,39,0.559,19.3,15,36,0.417,15,0.875,7,"Island Federal Credit Union, Stony Brook, New York",QUINNIPIAC,Quinnipiac,70.9,Home,STONY-BROOK,Stony Brook,Quinnipiac,maac
2018-12-05-19-dartmouth,45.5,10,6.4,3,81.9,80.0,32,0.425,60,0.367,22,0.317,19,0.684,13,4,200,88.9,25.7,9,14,64,,6.9,5,0.467,28,0.25,7,54.7,41,0.464,13.9,11,32,0.469,15,0.429,3,"December 5, 2018",41.7,10,15.6,5,88.9,74.3,26,0.408,65,0.369,24,0.185,12,0.5,6,5,200,81.9,20.0,8,16,59,,5.6,4,0.277,18,0.278,5,45.3,34,0.417,12.5,10,47,0.404,19,0.444,4,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,71.9,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2018-12-08-14-quinnipiac,40.0,12,4.8,1,125.7,65.4,17,0.548,63,0.476,30,0.27,17,0.471,8,7,200,110.0,39.3,11,21,77,,4.3,3,0.286,18,0.5,9,51.9,28,0.542,17.5,15,45,0.467,21,0.222,2,"December 8, 2018",48.1,13,2.2,1,110.0,60.7,17,0.67,50,0.54,27,0.6,30,0.7,21,4,200,125.7,34.6,9,18,88,,12.9,9,0.58,29,0.448,13,48.1,26,0.685,12.5,9,21,0.667,14,0.5,4,"TD Bank Sports Center, Hamden, Connecticut",LAFAYETTE,Lafayette,69.7,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2018-12-16-18-quinnipiac,31.6,12,0.0,0,116.9,65.5,19,0.643,63,0.603,38,0.222,14,0.786,11,5,200,129.6,21.7,5,20,92,,12.7,9,0.175,11,0.455,5,46.2,24,0.66,12.6,10,52,0.635,33,0.545,6,"December 16, 2018",51.7,15,3.8,2,129.6,78.3,18,0.603,58,0.5,29,0.293,17,0.765,13,5,200,116.9,34.5,10,18,83,,7.0,5,0.5,29,0.414,12,53.8,28,0.628,15.5,12,29,0.586,17,0.444,4,"Mohegan Sun Arena, Uncasville, Connecticut",QUINNIPIAC,Quinnipiac,71.4,Away,DREXEL,Drexel,Quinnipiac,maac
2018-12-19-20-quinnipiac,53.6,15,5.9,2,126.1,63.2,24,0.508,62,0.452,28,0.097,6,0.0,0,9,200,91.3,27.3,9,16,63,,5.8,4,0.339,21,0.333,7,46.5,33,0.486,17.8,14,41,0.512,21,0.308,4,"December 19, 2018",66.7,20,2.4,1,91.3,72.7,24,0.555,64,0.469,30,0.344,22,0.727,16,5,200,126.1,36.8,14,10,87,,11.6,8,0.469,30,0.367,11,53.5,38,0.584,9.8,8,34,0.559,19,0.5,5,"TD Bank Sports Center, Hamden, Connecticut",BETHUNE-COOKMAN,Bethune-Cookman,69.2,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
