,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-08-19-liberty,37.5,6,4.3,1,132.8,54.5,18,0.33,56,0.286,16,0.107,6,0.5,3,0,200,59.7,16.7,6,20,40,,3.0,2,0.375,21,0.238,5,34.8,24,0.34,18.1,13,35,0.314,11,0.0,0,"November 8, 2018",64.3,18,22.9,8,59.7,83.3,30,0.596,57,0.491,28,0.491,28,0.75,21,0,200,132.8,45.5,15,12,89,,9.0,6,0.596,34,0.353,12,65.2,45,0.633,14.8,12,23,0.696,16,1.0,1,"Vines Center, Lynchburg, Virginia","Maine-Fort Kent
			","Maine-Fort Kent
			",66.6,Home,LIBERTY,Liberty,Liberty,atlantic-sun
2018-11-13-20-liberty,57.1,8,0.0,0,124.0,89.7,26,0.324,51,0.275,14,0.176,9,0.778,7,0,200,53.3,2.7,1,13,40,,4.0,3,0.51,26,0.192,5,40.9,27,0.362,26.7,20,25,0.36,9,0.0,0,"November 13, 2018",65.7,23,12.0,3,53.3,97.3,36,0.667,63,0.556,35,0.238,15,0.6,9,0,200,124.0,10.3,3,9,93,,18.7,14,0.603,38,0.368,14,59.1,39,0.663,10.3,8,25,0.84,21,1.0,2,"Vines Center, Lynchburg, Virginia","Trevecca Nazarene
			","Trevecca Nazarene
			",74.7,Home,LIBERTY,Liberty,Liberty,atlantic-sun
2018-11-16-19-kent-state,65.5,19,8.8,3,102.9,71.0,22,0.598,56,0.518,29,0.232,13,0.769,10,0,200,113.2,25.0,6,24,77,,10.3,7,0.339,19,0.474,9,50.9,28,0.619,17.4,13,37,0.541,20,1.0,3,"November 16, 2018",40.0,8,10.8,4,113.2,75.0,18,0.449,49,0.408,20,0.755,37,0.703,26,1,200,102.9,29.0,9,19,70,,10.3,7,0.306,15,0.267,4,49.1,27,0.526,13.3,10,34,0.471,16,0.667,2,"Memorial Athletic & Convocation Center, Kent, Ohio",KENT-STATE,Kent State,68.4,Away,LIBERTY,Liberty,Liberty,atlantic-sun
2018-11-19-20-vanderbilt,33.3,9,8.8,3,106.8,75.9,22,0.492,62,0.435,27,0.258,16,0.563,9,1,200,94.6,15.6,5,21,70,,10.8,8,0.419,26,0.269,7,44.3,27,0.503,13.7,11,36,0.556,20,0.75,3,"November 19, 2018",34.6,9,11.1,4,94.6,84.4,27,0.587,52,0.5,26,0.538,28,0.643,18,0,200,106.8,24.1,7,16,79,,8.1,6,0.346,18,0.5,9,55.7,34,0.605,18.9,15,34,0.5,17,1.0,4,"Memorial Gymnasium, Nashville, Tennessee",LIBERTY,Liberty,74.5,Home,VANDERBILT,Vanderbilt,Liberty,atlantic-sun
2018-11-23-14-liberty,30.0,6,8.8,3,126.7,63.2,12,0.49,49,0.408,20,0.204,10,0.6,6,4,200,90.0,30.8,8,14,54,,5.0,3,0.306,15,0.533,8,44.4,20,0.502,20.8,14,34,0.353,12,0.2,1,"November 23, 2018",51.7,15,5.9,2,90.0,69.2,18,0.623,53,0.547,29,0.208,11,0.909,10,1,200,126.7,36.8,7,12,76,,10.0,6,0.358,19,0.421,8,55.6,25,0.653,14.7,10,34,0.618,21,0.8,4,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,60.5,Home,LIBERTY,Liberty,Liberty,atlantic-sun
2018-11-25-14-liberty,40.9,9,5.1,2,102.5,76.9,30,0.4,65,0.338,22,0.123,8,0.5,4,5,200,70.0,22.5,9,16,56,,7.5,6,0.569,37,0.216,8,49.4,39,0.407,23.5,21,28,0.5,14,0.375,3,"November 25, 2018",56.3,18,3.6,1,70.0,77.5,31,0.514,70,0.457,32,0.2,14,0.714,10,1,200,102.5,23.1,9,10,82,,13.8,11,0.443,31,0.258,8,50.6,40,0.535,12.6,11,39,0.615,24,0.833,5,"Vines Center, Lynchburg, Virginia",SAVANNAH-STATE,Savannah State,79.7,Home,LIBERTY,Liberty,Liberty,atlantic-sun
2018-11-28-19-navy,57.7,15,0.0,0,93.5,71.9,23,0.575,53,0.491,26,0.34,18,0.833,15,1,200,122.6,18.5,5,16,76,,12.9,8,0.453,24,0.375,9,47.5,28,0.617,9.0,6,29,0.586,17,0.857,6,"November 28, 2018",65.2,15,6.9,2,122.6,81.5,22,0.455,55,0.418,23,0.236,13,0.615,8,4,200,93.5,28.1,9,17,58,,3.2,2,0.436,24,0.167,4,52.5,31,0.474,14.1,10,31,0.613,19,0.333,2,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,62.4,Away,LIBERTY,Liberty,Liberty,atlantic-sun
2018-12-01-18-liberty,35.0,7,11.1,3,121.9,59.1,13,0.42,50,0.4,20,0.38,19,0.526,10,3,200,81.3,18.2,6,15,52,,14.1,9,0.32,16,0.125,2,34.5,19,0.44,14.6,10,34,0.529,18,0.625,5,"December 1, 2018",63.0,17,2.9,1,81.3,81.8,27,0.644,52,0.519,27,0.269,14,0.786,11,1,200,121.9,40.9,9,16,78,,9.4,6,0.481,25,0.52,13,65.5,36,0.665,20.5,15,27,0.519,14,0.875,7,"Vines Center, Lynchburg, Virginia",GEORGIA-STATE,Georgia State,63.8,Home,LIBERTY,Liberty,Liberty,atlantic-sun
2018-12-03-18-georgetown,53.3,16,10.8,4,114.3,62.1,18,0.514,71,0.423,30,0.07,5,1.0,5,2,200,101.3,14.3,5,19,78,,16.9,13,0.507,36,0.361,13,35.9,23,0.532,12.0,10,35,0.486,17,0.778,7,"December 3, 2018",58.6,17,8.6,3,101.3,85.7,30,0.627,55,0.527,29,0.527,29,0.655,19,1,200,114.3,37.9,11,10,88,,6.5,5,0.327,18,0.611,11,64.1,41,0.64,21.0,18,37,0.486,18,0.875,7,"Capital One Arena, Washington, District of Columbia",LIBERTY,Liberty,77.1,Home,GEORGETOWN,Georgetown,Liberty,atlantic-sun
2018-12-11-18-liberty,65.0,13,19.2,5,117.9,90.0,18,0.431,51,0.392,20,0.275,14,0.786,11,10,200,82.1,17.9,5,17,55,,6.0,4,0.294,15,0.267,4,47.9,23,0.477,20.8,15,36,0.444,16,0.167,2,"December 11, 2018",89.3,25,11.1,4,82.1,82.1,23,0.69,50,0.56,28,0.32,16,0.625,10,2,200,117.9,10.0,2,16,79,,13.4,9,0.48,24,0.542,13,52.1,25,0.686,16.2,11,26,0.577,15,0.8,8,"Vines Center, Lynchburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,67.1,Home,LIBERTY,Liberty,Liberty,atlantic-sun
