,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-loyola-marymount,66.7,10,14.6,7,111.9,52.8,19,0.372,47,0.319,15,0.234,11,0.727,8,0,200,64.2,15.2,5,20,43,,11.9,8,0.511,24,0.208,5,34.8,24,0.412,24.7,17,23,0.435,10,0.0,0,"November 6, 2018",51.9,14,26.1,6,64.2,84.8,28,0.476,62,0.435,27,0.371,23,0.696,16,0,200,111.9,47.2,17,15,75,,14.9,10,0.226,14,0.357,5,65.2,45,0.514,16.3,14,48,0.458,22,1.0,1,"Albert Gersten Pavilion, Los Angeles, California","Westcliff
			","Westcliff
			",67.1,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-10-22-nevada-las-vegas,30.4,7,8.6,3,70.4,76.0,19,0.425,60,0.383,23,0.2,12,0.833,10,0,200,85.9,24.2,8,15,61,,14.1,10,0.25,15,0.333,5,46.6,27,0.464,15.5,12,45,0.4,18,1.0,2,"November 10, 2018",52.4,11,22.2,10,85.9,75.8,25,0.431,51,0.412,21,0.137,7,0.857,6,1,200,70.4,24.0,6,18,50,,8.5,6,0.314,16,0.125,2,53.4,31,0.46,30.7,24,35,0.543,19,0.0,0,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,71.0,Away,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-13-21-loyola-marymount,77.3,17,10.8,4,105.3,56.5,13,0.445,55,0.4,22,0.509,28,0.536,15,2,200,85.3,25.0,9,22,64,,12.0,9,0.236,13,0.385,5,37.3,22,0.469,18.2,15,42,0.405,17,0.0,0,"November 13, 2018",63.0,17,7.1,3,85.3,75.0,27,0.555,55,0.491,27,0.418,23,0.783,18,0,200,105.3,43.5,10,25,79,,14.7,11,0.327,18,0.389,7,62.7,37,0.599,23.5,20,37,0.541,20,1.0,3,"Albert Gersten Pavilion, Los Angeles, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,75.1,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-16-19-georgetown,31.6,6,13.3,4,77.6,81.8,27,0.391,55,0.345,19,0.455,25,0.88,22,0,200,97.0,36.4,12,19,65,,13.4,9,0.364,20,0.25,5,59.1,39,0.486,14.3,11,35,0.4,14,1.0,4,"November 16, 2018",58.8,10,17.1,6,97.0,63.6,21,0.378,49,0.347,17,0.408,20,0.75,15,1,200,77.6,18.2,6,19,52,,4.5,3,0.388,19,0.158,3,40.9,27,0.444,20.6,15,30,0.467,14,0.75,3,"Montego Bay Convention Centre, Montego Bay",GEORGETOWN,Georgetown,66.7,Away,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-18-18-loyola-marymount,63.2,12,17.4,4,91.5,77.3,17,0.375,56,0.339,19,0.321,18,0.778,14,2,200,78.9,24.2,8,20,56,,16.9,12,0.429,24,0.167,4,45.5,25,0.434,21.0,17,32,0.469,15,0.5,2,"November 18, 2018",61.9,13,6.3,2,78.9,75.8,25,0.557,44,0.477,21,0.409,18,0.889,16,0,200,91.5,22.7,5,20,65,,5.6,4,0.477,21,0.333,7,54.5,30,0.618,27.8,20,23,0.609,14,1.0,5,"Montego Bay Convention Centre, Montego Bay",OHIO,Ohio,70.6,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-21-22-loyola-marymount,52.0,13,6.1,2,120.6,69.6,16,0.588,51,0.49,25,0.314,16,0.875,14,3,200,117.5,26.9,7,25,74,,7.9,5,0.392,20,0.5,10,46.9,23,0.631,18.3,13,31,0.484,15,0.5,3,"November 21, 2018",53.8,14,3.2,1,117.5,73.1,19,0.58,50,0.52,26,0.46,23,0.783,18,0,200,120.6,30.4,7,17,76,,4.8,3,0.34,17,0.353,6,53.1,26,0.624,11.7,8,33,0.606,20,1.0,6,"Albert Gersten Pavilion, Los Angeles, California",CENTRAL-CONNECTICUT-STATE,Central Connecticut,63.3,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-24-22-loyola-marymount,73.9,17,9.7,3,114.5,60.9,14,0.55,50,0.46,23,0.22,11,0.727,8,4,200,101.6,20.0,5,20,63,,9.7,6,0.38,19,0.474,9,39.6,19,0.57,16.7,11,31,0.452,14,0.333,2,"November 24, 2018",69.6,16,12.9,4,101.6,80.0,20,0.554,46,0.5,23,0.522,24,0.833,20,0,200,114.5,39.1,9,15,71,,6.5,4,0.326,15,0.333,5,60.4,29,0.618,21.0,15,31,0.581,18,1.0,7,"Albert Gersten Pavilion, Los Angeles, California",FLORIDA-AM,Florida A&M,62.3,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-11-29-22-loyola-marymount,60.0,9,7.7,4,134.2,52.8,19,0.337,52,0.288,15,0.346,18,0.833,15,0,200,63.3,13.5,5,16,50,,7.6,6,0.481,25,0.2,5,32.9,24,0.413,26.9,22,27,0.37,10,0.0,0,"November 29, 2018",75.0,33,3.7,1,63.3,86.5,32,0.613,80,0.55,44,0.163,13,0.615,8,0,200,134.2,47.2,17,17,106,,12.7,10,0.35,28,0.357,10,67.1,49,0.615,12.3,12,52,0.654,34,1.0,8,"Albert Gersten Pavilion, Los Angeles, California","Bethesda University (CA)
			","Bethesda University (CA)
			",79.4,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
2018-12-02-22-ucla,25.0,5,8.8,3,118.8,62.5,20,0.304,69,0.29,20,0.333,23,0.696,16,1,200,84.1,37.3,19,25,58,,10.1,7,0.232,16,0.125,2,47.0,39,0.363,8.1,7,53,0.34,18,0.889,8,"December 2, 2018",53.8,14,7.5,4,84.1,62.7,32,0.518,55,0.473,26,0.6,33,0.758,25,2,200,118.8,37.5,12,21,82,,4.3,3,0.382,21,0.238,5,53.0,44,0.58,13.7,11,34,0.618,21,0.75,6,"Pauley Pavilion, Los Angeles, California",LOYOLA-MARYMOUNT,Loyola Marymount,68.8,Home,UCLA,UCLA,Loyola Marymount,wcc
2018-12-05-22-cal-state-fullerton,47.6,10,3.7,1,74.2,86.7,26,0.478,46,0.457,21,0.435,20,0.75,15,1,200,89.4,15.4,4,19,59,,9.1,6,0.196,9,0.222,2,53.6,30,0.532,19.2,13,37,0.514,19,0.9,9,"December 5, 2018",56.3,9,0.0,0,89.4,84.6,22,0.37,46,0.348,16,0.413,19,0.789,15,6,200,74.2,13.3,4,21,49,,9.1,6,0.413,19,0.105,2,46.4,26,0.445,22.7,16,27,0.519,14,0.333,3,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,65.8,Away,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc
