,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-baylor,72.0,18,8.3,4,98.6,52.3,23,0.567,52,0.481,25,0.404,21,0.619,13,0,200,102.9,36.7,11,17,72,,7.1,5,0.404,21,0.429,9,45.9,34,0.581,22.7,18,31,0.516,16,1.0,1,"November 6, 2018",40.0,12,16.1,5,102.9,63.3,19,0.493,67,0.448,30,0.164,11,0.273,3,1,200,98.6,47.7,21,23,69,,8.6,6,0.284,19,0.316,6,54.1,40,0.478,20.9,19,48,0.5,24,0.0,0,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,69.6,Away,TEXAS-SOUTHERN,Texas Southern,Baylor,big-12
2018-11-10-18-baylor,41.2,7,5.6,2,115.9,58.8,20,0.422,45,0.378,17,0.467,21,0.714,15,2,200,76.8,14.3,4,22,53,,5.8,4,0.267,12,0.333,4,38.7,24,0.482,26.9,20,33,0.394,13,0.0,0,"November 10, 2018",67.9,19,21.2,7,76.8,85.7,24,0.516,63,0.444,28,0.333,21,0.714,15,1,200,115.9,41.2,14,20,80,,11.6,8,0.429,27,0.333,9,61.3,38,0.548,11.1,9,36,0.528,19,0.5,1,"Ferrell Center, Waco, Texas",SOUTHERN,Southern,69.5,Home,BAYLOR,Baylor,Baylor,big-12
2018-11-12-20-baylor,50.0,14,3.6,1,123.0,77.8,14,0.549,61,0.459,28,0.41,25,0.52,13,1,200,108.1,31.4,11,22,80,,10.8,8,0.361,22,0.5,11,47.2,25,0.549,13.3,11,39,0.436,17,0.5,1,"November 12, 2018",54.8,17,28.2,11,108.1,68.6,24,0.716,51,0.608,31,0.529,27,0.667,18,1,200,123.0,22.2,4,20,91,,5.4,4,0.451,23,0.478,11,52.8,28,0.713,20.3,16,28,0.714,20,0.667,2,"Ferrell Center, Waco, Texas",PRAIRIE-VIEW,Prairie View,74.4,Home,BAYLOR,Baylor,Baylor,big-12
2018-11-16-12-baylor,38.9,7,11.8,4,117.4,63.6,21,0.364,55,0.327,18,0.327,18,0.778,14,3,200,78.3,25.8,8,20,54,,5.8,4,0.473,26,0.154,4,45.3,29,0.425,17.1,13,29,0.483,14,0.4,2,"November 16, 2018",58.6,17,20.7,6,78.3,74.2,23,0.54,63,0.46,29,0.349,22,0.591,13,1,200,117.4,36.4,12,17,81,,7.2,5,0.46,29,0.345,10,54.7,35,0.551,9.9,8,34,0.559,19,0.75,3,"Ferrell Center, Waco, Texas",NICHOLLS-STATE,Nicholls State,69.0,Home,BAYLOR,Baylor,Baylor,big-12
2018-11-23-21-mississippi,44.0,11,8.3,3,101.3,67.9,19,0.481,54,0.463,25,0.407,22,0.818,18,2,200,90.9,20.0,6,27,70,,9.1,7,0.333,18,0.111,2,43.1,25,0.543,22.0,18,36,0.639,23,0.6,3,"November 23, 2018",63.6,14,11.1,4,90.9,80.0,24,0.438,56,0.393,22,0.643,36,0.806,29,1,200,101.3,32.1,9,21,78,,10.4,8,0.357,20,0.25,5,56.9,33,0.534,15.3,13,36,0.472,17,0.75,3,"The Arena, Niceville, Florida",BAYLOR,Baylor,76.8,Home,MISSISSIPPI,Ole Miss,Baylor,big-12
2018-11-24-16-baylor,27.8,5,7.1,2,98.6,66.7,16,0.388,49,0.367,18,0.633,31,0.742,23,5,200,83.6,14.8,4,23,61,,5.5,4,0.286,14,0.143,2,39.2,20,0.479,18.3,14,35,0.457,16,0.286,2,"November 24, 2018",42.9,9,14.3,5,83.6,85.2,23,0.444,54,0.389,21,0.537,29,0.828,24,2,200,98.6,33.3,8,25,72,,8.2,6,0.481,26,0.231,6,60.8,31,0.531,16.3,13,28,0.536,15,0.667,4,"The Arena, Niceville, Florida",GEORGE-MASON,George Mason,73.3,Home,BAYLOR,Baylor,Baylor,big-12
2018-11-27-20-baylor,40.9,9,11.4,4,100.0,72.5,29,0.389,63,0.349,22,0.175,11,0.727,8,3,200,90.5,31.0,13,19,57,,7.9,5,0.365,23,0.217,5,51.2,42,0.418,10.5,8,40,0.425,17,0.5,3,"November 27, 2018",47.8,11,30.0,12,90.5,69.0,29,0.474,57,0.404,23,0.333,19,0.474,9,2,200,100.0,27.5,11,14,63,,4.8,3,0.386,22,0.364,8,48.8,40,0.477,10.9,8,35,0.429,15,0.714,5,"Ferrell Center, Waco, Texas",SOUTH-DAKOTA,South Dakota,63.1,Home,BAYLOR,Baylor,Baylor,big-12
2018-12-01-20-wichita-state,21.7,5,17.6,6,97.3,64.7,22,0.403,62,0.371,23,0.258,16,0.813,13,3,200,86.3,30.0,12,18,63,,5.5,4,0.355,22,0.182,4,45.9,34,0.453,15.8,13,40,0.475,19,0.625,5,"December 1, 2018",50.0,13,7.5,3,86.3,70.0,28,0.47,66,0.394,26,0.258,17,0.529,9,3,200,97.3,35.3,12,17,71,,8.2,6,0.485,32,0.313,10,54.1,40,0.479,16.0,14,34,0.471,16,0.571,4,"Charles Koch Arena, Wichita, Kansas",BAYLOR,Baylor,73.3,Home,WICHITA-STATE,Wichita State,Baylor,big-12
2018-12-15-23-arizona,45.5,10,12.0,3,77.8,96.6,28,0.471,51,0.431,22,0.392,20,0.5,10,3,200,92.1,59.4,19,17,58,,11.1,7,0.373,19,0.211,4,77.0,47,0.479,25.1,20,32,0.563,18,0.667,6,"December 15, 2018",78.9,15,9.4,3,92.1,40.6,13,0.443,53,0.358,19,0.113,6,0.333,2,4,200,77.8,3.4,1,21,49,,11.1,7,0.528,28,0.321,9,23.0,14,0.439,15.2,10,25,0.4,10,0.636,7,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,63.2,Away,BAYLOR,Baylor,Baylor,big-12
2018-12-18-20-baylor,45.5,10,16.1,5,82.9,64.9,24,0.49,52,0.423,22,0.269,14,0.571,8,4,200,84.3,20.7,6,19,59,,14.3,10,0.327,17,0.412,7,45.5,30,0.503,24.6,19,35,0.429,15,0.6,6,"December 18, 2018",52.4,11,14.3,5,84.3,79.3,23,0.418,55,0.382,21,0.382,21,0.571,12,4,200,82.9,35.1,13,16,58,,20.0,14,0.436,24,0.167,4,54.5,36,0.446,20.9,17,31,0.548,17,0.6,6,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.3,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Baylor,big-12
