,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-01-19-19-liberty,43.5,10,11.9,5,100.0,71.9,23,0.482,56,0.411,23,0.268,15,0.667,10,11,200,91.4,28.1,9,21,64,,1.4,1,0.446,25,0.32,8,50.0,32,0.507,21.4,17,31,0.484,15,0.45,9,"January 19, 2019",56.0,14,9.7,3,91.4,71.9,23,0.473,56,0.446,25,0.446,25,0.68,17,4,200,100.0,28.1,9,12,70,,12.9,9,0.25,14,0.214,3,50.0,32,0.516,11.8,9,42,0.524,22,0.8,16,"Vines Center, Lynchburg, Virginia",NORTH-FLORIDA,North Florida,69.5,Home,LIBERTY,Liberty,North Florida,atlantic-sun
2019-01-21-19-north-florida,60.0,15,0.0,0,98.6,74.4,29,0.483,60,0.417,25,0.4,24,0.75,18,5,200,104.1,34.3,12,14,76,,9.6,7,0.35,21,0.381,8,55.4,41,0.532,13.5,11,39,0.436,17,0.75,15,"January 21, 2019",40.7,11,7.7,3,104.1,65.7,23,0.477,66,0.409,27,0.227,15,0.6,9,12,200,98.6,25.6,10,23,72,,8.2,6,0.409,27,0.333,9,44.6,33,0.492,14.2,12,39,0.462,18,0.429,9,"UNF Arena , Jacksonville, Florida",NORTH-FLORIDA,North Florida,72.8,Away,NJIT,NJIT,North Florida,atlantic-sun
2019-01-24-19-north-florida,43.3,13,16.7,6,103.8,87.1,27,0.56,58,0.517,30,0.448,26,0.808,21,12,200,110.3,23.3,7,12,86,,7.7,6,0.207,12,0.417,5,55.7,34,0.611,15.8,13,46,0.543,25,0.429,9,"January 24, 2019",48.6,17,6.5,3,110.3,76.7,23,0.598,66,0.53,35,0.121,8,0.25,2,13,200,103.8,12.9,4,21,81,,10.3,8,0.455,30,0.3,9,44.3,27,0.58,15.8,13,36,0.722,26,0.409,9,"UNF Arena , Jacksonville, Florida",NORTH-FLORIDA,North Florida,77.6,Away,JACKSONVILLE,Jacksonville,North Florida,atlantic-sun
2019-01-27-17-florida-gulf-coast,76.7,23,11.1,5,114.3,70.0,21,0.537,68,0.441,30,0.147,10,0.7,7,14,200,103.9,25.0,9,16,80,,9.1,7,0.485,33,0.394,13,45.5,30,0.55,15.2,13,35,0.486,17,0.391,9,"January 27, 2019",71.9,23,5.7,2,103.9,75.0,27,0.563,64,0.5,32,0.281,18,0.889,16,14,200,114.3,30.0,9,13,88,,7.8,6,0.297,19,0.421,8,54.5,36,0.606,16.3,14,45,0.533,24,0.364,8,"Alico Arena, Fort Myers, Florida",NORTH-FLORIDA,North Florida,77.2,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,North Florida,atlantic-sun
2019-01-30-19-kennesaw-state,66.7,14,1.9,1,98.8,78.6,33,0.402,61,0.344,21,0.279,17,0.882,15,15,200,78.0,30.0,12,16,64,,6.1,5,0.393,24,0.292,7,54.9,45,0.463,26.0,24,37,0.378,14,0.375,9,"January 30, 2019",65.6,21,13.5,5,78.0,70.0,28,0.486,71,0.451,32,0.296,21,0.571,12,18,200,98.8,21.4,9,16,81,,18.3,15,0.254,18,0.278,5,45.1,37,0.5,11.1,10,53,0.509,27,0.182,4,"KSU Convocation Center , Kennesaw, Georgia",NORTH-FLORIDA,North Florida,81.5,Home,KENNESAW-STATE,Kennesaw State,North Florida,atlantic-sun
2019-02-06-19-north-florida,60.6,20,6.5,2,75.3,86.5,32,0.582,67,0.493,33,0.269,18,0.778,14,4,200,126.0,35.3,12,13,92,,12.3,9,0.373,25,0.48,12,62.0,44,0.609,11.8,10,42,0.5,21,0.826,19,"February 6, 2019",70.0,14,9.5,4,126.0,64.7,22,0.407,59,0.339,20,0.136,8,0.875,7,16,200,75.3,13.5,5,16,55,,9.6,7,0.475,28,0.286,8,38.0,27,0.438,19.3,15,31,0.387,12,0.36,9,"UNF Arena , Jacksonville, Florida",NORTH-FLORIDA,North Florida,73.2,Away,LIPSCOMB,Lipscomb,North Florida,atlantic-sun
2019-02-09-16-north-alabama,58.1,18,24.4,11,101.4,62.5,25,0.67,53,0.585,31,0.302,16,0.688,11,16,200,113.9,20.8,5,19,82,,9.7,7,0.415,22,0.409,9,46.9,30,0.677,17.8,13,31,0.71,22,0.385,10,"February 9, 2019",40.0,10,3.2,1,113.9,79.2,19,0.446,65,0.385,25,0.385,25,0.6,15,18,200,101.4,37.5,15,18,73,,5.6,4,0.308,20,0.4,8,53.1,34,0.475,15.6,14,45,0.378,17,0.308,8,"Flowers Hall, Florence, Alabama",NORTH-ALABAMA,North Alabama,72.2,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-02-13-19-north-florida,66.7,14,8.5,4,109.6,47.6,20,0.362,65,0.323,21,0.185,12,0.833,10,21,200,78.1,30.8,12,11,57,,9.6,7,0.185,12,0.417,5,39.5,32,0.403,17.6,15,53,0.302,16,0.192,5,"February 13, 2019",57.6,19,20.8,11,78.1,69.2,27,0.475,79,0.418,33,0.114,9,0.556,5,16,200,109.6,52.4,22,12,80,,8.2,6,0.405,32,0.281,9,60.5,49,0.48,12.6,12,47,0.511,24,0.407,11,"UNF Arena , Jacksonville, Florida",KENNESAW-STATE,Kennesaw State,73.5,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-02-16-16-njit,54.2,13,7.9,3,92.6,75.0,21,0.491,56,0.429,24,0.321,18,0.5,9,16,200,94.1,27.8,10,16,64,,10.3,7,0.375,21,0.333,7,48.4,31,0.496,16.9,13,35,0.486,17,0.429,12,"February 16, 2019",56.5,13,8.6,3,94.1,72.2,26,0.439,57,0.404,23,0.228,13,1.0,13,9,200,92.6,25.0,7,21,63,,7.4,5,0.333,19,0.211,4,51.6,33,0.499,17.2,13,38,0.5,19,0.667,18,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,68.4,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-02-20-19-jacksonville,48.3,14,9.4,5,91.3,63.3,31,0.478,68,0.426,29,0.309,21,0.714,15,16,225,100.0,23.1,9,18,80,,10.0,8,0.368,25,0.28,7,45.5,40,0.513,13.4,12,43,0.512,22,0.448,13,"February 20, 2019",55.2,16,11.6,5,100.0,76.9,30,0.438,72,0.403,29,0.306,22,0.455,10,16,225,91.3,36.7,18,18,73,,5.0,4,0.264,19,0.263,5,54.5,48,0.443,15.5,15,53,0.453,24,0.429,12,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,71.3,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-02-23-17-north-florida,44.8,13,16.1,5,107.1,71.0,22,0.5,64,0.453,29,0.156,10,0.6,6,6,200,100.0,32.4,12,18,70,,8.6,6,0.391,25,0.24,6,50.0,34,0.509,18.0,15,39,0.59,23,0.793,23,"February 23, 2019",61.5,16,10.3,4,100.0,67.6,25,0.573,55,0.473,26,0.327,18,0.667,12,16,200,107.1,29.0,9,15,75,,10.0,7,0.436,24,0.458,11,50.0,34,0.59,18.2,14,31,0.484,15,0.467,14,"UNF Arena , Jacksonville, Florida",LIBERTY,Liberty,70.2,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-02-26-19-north-florida,46.4,13,12.9,4,106.9,67.6,25,0.417,72,0.389,28,0.139,10,0.7,7,23,200,93.1,27.5,11,10,67,,8.3,6,0.222,16,0.25,4,46.8,36,0.436,8.4,7,56,0.429,24,0.233,7,"February 26, 2019",58.6,17,10.7,6,93.1,72.5,29,0.522,67,0.433,29,0.164,11,0.636,7,16,200,106.9,32.4,12,8,77,,6.9,5,0.537,36,0.333,12,53.2,41,0.533,13.3,11,31,0.548,17,0.484,15,"UNF Arena , Jacksonville, Florida",STETSON,Stetson,72.0,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-03-04-19-north-florida,50.0,13,6.7,2,101.3,82.1,32,0.388,76,0.342,26,0.145,11,0.636,7,22,200,88.0,35.4,17,19,66,,9.3,7,0.329,25,0.28,7,56.3,49,0.406,12.0,11,51,0.373,19,0.312,10,"March 4, 2019",68.2,15,13.7,7,88.0,64.6,31,0.474,58,0.379,22,0.5,29,0.724,21,16,200,101.3,17.9,7,11,76,,5.3,4,0.483,28,0.393,11,43.7,38,0.529,11.3,9,30,0.367,11,0.5,16,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,North Alabama,74.5,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun
2019-03-07-19-liberty,60.9,14,2.4,1,110.9,82.1,23,0.602,49,0.469,23,0.143,7,0.571,4,17,200,98.4,13.6,3,18,63,,6.3,4,0.551,27,0.481,13,52.0,26,0.602,23.5,16,22,0.455,10,0.485,16,"March 7, 2019",46.4,13,4.5,1,98.4,86.4,19,0.555,55,0.509,28,0.291,16,0.625,10,6,200,110.9,17.9,5,8,71,,12.5,8,0.236,13,0.385,5,48.0,24,0.567,8.8,6,42,0.548,23,0.818,27,"Vines Center, Lynchburg, Virginia",NORTH-FLORIDA,North Florida,64.5,Home,LIBERTY,Liberty,North Florida,atlantic-sun
