,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-23-ucla,61.5,16,2.4,1,109.6,75.0,24,0.484,63,0.413,26,0.381,24,0.792,19,1,200,96.4,22.9,8,21,80,,6.0,5,0.444,28,0.321,9,47.8,32,0.538,16.9,15,35,0.486,17,0.0,0,"November 9, 2018",43.8,14,14.3,5,96.4,77.1,27,0.563,64,0.5,32,0.469,30,0.633,19,0,200,109.6,25.0,8,15,91,21,14.5,12,0.359,23,0.348,8,52.2,35,0.581,16.3,15,41,0.585,24,1.0,2,"Pauley Pavilion, Los Angeles, California",LONG-BEACH-STATE,Long Beach State,83.3,Home,UCLA,UCLA,Cal State Long Beach,big-west
2018-11-10-19-long-beach-state,40.9,9,5.3,2,91.8,61.8,21,0.392,60,0.367,22,0.317,19,0.526,10,0,200,67.1,15.8,6,27,57,,15.3,13,0.25,15,0.2,3,37.5,27,0.413,23.5,21,45,0.422,19,0.0,0,"November 10, 2018",56.0,14,13.3,6,67.1,84.2,32,0.474,58,0.431,25,0.672,39,0.59,23,1,200,91.8,38.2,13,21,78,,12.9,11,0.345,20,0.25,5,62.5,45,0.51,23.4,23,38,0.526,20,0.5,1,"The Walter Pyramid, Long Beach, California","Menlo
			","Menlo
			",85.3,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
2018-11-12-21-arizona-state,82.4,14,8.2,4,109.8,54.3,19,0.347,62,0.274,17,0.387,24,0.625,15,2,200,70.7,14.3,7,27,58,,13.4,11,0.5,31,0.29,9,31.0,26,0.395,17.1,15,31,0.258,8,0.333,1,"November 12, 2018",58.6,17,22.6,7,70.7,85.7,42,0.485,65,0.446,29,0.554,36,0.75,27,0,200,109.8,45.7,16,23,90,,8.5,7,0.246,16,0.313,5,69.0,58,0.548,17.4,17,49,0.49,24,1.0,3,"Wells Fargo Arena, Tempe, Arizona",LONG-BEACH-STATE,Long Beach State,82.3,Home,ARIZONA-STATE,Arizona State,Cal State Long Beach,big-west
2018-11-16-21-mississippi-state,50.0,9,3.9,2,105.3,55.8,24,0.391,55,0.327,18,0.273,15,0.533,8,3,200,68.0,18.9,7,18,51,,6.7,5,0.291,16,0.438,7,38.8,31,0.41,24.5,20,39,0.282,11,0.25,1,"November 16, 2018",45.2,14,25.6,10,68.0,81.1,30,0.446,74,0.419,31,0.243,18,0.722,13,0,200,105.3,44.2,19,17,79,17,16.0,12,0.311,23,0.174,4,61.3,49,0.478,12.8,12,51,0.529,27,1.0,3,"Humphrey Coliseum, Starkville, Mississippi",LONG-BEACH-STATE,Long Beach State,75.3,Home,MISSISSIPPI-STATE,Mississippi State,Cal State Long Beach,big-west
2018-11-19-17-iona,43.3,13,6.9,2,104.9,76.5,26,0.648,54,0.556,30,0.37,20,0.8,16,3,200,106.2,29.2,7,25,86,,7.4,6,0.315,17,0.588,10,56.9,33,0.677,27.6,24,37,0.541,20,0.4,2,"November 19, 2018",42.3,11,5.4,2,106.2,70.8,17,0.517,60,0.433,26,0.467,28,0.821,23,2,200,104.9,23.5,8,21,85,,17.3,14,0.517,31,0.323,10,43.1,25,0.58,19.0,17,29,0.552,16,0.333,1,"Cox Pavilion, Las Vegas, Nevada",IONA,Iona,81.4,Away,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
2018-11-21-17-long-beach-state,55.2,16,2.6,1,97.3,79.3,23,0.69,50,0.58,29,0.48,24,0.75,18,3,200,117.6,40.9,9,18,87,,9.5,7,0.42,21,0.524,11,62.7,32,0.708,25.7,21,29,0.621,18,0.5,3,"November 21, 2018",26.9,7,6.9,2,117.6,59.1,13,0.5,61,0.426,26,0.246,15,0.733,11,4,200,97.3,20.7,6,21,72,,8.1,6,0.361,22,0.409,9,37.3,19,0.528,15.1,12,39,0.436,17,0.333,2,"Cox Pavilion, Las Vegas, Nevada",LONG-BEACH-STATE,Long Beach State,73.8,Away,UTAH-VALLEY,Utah Valley,Cal State Long Beach,big-west
2018-11-25-17-long-beach-state,53.3,16,12.2,6,98.6,61.5,24,0.464,70,0.429,30,0.186,13,0.769,10,1,200,102.7,37.8,14,20,75,,8.2,6,0.3,21,0.238,5,50.0,38,0.492,10.6,9,49,0.51,25,0.833,5,"November 25, 2018",52.0,13,8.2,4,102.7,62.2,23,0.415,65,0.385,25,0.385,25,0.72,18,5,200,98.6,38.5,15,16,72,,8.2,6,0.246,16,0.25,4,50.0,38,0.468,13.6,12,49,0.429,21,0.286,2,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,72.5,Away,OREGON-STATE,Oregon State,Cal State Long Beach,big-west
2018-11-28-23-southern-california,52.0,13,4.0,2,98.7,73.0,27,0.393,70,0.357,25,0.257,18,0.556,10,6,200,85.5,32.5,13,21,65,,3.9,3,0.314,22,0.227,5,51.9,40,0.414,12.4,11,48,0.417,20,0.25,2,"November 28, 2018",70.4,19,8.3,4,85.5,67.5,27,0.477,64,0.422,27,0.328,21,0.667,14,2,200,98.7,27.0,10,16,75,,7.9,6,0.219,14,0.5,7,48.1,37,0.507,13.1,11,50,0.4,20,0.714,5,"Galen Center, Los Angeles, California",LONG-BEACH-STATE,Long Beach State,75.8,Home,SOUTHERN-CALIFORNIA,USC,Cal State Long Beach,big-west
2018-12-01-22-san-diego,37.5,9,3.2,1,102.8,80.0,24,0.441,59,0.407,24,0.407,24,0.75,18,7,200,97.2,37.1,13,21,70,,6.9,5,0.254,15,0.267,4,56.9,37,0.497,17.7,15,44,0.455,20,0.222,2,"December 1, 2018",60.0,15,6.8,3,97.2,62.9,22,0.536,56,0.446,25,0.286,16,0.875,14,2,200,102.8,20.0,6,21,74,,8.3,6,0.446,25,0.4,10,43.1,28,0.582,17.1,13,31,0.484,15,0.75,6,"Jenny Craig Pavillion, San Diego, California",LONG-BEACH-STATE,Long Beach State,71.5,Home,SAN-DIEGO,San Diego,Cal State Long Beach,big-west
2018-12-05-22-long-beach-state,34.8,8,10.0,5,98.8,55.3,21,0.434,61,0.377,23,0.426,26,0.692,18,2,200,85.5,26.2,11,28,71,,16.9,14,0.393,24,0.292,7,40.0,32,0.484,20.8,19,37,0.432,16,0.667,4,"December 5, 2018",25.0,7,13.5,5,85.5,73.8,31,0.469,65,0.431,28,0.477,31,0.677,21,7,200,98.8,44.7,17,24,82,,13.3,11,0.231,15,0.333,5,60.0,48,0.514,21.1,21,50,0.46,23,0.3,3,"The Walter Pyramid, Long Beach, California",SOUTHERN-UTAH,Southern Utah,82.5,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
