,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-19-butler,32.0,8,5.4,2,134.3,56.0,14,0.492,63,0.397,25,0.111,7,0.857,6,1,200,101.5,20.0,6,18,68,,11.9,8,0.524,33,0.364,12,36.4,20,0.513,10.8,8,30,0.433,13,0.0,0,"November 10, 2018",51.4,18,6.7,2,101.5,80.0,24,0.672,58,0.603,35,0.293,17,0.706,12,0,200,134.3,44.0,11,17,90,,3.0,2,0.362,21,0.381,8,63.6,35,0.681,14.4,11,37,0.73,27,1.0,1,"Hinkle Fieldhouse, Indianapolis, Indiana",MIAMI-OH,Miami (OH),67.2,Home,BUTLER,Butler,Butler,big-east
2018-11-12-18-butler,26.1,6,0.0,0,113.5,82.1,23,0.5,52,0.442,23,0.385,20,0.55,11,3,200,85.1,20.0,6,20,63,,10.8,8,0.308,16,0.375,6,50.0,29,0.512,22.8,18,36,0.472,17,0.0,0,"November 12, 2018",62.1,18,5.6,2,85.1,80.0,24,0.58,56,0.518,29,0.411,23,0.826,19,0,200,113.5,17.9,5,22,84,,6.8,5,0.464,26,0.269,7,50.0,29,0.628,16.4,13,30,0.733,22,1.0,2,"Hinkle Fieldhouse, Indianapolis, Indiana",DETROIT-MERCY,Detroit,74.2,Home,BUTLER,Butler,Butler,big-east
2018-11-16-20-butler,53.8,14,9.7,3,118.6,69.2,18,0.563,56,0.464,26,0.375,21,0.619,13,1,200,108.6,33.3,9,25,76,,5.7,4,0.464,26,0.423,11,50.9,27,0.576,18.7,15,30,0.5,15,0.5,1,"November 16, 2018",48.0,12,10.0,3,108.6,66.7,18,0.556,54,0.463,25,0.5,27,0.852,23,0,200,118.6,30.8,8,18,83,,5.7,4,0.426,23,0.435,10,49.1,26,0.621,12.0,9,31,0.484,15,1.0,3,"Hinkle Fieldhouse, Indianapolis, Indiana",MISSISSIPPI,Ole Miss,69.9,Home,BUTLER,Butler,Butler,big-east
2018-11-21-19-butler,40.0,10,8.1,3,94.1,70.0,28,0.598,46,0.543,25,0.5,23,0.609,14,0,200,101.5,12.0,3,19,69,,4.4,3,0.304,14,0.357,5,47.7,31,0.606,21.1,15,32,0.625,20,1.0,4,"November 21, 2018",41.7,10,6.3,2,101.5,88.0,22,0.458,60,0.4,24,0.283,17,0.529,9,1,200,94.1,30.0,12,18,64,,7.4,5,0.383,23,0.304,7,52.3,34,0.47,12.9,10,37,0.459,17,0.75,3,"Imperial Arena at Atlantis Resort, Paradise Island",BUTLER,Butler,67.5,Away,DAYTON,Dayton,Butler,big-east
2018-11-22-21-butler,35.3,6,8.0,2,123.5,75.0,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,31.3,10,14,53,,8.8,6,0.264,14,0.286,4,53.1,34,0.415,21.2,17,39,0.333,13,0.5,3,"November 22, 2018",71.0,22,12.8,5,77.9,68.8,22,0.65,60,0.517,31,0.167,10,0.6,6,1,200,123.5,25.0,8,19,84,,17.6,12,0.583,35,0.457,16,46.9,30,0.649,12.3,9,25,0.6,15,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",MIDDLE-TENNESSEE,Middle Tennessee,68.3,Home,BUTLER,Butler,Butler,big-east
2018-11-23-21-florida,52.4,11,8.0,2,93.1,74.3,26,0.51,48,0.438,21,0.354,17,0.706,12,1,200,105.2,21.7,5,17,61,,5.2,3,0.417,20,0.35,7,53.4,31,0.544,12.6,8,28,0.5,14,0.833,5,"November 23, 2018",61.1,11,14.3,4,105.2,78.3,18,0.423,52,0.346,18,0.308,16,0.625,10,3,200,93.1,25.7,9,14,54,,3.4,2,0.519,27,0.296,8,46.6,27,0.453,10.6,7,25,0.4,10,0.5,3,"Imperial Arena at Atlantis Resort, Paradise Island",FLORIDA,Florida,58.3,Away,BUTLER,Butler,Butler,big-east
2018-12-01-17-saint-louis,22.2,4,3.6,1,91.4,75.9,22,0.313,64,0.281,18,0.234,15,0.8,12,2,200,74.3,31.8,14,21,52,,12.9,9,0.375,24,0.167,4,49.3,36,0.366,16.5,14,40,0.35,14,0.714,5,"December 1, 2018",50.0,10,20.0,8,74.3,68.2,30,0.523,43,0.465,20,0.698,30,0.633,19,1,200,91.4,24.1,7,16,64,,11.4,8,0.349,15,0.333,5,50.7,37,0.559,24.3,18,28,0.536,15,0.857,6,"Chaifetz Arena, St. Louis, Missouri",BUTLER,Butler,69.7,Home,SAINT-LOUIS,Saint Louis,Butler,big-east
2018-12-05-19-butler,45.0,9,13.8,4,107.7,79.3,23,0.4,55,0.364,20,0.236,13,0.846,11,4,200,84.6,23.3,7,14,55,,6.2,4,0.418,23,0.174,4,50.8,30,0.45,15.3,11,32,0.5,16,0.6,6,"December 5, 2018",54.2,13,6.3,2,84.6,76.7,23,0.509,56,0.429,24,0.304,17,0.765,13,2,200,107.7,20.7,6,15,70,,4.6,3,0.482,27,0.333,9,49.2,29,0.546,9.9,7,29,0.517,15,0.75,6,"Hinkle Fieldhouse, Indianapolis, Indiana",BROWN,Brown,65.1,Home,BUTLER,Butler,Butler,big-east
2018-12-08-16-butler,34.8,8,4.2,1,148.4,86.4,19,0.554,46,0.5,23,0.565,26,0.654,17,4,200,106.3,18.8,6,17,68,,6.3,4,0.304,14,0.357,5,46.3,25,0.583,14.8,10,32,0.563,18,0.556,5,"December 8, 2018",79.4,27,0.0,0,106.3,81.3,26,0.759,56,0.607,34,0.179,10,1.0,10,2,200,148.4,13.6,3,23,95,,4.7,3,0.571,32,0.531,17,53.7,29,0.782,10.4,7,24,0.708,17,0.778,7,"Hinkle Fieldhouse, Indianapolis, Indiana",NORTHERN-ILLINOIS,Northern Illinois,63.6,Home,BUTLER,Butler,Butler,big-east
2018-12-15-15-indiana,60.7,17,3.2,1,106.0,75.0,18,0.508,65,0.431,28,0.031,2,1.0,2,3,200,101.5,25.8,8,15,68,,7.5,5,0.385,25,0.4,10,47.3,26,0.516,13.2,10,40,0.45,18,0.7,7,"December 15, 2018",66.7,18,15.0,6,101.5,74.2,23,0.606,52,0.519,27,0.192,10,0.8,8,2,200,106.0,25.0,6,12,71,25,7.5,5,0.404,21,0.429,9,52.7,29,0.626,21.0,15,31,0.581,18,0.818,9,"Bankers Life Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,66.9,Home,INDIANA,Indiana,Butler,big-east
