,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-gonzaga,50.0,16,4.3,2,148.1,57.1,16,0.5,70,0.457,32,0.186,13,0.692,9,1,200,97.5,28.6,10,25,79,,6.2,5,0.257,18,0.333,6,41.3,26,0.519,14.7,13,52,0.5,26,0.0,0,"November 6, 2018",70.7,29,7.7,4,97.5,71.4,25,0.643,70,0.586,41,0.529,37,0.811,30,0,200,148.1,42.9,12,14,120,3,11.1,9,0.343,24,0.333,8,58.7,37,0.685,7.5,7,46,0.717,33,1.0,1,"McCarthey Athletic Center, Spokane, Washington",IDAHO-STATE,Idaho State,80.9,Home,GONZAGA,Gonzaga,Idaho State,big-sky
2018-11-10-21-boise-state,59.1,13,8.1,3,97.2,66.7,22,0.483,58,0.379,22,0.328,19,0.842,16,1,200,100.0,16.1,5,22,72,,2.8,2,0.431,25,0.48,12,42.2,27,0.537,15.3,12,33,0.303,10,0.5,1,"November 10, 2018",48.0,12,9.1,3,100.0,83.9,26,0.468,62,0.403,25,0.371,23,0.522,12,1,200,97.2,33.3,11,19,70,,4.2,3,0.403,25,0.32,8,57.8,37,0.48,11.1,9,37,0.459,17,0.0,0,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,72.5,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky
2018-11-15-21-idaho-state,42.9,12,0.0,0,113.4,80.6,25,0.532,62,0.452,28,0.29,18,0.944,17,1,200,123.9,37.5,12,23,83,,6.0,4,0.339,21,0.476,10,58.7,37,0.588,12.5,10,41,0.439,18,0.75,3,"November 15, 2018",34.8,8,7.3,3,123.9,62.5,20,0.528,54,0.426,23,0.426,23,0.826,19,2,200,113.4,19.4,6,14,76,,7.5,5,0.611,33,0.333,11,41.3,26,0.585,9.8,7,21,0.571,12,0.333,1,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,67.2,Away,PACIFIC,Pacific,Idaho State,big-sky
2018-11-19-21-idaho-state,42.9,9,0.0,0,149.4,48.3,14,0.4,65,0.323,21,0.185,12,0.667,8,0,200,77.9,11.6,5,16,60,,3.9,3,0.431,28,0.357,10,26.4,19,0.424,14.6,12,37,0.297,11,0.0,0,"November 19, 2018",60.0,24,2.7,1,77.9,88.4,38,0.678,73,0.548,40,0.26,19,0.842,16,2,200,149.4,51.7,15,12,115,,7.8,6,0.616,45,0.422,19,73.6,53,0.701,10.9,10,28,0.75,21,0.5,2,"Holt Arena, Pocatello, Idaho","Bethesda University (CA)
			","Bethesda University (CA)
			",77.4,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky
2018-11-26-22-pepperdine,60.0,18,8.2,4,129.3,73.5,25,0.634,56,0.536,30,0.393,22,0.5,11,3,200,109.3,25.0,7,23,82,,2.7,2,0.446,25,0.44,11,51.6,32,0.617,19.6,16,31,0.613,19,0.4,2,"November 26, 2018",69.4,25,12.9,4,109.3,75.0,21,0.588,68,0.529,36,0.397,27,0.63,17,2,200,129.3,26.5,9,21,97,,10.7,8,0.279,19,0.421,8,48.4,30,0.6,3.6,3,49,0.571,28,0.667,4,"Firestone Fieldhouse, Malibu, California",IDAHO-STATE,Idaho State,75.1,Home,PEPPERDINE,Pepperdine,Idaho State,big-sky
2018-11-29-21-idaho-state,65.2,15,7.0,3,101.4,69.4,25,0.459,61,0.377,23,0.262,16,0.625,10,0,200,90.4,11.8,4,18,66,,2.7,2,0.475,29,0.345,10,41.4,29,0.481,12.8,10,32,0.406,13,0.0,0,"November 29, 2018",35.7,10,25.0,8,90.4,88.2,30,0.492,64,0.438,28,0.266,17,0.647,11,3,200,101.4,30.6,11,14,74,,9.6,7,0.328,21,0.333,7,58.6,41,0.513,13.3,11,43,0.488,21,0.5,3,"Holt Arena, Pocatello, Idaho","Montana Western
			","Montana Western
			",73.3,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky
2018-12-07-22-santa-clara,58.3,14,9.4,3,98.5,79.3,23,0.408,65,0.369,24,0.277,18,0.833,15,3,200,101.5,27.5,11,13,68,,13.4,9,0.2,13,0.385,5,49.3,34,0.462,6.4,5,52,0.365,19,0.571,4,"December 7, 2018",62.5,15,15.4,8,101.5,72.5,29,0.519,53,0.453,24,0.283,15,0.733,11,6,200,98.5,20.7,6,17,66,,6.0,4,0.396,21,0.333,7,50.7,35,0.549,17.9,13,32,0.531,17,0.333,3,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,67.3,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky
2018-12-19-21-utah-valley,70.4,19,2.9,1,127.5,66.7,16,0.611,54,0.5,27,0.315,17,0.647,11,4,200,111.6,20.7,6,23,77,,10.1,7,0.519,28,0.429,12,41.5,22,0.62,17.5,13,26,0.577,15,0.5,4,"December 19, 2018",60.0,18,7.7,2,111.6,79.3,23,0.583,54,0.556,30,0.5,27,0.926,25,4,200,127.5,33.3,8,18,88,,11.6,8,0.352,19,0.158,3,58.5,31,0.658,14.3,11,35,0.771,27,0.692,9,"UCCU Center, Orem, Utah",IDAHO-STATE,Idaho State,69.5,Home,UTAH-VALLEY,Utah Valley,Idaho State,big-sky
2018-12-22-17-california-santa-barbara,63.6,14,2.2,1,129.2,62.5,15,0.578,45,0.489,22,0.378,17,0.765,13,5,200,100.0,13.0,3,17,65,,3.1,2,0.422,19,0.421,8,38.3,18,0.612,22.2,15,26,0.538,14,0.444,4,"December 22, 2018",70.6,24,3.8,1,100.0,87.0,20,0.638,58,0.586,34,0.276,16,0.625,10,3,200,129.2,37.5,9,12,84,,9.2,6,0.224,13,0.462,6,61.7,29,0.64,12.2,9,45,0.622,28,0.75,9,"The Thunderdome, Santa Barbara, California",IDAHO-STATE,Idaho State,65.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Idaho State,big-sky
2018-12-29-22-idaho,60.0,15,15.4,6,80.9,74.4,29,0.517,60,0.417,25,0.233,14,0.714,10,5,200,105.9,27.3,9,20,72,,8.8,6,0.533,32,0.375,12,52.8,38,0.54,12.0,9,28,0.464,13,0.5,5,"December 29, 2018",33.3,6,7.1,2,105.9,72.7,24,0.352,54,0.333,18,0.444,24,0.708,17,9,200,80.9,25.6,10,18,55,,4.4,3,0.278,15,0.133,2,47.2,34,0.42,17.8,14,39,0.41,16,0.25,3,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,68.0,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky
