,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-rhode-island,39.1,9,6.7,3,121.3,59.0,23,0.382,68,0.338,23,0.382,26,0.423,11,1,199,78.8,27.7,13,19,63,,3.8,3,0.5,34,0.176,6,41.9,36,0.392,15.9,15,34,0.5,17,0.0,0,"November 6, 2018",60.0,21,23.5,8,78.8,72.3,34,0.576,72,0.486,35,0.319,23,0.609,14,0,199,121.3,41.0,16,17,97,,8.8,7,0.375,27,0.481,13,58.1,50,0.585,10.9,10,45,0.489,22,1.0,1,"Ryan Center, Kingston, Rhode Island",BRYANT,Bryant,80.0,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2018-11-13-19-college-of-charleston,31.8,7,3.3,1,98.5,75.0,21,0.359,64,0.344,22,0.25,16,0.563,9,1,200,82.1,28.9,13,22,55,,6.0,4,0.313,20,0.1,2,46.6,34,0.384,11.2,9,44,0.455,20,0.5,1,"November 13, 2018",47.6,10,9.1,4,82.1,71.1,32,0.469,48,0.438,21,0.563,27,0.778,21,0,200,98.5,25.0,7,21,66,,4.5,3,0.375,18,0.167,3,53.4,39,0.543,16.7,12,30,0.6,18,1.0,3,"TD Arena, Charleston, South Carolina",RHODE-ISLAND,Rhode Island,66.7,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Rhode Island,atlantic-10
2018-11-16-19-rhode-island,66.7,18,7.1,3,107.0,71.9,23,0.608,51,0.529,27,0.294,15,0.8,12,2,200,104.2,30.8,8,18,74,,5.6,4,0.412,21,0.381,8,53.4,31,0.637,25.8,20,30,0.633,19,0.5,2,"November 16, 2018",40.7,11,13.3,4,104.2,69.2,18,0.492,60,0.45,27,0.35,21,0.81,17,1,200,107.0,28.1,9,19,76,,15.5,11,0.3,18,0.278,5,46.6,27,0.543,13.7,11,42,0.524,22,0.667,2,"Ryan Center, Kingston, Rhode Island",HARVARD,Harvard,71.1,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2018-11-24-14-rhode-island,33.3,8,10.5,4,80.6,61.5,24,0.481,54,0.444,24,0.352,19,0.842,16,1,200,94.4,24.1,7,20,68,,15.3,11,0.37,20,0.2,4,45.6,31,0.539,20.4,16,34,0.588,20,0.833,5,"November 24, 2018",36.4,8,11.8,4,94.4,75.9,22,0.371,62,0.355,22,0.306,19,0.632,12,2,200,80.6,38.5,15,20,58,,9.7,7,0.387,24,0.083,2,54.4,37,0.408,18.5,16,38,0.526,20,0.5,2,"Ryan Center, Kingston, Rhode Island",RHODE-ISLAND,Rhode Island,72.0,Away,STONY-BROOK,Stony Brook,Rhode Island,atlantic-10
2018-11-28-19-rhode-island,64.7,11,6.3,3,95.9,55.6,25,0.342,57,0.298,17,0.316,18,0.667,12,3,200,68.9,27.5,11,19,51,,10.8,8,0.509,29,0.172,5,42.4,36,0.389,22.6,19,28,0.429,12,0.625,5,"November 28, 2018",42.3,11,17.9,5,68.9,72.5,29,0.387,71,0.366,26,0.31,22,0.727,16,2,200,95.9,44.4,20,15,71,,16.2,12,0.324,23,0.13,3,57.6,49,0.436,13.9,13,48,0.479,23,0.6,3,"Ryan Center, Kingston, Rhode Island",BROWN,Brown,74.0,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2018-12-01-17-providence,41.2,7,5.4,2,84.3,77.1,27,0.316,57,0.298,17,0.456,26,0.538,14,3,200,71.4,16.7,7,25,50,,8.6,6,0.316,18,0.111,2,44.2,34,0.36,10.5,8,39,0.385,15,0.5,3,"December 1, 2018",61.1,11,15.4,6,71.4,83.3,35,0.41,50,0.36,18,0.6,30,0.6,18,2,200,84.3,22.9,8,21,59,,5.7,4,0.26,13,0.385,5,55.8,43,0.459,18.1,14,37,0.351,13,0.75,6,"Dunkin' Donuts Center, Providence, Rhode Island",RHODE-ISLAND,Rhode Island,70.3,Home,PROVIDENCE,Providence,Rhode Island,atlantic-10
2018-12-08-13-holy-cross,34.6,9,18.2,6,91.3,92.9,26,0.519,53,0.491,26,0.509,27,0.889,24,3,200,114.5,48.0,12,14,79,,10.1,7,0.34,18,0.167,3,71.7,38,0.6,20.8,17,35,0.657,23,0.571,4,"December 8, 2018",78.3,18,5.7,2,114.5,52.0,13,0.51,52,0.442,23,0.231,12,0.833,10,4,200,91.3,7.1,2,18,63,,13.0,9,0.365,19,0.368,7,28.3,15,0.546,16.1,11,33,0.485,16,0.6,6,"DCU Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.8,Away,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2018-12-16-13-west-virginia,58.6,17,6.5,2,88.6,75.8,25,0.508,62,0.468,29,0.532,33,0.606,20,3,200,105.1,22.2,8,28,83,,7.6,6,0.274,17,0.294,5,47.8,33,0.534,10.5,9,45,0.533,24,0.625,5,"December 16, 2018",55.6,10,2.2,1,105.1,77.8,28,0.366,56,0.321,18,0.661,37,0.784,29,4,200,88.6,24.2,8,28,70,,1.3,1,0.446,25,0.2,5,52.2,36,0.476,16.2,14,31,0.419,13,0.6,6,"Mohegan Sun Arena, Uncasville, Connecticut",WEST-VIRGINIA,West Virginia,79.1,Away,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2018-12-22-22-bucknell,25.8,8,8.6,3,106.3,84.6,22,0.5,70,0.443,31,0.329,23,0.522,12,4,200,103.8,23.7,9,21,82,,8.9,7,0.343,24,0.333,8,48.4,31,0.507,10.1,9,46,0.5,23,0.556,5,"December 22, 2018",46.4,13,0.0,0,103.8,76.3,29,0.591,55,0.509,28,0.473,26,0.731,19,5,200,106.3,15.4,4,17,84,,3.8,3,0.364,20,0.45,9,51.6,33,0.624,16.4,13,35,0.543,19,0.5,5,"Stan Sheriff Center, Honolulu, Hawaii",RHODE-ISLAND,Rhode Island,78.6,Home,BUCKNELL,Bucknell,Rhode Island,atlantic-10
2018-12-24-00-charlotte,54.5,12,31.0,9,83.6,85.2,23,0.464,56,0.393,22,0.482,27,0.852,23,4,200,102.7,25.0,7,19,75,,11.0,8,0.339,19,0.421,8,54.5,30,0.545,19.1,16,37,0.378,14,0.6,6,"December 24, 2018",41.2,7,10.8,4,102.7,75.0,21,0.443,44,0.386,17,0.659,29,0.759,22,7,200,83.6,14.8,4,20,61,,16.4,12,0.341,15,0.333,5,45.5,25,0.528,20.9,15,29,0.414,12,0.3,3,"Stan Sheriff Center, Honolulu, Hawaii",CHARLOTTE,Charlotte,73.3,Away,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
