,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-northern-iowa,36.8,7,12.2,5,127.6,61.5,24,0.353,58,0.328,19,0.276,16,0.625,10,0,200,67.1,10.5,4,19,51,,2.6,2,0.379,22,0.136,3,36.4,28,0.389,18.7,15,36,0.444,16,0.0,0,"November 6, 2018",57.6,19,11.1,4,67.1,89.5,34,0.527,74,0.446,33,0.311,23,0.826,19,0,200,127.6,38.5,15,17,97,,9.2,7,0.446,33,0.364,12,63.6,49,0.571,5.6,5,41,0.512,21,1.0,1,"McLeod Center, Cedar Falls, Iowa","Bemidji State
			","Bemidji State
			",75.8,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc
2018-11-10-20-texas-arlington,36.4,8,18.8,6,101.4,77.4,24,0.42,56,0.393,22,0.482,27,0.667,18,1,200,89.0,14.3,5,24,65,,6.8,5,0.393,22,0.136,3,43.9,29,0.472,12.8,10,34,0.559,19,0.5,1,"November 10, 2018",56.5,13,2.9,1,89.0,85.7,30,0.5,51,0.451,23,0.608,31,0.742,23,0,200,101.4,22.6,7,21,74,,11.0,8,0.373,19,0.263,5,56.1,37,0.563,16.7,13,32,0.563,18,1.0,2,"College Park Center, Arlington, Texas",NORTHERN-IOWA,Northern Iowa,72.8,Home,TEXAS-ARLINGTON,Texas-Arlington,Northern Iowa,mvc
2018-11-16-17-pennsylvania,21.4,6,3.4,1,106.8,80.0,24,0.483,60,0.467,28,0.283,17,0.765,13,2,200,97.3,52.0,13,18,71,,8.2,6,0.283,17,0.118,2,67.3,37,0.521,22.9,20,43,0.605,26,0.333,1,"November 16, 2018",44.8,13,7.0,3,97.3,48.0,12,0.614,57,0.509,29,0.263,15,0.533,8,0,200,106.8,20.0,6,21,78,,17.8,13,0.491,28,0.429,12,32.7,18,0.608,17.0,13,29,0.586,17,1.0,4,"Virgin Islands Sport & Fitness Center , St. Thomas",NORTHERN-IOWA,Northern Iowa,73.1,Home,PENNSYLVANIA,Penn,Northern Iowa,mvc
2018-11-17-17-eastern-kentucky,50.0,13,5.9,2,101.2,71.1,27,0.543,58,0.448,26,0.569,33,0.818,27,2,200,107.1,10.7,3,19,90,,2.4,2,0.466,27,0.407,11,45.5,30,0.611,13.2,11,31,0.484,15,0.5,2,"November 17, 2018",51.9,14,0.0,0,107.1,89.3,25,0.472,71,0.38,27,0.324,23,0.783,18,3,200,101.2,28.9,11,28,85,,6.0,5,0.521,37,0.351,13,54.5,36,0.519,15.6,15,34,0.412,14,0.4,2,"Virgin Islands Sport & Fitness Center , St. Thomas",EASTERN-KENTUCKY,Eastern Kentucky,83.8,Away,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc
2018-11-19-15-northern-iowa,45.0,9,8.3,2,85.7,88.5,23,0.385,61,0.328,20,0.148,9,0.667,6,3,200,84.1,30.0,12,12,53,,11.1,7,0.393,24,0.292,7,53.0,35,0.406,13.3,10,37,0.351,13,0.4,2,"November 19, 2018",66.7,12,0.0,0,84.1,70.0,28,0.48,49,0.367,18,0.184,9,0.778,7,2,200,85.7,11.5,3,10,54,,6.3,4,0.51,25,0.44,11,47.0,31,0.507,18.5,12,24,0.292,7,0.6,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OLD-DOMINION,Old Dominion,62.8,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc
2018-11-23-19-old-dominion,43.5,10,3.1,1,109.1,75.0,24,0.5,57,0.404,23,0.193,11,0.727,8,3,200,98.5,21.9,7,17,65,,1.5,1,0.456,26,0.423,11,48.4,31,0.522,15.1,11,31,0.387,12,0.5,3,"November 23, 2018",60.0,15,16.1,5,98.5,78.1,25,0.518,57,0.439,25,0.298,17,0.765,13,3,200,109.1,25.0,8,14,72,,7.6,5,0.439,25,0.36,9,51.6,33,0.553,11.0,8,32,0.5,16,0.5,3,"Ted Constant Convocation Ctr., Norfolk, Virginia",NORTHERN-IOWA,Northern Iowa,65.7,Home,OLD-DOMINION,Old Dominion,Northern Iowa,mvc
2018-11-28-21-utah-state,66.7,12,2.9,1,102.9,90.9,20,0.379,58,0.31,18,0.224,13,0.615,8,4,200,75.4,14.6,6,22,52,,2.9,2,0.517,30,0.267,8,41.3,26,0.405,14.7,11,28,0.357,10,0.429,3,"November 28, 2018",60.0,15,10.7,3,75.4,85.4,35,0.55,50,0.5,25,0.44,22,0.727,16,1,200,102.9,9.1,2,15,71,,11.6,8,0.32,16,0.313,5,58.7,37,0.587,14.4,10,34,0.588,20,0.857,6,"Dee Glen Smith Spectrum, Logan, Utah",NORTHERN-IOWA,Northern Iowa,68.8,Home,UTAH-STATE,Utah State,Northern Iowa,mvc
2018-12-01-21-south-dakota-state,72.2,13,13.3,4,117.1,91.7,22,0.379,58,0.31,18,0.121,7,0.857,6,5,200,71.4,17.9,7,21,50,,8.6,6,0.603,35,0.229,8,46.0,29,0.408,19.7,15,23,0.435,10,0.375,3,"December 1, 2018",76.0,19,4.3,1,71.4,82.1,32,0.571,49,0.51,25,0.633,31,0.839,26,2,200,117.1,8.3,2,13,82,,12.9,9,0.388,19,0.316,6,54.0,34,0.643,11.3,8,30,0.633,19,0.778,7,"U.S. Bank Stadium, Minneapolis, Minnesota",NORTHERN-IOWA,Northern Iowa,69.5,Home,SOUTH-DAKOTA-STATE,South Dakota State,Northern Iowa,mvc
2018-12-08-14-northern-iowa,60.9,14,7.7,2,98.7,85.2,23,0.476,62,0.371,23,0.145,9,0.889,8,0,200,88.2,17.6,6,26,67,,11.8,9,0.548,34,0.382,13,47.5,29,0.505,21.4,18,28,0.357,10,0.0,0,"December 8, 2018",33.3,7,7.1,2,88.2,82.4,28,0.522,45,0.467,21,0.822,37,0.757,28,5,200,98.7,14.8,4,10,75,,14.5,11,0.422,19,0.263,5,52.5,32,0.599,20.7,16,26,0.615,16,0.444,4,"McLeod Center, Cedar Falls, Iowa","Dubuque
			","Dubuque
			",76.4,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc
2018-12-15-19-northern-iowa,62.1,18,3.8,1,80.6,83.3,30,0.63,54,0.537,29,0.259,14,0.643,9,2,200,114.9,22.2,6,14,77,22,9.0,6,0.463,25,0.4,10,57.1,36,0.635,16.6,12,29,0.655,19,0.8,8,"December 15, 2018",60.0,12,0.0,0,114.9,77.8,21,0.418,55,0.364,20,0.273,15,0.533,8,6,200,80.6,16.7,6,16,54,,4.5,3,0.527,29,0.207,6,42.9,27,0.435,15.2,11,26,0.538,14,0.4,4,"Wells Fargo Arena, Des Moines, Iowa",NORTHERN-IOWA,Northern Iowa,66.9,Away,IOWA,Iowa,Northern Iowa,mvc
