,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-08-20-iowa,43.5,10,0.0,0,106.9,75.0,21,0.43,64,0.359,23,0.188,12,0.667,8,2,200,87.5,23.1,9,27,63,,15.3,11,0.422,27,0.333,9,44.8,30,0.452,11.5,9,37,0.378,14,0.0,0,"November 8, 2018",71.4,15,16.2,6,87.5,76.9,30,0.521,47,0.447,21,0.809,38,0.737,28,0,200,106.9,25.0,7,15,77,,4.2,3,0.532,25,0.28,7,55.2,37,0.592,20.1,16,22,0.636,14,1.0,1,"Carver-Hawkeye Arena, Iowa City, Iowa",MISSOURI-KANSAS-CITY,UMKC,71.9,Home,IOWA,Iowa,Iowa,big-ten
2018-11-11-15-iowa,53.1,17,5.7,2,109.4,75.0,18,0.514,69,0.464,32,0.232,16,0.688,11,2,200,96.5,28.9,11,30,82,,10.6,9,0.377,26,0.269,7,46.8,29,0.535,20.8,20,43,0.581,25,0.333,1,"November 11, 2018",59.3,16,9.3,4,96.5,71.1,27,0.557,53,0.509,27,0.849,45,0.756,34,0,200,109.4,25.0,6,15,93,,11.8,10,0.34,18,0.278,5,53.2,33,0.625,18.9,17,35,0.629,22,1.0,2,"Carver-Hawkeye Arena, Iowa City, Iowa",GREEN-BAY,Green Bay,85.5,Home,IOWA,Iowa,Iowa,big-ten
2018-11-15-21-iowa,65.2,15,26.1,6,106.9,70.0,21,0.406,64,0.359,23,0.375,24,0.708,17,1,200,95.8,27.3,12,24,69,13,11.1,8,0.297,19,0.316,6,44.6,33,0.458,9.7,8,45,0.378,17,0.667,2,"November 15, 2018",68.4,13,6.7,3,95.8,72.7,32,0.462,52,0.365,19,0.635,33,0.879,29,0,200,106.9,30.0,9,20,77,,8.3,6,0.558,29,0.345,10,55.4,41,0.569,17.4,14,23,0.391,9,1.0,3,"Madison Square Garden (IV), New York, New York",OREGON,Oregon,72.0,Home,IOWA,Iowa,Iowa,big-ten
2018-11-16-18-iowa,34.5,10,0.0,0,116.7,50.0,13,0.449,69,0.42,29,0.217,15,0.667,10,1,200,92.3,36.4,12,24,72,,14.1,11,0.377,26,0.154,4,42.4,25,0.473,15.6,14,43,0.581,25,0.75,3,"November 16, 2018",48.3,14,4.7,2,92.3,63.6,21,0.544,57,0.509,29,0.649,37,0.784,29,0,200,116.7,50.0,13,15,91,,6.4,5,0.228,13,0.308,4,57.6,34,0.61,18.8,17,44,0.568,25,1.0,4,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,78.4,Home,IOWA,Iowa,Iowa,big-ten
2018-11-21-20-iowa,57.6,19,2.6,1,132.9,84.0,21,0.521,73,0.452,33,0.11,8,0.25,2,3,200,98.7,39.0,16,19,78,,3.8,3,0.397,29,0.345,10,56.1,37,0.508,19.0,18,44,0.523,23,0.4,2,"November 21, 2018",55.6,20,11.4,5,98.7,61.0,25,0.664,61,0.59,36,0.475,29,0.828,24,0,200,132.9,16.0,4,13,105,20,10.1,8,0.377,23,0.391,9,43.9,29,0.702,9.8,8,38,0.711,27,1.0,5,"Carver-Hawkeye Arena, Iowa City, Iowa",ALABAMA-STATE,Alabama State,78.8,Home,IOWA,Iowa,Iowa,big-ten
2018-11-27-21-iowa,50.0,13,9.5,2,98.6,74.4,29,0.545,55,0.473,26,0.236,13,0.615,8,1,200,97.1,20.7,6,23,68,,7.1,5,0.345,19,0.421,8,51.5,35,0.556,21.9,17,36,0.5,18,0.857,6,"November 27, 2018",63.2,12,11.1,4,97.1,79.3,23,0.481,52,0.365,19,0.538,28,0.679,19,0,200,98.6,25.6,10,18,69,14,15.7,11,0.596,31,0.387,12,48.5,33,0.528,16.8,13,21,0.333,7,1.0,6,"Carver-Hawkeye Arena, Iowa City, Iowa",PITTSBURGH,Pitt,70.2,Home,IOWA,Iowa,Iowa,big-ten
2018-11-30-20-iowa,48.1,13,2.9,1,97.1,71.1,27,0.554,56,0.482,27,0.25,14,0.714,10,1,200,105.9,12.9,4,24,72,22,7.4,5,0.429,24,0.333,8,44.9,31,0.575,12.6,9,32,0.594,19,0.875,7,"November 30, 2018",39.1,9,12.5,4,105.9,87.1,27,0.441,59,0.39,23,0.322,19,0.737,14,1,200,97.1,28.9,11,16,66,14,2.9,2,0.407,24,0.25,6,55.1,38,0.485,14.0,11,35,0.486,17,0.857,6,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,67.8,Away,WISCONSIN,Wisconsin,Iowa,big-ten
2018-12-03-18-michigan-state,61.9,13,6.3,3,125.0,55.2,16,0.375,64,0.328,21,0.469,30,0.667,20,2,200,94.4,35.0,14,23,68,18,9.7,7,0.344,22,0.273,6,43.5,30,0.435,11.5,10,42,0.357,15,0.75,6,"December 3, 2018",90.3,28,14.3,6,94.4,65.0,26,0.542,60,0.517,31,0.533,32,0.781,25,2,200,125.0,44.8,13,25,90,10,9.7,7,0.2,12,0.25,3,56.5,39,0.598,9.7,8,48,0.583,28,0.778,7,"Breslin Events Center, East Lansing, Michigan",IOWA,Iowa,72.2,Home,MICHIGAN-STATE,Michigan State,Iowa,big-ten
2018-12-06-20-iowa,46.7,14,4.7,2,130.7,37.0,10,0.516,64,0.469,30,0.453,29,0.621,18,2,200,112.0,27.0,10,21,84,,14.7,11,0.359,23,0.261,6,31.3,20,0.54,11.5,10,41,0.585,24,0.778,7,"December 6, 2018",60.0,21,4.9,2,112.0,73.0,27,0.648,61,0.574,35,0.377,23,0.826,19,2,200,130.7,63.0,17,21,98,18,4.0,3,0.295,18,0.5,9,68.8,44,0.681,20.2,18,43,0.605,26,0.778,7,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA-STATE,Iowa State,75.4,Home,IOWA,Iowa,Iowa,big-ten
2018-12-15-19-northern-iowa,62.1,18,3.8,1,80.6,83.3,30,0.63,54,0.537,29,0.259,14,0.643,9,2,200,114.9,22.2,6,14,77,22,9.0,6,0.463,25,0.4,10,57.1,36,0.635,16.6,12,29,0.655,19,0.8,8,"December 15, 2018",60.0,12,0.0,0,114.9,77.8,21,0.418,55,0.364,20,0.273,15,0.533,8,6,200,80.6,16.7,6,16,54,,4.5,3,0.527,29,0.207,6,42.9,27,0.435,15.2,11,26,0.538,14,0.4,4,"Wells Fargo Arena, Des Moines, Iowa",NORTHERN-IOWA,Northern Iowa,66.9,Away,IOWA,Iowa,Iowa,big-ten
