,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-16-16-colorado-state,68.0,17,9.7,3,100.0,77.1,27,0.475,59,0.424,25,0.356,21,0.571,12,5,200,107.9,25.0,10,17,68,,4.8,3,0.424,25,0.24,6,49.3,37,0.493,5.5,4,34,0.559,19,0.545,6,"December 16, 2018",59.1,13,11.8,4,107.9,75.0,30,0.447,57,0.386,22,0.298,17,0.706,12,6,200,100.0,22.9,8,18,63,,3.2,2,0.456,26,0.269,7,50.7,38,0.484,8.5,6,31,0.484,15,0.455,5,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,63.0,Away,SOUTH-DAKOTA,South Dakota,Colorado State,mwc
2018-12-22-17-long-beach-state,37.0,10,4.2,2,83.1,71.4,30,0.446,65,0.415,27,0.092,6,0.5,3,7,200,79.2,34.2,13,19,61,,9.1,7,0.308,20,0.2,4,53.8,43,0.45,24.5,22,45,0.511,23,0.417,5,"December 22, 2018",47.8,11,4.4,2,79.2,65.8,25,0.405,63,0.365,23,0.333,21,0.619,13,9,200,83.1,28.6,12,13,64,,10.4,8,0.238,15,0.333,5,46.3,37,0.439,18.1,16,48,0.375,18,0.357,5,"The Walter Pyramid, Long Beach, California",COLORADO-STATE,Colorado State,76.9,Home,LONG-BEACH-STATE,Long Beach State,Colorado State,mwc
2018-12-30-16-colorado-state,51.4,18,3.1,1,104.6,82.8,24,0.61,68,0.515,35,0.088,6,0.833,5,3,200,135.4,35.5,11,21,88,,12.3,8,0.5,34,0.382,13,58.3,35,0.621,9.0,7,34,0.647,22,0.786,11,"December 30, 2018",33.3,7,0.0,0,135.4,64.5,20,0.533,45,0.467,21,0.6,27,0.741,20,8,200,104.6,17.2,5,11,68,,6.2,4,0.289,13,0.462,6,41.7,25,0.588,15.0,10,32,0.469,15,0.385,5,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,64.8,Away,NEW-MEXICO-STATE,New Mexico State,Colorado State,mwc
2019-01-02-22-nevada-las-vegas,35.5,11,2.5,1,106.8,58.0,29,0.5,66,0.47,31,0.273,18,0.556,10,9,200,104.1,21.6,8,20,76,,6.8,5,0.242,16,0.25,4,42.5,37,0.51,8.7,7,50,0.54,27,0.357,5,"January 2, 2019",56.0,14,6.0,3,104.1,78.4,29,0.392,74,0.338,25,0.324,24,0.833,20,6,200,106.8,42.0,21,17,78,,6.8,5,0.459,34,0.235,8,57.5,50,0.457,8.6,8,40,0.425,17,0.538,7,"Thomas & Mack Center, Las Vegas, Nevada",COLORADO-STATE,Colorado State,73.0,Home,NEVADA-LAS-VEGAS,UNLV,Colorado State,mwc
2019-01-05-22-fresno-state,31.8,7,8.3,2,108.3,87.5,28,0.452,52,0.423,22,0.5,26,0.769,20,10,200,93.1,12.1,4,18,67,,8.3,6,0.365,19,0.158,3,49.2,32,0.521,15.9,12,33,0.576,19,0.333,5,"January 5, 2019",61.5,16,3.0,1,93.1,87.9,29,0.561,57,0.456,26,0.316,18,0.778,14,3,200,108.3,12.5,4,20,78,,5.6,4,0.579,33,0.364,12,50.8,33,0.595,13.3,10,24,0.583,14,0.786,11,"Save Mart Center, Fresno, California",COLORADO-STATE,Colorado State,72.0,Home,FRESNO-STATE,Fresno State,Colorado State,mwc
2019-01-08-21-colorado-state,25.9,7,0.0,0,133.8,65.4,17,0.558,52,0.519,27,0.154,8,0.75,6,10,200,98.5,27.3,6,11,64,,6.2,4,0.269,14,0.286,4,47.9,23,0.573,22.4,16,38,0.605,23,0.333,5,"January 8, 2019",71.4,25,5.3,2,98.5,72.7,16,0.629,62,0.565,35,0.161,10,0.9,9,10,200,133.8,34.6,9,13,87,,23.1,15,0.403,25,0.32,8,52.1,25,0.652,9.5,7,37,0.73,27,0.375,6,"Moby Arena, Fort Collins, Colorado",AIR-FORCE,Air Force,65.3,Home,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-01-12-16-colorado-state,53.8,14,7.1,3,124.7,85.2,23,0.582,55,0.473,26,0.345,19,0.632,12,8,200,104.1,21.2,7,24,76,,4.1,3,0.527,29,0.414,12,50.0,30,0.594,20.2,16,26,0.538,14,0.5,8,"January 12, 2019",81.3,26,15.4,4,104.1,78.8,26,0.623,57,0.561,32,0.439,25,0.8,20,10,200,124.7,14.8,4,21,91,,9.6,7,0.263,15,0.467,7,50.0,30,0.661,11.7,9,42,0.595,25,0.412,7,"Moby Arena, Fort Collins, Colorado",NEW-MEXICO,New Mexico,73.5,Home,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-01-19-21-utah-state,56.5,13,5.9,2,124.3,61.5,16,0.549,51,0.451,23,0.51,26,0.615,16,11,200,102.9,10.0,3,15,72,,10.0,7,0.471,24,0.417,10,33.9,19,0.568,16.1,12,27,0.481,13,0.389,7,"January 19, 2019",71.9,23,11.1,3,102.9,90.0,27,0.644,59,0.542,32,0.237,14,0.786,11,5,200,124.3,38.5,10,20,87,,8.6,6,0.424,25,0.48,12,66.1,37,0.663,15.6,12,34,0.588,20,0.737,14,"Dee Glen Smith Spectrum, Logan, Utah",COLORADO-STATE,Colorado State,70.0,Home,UTAH-STATE,Utah State,Colorado State,mwc
2019-01-23-23-nevada,61.9,13,0.0,0,131.6,87.1,27,0.481,53,0.396,21,0.264,14,0.643,9,12,200,78.9,19.4,6,19,60,,5.3,4,0.377,20,0.45,9,53.2,33,0.503,25.3,20,33,0.364,12,0.368,7,"January 23, 2019",56.8,21,9.1,3,78.9,80.6,25,0.659,66,0.561,37,0.303,20,0.65,13,1,200,131.6,12.9,4,14,100,7,14.5,11,0.409,27,0.481,13,46.8,29,0.662,8.6,7,39,0.615,24,0.95,19,"Lawlor Events Center, Reno, Nevada",COLORADO-STATE,Colorado State,76.1,Home,NEVADA,Nevada,Colorado State,mwc
2019-01-26-16-colorado-state,56.5,13,6.5,2,100.0,79.4,27,0.422,64,0.359,23,0.281,18,0.611,11,5,200,87.8,21.4,9,23,65,,10.8,8,0.469,30,0.267,8,47.4,36,0.448,14.3,12,34,0.441,15,0.737,14,"January 26, 2019",73.9,17,14.7,5,87.8,78.6,33,0.549,51,0.451,23,0.627,32,0.563,18,12,200,100.0,20.6,7,15,74,,12.2,9,0.392,20,0.5,10,52.6,40,0.559,16.6,13,31,0.419,13,0.4,8,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,73.9,Home,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-01-29-21-colorado-state,69.2,18,8.1,3,107.9,61.1,22,0.656,45,0.578,26,0.311,14,0.786,11,11,200,111.1,9.5,2,13,70,,6.3,4,0.356,16,0.438,7,42.1,24,0.678,21.5,14,29,0.655,19,0.476,10,"January 29, 2019",81.5,22,6.9,2,111.1,90.5,19,0.492,62,0.435,27,0.145,9,0.778,7,13,200,107.9,38.9,14,17,68,,9.5,6,0.403,25,0.28,7,57.9,33,0.513,13.2,10,37,0.541,20,0.381,8,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,63.0,Away,BOISE-STATE,Boise State,Colorado State,mwc
2019-02-02-16-air-force,39.4,13,15.0,3,81.5,86.5,32,0.676,54,0.611,33,0.315,17,0.706,12,13,200,130.8,26.1,6,20,85,,12.3,8,0.333,18,0.389,7,63.3,38,0.685,14.0,10,36,0.722,26,0.409,9,"February 2, 2019",56.3,9,0.0,0,130.8,73.9,17,0.408,49,0.327,16,0.388,19,0.684,13,13,200,81.5,13.5,5,18,53,,6.2,4,0.592,29,0.276,8,36.7,22,0.457,16.1,11,20,0.4,8,0.409,9,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,65.1,Away,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-02-06-22-colorado-state,58.1,18,9.5,4,113.9,80.0,20,0.53,66,0.47,31,0.53,35,0.8,28,1,200,136.1,33.3,12,18,98,6,6.9,5,0.333,22,0.364,8,52.5,32,0.593,5.8,5,44,0.523,23,0.957,22,"February 6, 2019",60.6,20,15.9,7,136.1,66.7,24,0.612,58,0.569,33,0.276,16,0.688,11,14,200,113.9,20.0,5,23,82,,2.8,2,0.276,16,0.313,5,47.5,29,0.625,11.0,8,42,0.667,28,0.391,9,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,72.1,Away,NEVADA,Nevada,Colorado State,mwc
2019-02-09-14-wyoming,45.5,10,12.5,3,112.1,84.6,22,0.49,52,0.423,22,0.423,22,0.682,15,15,200,100.0,24.1,7,14,66,,12.1,8,0.404,21,0.333,7,52.7,29,0.528,15.1,11,31,0.484,15,0.375,9,"February 9, 2019",52.2,12,9.7,3,100.0,75.9,22,0.615,48,0.479,23,0.375,18,0.833,15,17,200,112.1,15.4,4,17,74,,7.6,5,0.5,24,0.542,13,47.3,26,0.654,17.7,12,24,0.417,10,0.261,6,"Arena-Auditorium, Laramie, Wyoming",COLORADO-STATE,Colorado State,65.5,Home,WYOMING,Wyoming,Colorado State,mwc
2019-02-12-23-colorado-state,40.7,11,15.6,5,90.9,73.5,25,0.606,52,0.519,27,0.25,13,0.615,8,9,200,107.6,33.3,9,12,71,,12.1,8,0.423,22,0.409,9,55.7,34,0.61,21.7,16,30,0.6,18,0.625,15,"February 12, 2019",56.0,14,6.7,2,107.6,66.7,18,0.491,58,0.431,25,0.103,6,0.5,3,16,200,90.9,26.5,9,10,60,,13.6,9,0.448,26,0.269,7,44.3,27,0.493,18.8,14,32,0.563,18,0.36,9,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,65.5,Away,SAN-DIEGO-STATE,San Diego State,Colorado State,mwc
2019-02-20-22-san-jose-state,74.3,26,13.3,6,97.2,74.3,26,0.729,59,0.593,35,0.186,11,0.455,5,16,200,126.4,30.8,8,18,91,,5.6,4,0.559,33,0.485,16,55.7,34,0.708,19.0,15,26,0.731,19,0.385,10,"February 20, 2019",53.6,15,3.8,1,126.4,69.2,18,0.462,66,0.424,28,0.212,14,0.643,9,22,200,97.2,25.7,9,13,70,,12.5,9,0.318,21,0.238,5,44.3,27,0.482,12.2,10,45,0.511,23,0.12,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,72.4,Away,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-02-23-14-colorado-state,43.8,7,7.1,2,115.3,78.6,22,0.327,52,0.308,16,0.269,14,1.0,14,21,200,66.7,8.3,3,19,48,,9.7,7,0.462,24,0.083,2,39.1,25,0.409,20.5,15,28,0.5,14,0.222,6,"February 23, 2019",69.0,20,7.1,2,66.7,91.7,33,0.612,58,0.5,29,0.259,15,0.8,12,16,200,115.3,21.4,6,15,83,,12.5,9,0.517,30,0.433,13,60.9,39,0.637,18.8,15,28,0.571,16,0.407,11,"Moby Arena, Fort Collins, Colorado",WYOMING,Wyoming,72.4,Home,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-02-27-21-boise-state,50.0,16,12.2,5,87.3,83.3,30,0.636,55,0.582,32,0.164,9,0.667,6,16,200,107.0,8.7,2,10,76,,4.2,3,0.273,15,0.4,6,54.2,32,0.641,16.9,12,40,0.65,26,0.429,12,"February 27, 2019",40.7,11,2.5,1,107.0,91.3,21,0.434,68,0.397,27,0.103,7,0.429,3,17,200,87.3,16.7,6,14,62,,11.3,8,0.397,27,0.185,5,45.8,27,0.435,10.1,8,41,0.537,22,0.393,11,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,71.3,Away,COLORADO-STATE,Colorado State,Colorado State,mwc
2019-03-02-22-new-mexico,36.0,9,0.0,0,113.2,48.4,15,0.5,54,0.463,25,0.315,17,0.647,11,17,200,95.6,12.9,4,22,65,,10.3,7,0.278,15,0.267,4,30.6,19,0.524,12.8,9,39,0.538,21,0.414,12,"March 2, 2019",57.7,15,5.1,2,95.6,87.1,27,0.518,56,0.464,26,0.536,30,0.633,19,16,200,113.2,51.6,16,19,77,,7.4,5,0.321,18,0.333,6,69.4,43,0.548,16.8,14,38,0.526,20,0.429,12,"The Pit, Albuquerque, New Mexico",COLORADO-STATE,Colorado State,67.7,Home,NEW-MEXICO,New Mexico,Colorado State,mwc
2019-03-05-21-colorado-state,38.5,15,7.9,3,123.1,80.0,24,0.646,65,0.6,39,0.385,25,0.64,16,6,225,128.2,28.1,9,18,100,,3.8,3,0.246,16,0.375,6,53.2,33,0.65,10.6,9,49,0.673,33,0.806,25,"March 5, 2019",50.0,16,10.2,5,128.2,71.9,23,0.594,64,0.5,32,0.406,26,0.769,20,18,225,123.1,20.0,6,22,96,,9.0,7,0.406,26,0.462,12,46.8,29,0.629,9.6,8,38,0.526,20,0.4,12,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,69.0,Away,UTAH-STATE,Utah State,Colorado State,mwc
2019-03-09-16-colorado-state,45.8,11,5.7,2,95.2,76.9,30,0.528,53,0.453,24,0.226,12,0.75,9,13,200,103.2,17.2,5,11,65,,6.3,4,0.396,21,0.381,8,51.5,35,0.554,13.4,9,32,0.5,16,0.567,17,"March 9, 2019",65.2,15,3.1,1,103.2,82.8,24,0.429,63,0.365,23,0.159,10,0.6,6,19,200,95.2,23.1,9,11,60,,11.1,7,0.444,28,0.286,8,48.5,33,0.443,6.9,5,35,0.429,15,0.387,12,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,63.2,Away,NEVADA-LAS-VEGAS,UNLV,Colorado State,mwc
2019-03-13-14-boise-state,52.2,12,4.0,1,103.1,71.4,15,0.531,49,0.469,23,0.143,7,0.714,5,20,200,89.1,10.0,2,16,57,,12.5,8,0.408,20,0.3,6,41.5,17,0.545,25.7,18,29,0.586,17,0.375,12,"March 13, 2019",57.1,12,10.3,3,89.1,90.0,18,0.573,41,0.512,21,0.585,24,0.792,19,19,200,103.1,28.6,6,12,66,,14.1,9,0.39,16,0.313,5,58.5,24,0.63,20.1,13,25,0.64,16,0.406,13,"Thomas & Mack Center, Las Vegas, Nevada",COLORADO-STATE,Colorado State,63.9,Home,BOISE-STATE,Boise State,Colorado State,mwc
