,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-tennessee,50.0,7,2.2,1,116.2,74.2,23,0.261,67,0.209,14,0.164,11,0.545,6,0,200,55.4,25.0,12,20,41,,9.5,7,0.522,35,0.2,7,44.3,35,0.284,17.3,15,32,0.219,7,0.0,0,"November 6, 2018",64.7,22,31.3,10,55.4,75.0,36,0.608,60,0.567,34,0.35,21,0.619,13,0,200,116.2,25.8,8,16,86,6,12.2,9,0.233,14,0.357,5,55.7,44,0.615,13.7,11,46,0.63,29,1.0,1,"Thompson-Boling Arena, Knoxville, Tennessee","Lenoir-Rhyne
			","Lenoir-Rhyne
			",74.1,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-11-09-19-tennessee,44.0,11,2.4,1,120.8,64.3,18,0.46,63,0.397,25,0.222,14,0.5,7,1,200,90.3,22.2,8,16,65,,9.7,7,0.397,25,0.32,8,40.6,26,0.467,14.8,12,38,0.447,17,0.5,1,"November 9, 2018",79.4,27,10.5,4,90.3,77.8,28,0.611,63,0.54,34,0.19,12,0.833,10,0,200,120.8,35.7,10,15,87,6,4.2,3,0.333,21,0.429,9,59.4,38,0.633,13.9,11,42,0.595,25,1.0,2,"Thompson-Boling Arena, Knoxville, Tennessee",LOUISIANA-LAFAYETTE,Louisiana,71.7,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-11-13-21-tennessee,31.3,5,5.6,2,93.0,68.6,24,0.302,58,0.276,16,0.362,21,0.857,18,1,200,74.6,17.9,7,30,53,,8.5,6,0.328,19,0.158,3,41.9,31,0.39,16.2,13,39,0.333,13,0.5,1,"November 13, 2018",63.2,12,10.3,4,74.6,82.1,32,0.438,48,0.396,19,0.792,38,0.632,24,0,200,93.0,31.4,11,19,66,5,8.5,6,0.25,12,0.333,4,58.1,43,0.5,15.6,12,36,0.417,15,1.0,3,"Thompson-Boling Arena, Knoxville, Tennessee",GEORGIA-TECH,Georgia Tech,70.5,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-11-21-17-tennessee,57.7,15,7.3,3,119.5,76.7,23,0.534,59,0.441,26,0.407,24,0.75,18,1,200,105.2,22.2,8,20,81,,9.1,7,0.475,28,0.393,11,47.0,31,0.575,16.8,14,31,0.484,15,0.75,3,"November 21, 2018",64.7,22,25.8,8,105.2,77.8,28,0.603,63,0.54,34,0.397,25,0.64,16,0,200,119.5,23.3,7,19,92,5,6.5,5,0.349,22,0.364,8,53.0,35,0.614,11.9,10,41,0.634,26,1.0,4,"Barclays Center, Brooklyn, New York",LOUISVILLE,Louisville,77.1,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-11-23-21-kansas,61.3,19,9.3,4,103.6,75.0,27,0.46,75,0.413,31,0.227,17,0.706,12,1,225,96.4,29.3,12,25,81,5,6.0,5,0.36,27,0.259,7,50.6,39,0.488,14.5,14,48,0.5,24,0.8,4,"November 23, 2018",43.3,13,4.2,2,96.4,70.7,29,0.542,60,0.5,30,0.567,34,0.647,22,0,225,103.6,25.0,9,18,87,2,7.1,6,0.283,17,0.294,5,49.4,38,0.571,17.6,16,43,0.581,25,1.0,5,"Barclays Center, Brooklyn, New York",TENNESSEE,Tennessee,74.8,Home,KANSAS,Kansas,Tennessee,sec
2018-11-28-18-tennessee,52.4,11,0.0,0,115.9,54.1,20,0.424,59,0.356,21,0.424,25,0.68,17,4,200,81.7,16.2,6,23,67,,15.9,13,0.492,29,0.276,8,35.1,26,0.473,22.2,20,30,0.433,13,0.429,3,"November 28, 2018",68.6,24,16.7,5,81.7,83.8,31,0.558,69,0.507,35,0.362,25,0.72,18,1,200,115.9,45.9,17,20,95,6,6.1,5,0.406,28,0.25,7,64.9,48,0.587,16.7,16,41,0.683,28,0.833,5,"Thompson-Boling Arena, Knoxville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,82.4,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-12-02-12-tennessee,52.6,10,3.1,1,114.5,84.0,21,0.398,59,0.322,19,0.102,6,0.667,4,4,200,73.9,21.1,8,19,51,,8.7,6,0.424,25,0.36,9,46.0,29,0.412,18.5,14,34,0.294,10,0.5,4,"December 2, 2018",76.9,20,17.6,6,73.9,78.9,30,0.602,49,0.531,26,0.51,25,0.8,20,1,200,114.5,16.0,4,7,79,6,14.5,10,0.347,17,0.412,7,54.0,34,0.649,17.8,13,32,0.594,19,0.857,6,"Thompson-Boling Arena, Knoxville, Tennessee",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,68.9,Home,TENNESSEE,Tennessee,Tennessee,sec
2018-12-09-15-gonzaga,75.9,22,9.8,4,107.4,68.8,22,0.486,72,0.403,29,0.139,10,0.6,6,1,200,111.8,35.6,16,16,76,7,2.9,2,0.403,29,0.414,12,49.4,38,0.495,8.4,7,43,0.395,17,0.875,7,"December 9, 2018",51.9,14,4.7,2,111.8,64.4,29,0.517,59,0.458,27,0.322,19,0.632,12,1,200,107.4,31.3,10,17,73,1,5.9,4,0.305,18,0.389,7,50.6,39,0.537,14.0,11,41,0.488,20,0.9,9,"Talking Stick Resort Arena, Phoenix, Arizona",GONZAGA,Gonzaga,68.4,Away,TENNESSEE,Tennessee,Tennessee,sec
2018-12-15-12-memphis,77.8,21,18.8,9,115.0,60.0,27,0.606,52,0.519,27,0.885,46,0.848,39,1,200,127.5,38.5,10,22,102,3,5.0,4,0.462,24,0.375,9,52.1,37,0.691,19.0,17,28,0.643,18,0.889,8,"December 15, 2018",63.6,21,7.1,2,127.5,61.5,16,0.494,77,0.429,33,0.286,22,0.727,16,5,200,115.0,40.0,18,35,92,,12.5,10,0.377,29,0.345,10,47.9,34,0.526,9.4,9,48,0.479,23,0.5,5,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,79.7,Away,TENNESSEE,Tennessee,Tennessee,sec
2018-12-19-19-tennessee,56.5,13,4.7,2,116.9,78.6,22,0.421,63,0.365,23,0.349,22,0.773,17,3,200,98.6,30.0,12,17,70,,9.9,7,0.365,23,0.304,7,50.0,34,0.477,14.2,12,40,0.4,16,0.769,10,"December 19, 2018",66.7,22,10.0,4,98.6,70.0,28,0.623,57,0.579,33,0.351,20,0.6,12,1,200,116.9,21.4,6,17,83,3,9.9,7,0.246,14,0.357,5,50.0,34,0.624,12.0,9,43,0.651,28,0.9,9,"Thompson-Boling Arena, Knoxville, Tennessee",SAMFORD,Samford,71.5,Home,TENNESSEE,Tennessee,Tennessee,sec
