,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-18-indiana,68.4,13,4.2,2,123.8,63.9,23,0.358,60,0.317,19,0.35,21,0.571,12,1,196,65.5,14.6,6,26,55,,11.9,10,0.35,21,0.238,5,37.7,29,0.393,22.4,20,39,0.359,14,0.0,0,"November 6, 2018",51.3,20,12.8,5,65.5,85.4,35,0.616,69,0.565,39,0.478,33,0.576,19,0,196,123.8,36.1,13,19,104,,14.3,12,0.304,21,0.333,7,62.3,48,0.614,13.5,13,48,0.667,32,1.0,1,"Assembly Hall, Bloomington, Indiana",CHICAGO-STATE,Chicago State,86.0,Home,INDIANA,Indiana,Chicago State,wac
2018-11-08-19-notre-dame,55.0,11,0.0,0,132.8,57.5,23,0.468,47,0.426,20,0.489,23,0.783,18,2,200,92.5,17.9,5,20,62,,4.5,3,0.298,14,0.286,4,41.2,28,0.535,17.4,12,33,0.485,16,0.0,0,"November 8, 2018",58.1,18,9.1,3,92.5,82.1,23,0.528,71,0.437,31,0.268,19,0.737,14,0,200,132.8,42.5,17,18,89,,7.5,5,0.563,40,0.325,13,58.8,40,0.556,7.0,6,31,0.581,18,1.0,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",CHICAGO-STATE,Chicago State,67.0,Home,NOTRE-DAME,Notre Dame,Chicago State,wac
2018-11-09-19-central-michigan,20.0,4,4.8,2,124.7,62.2,23,0.375,56,0.357,20,0.554,31,0.581,18,3,200,74.1,31.6,12,27,60,,4.9,4,0.286,16,0.125,2,46.7,35,0.424,24.0,22,40,0.45,18,0.0,0,"November 9, 2018",58.3,21,10.0,4,74.1,68.4,26,0.575,73,0.493,36,0.384,28,0.607,17,0,200,124.7,37.8,14,27,101,,11.1,9,0.425,31,0.387,12,53.3,40,0.585,8.6,8,42,0.571,24,1.0,2,"McGuirk Arena, Mt. Pleasant, Michigan",CHICAGO-STATE,Chicago State,80.5,Home,CENTRAL-MICHIGAN,Central Michigan,Chicago State,wac
2018-11-13-20-illinois-state,39.1,9,2.9,1,101.4,73.5,25,0.408,60,0.383,23,0.467,28,0.786,22,4,200,95.9,29.4,10,19,71,,10.8,8,0.317,19,0.158,3,51.5,35,0.484,13.2,11,41,0.488,20,0.0,0,"November 13, 2018",64.3,18,14.6,6,95.9,70.6,24,0.525,61,0.459,28,0.311,19,0.579,11,1,200,101.4,26.5,9,21,75,,8.1,6,0.426,26,0.308,8,48.5,33,0.536,14.7,12,35,0.571,20,0.667,2,"Redbird Arena, Normal, Illinois",CHICAGO-STATE,Chicago State,73.7,Home,ILLINOIS-STATE,Illinois State,Chicago State,wac
2018-11-16-19-akron,29.4,5,0.0,0,110.1,83.3,20,0.33,53,0.321,17,0.396,21,0.524,11,5,200,58.2,16.7,5,30,46,,7.6,6,0.189,10,0.1,1,46.3,25,0.365,24.3,20,43,0.372,16,0.0,0,"November 16, 2018",46.4,13,16.3,7,58.2,83.3,25,0.632,53,0.528,28,0.642,34,0.588,20,0,200,110.1,16.7,4,24,87,,12.7,10,0.547,29,0.379,11,53.7,29,0.629,17.1,14,24,0.708,17,1.0,3,"James A. Rhodes Arena, Akron, Ohio",CHICAGO-STATE,Chicago State,78.6,Home,AKRON,Akron,Chicago State,wac
2018-11-19-19-east-tennessee-state,46.2,12,10.3,3,126.5,53.8,14,0.528,53,0.491,26,0.151,8,0.625,5,6,200,89.7,15.4,4,21,61,,7.4,5,0.283,15,0.267,4,34.6,18,0.537,21.0,15,38,0.579,22,0.0,0,"November 19, 2018",60.7,17,10.5,4,89.7,84.6,22,0.589,56,0.5,28,0.411,23,0.87,20,2,200,126.5,46.2,12,17,86,,10.3,7,0.482,27,0.37,10,65.4,34,0.643,16.4,13,29,0.621,18,0.6,3,"Freedom Hall Civic Center, Johnson City, Tennessee",CHICAGO-STATE,Chicago State,67.9,Home,EAST-TENNESSEE-STATE,ETSU,Chicago State,wac
2018-11-20-16-chicago-state,65.6,21,10.3,4,90.7,76.9,30,0.538,65,0.492,32,0.2,13,0.846,11,4,200,108.0,32.3,10,19,81,,14.7,11,0.292,19,0.316,6,57.1,40,0.569,15.5,13,46,0.565,26,0.2,1,"November 20, 2018",65.2,15,4.3,2,108.0,67.7,21,0.429,63,0.365,23,0.254,16,0.875,14,7,200,90.7,23.1,9,14,68,,6.7,5,0.381,24,0.333,8,42.9,30,0.482,17.6,15,39,0.385,15,0.0,0,"John Gray Gymnasium, Grand Cayman",CHICAGO-STATE,Chicago State,75.4,Away,JACKSON-STATE,Jackson State,Chicago State,wac
2018-11-24-14-bradley,78.9,15,8.1,3,128.4,65.5,19,0.469,48,0.396,19,0.625,30,0.833,25,8,200,104.5,22.2,6,19,70,,9.0,6,0.25,12,0.583,7,44.6,25,0.562,16.4,12,36,0.333,12,0.0,0,"November 24, 2018",73.3,22,11.1,4,104.5,77.8,21,0.585,59,0.508,30,0.305,18,0.944,17,1,200,128.4,34.5,10,23,86,,13.4,9,0.373,22,0.409,9,55.4,31,0.637,11.9,9,37,0.568,21,0.857,6,"Carver Arena, Peoria, Illinois",CHICAGO-STATE,Chicago State,67.4,Home,BRADLEY,Bradley,Chicago State,wac
2018-11-29-20-chicago-state,40.0,10,5.9,3,98.9,75.8,25,0.394,71,0.352,25,0.211,15,0.733,11,0,200,73.6,19.5,8,26,67,,12.1,11,0.352,25,0.24,6,44.6,33,0.429,22.1,22,46,0.413,19,0.0,0,"November 29, 2018",68.4,26,6.5,3,73.6,80.5,33,0.59,67,0.567,38,0.388,26,0.423,11,8,200,98.9,24.2,8,19,90,,14.3,13,0.239,16,0.188,3,55.4,41,0.567,18.7,18,51,0.686,35,0.111,1,"Emil and Patricia Jones Convocation Center, Chicago, Illinois","East-West
			","East-West
			",90.7,Home,CHICAGO-STATE,Chicago State,Chicago State,wac
2018-12-01-15-chicago-state,50.0,12,0.0,0,105.3,76.2,16,0.468,62,0.387,24,0.339,21,0.667,14,5,200,94.7,23.5,8,21,72,,11.8,9,0.532,33,0.303,10,43.6,24,0.5,17.4,15,29,0.483,14,0.375,3,"December 1, 2018",73.3,22,3.4,1,94.7,76.5,26,0.663,49,0.612,30,0.449,22,0.682,15,8,200,105.3,23.8,5,18,80,,9.2,7,0.245,12,0.417,5,56.4,31,0.673,24.5,19,37,0.676,25,0.2,2,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",EASTERN-ILLINOIS,Eastern Illinois,76.2,Home,CHICAGO-STATE,Chicago State,Chicago State,wac
