,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-njit,56.0,14,14.7,5,122.7,74.2,23,0.528,53,0.472,25,0.509,27,0.815,22,1,225,118.2,41.4,12,19,78,,3.0,2,0.34,18,0.333,6,58.3,35,0.592,14.5,11,35,0.543,19,0.0,0,"November 6, 2018",53.8,14,8.6,3,118.2,58.6,17,0.573,55,0.473,26,0.491,27,0.667,18,0,225,122.7,25.8,8,22,81,,7.6,5,0.382,21,0.524,11,41.7,25,0.597,9.5,7,34,0.441,15,1.0,1,"NJIT Wellness and Events Center, Newark, New Jersey",COLGATE,Colgate,58.5,Home,NJIT,NJIT,NJIT,atlantic-sun
2018-11-09-20-binghamton,44.4,12,7.7,3,81.4,77.3,34,0.492,61,0.443,27,0.377,23,0.609,14,0,200,105.7,28.9,11,19,74,,7.1,5,0.361,22,0.273,6,54.9,45,0.514,11.2,9,39,0.538,21,1.0,2,"November 9, 2018",44.4,8,17.9,7,105.7,71.1,27,0.36,57,0.316,18,0.386,22,0.727,16,2,200,81.4,22.7,10,18,57,,2.9,2,0.316,18,0.278,5,45.1,37,0.423,15.3,12,39,0.333,13,0.0,0,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,69.7,Away,NJIT,NJIT,NJIT,atlantic-sun
2018-11-11-14-njit,42.9,9,6.5,2,91.3,75.9,22,0.42,56,0.375,21,0.375,21,0.619,13,2,200,87.0,24.3,9,19,60,,11.6,8,0.411,23,0.217,5,47.0,31,0.455,17.7,14,33,0.485,16,0.0,0,"November 11, 2018",24.0,6,3.0,1,87.0,75.7,28,0.55,50,0.5,25,0.32,16,0.5,8,0,200,91.3,24.1,7,19,63,,13.0,9,0.38,19,0.263,5,53.0,35,0.547,21.9,16,31,0.645,20,1.0,3,"NJIT Wellness and Events Center, Newark, New Jersey",BROWN,Brown,68.8,Home,NJIT,NJIT,NJIT,atlantic-sun
2018-11-14-19-njit,66.7,10,0.0,0,109.0,75.0,21,0.442,43,0.349,15,0.14,6,0.333,2,0,200,59.7,4.0,1,18,40,,9.0,6,0.558,24,0.333,8,41.5,22,0.436,30.5,20,19,0.368,7,0.0,0,"November 14, 2018",38.5,10,26.3,5,59.7,96.0,24,0.547,53,0.491,26,0.34,18,0.833,15,0,200,109.0,25.0,7,12,73,,16.4,11,0.434,23,0.261,6,58.5,31,0.593,19.8,15,30,0.667,20,1.0,4,"NJIT Wellness and Events Center, Newark, New Jersey","Kean
			","Kean
			",67.2,Home,NJIT,NJIT,NJIT,atlantic-sun
2018-11-17-16-njit,62.5,20,13.2,5,114.1,70.6,24,0.73,50,0.64,32,0.32,16,0.813,13,2,200,134.4,43.8,7,16,86,,4.7,3,0.4,20,0.45,9,62.0,31,0.747,19.7,14,30,0.767,23,0.6,3,"November 17, 2018",26.9,7,0.0,0,134.4,56.3,9,0.509,58,0.448,26,0.328,19,0.737,14,1,200,114.1,29.4,10,16,73,,7.8,5,0.345,20,0.35,7,38.0,19,0.545,8.3,6,38,0.5,19,0.8,4,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,63.8,Away,CORNELL,Cornell,NJIT,atlantic-sun
2018-11-20-19-wagner,21.1,4,9.4,3,82.2,55.3,21,0.5,43,0.442,19,0.977,42,0.667,28,1,200,97.3,23.1,6,22,71,,12.3,9,0.302,13,0.385,5,42.2,27,0.564,18.5,14,30,0.467,14,0.833,5,"November 20, 2018",58.8,10,6.7,2,97.3,76.9,20,0.36,57,0.298,17,0.526,30,0.633,19,3,200,82.2,44.7,17,36,60,,15.1,11,0.439,25,0.28,7,57.8,37,0.421,23.0,21,32,0.313,10,0.4,2,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,73.1,Away,NJIT,NJIT,NJIT,atlantic-sun
2018-11-24-14-long-island-university,44.4,12,7.1,2,94.6,81.3,26,0.508,59,0.458,27,0.39,23,0.739,17,1,200,104.1,18.2,6,18,77,,8.1,6,0.373,22,0.273,6,49.2,32,0.551,12.6,10,37,0.568,21,0.857,6,"November 24, 2018",60.9,14,10.8,4,104.1,81.8,27,0.491,57,0.404,23,0.333,19,0.737,14,3,200,94.6,18.8,6,23,70,,4.1,3,0.509,29,0.345,10,50.8,33,0.53,17.6,14,28,0.464,13,0.5,3,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,74.0,Away,NJIT,NJIT,NJIT,atlantic-sun
2018-11-28-19-drexel,52.0,13,17.0,8,91.8,70.3,26,0.491,57,0.439,25,0.404,23,0.609,14,1,200,95.9,9.4,3,16,70,,6.8,5,0.298,17,0.353,6,42.0,29,0.515,8.2,6,40,0.475,19,0.875,7,"November 28, 2018",53.8,14,10.0,4,95.9,90.6,29,0.426,68,0.382,26,0.206,14,0.643,9,4,200,91.8,29.7,11,21,67,,2.7,2,0.309,21,0.286,6,58.0,40,0.449,12.9,11,47,0.426,20,0.429,3,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,72.8,Away,NJIT,NJIT,NJIT,atlantic-sun
2018-12-01-14-massachusetts-lowell,18.5,5,0.0,0,125.3,73.9,17,0.468,63,0.429,27,0.27,17,0.706,12,2,200,94.7,30.6,11,19,71,,10.7,8,0.286,18,0.278,5,47.5,28,0.499,16.6,14,45,0.489,22,0.778,7,"December 1, 2018",67.6,23,4.4,2,94.7,69.4,25,0.669,59,0.576,34,0.339,20,0.75,15,5,200,125.3,26.1,6,18,94,,8.0,6,0.373,22,0.5,11,52.5,31,0.686,16.1,13,37,0.622,23,0.5,5,"Tsongas Center, Lowell, Massachusetts",NJIT,NJIT,74.8,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,NJIT,atlantic-sun
2018-12-04-19-njit,66.7,18,13.8,4,102.7,91.2,31,0.469,65,0.415,27,0.246,16,0.688,11,6,200,96.0,13.5,5,24,72,,4.0,3,0.385,25,0.28,7,50.7,36,0.496,11.1,9,40,0.5,20,0.4,4,"December 4, 2018",50.0,13,5.0,2,96.0,86.5,32,0.565,54,0.481,26,0.5,27,0.593,16,2,200,102.7,8.8,3,18,77,,6.7,5,0.463,25,0.36,9,49.3,35,0.576,13.2,10,29,0.586,17,0.8,8,"NJIT Wellness and Events Center, Newark, New Jersey",ARMY,Army,75.2,Home,NJIT,NJIT,NJIT,atlantic-sun
