,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-george-mason,51.7,15,3.8,2,95.9,68.8,22,0.611,54,0.537,29,0.333,18,0.333,6,0,200,97.3,22.6,7,19,72,,8.1,6,0.37,20,0.4,8,46.0,29,0.576,22.5,18,34,0.618,21,1.0,1,"November 6, 2018",28.6,8,14.7,5,97.3,77.4,24,0.483,60,0.467,28,0.267,16,0.813,13,1,200,95.9,31.3,10,23,71,,9.5,7,0.133,8,0.25,2,54.0,34,0.525,20.2,17,52,0.5,26,0.0,0,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,74.1,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-11-09-20-pennsylvania,32.3,10,7.3,3,110.8,76.7,23,0.515,66,0.47,31,0.212,14,0.571,8,1,200,91.6,9.4,3,20,76,,10.8,9,0.273,18,0.333,6,41.9,26,0.523,17.2,15,48,0.521,25,0.5,1,"November 9, 2018",58.1,18,8.3,4,91.6,90.6,29,0.575,60,0.517,31,0.467,28,0.821,23,0,200,110.8,23.3,7,15,92,,10.8,9,0.317,19,0.368,7,58.1,36,0.628,17.2,15,41,0.585,24,1.0,2,"The Palestra, Philadelphia, Pennsylvania",RICE,Rice,83.0,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-11-13-19-pennsylvania,38.5,10,9.4,3,130.0,82.6,19,0.577,52,0.5,26,0.058,3,0.333,1,2,200,87.1,8.3,2,14,61,,4.3,3,0.385,20,0.4,8,44.7,21,0.571,25.2,18,32,0.563,18,0.333,1,"November 13, 2018",54.3,19,0.0,0,87.1,91.7,22,0.68,61,0.574,35,0.148,9,0.889,8,0,200,130.0,17.4,4,12,91,,11.4,8,0.475,29,0.448,13,55.3,26,0.697,12.2,9,32,0.688,22,1.0,3,"The Palestra, Philadelphia, Pennsylvania",LAFAYETTE,Lafayette,69.9,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-11-16-17-pennsylvania,21.4,6,3.4,1,106.8,80.0,24,0.483,60,0.467,28,0.283,17,0.765,13,2,200,97.3,52.0,13,18,71,,8.2,6,0.283,17,0.118,2,67.3,37,0.521,22.9,20,43,0.605,26,0.333,1,"November 16, 2018",44.8,13,7.0,3,97.3,48.0,12,0.614,57,0.509,29,0.263,15,0.533,8,0,200,106.8,20.0,6,21,78,,17.8,13,0.491,28,0.429,12,32.7,18,0.608,17.0,13,29,0.586,17,1.0,4,"Virgin Islands Sport & Fitness Center , St. Thomas",NORTHERN-IOWA,Northern Iowa,73.1,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-11-18-19-kansas-state,53.3,8,2.0,1,92.8,70.6,24,0.347,49,0.306,15,0.449,22,0.636,14,1,200,69.6,25.9,7,20,48,,8.7,6,0.408,20,0.2,4,50.8,31,0.404,24.5,19,29,0.379,11,0.8,4,"November 18, 2018",41.7,10,17.2,5,69.6,74.1,20,0.439,57,0.421,24,0.333,19,0.737,14,0,200,92.8,29.4,10,23,64,12,10.1,7,0.123,7,0.286,2,49.2,30,0.485,14.4,11,50,0.44,22,1.0,4,"Virgin Islands Sport & Fitness Center , St. Thomas",PENNSYLVANIA,Penn,69.2,Home,KANSAS-STATE,Kansas State,Pennsylvania,ivy
2018-11-19-17-pennsylvania,37.9,11,15.6,5,84.1,76.3,29,0.57,57,0.509,29,0.246,14,0.643,9,1,200,107.2,28.6,8,14,74,,11.6,8,0.333,19,0.368,7,56.1,37,0.581,16.0,12,38,0.579,22,0.8,4,"November 19, 2018",47.6,10,5.3,2,107.2,71.4,20,0.424,59,0.356,21,0.288,17,0.471,8,2,200,84.1,23.7,9,12,58,,5.8,4,0.458,27,0.296,8,43.9,29,0.432,15.3,12,32,0.406,13,0.667,4,"Virgin Islands Sport & Fitness Center , St. Thomas",PENNSYLVANIA,Penn,68.9,Away,OREGON-STATE,Oregon State,Pennsylvania,ivy
2018-11-24-14-pennsylvania,38.1,8,10.0,4,136.6,70.3,26,0.394,66,0.318,21,0.303,20,0.55,11,0,200,76.8,23.4,11,20,63,,8.5,7,0.394,26,0.385,10,44.0,37,0.417,18.5,17,40,0.275,11,0.0,0,"November 24, 2018",69.0,29,2.5,1,76.8,76.6,36,0.669,74,0.568,42,0.297,22,0.591,13,2,200,136.6,29.7,11,15,112,,11.0,9,0.459,34,0.441,15,56.0,47,0.663,9.7,9,40,0.675,27,0.714,5,"The Palestra, Philadelphia, Pennsylvania","Stockton
			","Stockton
			",82.0,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-11-27-19-delaware-state,58.3,14,16.3,7,62.3,89.6,43,0.508,60,0.4,24,0.383,23,0.652,15,2,200,98.7,20.0,8,19,76,,9.1,7,0.533,32,0.406,13,58.0,51,0.536,14.6,12,28,0.393,11,0.75,6,"November 27, 2018",53.3,8,7.1,2,98.7,80.0,32,0.294,63,0.238,15,0.238,15,0.733,11,6,200,62.3,10.4,5,18,48,,5.2,4,0.317,20,0.35,7,42.0,37,0.342,15.7,13,43,0.186,8,0.143,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,76.5,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-12-04-19-pennsylvania,35.7,10,5.9,2,136.9,66.7,14,0.534,58,0.483,28,0.328,19,0.684,13,4,200,115.4,25.0,8,16,75,,3.1,2,0.345,20,0.3,6,41.5,22,0.559,9.5,7,38,0.579,22,0.556,5,"December 4, 2018",67.6,23,7.9,3,115.4,75.0,24,0.711,57,0.596,34,0.211,12,0.667,8,2,200,136.9,33.3,7,18,89,,6.2,4,0.404,23,0.565,13,58.5,31,0.71,12.6,9,34,0.618,21,0.778,7,"The Palestra, Philadelphia, Pennsylvania",MIAMI-FL,Miami (FL),65.4,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-12-08-16-la-salle,80.6,25,8.6,3,89.0,62.5,20,0.639,54,0.574,31,0.333,18,0.778,14,2,200,113.7,33.3,8,18,83,,12.3,9,0.352,19,0.368,7,50.0,28,0.663,23.5,19,35,0.686,24,0.8,8,"December 8, 2018",36.4,8,8.6,3,113.7,66.7,16,0.445,55,0.4,22,0.382,21,0.762,16,10,200,89.0,37.5,12,20,65,,15.1,11,0.364,20,0.25,5,50.0,28,0.5,23.7,20,35,0.486,17,0.0,0,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,73.3,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
