,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-long-island-university,53.8,14,5.0,2,107.9,66.7,24,0.363,84,0.31,26,0.262,22,0.682,15,0,191,75.2,21.1,12,23,76,,10.9,11,0.298,25,0.36,9,38.7,36,0.402,19.0,22,59,0.288,17,0.0,0,"November 6, 2018",65.0,26,18.6,11,75.2,78.9,45,0.597,77,0.519,40,0.299,23,0.739,17,0,191,107.9,33.3,12,23,109,,16.8,17,0.481,37,0.324,12,61.3,57,0.62,20.2,22,40,0.7,28,1.0,1,"Steinberg Wellness Center, Brooklyn, New York","New Rochelle
			","New Rochelle
			",106.0,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast
2018-11-09-19-long-island-university,63.0,17,24.3,9,98.8,73.8,31,0.554,56,0.482,27,0.554,31,0.613,19,1,200,96.4,18.8,6,26,81,,8.3,7,0.321,18,0.444,8,50.0,37,0.573,17.7,15,38,0.5,19,0.0,0,"November 9, 2018",32.0,8,13.2,5,96.4,81.3,26,0.433,67,0.373,25,0.537,36,0.694,25,0,200,98.8,26.2,11,28,83,,9.5,8,0.448,30,0.267,8,50.0,37,0.493,15.3,15,37,0.459,17,1.0,2,"Steinberg Wellness Center, Brooklyn, New York",BROWN,Brown,83.9,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast
2018-11-13-19-fairfield,54.8,17,10.5,4,120.8,60.0,18,0.625,60,0.517,31,0.333,20,0.7,14,0,200,123.6,19.4,6,14,89,,11.1,8,0.417,25,0.52,13,39.3,24,0.64,11.6,9,35,0.514,18,1.0,3,"November 13, 2018",61.3,19,8.6,3,123.6,80.6,25,0.59,61,0.508,31,0.344,21,0.714,15,2,200,120.8,40.0,12,19,87,,8.3,6,0.377,23,0.435,10,60.7,37,0.613,14.6,12,38,0.553,21,0.333,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,71.7,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast
2018-11-18-21-san-francisco,44.4,8,4.7,2,112.0,67.9,19,0.336,64,0.281,18,0.25,16,0.563,9,1,200,69.3,17.1,7,16,52,,6.7,5,0.469,30,0.233,7,37.7,26,0.363,12.3,10,34,0.324,11,0.75,3,"November 18, 2018",44.1,15,14.7,5,69.3,82.9,34,0.589,62,0.548,34,0.306,19,0.579,11,0,200,112.0,32.1,9,17,84,,9.3,7,0.306,19,0.263,5,62.3,43,0.591,15.6,13,43,0.674,29,1.0,4,"Otter Sports Center, Marina, California",LONG-ISLAND-UNIVERSITY,LIU,74.8,Home,SAN-FRANCISCO,San Francisco,Long Island University,northeast
2018-11-20-20-milwaukee,38.5,10,16.3,7,116.5,73.0,27,0.432,66,0.394,26,0.591,39,0.769,30,2,225,110.1,35.6,16,27,87,,6.3,5,0.5,33,0.152,5,52.4,43,0.515,7.8,7,33,0.636,21,0.6,3,"November 20, 2018",29.6,8,12.1,4,110.1,64.4,29,0.476,62,0.435,27,0.661,41,0.805,33,4,225,116.5,27.0,10,26,92,,3.8,3,0.306,19,0.263,5,47.6,39,0.565,11.1,10,43,0.512,22,0.2,1,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",LONG-ISLAND-UNIVERSITY,LIU,69.8,Home,MILWAUKEE,Milwaukee,Long Island University,northeast
2018-11-24-14-long-island-university,44.4,12,7.1,2,94.6,81.3,26,0.508,59,0.458,27,0.39,23,0.739,17,1,200,104.1,18.2,6,18,77,,8.1,6,0.373,22,0.273,6,49.2,32,0.551,12.6,10,37,0.568,21,0.857,6,"November 24, 2018",60.9,14,10.8,4,104.1,81.8,27,0.491,57,0.404,23,0.333,19,0.737,14,3,200,94.6,18.8,6,23,70,,4.1,3,0.509,29,0.345,10,50.8,33,0.53,17.6,14,28,0.464,13,0.5,3,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,74.0,Away,NJIT,NJIT,Long Island University,northeast
2018-11-29-14-albany-ny,50.0,13,17.6,6,93.9,65.6,21,0.5,63,0.413,26,0.349,22,0.773,17,3,200,97.6,24.3,9,21,80,,12.2,10,0.444,28,0.393,11,43.5,30,0.545,18.0,16,35,0.429,15,0.571,4,"November 29, 2018",40.0,10,14.3,5,97.6,75.7,28,0.5,56,0.446,25,0.482,27,0.778,21,5,200,93.9,34.4,11,24,77,,7.3,6,0.393,22,0.273,6,56.5,39,0.559,27.7,26,34,0.559,19,0.286,2,"SSE Arena, Belfast",ALBANY-NY,Albany (NY),82.1,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast
2018-11-30-14-long-island-university,59.3,16,13.0,3,77.9,74.3,26,0.526,57,0.474,27,0.298,17,0.588,10,4,200,102.9,30.0,9,19,70,,14.7,10,0.404,23,0.261,6,53.8,35,0.538,16.8,13,34,0.618,21,0.429,3,"November 30, 2018",41.2,7,8.8,3,102.9,70.0,21,0.396,53,0.321,17,0.302,16,0.688,11,4,200,77.9,25.7,9,19,53,,11.8,8,0.566,30,0.267,8,46.2,30,0.437,21.0,16,23,0.391,9,0.5,4,"SSE Arena, Belfast",LONG-ISLAND-UNIVERSITY,LIU,68.3,Away,MARIST,Marist,Long Island University,northeast
2018-12-08-13-saint-peters,56.5,13,7.0,3,86.6,79.4,27,0.577,52,0.442,23,0.385,20,0.7,14,4,200,110.4,31.3,10,14,74,,13.4,9,0.673,35,0.4,14,56.1,37,0.602,18.7,14,17,0.529,9,0.556,5,"December 8, 2018",47.8,11,35.3,6,110.4,68.8,22,0.455,55,0.418,23,0.218,12,0.667,8,7,200,86.6,20.6,7,19,58,,11.9,8,0.218,12,0.333,4,43.9,29,0.478,18.8,14,43,0.442,19,0.222,2,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,66.6,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast
2018-12-12-19-stony-brook,59.3,16,8.5,4,113.7,61.8,21,0.663,49,0.551,27,0.49,24,0.583,14,5,200,108.2,8.3,2,19,79,,8.2,6,0.449,22,0.5,11,39.7,23,0.654,20.1,15,27,0.593,16,0.5,5,"December 12, 2018",43.8,14,14.8,4,108.2,91.7,22,0.531,65,0.492,32,0.323,21,0.667,14,2,200,113.7,38.2,13,17,83,,6.8,5,0.277,18,0.278,5,60.3,35,0.554,12.9,11,47,0.574,27,0.818,9,"Island Federal Credit Union, Stony Brook, New York",LONG-ISLAND-UNIVERSITY,LIU,73.2,Home,STONY-BROOK,Stony Brook,Long Island University,northeast
