,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-hampton,73.9,17,2.0,1,125.0,58.3,21,0.327,84,0.274,23,0.06,5,0.6,3,0,200,65.9,26.5,13,20,58,,4.5,4,0.393,33,0.273,9,40.0,34,0.336,15.7,16,51,0.275,14,0.0,0,"November 6, 2018",61.0,25,25.5,13,65.9,73.5,36,0.568,81,0.506,41,0.259,21,0.857,18,0,200,125.0,41.7,15,15,110,,9.1,8,0.395,32,0.313,10,60.0,51,0.605,10.9,11,49,0.633,31,1.0,1,"Hampton Convocation Center, Hampton, Virginia","Mid-Atlantic Christian
			","Mid-Atlantic Christian
			",88.2,Home,HAMPTON,Hampton,Hampton,big-south
2018-11-09-19-virginia-commonwealth,38.9,7,8.8,3,86.3,87.9,29,0.315,62,0.29,18,0.387,24,0.75,18,1,200,71.3,26.7,12,26,57,,2.5,2,0.274,17,0.176,3,52.6,41,0.388,19.0,17,45,0.333,15,0.5,1,"November 9, 2018",60.9,14,8.9,4,71.3,73.3,33,0.472,54,0.426,23,0.574,31,0.581,18,0,200,86.3,12.1,4,25,69,,10.0,8,0.37,20,0.25,5,47.4,37,0.502,19.1,16,34,0.529,18,1.0,2,"Stuart Siegel Center, Richmond, Virginia",HAMPTON,Hampton,79.6,Home,VIRGINIA-COMMONWEALTH,VCU,Hampton,big-south
2018-11-13-22-california,22.7,5,2.6,1,108.1,82.8,24,0.331,71,0.31,22,0.31,22,0.864,19,2,200,89.2,30.0,12,22,66,,5.4,4,0.296,21,0.143,3,52.2,36,0.405,10.0,9,50,0.38,19,0.333,1,"November 13, 2018",61.5,16,20.0,10,89.2,70.0,28,0.577,52,0.5,26,0.519,27,0.741,20,1,200,108.1,17.2,5,19,80,,6.8,5,0.269,14,0.571,8,47.8,33,0.617,13.5,10,38,0.474,18,0.5,1,"Haas Pavilion, Berkeley, California",HAMPTON,Hampton,74.1,Home,CALIFORNIA,California,Hampton,big-south
2018-11-19-17-hampton,33.3,11,26.7,8,101.3,71.9,23,0.493,72,0.458,33,0.222,16,0.625,10,2,200,103.8,30.6,11,20,81,,11.5,9,0.194,14,0.357,5,50.0,34,0.509,12.2,11,58,0.483,28,0.6,3,"November 19, 2018",41.7,10,5.2,3,103.8,69.4,25,0.526,58,0.414,24,0.397,23,0.783,18,3,200,101.3,28.1,9,21,79,,9.0,7,0.483,28,0.464,13,50.0,34,0.573,20.0,17,30,0.367,11,0.25,1,"Calihan Hall, Detroit, Michigan",HAMPTON,Hampton,78.3,Away,BOWLING-GREEN-STATE,Bowling Green State,Hampton,big-south
2018-11-20-17-loyola-md,43.5,10,14.3,6,94.9,74.3,26,0.398,64,0.359,23,0.344,22,0.682,15,4,200,83.5,27.8,10,25,66,,10.1,8,0.313,20,0.25,5,50.7,36,0.443,17.8,16,44,0.409,18,0.2,1,"November 20, 2018",53.8,14,6.8,3,83.5,72.2,26,0.46,62,0.419,26,0.403,25,0.72,18,4,200,94.9,25.7,9,20,75,,7.6,6,0.323,20,0.25,5,49.3,35,0.508,15.1,13,42,0.5,21,0.333,2,"Calihan Hall, Detroit, Michigan",HAMPTON,Hampton,79.2,Home,LOYOLA-MD,Loyola (MD),Hampton,big-south
2018-11-25-18-richmond,27.6,8,0.0,0,101.5,64.7,22,0.607,56,0.518,29,0.357,20,0.9,18,4,200,132.3,37.5,9,18,86,,12.3,8,0.411,23,0.435,10,53.4,31,0.656,13.4,10,33,0.576,19,0.333,2,"November 25, 2018",50.0,12,3.0,1,132.3,62.5,15,0.481,53,0.453,24,0.491,26,0.577,15,4,200,101.5,35.3,12,14,66,,13.8,9,0.396,21,0.143,3,46.6,27,0.505,13.4,10,32,0.656,21,0.333,2,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,64.9,Away,HAMPTON,Hampton,Hampton,big-south
2018-11-29-19-norfolk-state,46.2,12,9.1,4,98.9,80.0,32,0.403,77,0.338,26,0.468,36,0.75,27,5,250,93.7,21.7,10,29,89,,4.2,4,0.442,34,0.294,10,48.8,42,0.473,11.4,12,43,0.372,16,0.286,2,"November 29, 2018",37.0,10,18.6,8,93.7,78.3,36,0.449,68,0.397,27,0.588,40,0.825,33,5,250,98.9,20.0,8,30,94,,4.2,4,0.353,24,0.292,7,51.2,44,0.54,14.9,15,44,0.455,20,0.444,4,"Echols Memorial Hall, Norfolk, Virginia",HAMPTON,Hampton,76.0,Home,NORFOLK-STATE,Norfolk State,Hampton,big-south
2018-12-01-16-hampton,59.1,13,13.3,6,132.6,72.4,21,0.321,78,0.282,22,0.09,7,0.714,5,0,200,64.0,21.2,11,17,55,,5.8,5,0.295,23,0.261,6,39.5,32,0.338,16.5,16,55,0.291,16,0.0,0,"December 1, 2018",61.9,26,14.5,8,64.0,78.8,41,0.7,70,0.6,42,0.357,25,0.64,16,5,200,132.6,27.6,8,5,114,,12.8,11,0.357,25,0.56,14,60.5,49,0.696,12.9,12,45,0.622,28,0.375,3,"Hampton Convocation Center, Hampton, Virginia","Regent
			","Regent
			",86.1,Home,HAMPTON,Hampton,Hampton,big-south
2018-12-05-19-coastal-carolina,41.7,10,2.9,1,108.7,66.7,20,0.384,73,0.329,24,0.192,14,0.714,10,6,200,95.7,36.0,18,22,66,,5.8,4,0.479,35,0.229,8,47.5,38,0.414,9.2,8,38,0.421,16,0.333,3,"December 5, 2018",29.6,8,7.9,3,95.7,64.0,32,0.546,54,0.5,27,0.444,24,0.667,16,4,200,108.7,33.3,10,20,75,,4.3,3,0.352,19,0.263,5,52.5,42,0.573,15.7,12,35,0.629,22,0.556,5,"The HTC Center, Conway, South Carolina",HAMPTON,Hampton,68.5,Home,COASTAL-CAROLINA,Coastal Carolina,Hampton,big-south
2018-12-08-16-hampton,63.0,17,12.5,6,97.3,76.9,30,0.508,61,0.443,27,0.344,21,0.667,14,7,200,104.1,20.6,7,18,76,,4.1,3,0.443,27,0.296,8,50.7,37,0.535,12.5,10,34,0.559,19,0.3,3,"December 8, 2018",58.3,14,11.8,4,104.1,79.4,27,0.409,66,0.364,24,0.318,21,0.81,17,7,200,97.3,23.1,9,20,71,,11.0,8,0.273,18,0.333,6,49.3,36,0.467,7.4,6,48,0.375,18,0.3,3,"Hampton Convocation Center, Hampton, Virginia",HAMPTON,Hampton,73.5,Away,WILLIAM-MARY,William & Mary,Hampton,big-south
