,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-monmouth,51.7,15,8.6,3,76.3,91.9,34,0.585,59,0.492,29,0.424,25,0.64,16,0,191,106.3,26.7,8,23,85,,8.8,7,0.458,27,0.407,11,62.7,42,0.6,19.5,17,32,0.563,18,1.0,1,"November 6, 2018",57.9,11,15.6,5,106.3,73.3,22,0.375,56,0.339,19,0.429,24,0.792,19,1,191,76.3,8.1,3,23,61,,11.3,9,0.375,21,0.19,4,37.3,25,0.453,19.4,16,35,0.429,15,0.0,0,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,83.9,Away,LEHIGH,Lehigh,Lehigh,patriot
2018-11-09-19-miami-fl,28.6,6,13.8,4,106.4,75.0,30,0.41,61,0.344,21,0.344,21,0.571,12,1,200,79.5,26.8,11,24,62,,6.4,5,0.344,21,0.381,8,50.6,41,0.437,20.4,18,40,0.325,13,0.5,1,"November 9, 2018",65.2,15,22.5,9,79.5,73.2,30,0.492,61,0.377,23,0.525,32,0.719,23,0,200,106.4,25.0,10,17,83,,10.3,8,0.525,32,0.438,14,49.4,40,0.545,12.8,11,29,0.31,9,1.0,1,"BankUnited Center, Coral Gables, Florida",LEHIGH,Lehigh,77.6,Home,MIAMI-FL,Miami (FL),Lehigh,patriot
2018-11-13-19-lehigh,82.6,19,0.0,0,109.9,78.1,25,0.555,55,0.418,23,0.255,14,0.786,11,2,200,101.4,6.7,2,14,72,,9.9,7,0.527,29,0.517,15,43.5,27,0.584,16.4,12,26,0.308,8,0.333,1,"November 13, 2018",55.2,16,0.0,0,101.4,93.3,28,0.592,60,0.483,29,0.167,10,0.7,7,1,200,109.9,21.9,7,14,78,,5.6,4,0.45,27,0.481,13,56.5,35,0.602,15.7,12,33,0.485,16,0.667,2,"Stabler Arena, Bethlehem, Pennsylvania",MARIST,Marist,70.7,Home,LEHIGH,Lehigh,Lehigh,patriot
2018-11-16-20-lehigh,41.2,7,11.4,5,100.0,64.5,20,0.317,60,0.283,17,0.4,24,0.792,19,1,200,79.2,22.5,9,18,57,,4.2,3,0.533,32,0.125,4,40.8,29,0.399,11.3,9,28,0.464,13,0.5,1,"November 16, 2018",56.0,14,0.0,0,79.2,77.5,31,0.438,65,0.385,25,0.277,18,0.833,15,1,200,100.0,35.5,11,22,72,,4.2,3,0.323,21,0.333,7,59.2,42,0.489,12.1,10,44,0.409,18,0.75,3,"Stabler Arena, Bethlehem, Pennsylvania",PRINCETON,Princeton,72.0,Home,LEHIGH,Lehigh,Lehigh,patriot
2018-11-21-18-siena,58.6,17,0.0,0,109.5,63.2,24,0.7,50,0.58,29,0.3,15,0.667,10,1,200,127.0,22.7,5,13,80,,7.9,5,0.38,19,0.632,12,48.3,29,0.7,16.3,11,31,0.548,17,0.8,4,"November 21, 2018",38.5,10,6.5,2,127.0,77.3,17,0.469,64,0.406,26,0.172,11,0.818,9,3,200,109.5,36.8,14,12,69,,11.1,7,0.469,30,0.267,8,51.7,31,0.498,9.2,7,34,0.529,18,0.4,2,"Times Union Center , Albany, New York",SIENA,Siena,62.7,Away,LEHIGH,Lehigh,Lehigh,patriot
2018-11-24-16-kansas-state,63.6,14,0.0,0,106.9,66.7,24,0.446,56,0.393,22,0.196,11,0.727,8,2,200,80.6,17.6,6,21,58,,12.5,9,0.375,21,0.286,6,42.9,30,0.474,19.8,15,35,0.457,16,0.667,4,"November 24, 2018",70.4,19,5.7,2,80.6,82.4,28,0.462,65,0.415,27,0.323,21,0.81,17,0,200,106.9,33.3,12,14,77,12,12.5,9,0.308,20,0.3,6,57.1,40,0.514,12.9,11,45,0.467,21,1.0,6,"Bramlage Coliseum, Manhattan, Kansas",LEHIGH,Lehigh,72.1,Home,KANSAS-STATE,Kansas State,Lehigh,patriot
2018-12-01-14-lehigh,39.1,9,12.2,5,113.9,88.0,22,0.373,75,0.307,23,0.267,20,0.7,14,5,200,97.2,43.8,21,21,70,,4.2,3,0.387,29,0.345,10,58.9,43,0.414,10.7,10,46,0.283,13,0.286,2,"December 1, 2018",61.3,19,6.5,3,97.2,56.3,27,0.623,57,0.544,31,0.246,14,0.786,11,2,200,113.9,12.0,3,18,82,,8.3,6,0.281,16,0.563,9,41.1,30,0.644,13.7,10,41,0.537,22,0.714,5,"Stabler Arena, Bethlehem, Pennsylvania",ARKANSAS-STATE,Arkansas State,72.1,Home,LEHIGH,Lehigh,Lehigh,patriot
2018-12-05-19-yale,77.4,24,11.8,4,126.0,60.6,20,0.575,67,0.463,31,0.179,12,0.833,10,3,200,113.0,14.7,5,21,87,,13.0,10,0.478,32,0.469,15,37.3,25,0.598,13.2,11,35,0.457,16,0.625,5,"December 5, 2018",63.6,21,8.6,3,113.0,85.3,29,0.592,65,0.508,33,0.385,25,0.8,20,2,200,126.0,39.4,13,10,97,,6.5,5,0.477,31,0.355,11,62.7,42,0.631,13.6,12,34,0.647,22,0.667,4,"John J. Lee Ampitheater, New Haven, Connecticut",LEHIGH,Lehigh,77.3,Home,YALE,Yale,Lehigh,patriot
2018-12-08-16-mount-st-marys,56.5,13,3.4,1,98.7,80.6,29,0.52,50,0.46,23,0.8,40,0.825,33,3,200,107.6,35.7,10,22,85,,5.1,4,0.3,15,0.4,6,60.9,39,0.616,21.9,19,35,0.486,17,0.667,6,"December 8, 2018",44.0,11,11.4,4,107.6,64.3,18,0.46,63,0.397,25,0.381,24,0.833,20,9,200,98.7,19.4,7,29,78,,10.1,8,0.54,34,0.235,8,39.1,25,0.524,14.0,12,29,0.586,17,0.0,0,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,78.7,Away,LEHIGH,Lehigh,Lehigh,patriot
2018-12-22-12-lehigh,59.3,16,12.1,4,112.8,92.3,24,0.432,73,0.37,27,0.205,15,0.867,13,7,200,97.4,40.0,16,17,76,,7.7,6,0.479,35,0.257,9,60.6,40,0.474,15.9,15,38,0.474,18,0.364,4,"December 22, 2018",62.1,18,0.0,0,97.4,60.0,24,0.634,56,0.518,29,0.339,19,0.895,17,3,200,112.8,7.7,2,12,88,,9.0,7,0.411,23,0.565,13,39.4,26,0.677,17.9,14,33,0.485,16,0.7,7,"Stabler Arena, Bethlehem, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),78.1,Home,LEHIGH,Lehigh,Lehigh,patriot
